漢字,羅馬字
八,pueh
刀,to
上,tsiǔnn
上,tshiǔnn
女,lír
子,tsír
巾,kun
中,tiong
予,hǒo
五,gǒo
井,tsínn
反,píng
反,puínn
斤,kun
日,li̍t
月,ge̍rh
毛,mn̂g
火,hér
去,khìr
可,khónn
奶,lin
平,pînn
未,běr
母,bió
汁,tsap
犯,huǎn
生,tshinn
生,sinn
皮,phêr
光,kng
匠,tshiǔnn
囝,kánn
回,hêr
地,tuě
地,tuē
好,hó
字,lǐ
次,tshìr
羊,iûnn
考,khónn
耳,hǐ
自,tsǐr
血,huih
佇,tǐr
你,lír
卵,nňg
吠,puǐ
吹,tsher
坑,khinn
夾,gueh
尾,bér
抓,liàu
更,kinn
步,pǒo
災,tser
肚,tǒo
芋,ǒo
阮,gún
事,sǐr
兩,niú
初,tshue
卷,kńg
奇,kha
妹,běr
姓,sìnn
底,tué
庚,kinn
抱,phǒ
拌,puǎnn
拔,pue̍h
河,hô
炊,tsher
爭,tsinn
羌,kiunn
芟,sng
近,kǔn
近,kūn
迒,hâ
長,tiúnn
門,mn̂g
雨,hǒo
青,tshinn
保,pó
剉,tshò
厚,kǎu
契,khuè
度,tǒo
星,tshinn
柄,pìnn
洋,iûnn
洗,sué
炱,ter
疥,kuè
相,siùnn
研,nguí
穿,tshǐng
穿,tshng
耎,luán
胚,pher
虹,khǐng
飛,per
香,hiunn
倍,pěr
倒,tó
倒,tò
哺,pǒo
哽,kínn
娘,niû
島,tóo
師,sir
恩,un
恩,un
挨,ue
挼,lêr
捋,lua̍h
捏,tīnn
桃,thô
桌,toh
狹,ue̍h
病,pǐnn
索,soh
缺,kherh
脆,tshèr
脈,me̍h
舀,ió
草,tshó
荒,hng
討,thó
退,thèr
配,phèr
針,tsam
除,tîr
除,tîr
做,tsuè
唱,tshiùnn
啄,terh
問,mňg
婆,pô
張,tiunn
捥,ńg
捲,kńg
推,ther
掩,ng
旋,tsňg
梅,m̂
欲,berh
清,tshuinn
犁,luê
章,tsiunn
笠,lue̍h
粕,phoh
細,suè
莢,gueh
蚵,ô
蛆,tshir
袋,těr
被,phēr
貨,hèr
貫,kǹg
跂,kér
軟,nńg
逐,lip
雪,serh
魚,hîr
報,pò
場,tiûnn
帽,bō
掌,tsiúnn
掰,pér
揣,tshěr
晾,nî
替,thuè
棗,tsó
棚,pînn
焙,pěr
無,bô
煮,tsír
畫,uě
短,tér
硬,ngǐ
稅,sèr
筋,kun
絕,tse̍rh
脹,tiùnn
腔,khiunn
舒,tshir
著,tio̍h
著,to̍h
街,kue
象,tshiǔnn
象,tshiūnn
貺,hǐng
量,niû
量,niū
飯,pňg
黃,n̂g
黍,sué
傳,thn̂g
傷,siunn
園,hn̂g
塊,tèr
嫂,só
想,siǔnn
損,sńg
搝,giú
搣,mi
搶,tshiúnn
會,ē
楗,kǐng
歲,hèr
溪,khue
溶,iûnn
睨,gûn
矮,ué
節,tsueh
經,kinn
號,hǒ
遇,bǔ
過,kèr
鉎,san
頓,tǹg
鼠,tshír
像,tshiūnn
僫,oh
劃,ue̍h
墓,bōo
摸,boo
暝,mî
槍,tshiunn
漲,tiùnn
算,sǹg
管,kńg
箸,tǐr
粿,kér
綴,tèr
膎,kuê
語,gír
說,serh
趖,sô
踅,se̍rh
遠,hňg
酸,sng
銀,gûn
鼻,phǐ
鼻,phī
齊,tsuê
齊,tsâu
廠,tshiáng
慼,tshueh
撨,tshâu
槳,tsiúnn
槽,tsô
樟,tsiunn
樣,iǔnn
漿,tsiunn
熥,thňg
瞌,khueh
箠,tshêr
箱,siunn
罵,mǎ
褒,po
諍,tsìnn
豬,tir
賞,siúnn
賠,pêr
靠,khò
鞋,uê
養,iúnn
餓,gǒ
學,o̍h
據,kìr
樹,tshiū
磚,tsng
磨,bō
篙,ko
糕,ko
縣,kuǎn
褪,thǹg
蹄,tuê
醒,tshínn
鋸,kìr
髻,kèr
濟,tsuě
濟,tsuē
燥,sò
牆,tshiûnn
瞪,tìnn
糜,bêr
薄,po̍h
薑,kiunn
薯,tsîr
螺,lêr
謝,siā
還,hîng
鍋,er
斷,tňg
糧,niû
軁,nǹg
轉,tńg
醬,tsiùnn
鎖,só
雙,sang
雞,kue
題,tuê
颺,tshiûnn
鵝,giâ
簿,phǒo
羹,kinn
關,kuinn
勸,khǹg
寶,pó
癢,tsiǔnn
襪,be̍rh
髓,tshér
鱖,kèr
讓,niū
躡,nih
鑽,tsǹg
䖙,the
䘼,ńg
𧮙,tsho̍h
𠕇,tǐng
𣻸,siûnn
苧,tuē
丈,tiǔnn
方,png
全,tsn̂g
危,guî
后,hiō
后,hiō
灰,her
吳,ngôo
車,kir
阮,ńg
乳,lú
呵,o
尚,siǔnn
居,kir
帚,tsiú
帚,siú
性,sìnn
斧,póo
昏,hng
果,kér
芹,khûn
迌,thô
厚,hiō
後,hiǒ
後,hiǒ
恨,hūn
指,tsńg
牲,sinn
玻,po
相,siunn
屐,kia̍h
徐,sîr
殊,sîr
矩,kír
釘,tan
參,serm
參,serm
帳,tiùnn
掃,sò
曹,tsô
梁,niû
莖,huînn
莧,hǐng
處,tshìr
許,hír
郭,kerh
媒,hm̂
寓,ú
晬,tsèr
腔,tshiunn
菠,per
萄,tô
鄉,hiunn
鈗,ńg
陽,iûnn
勤,khûn
嗣,sîr
楝,lǐng
楹,înn
預,ǐr
慮,lǐr
樑,niû
範,huǎn
蓮,liân
課,khèr
鄭,tīnn
鋤,tîr
噤,khiūnn
親,tshinn
謀,biô
頭,thiô
頭,thiô
鴦,iunn
嬰,inn
嶼,sǐr
戴,tèr
糙,tshò
舉,kír
螿,tsiunn
謝,siā
顎,kok
羅,lô
蹬,tinn
鯧,tshiunn
鑢,luě
驚,kinn
蠶,tshâm
蠶,tshâm
八,pueh
刀,to
上,tsiūnn
上,tshiūnn
女,lír
子,tsír
巾,kirn
中,tiong
予,hōo
五,gōo
井,tsínn
反,píng
斤,kirn
日,ji̍t
月,ge̍rh
毛,mn̂g
火,hér
去,khìr
可,khó
奶,lin
平,pînn
未,bēr
母,bió
汁,tsap
犯,huān
生,tshinn
生,sinn
皮,phêr
光,kng
匠,tshiūnn
囝,kánn
回,hêr
地,terē
好,hó
字,jī
次,tshìr
羊,iûnn
考,khó
耳,hī
自,tsīr
血,huih
佇,tīr
你,lír
卵,nn̄g
吠,puī
吹,tsher
坑,khinn
夾,gereh
尾,bér
抓,jiàu
更,kinn
步,pōo
災,tser
肚,tōo
芋,ōo
阮,gún
事,sīr
兩,niú
初,tshere
卷,kńg
奇,khia
妹,bēr
姓,sìnn
底,teré
庚,kinn
抱,phō
拌,puānn
拔,pue̍h
河,hô
炊,tsher
爭,tsinn
羌,kiunn
芟,sing
近,kīrn
迒,hānn
長,tiúnn
門,mn̂g
雨,hōo
青,tshinn
保,pó
剉,tshò
厚,kāu
契,kherè
度,tōo
星,tshinn
柄,pìnn
洋,iûnn
洗,seré
炱,ter
疥,kerè
相,siùnn
研,gíng
穿,tshīng
穿,tshng
耎,juán
胚,pher
虹,khīng
飛,per
香,hiunn
倍,pēr
倒,tó
倒,tò
哺,pōo
哽,kínn
娘,niû
島,tóo
師,sir
恩,irn
恩,irn
挨,ere
挼,jêr
捋,lua̍h
捏,tīnn
桃,thô
桌,toh
狹,ere̍h
病,pīnn
索,soh
缺,kherh
脆,tshèr
脈,me̍h
舀,ió
草,tshó
荒,hng
討,thó
退,thèr
配,phèr
針,tsam
除,tîr
除,tîr
做,tserè
唱,tshiùnn
問,mn̄g
婆,pô
張,tiunn
捥,ńg
捲,kńg
推,ther
掩,ng
旋,tsn̄g
梅,m̂
欲,berh
清,tshinn
犁,lerê
章,tsiunn
笠,lere̍h
粕,phoh
細,serè
莢,gereh
蚵,ô
蛆,tshir
袋,tēr
被,phēr
貨,hèr
貫,kǹg
跂,kér
軟,nńg
