"DictWordID","PojUnicode","PojInput","HanLoTaibunPoj","HanbunImPojUnicode","HanbunImPojInput","KaisoehPoj","KaisoehHanLoPoj","KipUnicode","KipInput","HanbunImKipUnicode","HanbunImKipInput","KaisoehKip","PageNumber"
"1","A","A","丫","","","siang-chhe, thih-chhe, khui-chhe; a-thâu; lú-pī.","雙叉, 鐵叉, 開叉; ㄚ頭; 女婢.","A","A","","","siang-tshe, thih-tshe, khui-tshe; a-thâu; lú-pī.","1"
"2","A","A","阿","","","seng-tì ê jī, chhin-chhiūⁿ a-pa, a-ko͘, a-pan, án-ni.","先置 ê 字, 親像 阿爸, 阿姑, 阿班, 按呢.","A","A","","","sing-tì ê jī, tshin-tshiūnn a-pa, a-koo, a-pan, án-ni.","1"
"3","A","A","俹","","","óa-khò, i-óa; óa-lōa, chiū-sī ǹg-bāng lâng pān-sū.","oá靠, 依oá; oá賴, 就是 ǹg望 人 辦事.","A","A","","","uá-khò, i-uá; uá-luā, tsiū-sī ǹg-bāng lâng pān-sū.","1"
"4","A","A","?","","","thâi cheng-siⁿ chhiah-huih; koah ām-kún.","刣 精牲 刺血; 割 頷頸.","A","A","","","thâi tsing-sinn tshiah-huih; kuah ām-kún.","1"
"5","A","A","亞","","","a-phiàn, a-phiàn hun-keng; iā-sī seng-tì ê jī.","亞片, 亞片 薰間; 也是 先置 ê 字.","A","A","","","a-phiàn, a-phiàn hun-king; iā-sī sing-tì ê jī.","1"
"6","A","A","?","","","khut-á-chúi, kau-lâu-chúi, iā-sī kó͘-chá Kam-siok-séng chi̍t-tiâu khoe ê miâ.","窟á水, 溝留水, 也是 古早 甘肅省 一條 溪 ê 名.","A","A","","","khut-á-tsuí, kau-lâu-tsuí, iā-sī kóo-tsá Kam-siok-síng tsi̍t-tiâu khue ê miâ.","1"
"7","A","A","洼","","","khut-á-chúi, kau-lâu-chúi, iā-sī kó͘-chá Kam-siok-séng chi̍t-tiâu khoe ê miâ.","窟á水, 溝留水, 也是 古早 甘肅省 一條 溪 ê 名.","A","A","","","khut-á-tsuí, kau-lâu-tsuí, iā-sī kóo-tsá Kam-siok-síng tsi̍t-tiâu khue ê miâ.","1"
"8","A","A","?","","","chhù bô chiàⁿ, oai, khi-khi ê khoán-sit.","厝 無 正, 歪, khi-khi ê 款式.","A","A","","","tshù bô tsiànn, uai, khi-khi ê khuán-sit.","1"
"9","A","A","?","","","thap-o ê tōe, tōe-bīn bô pîⁿ, kham-kham khia̍t-khia̍t.","塌窩 ê 地, 地面 無 平, kham-kham khia̍t-khia̍t.","A","A","","","thap-o ê tuē, tuē-bīn bô pînn, kham-kham khia̍t-khia̍t.","1"
"10","A","A","椏","","","siang-chhe ê chhiū-ki, siang-chhe ê koáiⁿ-á, hō͘ pái-kha ê lâng ōe kiâⁿ.","雙叉 ê 樹枝, 雙叉 ê 枴á, hō͘ 跛腳 ê 人 會 行.","A","A","","","siang-tshe ê tshiū-ki, siang-tshe ê kuáinn-á, hōo pái-kha ê lâng uē kiânn.","1"
"11","A","A","?","","","lû teh háu ê siaⁿ, chhin-chhiūⁿ pi-ai ê khoán-sit.","驢 teh 哮 ê 聲, 親像 悲哀 ê 款式.","A","A","","","lû teh háu ê siann, tshin-tshiūnn pi-ai ê khuán-sit.","1"
"12","A","A","鴉","","","o͘-sek ê chiáu-miâ, o͘-sek; o͘-a; a-phiàn.","烏色 ê 鳥名, 烏色; 烏鴉; 鴉片.","A","A","","","oo-sik ê tsiáu-miâ, oo-sik; oo-a; a-phiàn.","1"
"13","A","A","啞","","","é-káu, bōe kóng-ōe, chhin-chhiūⁿ a-a-kiò, àn-ni.","啞口, bōe 講話, 親像 啞啞叫, 按呢.","A","A","","","é-káu, buē kóng-uē, tshin-tshiūnn a-a-kiò, àn-ni.","1"
"14","a","a","壓","Ap","Ap","a-phiàn; a-put-tó, chiū-sī gín-ná thit-thô ê mi̍h.","阿片; 阿不倒, 就是 gín-á 𨑨迌 ê 物.","a","a","Ap","Ap","a-phiàn; a-put-tó, tsiū-sī gín-ná thit-thô ê mi̍h.","1"
"15","a","a","-","","","a-ka, chiū-sī ēng ku-á ê kut lâi chè-chō ê io̍h-miâ.","阿膠, 就是 用 龜á ê 骨 來 製造 ê 藥名.","a","a","","","a-ka, tsiū-sī īng ku-á ê kut lâi tsè-tsō ê io̍h-miâ.","1"
"16","a","a","-","","","a-cha, am-cham, chiū-sī kiaⁿ-lâng un-thun ê ì-sù.","腌臢, 腌臢, 就是 驚人 溫吞 ê 意思.","a","a","","","a-tsa, am-tsam, tsiū-sī kiann-lâng un-thun ê ì-sù.","1"
"17","Á","A2","阿","","","seng-tì ê jī, chhin-chhiūⁿ ""a"" kap ""án"", sio-siāng ì-sù.","先置 ê 字, 親像 ""á"" kap ""俺"", 相像 意思.","Á","A2","","","sing-tì ê jī, tshin-tshiūnn ""a"" kap ""án"", sio-siāng ì-sù.","1"
"18","Á","A2","瘂","","","é-káu, chiū-sī bōe ōe kóng-ōe ê lâng.","啞口, 就是 bōe 會 講話 ê 人.","Á","A2","","","é-káu, tsiū-sī buē uē kóng-uē ê lâng.","1"
"19","Á","A2","?","","","lû teh háu ê siaⁿ, chhin-chhiūⁿ pi-ai ê khoán-sit.","驢 teh 哮 ê 聲, 親像 悲哀 ê 款式.","Á","A2","","","lû teh háu ê siann, tshin-tshiūnn pi-ai ê khuán-sit.","1"
"20","á","a2","子","Chú","Chu2","bé-jī ê chō͘-sû, chhin-chhiūⁿ ku-á, káu-á, án-ni.","尾字 ê 助詞, 親像 龜á, 狗á, 按呢.","á","a2","Tsú","Tsu2","bé-jī ê tsōo-sû, tshin-tshiūnn ku-á, káu-á, án-ni.","1"
"21","á","a2","也","Iá","Ia2","á-bē, chiū-sī kap iáu-bē sio-siāng ê ì-sù.","抑未, 就是 kap 猶未 相像 ê 意思.","á","a2","Iá","Ia2","á-bē, tsiū-sī kap iáu-bē sio-siāng ê ì-sù.","1"
"22","á","a2","仔","Chú","Chu2","lok tī bé-jī ê chō͘-sû, chhin-chhiūⁿ ti-á, káu-á,  án-ni.","橐 tī 尾字 ê 助詞, 親像 豬á, 狗á,  按呢.","á","a2","Tsú","Tsu2","lok tī bé-jī ê tsōo-sû, tshin-tshiūnn ti-á, káu-á,  án-ni.","1"
"23","á","a2","抑","Ék","Ek2","tò-hoán mn̄g ê ōe, chhin-chhiūⁿ á-bô, á-m̄-sī, án-ni.","倒反 問 ê 話, 親像 抑無, 抑m̄是, 按呢.","á","a2","Ík","Ik2","tò-huán mn̄g ê uē, tshin-tshiūnn á-bô, á-m̄-sī, án-ni.","1"
"24","á","a2","百","Pek","Pek","thòe ""pah"" jī ê jī, chhin-chhiūⁿ ""káu-pah-la̍k"", kóng, ""káu-á-la̍k"".","替 ""百"" 字 ê 字, 親像 ""九百六"", 講, ""九á六"".","á","a2","Pik","Pik","thuè ""pah"" jī ê jī, tshin-tshiūnn ""káu-pah-la̍k"", kóng, ""káu-á-la̍k"".","1"
"25","á","a2","-","","","phah-a-chhiùⁿ, chiū-sī kap phah-ka-chhiùⁿ sio-siāng.","phah a啾, 就是 kap phah ka啾  相像.","á","a2","","","phah-a-tshiùnn, tsiū-sī kap phah-ka-tshiùnn sio-siāng.","1"
"26","á","a2","-","","","bîn-á-chài; m̄-á, chiū-sī m̄-ài ê ì-sù.","明á載; m̄-á, 就是 m̄-ài ê 意思.","á","a2","","","bîn-á-tsài; m̄-á, tsiū-sī m̄-ài ê ì-sù.","1"
"27","á","a2","-","","","á-ló, chiū-sī kiò-lâng siaⁿ-bé ê siaⁿ, chhin-chhiūⁿ hoat-á,  á-sī hoat-ló,  án-ni.","á佬, 就是 叫人 聲尾 ê 聲, 親像 發á,  抑是 發佬,  按呢.","á","a2","","","á-ló, tsiū-sī kiò-lâng siann-bé ê siann, tshin-tshiūnn huat-á,  á-sī huat-ló,  án-ni.","1"
"28","À","A3","婭","","","nn̄g ê kiáⁿ-sài saⁿ kiò-ìn ê jī, chhin-chiâⁿ.","兩 ê kiáⁿ婿 相 叫應 ê 字, 親chiâⁿ.","À","A3","","","nn̄g ê kiánn-sài sann kiò-ìn ê jī, tshin-tsiânn.","1"
"29","À","A3","稏","","","gō͘-kok ê sūi; iā-sī lēng-gōa chi̍t-hō bí ê miâ.","五穀 ê 穗; 也是 另外 一號 米 ê 名.","À","A3","","","gōo-kok ê suī; iā-sī līng-guā tsi̍t-hō bí ê miâ.","1"
