漢字,異用字,TL
一,蜀,
一,壹,
一世人,一世儂,tsi̍t-sì-lâng
人,儂,
人人,儂儂,lâng-lâng
十二生相,十二生肖,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn
人工,儂工,lâng-kang
人才,儂才,lâng-tsâi
刁工,挑工,thiau-kang
八字跤,八字骹,pat-jī-kha/pat-lī-kha
八字跤,八字腳,pat-jī-kha/pat-lī-kha
二步七仔,二步拭仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á
二步七仔,兩步拭仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á
人客,儂客,lâng-kheh
刁故意,挑故意,tiau-kòo-ì
人面,儂面,lâng-bīn
入厝,入茨,ji̍p-tshù/li̍p-tshù
七娘媽生,七娘嬤生,Tshit-niû-má-senn/Tshit-niû-má-sinn
人家厝仔,人家茨仔,jîn-ke-tshù-á/lîn-ke-tshù-á
人參,人蔘,jîn-sim/lîn-sim
又閣,又更,iū-koh
又閣,又復,iū-koh
又閣,又擱,iū-koh
人影,儂影,lâng-iánn
人緣,儂緣,lâng-iân
人頭,儂頭,lâng-thâu
上,尚,
千,仟,
丈人,丈儂,tiūnn-lâng
土人,土儂,thóo-lâng
大人,大儂,
工人,工儂,kang-lâng
丈人公,丈儂公,tiūnn-lâng-kong
丈人爸,丈儂爸,tiūnn-lâng-pâ
丈人媽,丈儂媽,tiūnn-lâng-má
丈人媽,丈人嬤,tiūnn-lâng-má
丈人媽,丈儂嬤,tiūnn-lâng-má
上久,尚久,siōng-kú
上水,汲水,tshiūnn-tsuí
大心氣,大心喟,tuā-sim-khuì
大爿,大旁,tuā-pîng
上卌袂攝,上卌𣍐攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap
大甲蓆,大甲𥱊,Tāi-kah-tshio̍h
大囝,大子,tuā-kiánn
小囝,小子,sió-kiánn
下早仔,今早仔,e-tsái-á
口灶,口竈,kháu-tsàu
小管仔,小卷仔,sió-kńg-á
大姊,大姐,tuā-tsí
大官,大倌,ta-kuann
下昏,兮昏,e-hng
下昏暗,兮昏暗,e-hng-àm
山苳蒿,山茼萵,suann-tang-o
乞食,乞噍,khit-tsia̍h
乞食,乞吃,khit-tsia̍h
乞食琴,乞噍琴,khit-tsia̍h-khîm
乞食琴,乞吃琴,khit-tsia̍h-khîm
大厝,大茨,tuā-tshù
低厝仔,低茨仔,kē-tshù-á
低厝仔,下茨仔,kē-tshù-á
低厝仔,下厝仔,kē-tshù-á
大家,乾家,ta-ke
大家官,大家倌,ta-ke-kuann
大氣,大喟,
大氣喘,大喟喘,tuā-khuì-tshuán
下晝,兮晝,ē-tàu
下晡,兮晡,ē-poo
三絃,三弦,sam-hiân
上殕,上醭,tshiūnn-phú
上殕,上䀟,tshiūnn-phú
大湧,大泳,tuā-íng
干焦,干但,kan-na
干焦,乾焦,kan-na
干焦,干單,kan-na
干焦,干乾,kan-na
凡勢,犯勢,huān-sè
下暗,兮暗,e-àm
下跤,下骹,ē-kha
下跤,下腳,ē-kha
山跤,山骹,suann-kha
山跤,山腳,suann-kha
下跤手人,下跤手儂,ē-kha-tshiú-lâng
下跤手人,下骹手儂,ē-kha-tshiú-lâng
下跤手人,下腳手儂,ē-kha-tshiú-lâng
大跤胴,大骹筒,tuā-kha-tâng
大跤胴,大腳筒,tuā-kha-tâng
三跤馬,三骹馬,sann-kha-bé
三跤馬,三腳馬,sann-kha-bé
三跤貓,三骹貓,sann-kha-niau
三跤貓,三腳貓,sann-kha-niau
山雺,山濛,suann-bông
山雺,山茫,suann-bông
大箍呆,大箍獃,tuā-khoo-tai
大廣絃,大廣弦,tuā-kóng-hiân
干樂,矸轆,kan-lo̍k
大範,大辨,tuā-pān
三輪車,三輾車,sann-lián-tshia
弓蕉,芎蕉,king-tsio
弓蕉,金蕉,king-tsio
弓蕉油,金蕉油,king-tsio-iû
弓蕉油,芎蕉油,king-tsio-iû
大頭拇,大頭母,tuā-thâu-bú
予,互,hōo
仇,讎,
今,旦,
內,裡,
勼,丩,kiu
中人,中儂,tiong-lâng
勻勻仔,緩緩仔,ûn-ûn-á
勻勻仔火,緩緩仔火,ûn-ûn-á-hué/ûn-ûn-á-hé
不止,不只,put-tsí
今仔日,今旦日,kin-á-ji̍t/kin-á-li̍t
勻仔是,緩仔是,ûn-á-sī
丹田,單田,tan-tiân
分伻,分平,pun-phenn
分伻,分偏,pun-phenn
冇炭,冇碳,phànn-thuànn
中晝,中罩,tiong-tàu
中晝頓,中罩頓,tiong-tàu-tǹg
內媽,內嬤,lāi-má
公媽,公嬤,kong-má
勼跤,勼骹,kiu-kha
勼跤,勼腳,kiu-kha
毋,不,m̄
毋,呣,m̄
毋,唔,m̄
歹人,歹儂,pháinn-lâng
月內風,月內瘋,gue̍h-lāi-hong/ge̍h-lāi-hong
木心枋,木心板,bo̍k-sim-pang
反爿,反旁,píng-pîng
歹代,歹事,pháinn-tāi
毋甘嫌,不甘嫌,m̄-kam hiâm
毋甘願,不甘願,m̄ kam-guān
歹囝,歹子,pháinn-kiánn
毋好,不好,m̄ hó
毋好勢,不好勢,m̄ hó-sè
毋成,不成,m̄-tsiânn
毋成人,毋成儂,m̄-tsiânn-lâng
毋成人,不成人,m̄-tsiânn-lâng
毋成人,不成儂,m̄-tsiânn-lâng
手扞仔,手捍仔,tshiú-huānn-á
手扞仔,手按仔,tshiú-huānn-á
毋成囝,不成囝,m̄-tsiânn-kiánn
毋成囝,毋成子,m̄-tsiânn-kiánn
毋成囝,不成子,m̄-tsiânn-kiánn
毋成物,不成物,m̄-tsiânn-mi̍h/m̄-tsiânn-mn̍gh
毋成猴,不成猴,m̄-tsiânn-kâu
毋成樣,不成樣,m̄-tsiânn-iūnn
毋但,不但,m̄-nā
毋但,不爾,m̄-nā
毋但,毋爾,m̄-nā
毋免,不免,m̄-bián
歹扭搦,歹扭搙,pháinn-liú-la̍k
心狂火著,心狂火𤏸,sim-kông-hué-to̍h/sim-kông-hé-to̍h
心肝仔囝,心肝仔子,sim-kuann-á-kiánn
歹命人,歹命儂,pháinn-miā-lâng
毋拄好,不拄好,m̄-tú-hó
歹空,歹孔,pháinn-khang
毋知,不知,m̄ tsai
毋知人,毋知儂,m̄-tsai-lâng
毋知人,不知人,m̄-tsai-lâng
毋知人,不知儂,m̄-tsai-lâng
毋知死,不知死,m̄-tsai-sí
毋知影,不知影,m̄ tsai-iánn
毋挃,不挃,m̄-ti̍h
毋是勢,不是勢,m̄-sī-sè
止枵,止飢,tsí-iau
止枵,止餓,tsí-iau
巴郎,巴攏,pa-lang
歹食,歹噍,pháinn-tsia̍h
歹食,歹吃,pháinn-tsia̍h
歹食,歹呷,pháinn-tsia̍h
毋捌,不捌,m̄ bat
止疼,止痛,tsí-thiànn
天秤,天平,thian-pîng
毋情願,不情願,m̄-tsîng-guān
手液,手𫟊,tshiú-sio̍h
歹喙,歹嘴,pháinn-tshuì
歹喙斗,歹嘴斗,pháinn-tshuì-táu
止喙焦,止嘴焦,tsí tshuì-ta
止喙焦,止喙乾,tsí tshuì-ta
止喙焦,止嘴乾,tsí tshuì-ta
毋敢,呣敢,m̄ kánn
毋敢,不敢,m̄ kánn
毋著,不著,m̄-tio̍h
毛跤,毛骹,mn̂g-kha
毛跤,毛腳,mn̂g-kha
毋過,毋閣,m̄-koh
毋過,不過,m̄-koh
水閘,水截,tsuí-tsa̍h
夭壽,殀壽,iáu-siū
夭壽仔,殀壽仔,iáu-siū-á
夭壽短命,殀壽短命,iáu-siū-té-miā
欠數,欠賬,khiàm-siàu
戶橂,戶定,hōo-tīng
戶橂,戶閬,hōo-tīng
允頭路,引頭路,ín-thâu-lōo/ún-thâu-lōo
天篷,天房,thian-pông
天篷,天棚,thian-pông
水觳仔,水殼仔,tsuí-khok-á
反輾轉,反輪轉,píng-liàn-tńg
反輾轉,扳輦轉,píng-liàn-tńg
水薰吹,水熏吹,tsuí-hun-tshue/tsuí-hun-tshe
水薰吹,水煙吹,tsuí-hun-tshue/tsuí-hun-tshe
水雞,水蛙,tsuí-ke/tsuí-kue
毋願,不願,m̄-guān
毋驚,不驚,m̄ kiann
爿,旁,pîng
牛𡳞脬檨,牛膦脬檨,gû-lān-pha-suāinn
爪仔,抓仔,jiáu-á/niáu-á
牛仔囝,牛仔子,gû-á-kiánn
牛奶,牛乳,gû-ling/gû-ni
牛奶色,牛乳色,gû-ling-sik/gû-ni-sik
牛奶喙仔,牛乳喙仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛奶嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶喙仔,牛乳嘴仔,gû-ling-tshuì-á/gû-ni-tshuì-á
牛奶糖,牛乳糖,gû-ling-thn̂g/gû-ni-thn̂g
牛牢,牛椆,gû-tiâu
牛牢,牛稠,gû-tiâu
火金蛄,火金姑,hué-kim-koo/hé-kim-koo
牛捽仔,牛摔仔,gû-sut-á
王梨,鳳萊,ông-lâi
牛喙罨,牛喙籠,gû-tshuì-am
牛喙罨,牛嘴罨,gû-tshuì-am
牛喙罨,牛嘴籠,gû-tshuì-am
牛犅,牛牨,gû-káng
火燒厝,火燒茨,hué-sio-tshù/hé-sio-tshù
火薰,火熏,hué-hun/hé-hun
火薰,火煙,hué-hun/hé-hun
仙,銑,
仝,同,kāng
仝,共,kāng
