hanzi,variant,tl
㨑,鬃,tsang
㴘,泡,bāu
㾀屎,怯屎,khiap-sái
䆀手,僫手,bái-tshiú
䆀才,僫材,bái-tsâi
䆀才,孬材,bái-tsâi
䆀才,鄙才,bái-tsâi
一,壹,it
一,蜀,tsi̍t/tsi̍k
一世人,一世儂,tsi̍t-sì-lâng
一口灶,一口竈,tsi̍t-kháu-tsàu
七娘媽生,七娘嬤生,tshit-niû-má-senn/tshit-niû-má-sinn
丈人,丈儂,tiūnn-lâng
丈人公,丈儂公,tiūnn-lâng-kong
丈人媽,丈人嬤,tiūnn-lâng-má
丈人媽,丈儂媽,tiūnn-lâng-má
丈人媽,丈儂嬤,tiūnn-lâng-má
丈人爸,丈儂爸,tiūnn-lâng-pâ
三絃,三弦,sam-hiân
三跤貓,三腳貓,sann-kha-niau
三跤貓,三骹貓,sann-kha-niau
三跤馬,三腳馬,sann-kha-bé
三跤馬,三骹馬,sann-kha-bé
三輪車,三輾車,sann-lián-tshia
上,尚,siōng/siāng
上久,尚久,siōng-kú
上卌袂攝,上卌𣍐攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap
上尾,尚尾,siōng-bué/siōng-bé
上殕,上䀟,tshiūnn-phú
上殕,上醭,tshiūnn-phú
上水,汲水,tshiūnn-tsuí
上無,尚無,siōng-bô
下早仔,今早仔,e-tsái-á
下昏,兮昏,e-hng
下昏暗,兮昏暗,e-hng-àm
下晝,兮晝,ē-tàu
下晡,兮晡,ē-poo
下暗,兮暗,e-àm
下跤,下腳,ē-kha
下跤,下骹,ē-kha
下跤手人,下腳手儂,ē-kha-tshiú-lâng
下跤手人,下跤手儂,ē-kha-tshiú-lâng
下跤手人,下骹手儂,ē-kha-tshiú-lâng
不止,不只,put-tsí
世俗人,世俗儂,sè-sio̍k-lâng
世間人,世間儂,sè-kan-lâng
中人,中儂,tiong-lâng
中晝,中罩,tiong-tàu
中晝頓,中罩頓,tiong-tàu-tǹg
串講,闖講,tshuàn-kóng
丹田,單田,tan-tiân
主人,主儂,tsú-lâng
乞食,乞吃,khit-tsia̍h
乞食,乞噍,khit-tsia̍h
乞食琴,乞吃琴,khit-tsia̍h-khîm
乞食琴,乞噍琴,khit-tsia̍h-khîm
亂操操,亂吵吵,luān-tshau-tshau
