hanzi,tl,frequency
頭,thâu,34601
大,tuā,30086
水,tsuí,18181
年,nî,16886
日,ji̍t,14244
工,kang,12379
跤,kha,10537
風,hong,9297
字,jī,9159
發,huat,9126
影,iánn,9036
厝,tshù,8959
小,sió,8653
分,hun,8581
音,im,8544
花,hue,7690
加,ka,7091
點,tiám,7036
電,tiān,6698
名,miâ,6546
度,tōo,6182
濟,tsē,6126
比,pí,5713
月,gue̍h,5651
邊,pinn,5350
魚,hî,5259
草,tsháu,4667
細,sè,4559
長,tn̂g,4422
正,tsìng,4364
底,té,4318
田,tshân,4120
樹,tshiū,4070
和,hô,3885
詩,si,3665
角,kak,3575
形,hîng,3419
句,kù,3378
燒,sio,3369
望,bōng,3218
紙,tsuá,3134
詞,sû,2871
數,sòo,2832
球,kiû,2784
光,kng,2761
懸,kuân,2753
差,tsha,2740
雨,hōo,2449
班,pan,2292
熱,jia̍t,2275
鼓,kóo,2258
批,phue,1936
圓,înn,1855
除,tî,1812
商,siong,1750
短,té,1674
堅,kian,1553
根,kin,1550
少,tsió,1505
減,kiám,1370
星,tshenn,1288
飛,pue,1258
街,ke,1223
厚,kāu,1200
刻,khik,1154
雲,hûn,1098
節,tsat,1067
粗,tshoo,1050
闊,khuah,1014
鹽,iâm,950
所在,sóo-tsāi,902
板,pán,900
曲,khik,878
鹿,lo̍k,800
冰,ping,750
積,tsik,750
腰,io,750
霧,bū,750
姓,sènn,682
了後,liáu-āu,584
朋友,pîng-iú,574
揀,kíng,550
栽,tsai,550
滾,kún,550
酸,sng,550
象,tshiūnn,531
搶,tshiúnn,500
胃,uī,450
雪,seh,450
老師,lāu-su,394
歕,pûn,350
犁,lê,350
生活,sing-ua̍h,350
肺,hì,350
輪,lián,350
時間,sî-kan,336
學校,ha̍k-hāu,302
扇,sìnn,300
翼,si̍t,300
雺,bông,300
講話,kóng-uē,296
日頭,ji̍t-thâu,284
社會,siā-huē,272
白話字,pe̍h-uē-jī,262
醋,tshòo,250
乘,sîng,228
文化,bûn-huà,215
道理,tō-lí,212
大聲,tuā-siann,210
運動,ūn-tōng,210
性命,sènn-miā,209
撇,phiat,200
穎,ínn,200
感謝,kám-siā,190
天頂,thinn-tíng,188
問題,būn-tê,185
月娘,gue̍h-niû,185
多謝,to-siā,172
自然,tsū-jiân,162
注意,tsù-ì,151
兜,tau,150
著,tù,150
