hanzi,tl
儲,thîr
司,sir
噓,sir
噓,sīr
士,sǐr
士,sīr
弓,kirn
斯,sir
旅,lír
書,sir
書,tsir
根,kirn
蜍,sîr
蜍,tsîr
軀,sir
魚,gîr
呃,irh
呃,e̍rh
呃,erh
呃,èr
伙,hér
吪,êr
呼,kher
和,hêr
培,pěr
夥,hér
杮,phèr
梳,sere
瘸,khêr
瘸,kher
睡,tsēr
粞,tsherè
背,pèr
胎,ther
萵,er
葵,kher
蕨,kèr
蕨,kè
蕨,kerh
蕨,keh
蠐,tshêr
蠐,tshê
被,phěr
𤺅,tsèr
𤺅,tserè
𤺅,tshe̍h
𤺅,tsheh
𤺅,tsuè
𤺅,tsè
西,sie
沙,sie
妻,tshie
予,ír
予,îr
妤,îr
忬,īr
忬,ū
伃,îr
豫,īr
櫲,īr
櫲,ū
澦,īr
澦,ū
蕷,īr
與,îr
與,û
與,ír
與,īr
譽,īr
輿,îr
轝,îr
轝,û
歟,îr
歟,û
嬩,îr
嬩,û
璵,îr
籅,îr
鸒,îr
鸒,û
礜,īr
礜,ū
穥,īr
穥,ū
旟,îr
旟,û
醧,ìr
醧,ù
饇,ìr
饇,ù
秗,ìr
秗,ù
於,ir
於,îr
淤,ir
箊,ir
箊,u
棜,ìr
棜,ù
瘀,ir
唹,ir
唹,u
于,ir
于,îr
圩,îr
圩,û
余,îr
餘,îr
狳,îr
狳,û
艅,îr
艅,û
悆,īr
悆,ū
鮽,îr
鮽,û
雓,îr
雓,û
硢,îr
硢,û
畬,îr
畬,û
畭,îr
畭,û
畭,siâ
舁,îr
舁,û
馭,gīr
峿,gír
峿,gú
語,gīr
語,gū
鋙,gír
齬,gír
敔,gír
圄,gír
圉,gír
圉,gīr
圉,gū
御,gīr
禦,gīr
蘌,gír
蘌,gú
籞,gír
籞,gú
篽,gír
篽,gú
漁,gîr
漁,hîr
鷠,gîr
鷠,gû
虛,hir
墟,hir
歔,hir
噓,hir
驉,hir
驉,hu
魖,hir
魖,hu
虗,hir
虗,hu
