hanzi,tl,frequency
⺗,sim,50
⺮,tik,50
⺼,hi̍k,50
⺼,jio̍k,50
⺼,lio̍k,50
⻍,thiok,50
⻍,tshiok,50
⻏,ip,50
㖢,tsîr,50
㖢,tsû,50
㝹,liô,50
㞐,kir,50
㠁,tsherm,50
㠁,tshim,50
㣺,sim,50
㤉,gêr,50
㹑,sìr,50
㹑,sù,50
䂜,pāng,50
䂜,pǎng,50
䎣,sīr,50
䎣,sū,50
䎣,sǐr,50
䥑,be̍h,50
䳄,tshir,50
䳄,tshu,50
䳄,tsir,50
䳄,tsu,50
一,tsi̍k,50
七,tshik,50
丄,sióng,50
丄,siāng,50
丄,siōng,50
丄,siǒng,50
丄,tshiōnn,50
丄,tshiūnn,50
丄,tshiǔnn,50
丄,tsiōnn,50
丄,tsiūnn,50
丄,tsiǔnn,50
丅,hā,50
丅,hē,50
丅,hě,50
丅,hǎ,50
丅,khē,50
丅,khě,50
丅,ē,50
丅,ě,50
丈,tiǒng,50
丈,tňg,50
上,siǒng,50
下,hě,50
下,hǎ,50
下,khē,50
下,khě,50
且,tshir,50
且,tshu,50
並,pǐng,50
丨,kún,50
个,gê,50
丶,tsú,50
丷,pat,50
丼,tsénn,50
丼,tsínn,50
丼,tám,50
丿,phiat,50
乁,î,50
乚,írn,50
乚,ún,50
也,iǎ,50
也,ǎ,50
乿,tǐ,50
予,ír,50
予,îr,50
事,tsìr,50
事,tsù,50
于,ir,50
于,îr,50
五,góo,50
五,ngōo,50
亖,sìr,50
亖,sù,50
亗,hè,50
亗,hèr,50
亗,suè,50
亝,tsai,50
亝,tserê,50
亝,tsir,50
亝,tsu,50
亝,tsuê,50
亝,tsê,50
亠,thiô,50
亥,hǎi,50
亻,jîn,50
亻,lîn,50
从,tsiông,50
仔,tsir,50
仔,tsu,50
仔,tsír,50
仕,sīr,50
仕,sǐr,50
仗,thiōng,50
仗,thiǒng,50
仗,tiǒng,50
仟,tshainn,50
仟,tshan,50
仟,tshirinn,50
仟,tshuinn,50
代,tēr,50
件,kiān,50
件,kiǎnn,50
伃,îr,50
伅,tūn,50
伅,tǔn,50
伍,gōo,50
伍,gǒo,50
伎,kǐ,50
伙,hér,50
伢,gâ,50
伢,gê,50
伫,tīr,50
伫,tū,50
伫,tǐr,50
伬,tshē,50
伬,tshě,50
伴,phuǎn,50
伷,tiū,50
伷,tiǔ,50
伹,tshir,50
伹,tshu,50
伺,sìr,50
伺,sù,50
伺,sīr,50
伻,phinn,50
似,sīr,50
似,sǐr,50
佀,sīr,50
佀,sǐr,50
佃,tirīnn,50
佃,tuīnn,50
佃,tāinn,50
但,tǎn,50
佇,tír,50
佇,tú,50
佉,khir,50
佌,tshír,50
低,kě,50
余,îr,50
佢,kīr,50
佢,kǐr,50
佩,pē,50
佩,pēr,50
佽,tshìr,50
使,sìr,50
使,sír,50
侍,sīr,50
供,kirínn,50
供,kuínn,50
供,káinn,50
侞,jîr,50
侞,lîr,50
侞,lû,50
侢,tsāi,50
侢,tsǎi,50
侶,līr,50
侶,lǐr,50
俆,sir,50
俆,su,50
俆,sîr,50
俔,hiān,50
俔,hiǎn,50
俔,kiàn,50
俟,sīr,50
俟,sǐr,50
俥,kir,50
俬,sir,50
俬,su,50
俴,tsiān,50
俴,tsiǎn,50
俽,herm,50
倃,kiǔ,50
倍,puě,50
倖,hǐng,50
倖,sǐng,50
倨,kìr,50
倪,gerê,50
倭,er,50
倱,hǔn,50
倳,tsìr,50
倽,siáng,50
倽,siâng,50
偈,kì,50
偈,kē,50
偈,kī,50
偌,luǎ,50
偒,tōng,50
偒,tǒng,50
偡,tām,50
偡,tǎm,50
偦,sir,50
偦,su,50
偦,sír,50
偦,sú,50
偨,tshir,50
偨,tshu,50
偩,hǔ,50
偫,tǐ,50
偲,sir,50
傂,tī,50
傂,tǐ,50
傐,hō,50
傐,hǒ,50
債,tseh,50
債,tserh,50
債,tsèr,50
僎,tsuǎn,50
像,siǒng,50
像,tshiǔnn,50
僐,siān,50
僐,siǎn,50
僩,hān,50
僩,hǎn,50
僿,sìr,50
僿,sù,50
儂,lâng,50
儘,tsǐn,50
儡,lér,50
儢,līr,50
儢,lǐr,50
儩,sìr,50
儩,sù,50
儲,thír,50
儲,thîr,50
儲,thú,50
儿,lîn,50
允,írn,50
兆,tiǎu,50
兆,tiǒ,50
先,sainn,50
先,sirinn,50
先,suinn,50
兕,sīr,50
兕,sǐr,50
典,tirínn,50
典,tuínn,50
冑,tiǔ,50
凥,kir,50
刂,to,50
切,tshereh,50
切,tshueh,50
刞,tshìr,50
刞,tshù,50
刷,seh,50
刷,serh,50
前,tsirînn,50
前,tsuînn,50
剚,tsìr,50
剾,there,50
劃,ere̍h,50
劤,kìrn,50
劤,kùn,50
努,lōo,50
努,lǒo,50
劯,tsir,50
劯,tsu,50
勏,piō,50
勏,piǒ,50
動,tǎng,50
勥,kiōng,50
勥,kiǒng,50
勭,tông,50
勭,tōng,50
勭,tǒng,50
勮,kīr,50
勮,kū,50
勴,līr,50
匷,kîr,50
匷,kû,50
匸,hē,50
匸,hě,50
千,tshainn,50
千,tshan,50
千,tshirinn,50
千,tshuinn,50
午,ngió,50
卍,bān,50
即,tsit,50
厚,hiǒ,50
厵,guân,50
厶,sir,50
厺,khìr,50
反,pirínn,50
叒,lio̍k,50
叓,sīr,50
叓,sū,50
受,siǔ,50
叙,sīr,50
叙,sū,50
叙,sǐr,50
古,kió,50
史,sír,50
司,sir,50
吇,tsír,50
吇,tsú,50
后,hiǒ,50
否,hió,50
吪,êr,50
听,gírn,50
听,gún,50
吮,sūn,50
吮,sǔn,50
呂,līr,50
呂,lǐr,50
呃,erh,50
呃,e̍rh,50
呃,irh,50
呃,èr,50
呰,tsír,50
呲,tsîr,50
呲,tsû,50
呼,kher,50
呿,khir,50
咀,tsīr,50
咀,tsū,50
咀,tsǐr,50
咊,hê,50
咊,hêr,50
咊,hôo,50
