hanzi,tl,frequency,poj
⺗,sim,50,sim
⺮,tik,50,tek
⺼,hi̍k,50,he̍k
⺼,jio̍k,50,jio̍k
⺼,lio̍k,50,lio̍k
⻍,thiok,50,thiok
⻍,tshiok,50,chhiok
⻏,ip,50,ip
㖢,tsîr,50,chîr
㖢,tsû,50,chû
㝹,liô,50,liô
㞐,kir,50,kir
㠁,tsherm,50,chherm
㠁,tshim,50,chhim
㣺,sim,50,sim
㤉,gêr,50,gêr
㹑,sìr,50,sìr
㹑,sù,50,sù
䂜,pāng,50,pāng
䂜,pǎng,50,pǎng
䎣,sīr,50,sīr
䎣,sū,50,sū
䎣,sǐr,50,sǐr
䥑,be̍h,50,be̍h
䳄,tshir,50,chhir
䳄,tshu,50,chhu
䳄,tsir,50,chir
䳄,tsu,50,chu
一,tsi̍k,50,che̍k
七,tshik,50,chhek
丄,sióng,50,sióng
丄,siāng,50,siāng
丄,siōng,50,siōng
丄,siǒng,50,siǒng
丄,tshiōnn,50,chhiōⁿ
丄,tshiūnn,50,chhiūⁿ
丄,tshiǔnn,50,chhiǔⁿ
丄,tsiōnn,50,chiōⁿ
丄,tsiūnn,50,chiūⁿ
丄,tsiǔnn,50,chiǔⁿ
丅,hā,50,hā
丅,hē,50,hē
丅,hě,50,hě
丅,hǎ,50,hǎ
丅,khē,50,khē
丅,khě,50,khě
丅,ē,50,ē
丅,ě,50,ě
丈,tiǒng,50,tiǒng
丈,tňg,50,tňg
上,siǒng,50,siǒng
下,hě,50,hě
下,hǎ,50,hǎ
下,khē,50,khē
下,khě,50,khě
且,tshir,50,chhir
且,tshu,50,chhu
並,pǐng,50,pěng
丨,kún,50,kún
个,gê,50,gê
丶,tsú,50,chú
丷,pat,50,pat
丼,tsénn,50,chéⁿ
丼,tsínn,50,chíⁿ
丼,tám,50,tám
丿,phiat,50,phiat
乁,î,50,î
乚,írn,50,írn
乚,ún,50,ún
也,iǎ,50,iǎ
也,ǎ,50,ǎ
乿,tǐ,50,tǐ
予,ír,50,ír
予,îr,50,îr
事,tsìr,50,chìr
事,tsù,50,chù
于,ir,50,ir
于,îr,50,îr
五,góo,50,gó͘
五,ngōo,50,ngō͘
亖,sìr,50,sìr
亖,sù,50,sù
亗,hè,50,hè
亗,hèr,50,hèr
亗,suè,50,sòe
亝,tsai,50,chai
亝,tserê,50,chêre
亝,tsir,50,chir
亝,tsu,50,chu
亝,tsuê,50,chôe
亝,tsê,50,chê
