hanzi,tl,frequency,poj,tl_num,poj_num
⺗,sim,50,sim,sim1,sim1
⺮,tik,50,tek,tik4,tek4
⺼,hi̍k,50,he̍k,hik8,hek8
⺼,jio̍k,50,jio̍k,jiok8,jiok8
⺼,lio̍k,50,lio̍k,liok8,liok8
⻍,thiok,50,thiok,thiok4,thiok4
⻍,tshiok,50,chhiok,tshiok4,chhiok4
⻏,ip,50,ip,ip4,ip4
㖢,tsîr,50,chîr,tsir5,chir5
㖢,tsû,50,chû,tsu5,chu5
㝹,liô,50,liô,lio5,lio5
㞐,kir,50,kir,kir1,kir1
㠁,tsherm,50,chherm,tsherm1,chherm1
㠁,tshim,50,chhim,tshim1,chhim1
㣺,sim,50,sim,sim1,sim1
㤉,gêr,50,gêr,ger5,ger5
㹑,sìr,50,sìr,sir3,sir3
㹑,sù,50,sù,su3,su3
䂜,pāng,50,pāng,pang7,pang7
䂜,pǎng,50,pǎng,pang6,pang6
䎣,sīr,50,sīr,sir7,sir7
䎣,sū,50,sū,su7,su7
䎣,sǐr,50,sǐr,sir6,sir6
䥑,be̍h,50,be̍h,beh8,beh8
䳄,tshir,50,chhir,tshir1,chhir1
䳄,tshu,50,chhu,tshu1,chhu1
䳄,tsir,50,chir,tsir1,chir1
䳄,tsu,50,chu,tsu1,chu1
一,tsi̍k,50,che̍k,tsik8,chek8
七,tshik,50,chhek,tshik4,chhek4
丄,sióng,50,sióng,siong2,siong2
丄,siāng,50,siāng,siang7,siang7
丄,siōng,50,siōng,siong7,siong7
丄,siǒng,50,siǒng,siong6,siong6
丄,tshiōnn,50,chhiōⁿ,tshionn7,chhionn7
丄,tshiūnn,50,chhiūⁿ,tshiunn7,chhiunn7
丄,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6
丄,tsiōnn,50,chiōⁿ,tsionn7,chionn7
丄,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7
丄,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6
丅,hā,50,hā,ha7,ha7
丅,hē,50,hē,he7,he7
丅,hě,50,hě,he6,he6
丅,hǎ,50,hǎ,ha6,ha6
丅,khē,50,khē,khe7,khe7
丅,khě,50,khě,khe6,khe6
丅,ē,50,ē,e7,e7
丅,ě,50,ě,e6,e6
丈,tiǒng,50,tiǒng,tiong6,tiong6
丈,tňg,50,tňg,tng6,tng6
上,siǒng,50,siǒng,siong6,siong6
下,hě,50,hě,he6,he6
下,hǎ,50,hǎ,ha6,ha6
下,khē,50,khē,khe7,khe7
下,khě,50,khě,khe6,khe6
且,tshir,50,chhir,tshir1,chhir1
且,tshu,50,chhu,tshu1,chhu1
並,pǐng,50,pěng,ping6,peng6
丨,kún,50,kún,kun2,kun2
个,gê,50,gê,ge5,ge5
丶,tsú,50,chú,tsu2,chu2
丷,pat,50,pat,pat4,pat4
丼,tsénn,50,chéⁿ,tsenn2,chenn2
丼,tsínn,50,chíⁿ,tsinn2,chinn2
丼,tám,50,tám,tam2,tam2
丿,phiat,50,phiat,phiat4,phiat4
乁,î,50,î,i5,i5
乚,írn,50,írn,irn2,irn2
乚,ún,50,ún,un2,un2
也,iǎ,50,iǎ,ia6,ia6
也,ǎ,50,ǎ,a6,a6
乿,tǐ,50,tǐ,ti6,ti6
予,ír,50,ír,ir2,ir2
予,îr,50,îr,ir5,ir5
事,tsìr,50,chìr,tsir3,chir3
事,tsù,50,chù,tsu3,chu3
于,ir,50,ir,ir1,ir1
于,îr,50,îr,ir5,ir5
五,góo,50,gó͘,goo2,goo2
五,ngōo,50,ngō͘,ngoo7,ngoo7
亖,sìr,50,sìr,sir3,sir3
亖,sù,50,sù,su3,su3
亗,hè,50,hè,he3,he3
亗,hèr,50,hèr,her3,her3
亗,suè,50,sòe,sue3,soe3
亝,tsai,50,chai,tsai1,chai1
亝,tserê,50,chêre,tsere5,chere5
亝,tsir,50,chir,tsir1,chir1
亝,tsu,50,chu,tsu1,chu1
亝,tsuê,50,chôe,tsue5,choe5
亝,tsê,50,chê,tse5,che5
亠,thiô,50,thiô,thio5,thio5
