hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo
⺗,sim,50,sim,sim1,sim1,sim,sim,,,True
⺮,tik,50,tek,tik4,tek4,tik,tek,,,True
⺼,hi̍k,50,he̍k,hik8,hek8,hik,hek,,,True
⺼,jio̍k,50,jio̍k,jiok8,jiok8,jiok,jiok,,,True
⺼,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True
⻍,thiok,50,thiok,thiok4,thiok4,thiok,thiok,,,True
⻍,tshiok,50,chhiok,tshiok4,chhiok4,tshiok,chhiok,,,True
⻏,ip,50,ip,ip4,ip4,ip,ip,,,True
㖢,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
㖢,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
㝹,liô,50,liô,lio5,lio5,lio,lio,,,True
㞐,kir,50,kir,kir1,kir1,kir,kir,,,True
㠁,tsherm,50,chherm,tsherm1,chherm1,tsherm,chherm,,,True
㠁,tshim,50,chhim,tshim1,chhim1,tshim,chhim,,,True
㣺,sim,50,sim,sim1,sim1,sim,sim,,,True
㤉,gêr,50,gêr,ger5,ger5,ger,ger,,,True
㹑,sìr,50,sìr,sir3,sir3,sir,sir,,,True
㹑,sù,50,sù,su3,su3,su,su,,,True
䂜,pāng,50,pāng,pang7,pang7,pang,pang,,,True
䂜,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True
䎣,sīr,50,sīr,sir7,sir7,sir,sir,,,True
䎣,sū,50,sū,su7,su7,su,su,,,True
䎣,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
䥑,be̍h,50,be̍h,beh8,beh8,beh,beh,,,True
䳄,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
䳄,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
䳄,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
䳄,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
一,tsi̍k,50,che̍k,tsik8,chek8,tsik,chek,,,True
七,tshik,50,chhek,tshik4,chhek4,tshik,chhek,,,True
丄,sióng,50,sióng,siong2,siong2,siong,siong,,,True
丄,siāng,50,siāng,siang7,siang7,siang,siang,,,True
丄,siōng,50,siōng,siong7,siong7,siong,siong,,,True
丄,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
丄,tshiōnn,50,chhiōⁿ,tshionn7,chhionn7,tshionn,chhionn,,,True
丄,tshiūnn,50,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn,,,True
丄,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,tshiunn,chhiunn,,,True
丄,tsiōnn,50,chiōⁿ,tsionn7,chionn7,tsionn,chionn,,,True
丄,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7,tsiunn,chiunn,,,True
丄,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6,tsiunn,chiunn,,,True
丅,hā,50,hā,ha7,ha7,ha,ha,,,True
丅,hē,50,hē,he7,he7,he,he,,,True
丅,hě,50,hě,he6,he6,he,he,,,True
丅,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True
丅,khē,50,khē,khe7,khe7,khe,khe,,,True
丅,khě,50,khě,khe6,khe6,khe,khe,,,True
丅,ē,50,ē,e7,e7,e,e,,,True
丅,ě,50,ě,e6,e6,e,e,,,True
丈,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True
丈,tňg,50,tňg,tng6,tng6,tng,tng,,,True
上,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
下,hě,50,hě,he6,he6,he,he,,,True
下,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True
下,khē,50,khē,khe7,khe7,khe,khe,,,True
下,khě,50,khě,khe6,khe6,khe,khe,,,True
且,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
且,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
並,pǐng,50,pěng,ping6,peng6,ping,peng,,,True
丨,kún,50,kún,kun2,kun2,kun,kun,,,True
个,gê,50,gê,ge5,ge5,ge,ge,,,True
丶,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
丷,pat,50,pat,pat4,pat4,pat,pat,,,True
丼,tsénn,50,chéⁿ,tsenn2,chenn2,tsenn,chenn,,,True
丼,tsínn,50,chíⁿ,tsinn2,chinn2,tsinn,chinn,,,True
丼,tám,50,tám,tam2,tam2,tam,tam,,,True
丿,phiat,50,phiat,phiat4,phiat4,phiat,phiat,,,True
乁,î,50,î,i5,i5,i,i,,,True
乚,írn,50,írn,irn2,irn2,irn,irn,,,True
乚,ún,50,ún,un2,un2,un,un,,,True
也,iǎ,50,iǎ,ia6,ia6,ia,ia,,,True
也,ǎ,50,ǎ,a6,a6,a,a,,,True
乿,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
予,ír,50,ír,ir2,ir2,ir,ir,,,True
予,îr,50,îr,ir5,ir5,ir,ir,,,True
事,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True
事,tsù,50,chù,tsu3,chu3,tsu,chu,,,True
于,ir,50,ir,ir1,ir1,ir,ir,,,True
于,îr,50,îr,ir5,ir5,ir,ir,,,True
五,góo,50,gó͘,goo2,goo2,goo,goo,,,True
五,ngōo,50,ngō͘,ngoo7,ngoo7,ngoo,ngoo,,,True
亖,sìr,50,sìr,sir3,sir3,sir,sir,,,True
亖,sù,50,sù,su3,su3,su,su,,,True
亗,hè,50,hè,he3,he3,he,he,,,True
亗,hèr,50,hèr,her3,her3,her,her,,,True
亗,suè,50,sòe,sue3,soe3,sue,soe,,,True
亝,tsai,50,chai,tsai1,chai1,tsai,chai,,,True
亝,tserê,50,chêre,tsere5,chere5,tsere,chere,,,True
亝,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
亝,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
亝,tsuê,50,chôe,tsue5,choe5,tsue,choe,,,True
亝,tsê,50,chê,tse5,che5,tse,che,,,True
亠,thiô,50,thiô,thio5,thio5,thio,thio,,,True
亥,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True
亻,jîn,50,jîn,jin5,jin5,jin,jin,,,True
亻,lîn,50,lîn,lin5,lin5,lin,lin,,,True
从,tsiông,50,chiông,tsiong5,chiong5,tsiong,chiong,,,True
仔,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
仔,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
仔,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
仕,sīr,50,sīr,sir7,sir7,sir,sir,,,True
仕,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
仗,thiōng,50,thiōng,thiong7,thiong7,thiong,thiong,,,True
仗,thiǒng,50,thiǒng,thiong6,thiong6,thiong,thiong,,,True
仗,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True
仟,tshainn,50,chhaiⁿ,tshainn1,chhainn1,tshainn,chhainn,,,True
仟,tshan,50,chhan,tshan1,chhan1,tshan,chhan,,,True
仟,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True
仟,tshuinn,50,chhuiⁿ,tshuinn1,chhuinn1,tshuinn,chhuinn,,,True
代,tēr,50,tēr,ter7,ter7,ter,ter,,,True
件,kiān,50,kiān,kian7,kian7,kian,kian,,,True
件,kiǎnn,50,kiǎⁿ,kiann6,kiann6,kiann,kiann,,,True
伃,îr,50,îr,ir5,ir5,ir,ir,,,True
伅,tūn,50,tūn,tun7,tun7,tun,tun,,,True
伅,tǔn,50,tǔn,tun6,tun6,tun,tun,,,True
伍,gōo,50,gō͘,goo7,goo7,goo,goo,,,True
伍,gǒo,50,gǒ͘,goo6,goo6,goo,goo,,,True
伎,kǐ,50,kǐ,ki6,ki6,ki,ki,,,True
伙,hér,50,hér,her2,her2,her,her,,,True
伢,gâ,50,gâ,ga5,ga5,ga,ga,,,True
伢,gê,50,gê,ge5,ge5,ge,ge,,,True
伫,tīr,50,tīr,tir7,tir7,tir,tir,,,True
伫,tū,50,tū,tu7,tu7,tu,tu,,,True
