hanzi,tl
久仰,kiú-ióng
公寓,kong-ú
危急,uî-kip
印象,ìn-sióng
危機,uî-ki
危險,uî-hiám
早頓,tsái-tǹg
作弊,tsoh-piah
坎坎坷坷,kham-kham-khia̍t-khia̍t
沙漠,sua-bôo
佩服,phuè-ho̍k
抱歉,phō-khiam
信仰,sìn-ióng
姻緣,im-iân
恢復,hue-ho̍k
後嗣,hiō-sû
是非,sū-hui
軍艦,kun-kàm
浸柿,tsìng-khī
粉腸,hún-tshiân
逃避,tô-phiah
閃避,siám-phiah
寂寞,siok-bo̍k
採購,tshái-káng
接觸,tsiap-sio̍k
圍軀裙,û-su-kûn
掌握,tsióng-ap
植物,ti̍t-bu̍t
植物,tsi̍t-bu̍t
傳後嗣,thn̂g-hiō-sû
塗墼,thôo-kak
塗墼厝,thôo-kak-tshù
新鮮,sin-sián
會計,huē-kè
煙腸,ian-tshiân
遇,bū
寢室,khím-sik
對象,tuì-siòng
碩士,sik-sū
慰勞,uì-lô
賠償,puê-sióng/pê-sióng
機械,ki-hâi
戲弄,hí-lāng
避,phiah
避免,phiah-bián
簿仔,pho̍k-á
露營,lo̍k-iânn
卸世卸眾,sià-sí-sià-tsìng
整個,tsíng-kô
補償,póo-sióng
戰艦,tsiàn-kàm
敬佩,kìng-phuè
艦隊,kàm-tuī
避難,phiah-lān
迴避,huê-phiah
