hanzi,tl
一概,it-kài
一觸久仔,tsi̍t-táu-kú-á
十二指腸,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g
七夕,tshit-si̍k
刁工,tiau-kang
刁持,thiau-tî
刁故意,thiau-kòo-ì
人員,jîn-guân/lîn-guân
人參,jîn-sam/lîn-sam
人參,jîn-som/lîn-som
刁意故,tiau-ì-kòo
入學,ji̍p-ha̍k/li̍p-ha̍k
刁難,tiau-lân
人權,jîn-kuân/lîn-kuân
也,ā
凡,hān
上久,siāng-kú
小丑仔,siáu-thiúnn-á
土木,thóo-ba̍k
上加,siāng-ke
上好,siāng hó
也好,ā-hó
土地公,Thóo-lī-kong
小兒科,siáu-jî-kho/siáu-lî-kho
大姊,tuā-tsé
下昏,ē-hng
下昏,enn-hng
下昏暗,enn-hng-àm
上青苔,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî
也是,ā sī
下晝,e-tàu
下晝,ēnn-tàu
下晡,e-poo
干焦,kan-tann
干焦,kan-ta
工程,kang-thîng
工程師,kang-thîng-su
土菝仔,thóo-pa̍t-á
山勢,suann-sì
下暗,enn-àm
大腹肚,tuā-bak-tóo
上緊,siāng kín
上蓋,siāng-kài
小說,siáu-suat
下頦,ē-huâi
大學,tuā-o̍h
小學,sió-o̍h
上頭仔,siāng-thâu-á
大頭拇,tuā-thâu-bó
上濟,siāng tsē/siāng tsuē
上聲,tsiūnn-siann
上聲,siōng-siann
下顎,ē-khok
下顎,ē-gok
內心,lāi-sim
內奶,lāi-lin
公母,kang-bú
內政,lāi-tsìng
內容,lāi-iông
不得了,put-tit-liáu
不得已,put-tit-í
內部,lāi-pōo
分開,pun-khui
內閣,lāi-koh
中學,tiong-o̍h
反,páinn
壬,jīm/līm
歹,phái
毛,moo
手下,tshiú-ē
天井,thian-tsénn/thian-tsínn
太平,thài-phîng
水母,tsuí-bú
欠用,khiàm-iōng
水田,tsuí-tiân
天地,thian-tē/thian-tuē
木耳,bo̍k-jí
木耳,bo̍k-mí
毋但,m̄-niā
木材,bo̍k-tshâi
方言,hong-gân
毋挃,m̄-ti̍nnh
午時,ngóo-sî
天時,thinn-sî
毋捌,m̄ pat
文書,bûn-si
欠缺,khiàm-khuat
心情,sim-tsiânn
心爽,sin-sóng
天理,thinn-lí
文章,bûn-tsiong
木麻黃,bo̍k-mâ-hông
比喻,phí-jū/phí-lū
天意,thian-ì
歹腹肚,pháinn-bak-tóo
毋過,m̄-kò
毋過,m̄-kù
手摺簿仔,tshiú-tsí-phōo-á
文憑,bûn-pîn
反輾轉,píng-lìn-tńg
水雞,suí-ke/suí-kue
手囊,tshiú-long
牛奶,gû-lin
牛母,gû-bú
牛奶色,gû-lin-sik
牛奶喙仔,gû-lin-tshuì-á
牛奶糖,gû-lin-thn̂g
牛喙罨,gû-tshuì-lam
火雞母,hué-ke-bú/hé-kue-bú
仝,kâng
兄弟姊妹,hiann-tī-tsí-muāi
仝爸各母,kāng-pē-koh-bó
代書,tāi-si
仙草,tshian-tsháu
且慢,tshé-bān
主權,tsú-kuân
卡,khá
叨,tho
可,khónn
半䖙倒,puànn-thenn-tó
四方,sù-hong
可怕,khónn-phànn
半信半疑,puànn-sìn-puànn-gî
出差,tshut-tshe
可能,khónn-lîng
加添,ke-thinn
可惡,khónn-ònn
可惱,khónn-náu
四箍輾轉,sì-khoo-lìn-tńg
叩謝,khiò-siā
奶,lin
正月,tsiann-gue̍h/tsiann-ge̍h
母仔囝,bó-á-kiánn
奶母,ling-bó/ni-bó
奶母,lin-bú
奶母車,ling-bó-tshia/ni-bó-tshia
奶母車,lin-bú-tshia
母囝椅,bó-kiánn-í
母妗,bó-kīm
打扮,tá-pān
母身,bú-sin
奶帕仔,lin-phè-á
母的,bú--ê
母金,bú-kim
尻脊,ka-tsiah
尻脊後,ka-tsiah-āu
尻脊骿,ka-tsiah-phiann
打馬膠,tiám-má-ka
打馬膠路,tiám-má-ka-lōo
打探,tá-thàm
打桶,tá-tháng
正統,tsiànn-thóng
正途,tsiànn-tôo
奶喙仔,lin-tshuì-á
母舅,bó-kū
母舅公,bó-kū-kong
失算,sit-suàn
失誤,sit-ngōo
母親,bió-tshin
母親,bóo-tshin
母錢,bó-tsînn
奶頭,lin-thâu
打擊,tá-kik
奶癌,lin-gâm
打擾,tá-jiáu/tá-liáu
母體,bó-thé
失體面,sit-thé-biān
白內障,pe̍h-lāi-tsiòng
白木耳,pe̍h-bo̍k-jí
玉仔,gio̍k-á
生份,tshenn-hūn/tshinn-hūn
