hanzi,tl
九,kiú
九,káu
八,pat
八,peh
八,pueh
力,li̍k
力,la̍t
十,si̍p
十,tsa̍p
三,sam
三,sann
上,siōng
上,siāng
上,tsiūnn
上,tsiōnn
下,hā
下,ē
千,tshian
千,tshing
于,û
于,î
于,u
于,i
大,tāi
大,tuā
女,lú
女,lí
子,tsú
子,tsí
小,sió
小,siáu
山,san
山,suann
工,kong
工,kang
己,kí
中,tiong
中,tiòng
中,tìng
五,ngóo
五,gōo
內,luē
內,lāi
公,kong
公,kang
六,lio̍k
六,la̍k
分,hun
分,pun
升,sing
升,tsin
午,ngóo
午,gōo
反,huán
反,píng
反,páinn
反,puínn
天,thian
天,thinn
方,hong
方,hng
月,gua̍t
月,gue̍h
月,ge̍h
木,bo̍k
木,ba̍k
毛,môo
毛,mn̂g
水,tsuí
水,suí
牙,gâ
牙,gê
世,sè
世,sì
代,tāi
代,tē
功,kong
功,kang
加,ka
加,ke
半,puàn
半,puànn
可,khó
可,khónn
可,khuá
四,sù
四,sì
央,iong
央,iang
央,ng
平,pîng
平,pênn
平,pînn
未,bī
未,buē
未,bē
本,pún
本,pńg
正,tsìng
正,tsiànn
母,bió
母,bóo
母,bú
母,bó
玉,gio̍k
玉,gi̍k
生,sing
生,tshenn
生,tshinn
生,senn
生,sinn
用,iōng
用,īng
白,pi̍k
白,pe̍h
皮,phî
皮,phuê
皮,phê
目,bo̍k
目,ba̍k
石,tsio̍h
石,si̍k
先,sian
先,sing
光,kong
光,kng
光,kuinn
全,tsuân
全,tsn̂g
全,tsuînn
共,kiōng
共,kāng
合,ha̍p
合,ha̍h
同,tông
同,tâng
名,bîng
名,miâ
向,hiòng
向,hiàng
向,ǹg
地,tē
地,tuē
好,hó
好,hónn
好,hònn
守,siú
守,tsiú
安,an
安,uann
帆,huân
帆,phâng
年,nî
年,liân
成,sîng
成,tsiânn
成,siânn
有,iú
有,ū
死,sú
死,sí
老,nóo
老,ló
老,lóo
老,láu
老,lāu
耳,ní
耳,hīnn
