hanzi,tl
病院,pǐnn-ǐnn
醫生館,i-sing-kuán
病院,pīnn-īnn
醫生館,i-sing-kuán
病院,pīnn-īnn
醫生館,i-sing-kuán
病院,pēnn-īnn
醫生館,i-sing-kuán
病院,pēnn-īnn
醫生館,i-sing-kuán
病院,pēnn-īnn
醫生館,i-sing-kuán
醫院,i-īnn
醫生館,i-sing-kuán
病院,pīnn-īnn
病院,pīnn-ìnn
病院,pēnn-ìnn
醫生館,i-sing-kuán
予醫生看,hōo i-sing khuànn
予醫生看,hōo i-sing khuànn
予醫生看,hōo i-sing khuànn
予醫生看,hōo i-sing khuànn
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
予醫生看,hōo i-sing khuànn
看醫生,khuànn-i-sing
揣醫生,tshē-i-sing
看醫生,khuànn-i-sing
看醫生,khuànn-i-sing
予醫生看,hōo i-sing khuànn
𥌚脈,bāi-be̍h
節脈,tsat-be̍h
節脈,tsat-bē
節脈,tsat-me̍h
節脈,tsat-mē
節脈,tsat-me̍h
摸脈,bong-me̍h
節脈,tsat-me̍h
候脈,hāu-me̍h
候脈,hāu-be̍h
掠脈,lia̍h-be̍h
𥌚脈,bāi-be̍h
扞脈,huānn-be̍h
候脈,hāu-me̍h
節脈,tsat-me̍h
𥌚脈,bāi-me̍h
節脈,tsat-be̍h
節脈,tsat-meh
注射,tsù-siǎ
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
拍針,phah-tsam
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
注射,tsù-siā
艾,hiānn
艾,hiānn
艾,hiānn
艾,hiānn
艾,hiānn
艾草,hiānn-tsháu
艾,hiānn
艾,hiānn
艾,hiānn
艾,hiānn
艾,hiānn
跋桮,pua̍h-pue
跋桮,puā-pue
跋桮,pua̍h-pue
跋桮,puā-pue
跋桮,pua̍h-pue
跋桮,pua̍h-pue
跋桮,pua̍h-pue
跋桮,pua̍h-pue
跋桮,pua̍h-pue
跋桮,pua̍h-pue
無桮,bô-pue
陰桮,im-pue
陰桮,im-pue
陰桮,im-pue
陰桮,im-pue
陰桮,im-pue
陰桮,im-pue
象桮,siūnn-pue
匼桮,khap-pue
匼桮,khap-pue
陰桮,im-pue
逼籤詩,pik-tshiam-si
解籤詩,kái-tshiam-si
逼籤詩,pik-tshiam-si
卜籤詩,pok-tshiam-si
逼籤詩,piat-tshiam-si
逼籤詩,pik-tshiam-si
逼籤詩,piat-tshiam-si
逼籤詩,pik-tshiam-si
逼籤詩,pik-tshiam-si
解籤,kái-tshiam
逼籤詩,pik-tshiam-si
卜卦,pok-kuà
卜卦,pok-kuà
卜卦,pok-kuà
卜卦,pok-kuà
卜卦,pok-kuà
卜卦,pok-kuà
卜卦,pok-kuà
跋卦,pua̍h-kuà
卜卦,pok-kuà
卜卦,pok-kuà
廟公,biō-kong
廟公,biō-kong
廟公,biō-kong
廟公,biō-kong
廟祝,biō-tsiok
廟公,biōr-kong
廟祝,biōr-tsiok
廟公,biō-kong
廟祝,biō-tsiok
廟祝,biō-tsiok
宮公,king-kong
廟公,biō-kong
