tl,hanzi
it-kài,一概
tsi̍t-táu-kú-á,一觸久仔
tsa̍p-jī-tsí-tn̂g,十二指腸
tsa̍p-lī-tsí-tn̂g,十二指腸
tshit-si̍k,七夕
tiau-kang,刁工
thiau-tî,刁持
thiau-kòo-ì,刁故意
jîn-guân,人員
lîn-guân,人員
jîn-sam,人參
lîn-sam,人參
jîn-som,人參
lîn-som,人參
tiau-ì-kòo,刁意故
ji̍p-ha̍k,入學
li̍p-ha̍k,入學
tiau-lân,刁難
jîn-kuân,人權
lîn-kuân,人權
ā,也
hān,凡
siāng-kú,上久
siáu-thiúnn-á,小丑仔
thóo-ba̍k,土木
siāng-ke,上加
siāng hó,上好
ā-hó,也好
Thóo-lī-kong,土地公
siáu-jî-kho,小兒科
siáu-lî-kho,小兒科
tuā-tsé,大姊
ē-hng,下昏
enn-hng,下昏
enn-hng-àm,下昏暗
tshiūnn-tshenn-tî,上青苔
tshiūnn-tshinn-tî,上青苔
ā sī,也是
e-tàu,下晝
ēnn-tàu,下晝
e-poo,下晡
kan-tann,干焦
kan-ta,干焦
kang-thîng,工程
kang-thîng-su,工程師
thóo-pa̍t-á,土菝仔
suann-sì,山勢
enn-àm,下暗
tuā-bak-tóo,大腹肚
siāng kín,上緊
siāng-kài,上蓋
siáu-suat,小說
ē-huâi,下頦
tuā-o̍h,大學
sió-o̍h,小學
siāng-thâu-á,上頭仔
tuā-thâu-bó,大頭拇
siāng tsē,上濟
siāng tsuē,上濟
tsiūnn-siann,上聲
siōng-siann,上聲
ē-khok,下顎
ē-gok,下顎
lāi-sim,內心
lāi-lin,內奶
kang-bú,公母
lāi-tsìng,內政
lāi-iông,內容
put-tit-liáu,不得了
put-tit-í,不得已
lāi-pōo,內部
pun-khui,分開
lāi-koh,內閣
tiong-o̍h,中學
páinn,反
jīm,壬
līm,壬
phái,歹
moo,毛
tshiú-ē,手下
thian-tsénn,天井
thian-tsínn,天井
thài-phîng,太平
tsuí-bú,水母
khiàm-iōng,欠用
tsuí-tiân,水田
thian-tē,天地
thian-tuē,天地
bo̍k-jí,木耳
bo̍k-mí,木耳
m̄-niā,毋但
bo̍k-tshâi,木材
hong-gân,方言
m̄-ti̍nnh,毋挃
ngóo-sî,午時
thinn-sî,天時
m̄ pat,毋捌
bûn-si,文書
khiàm-khuat,欠缺
sim-tsiânn,心情
sin-sóng,心爽
thinn-lí,天理
bûn-tsiong,文章
bo̍k-mâ-hông,木麻黃
phí-jū,比喻
phí-lū,比喻
thian-ì,天意
pháinn-bak-tóo,歹腹肚
m̄-kò,毋過
m̄-kù,毋過
tshiú-tsí-phōo-á,手摺簿仔
bûn-pîn,文憑
píng-lìn-tńg,反輾轉
suí-ke,水雞
suí-kue,水雞
tshiú-long,手囊
gû-lin,牛奶
gû-bú,牛母
gû-lin-sik,牛奶色
gû-lin-tshuì-á,牛奶喙仔
gû-lin-thn̂g,牛奶糖
gû-tshuì-lam,牛喙罨
hué-ke-bú,火雞母
hé-kue-bú,火雞母
kâng,仝
hiann-tī-tsí-muāi,兄弟姊妹
kāng-pē-koh-bó,仝爸各母
tāi-si,代書
tshian-tsháu,仙草
tshé-bān,且慢
tsú-kuân,主權
khá,卡
tho,叨
khónn,可
puànn-thenn-tó,半䖙倒
sù-hong,四方
khónn-phànn,可怕
puànn-sìn-puànn-gî,半信半疑
tshut-tshe,出差
khónn-lîng,可能
ke-thinn,加添
khónn-ònn,可惡
khónn-náu,可惱
sì-khoo-lìn-tńg,四箍輾轉
khiò-siā,叩謝
lin,奶
tsiann-gue̍h,正月
tsiann-ge̍h,正月
bó-á-kiánn,母仔囝
ling-bó,奶母
ni-bó,奶母
lin-bú,奶母
ling-bó-tshia,奶母車
ni-bó-tshia,奶母車
lin-bú-tshia,奶母車
bó-kiánn-í,母囝椅
bó-kīm,母妗
tá-pān,打扮
bú-sin,母身
lin-phè-á,奶帕仔
bú--ê,母的
bú-kim,母金
ka-tsiah,尻脊
ka-tsiah-āu,尻脊後
ka-tsiah-phiann,尻脊骿
tiám-má-ka,打馬膠
tiám-má-ka-lōo,打馬膠路
tá-thàm,打探
tá-tháng,打桶
tsiànn-thóng,正統
tsiànn-tôo,正途
lin-tshuì-á,奶喙仔
bó-kū,母舅
bó-kū-kong,母舅公
sit-suàn,失算
sit-ngōo,失誤
bió-tshin,母親
bóo-tshin,母親
bó-tsînn,母錢
lin-thâu,奶頭
tá-kik,打擊
lin-gâm,奶癌
tá-jiáu,打擾
tá-liáu,打擾
bó-thé,母體
sit-thé-biān,失體面
pe̍h-lāi-tsiòng,白內障
pe̍h-bo̍k-jí,白木耳
gio̍k-á,玉仔
tshenn-hūn,生份
tshinn-hūn,生份
tshenn-hūn-lâng,生份人
tshinn-hūn-lâng,生份人
senn-tsiânn,生成
sinn-tsiânn,生成
tsio̍h-gám,石坎
bo̍k-tik,目的
ba̍k-tsîng,目前
pi̍k-tài,白帶
si̍k-kám-tong,石敢當
ba̍k-tsiap-mn̂g,目睫毛
tsio̍h-liû,石榴
bo̍k-phiau,目標
bo̍k-lio̍k,目錄
pe̍h-tiò,白癜
sin-senn,先生
sian-senn,先生
sin-senn-niû,先生娘
sian-senn-niû,先生娘
sin-senn-má,先生媽
sian-senn-má,先生媽
gín-á-siàng,囡仔性
ha̍p-ke,合家
miâ-bōng,名望
tông-o̍h,同學
huî-hiám,危險
jî,如
lî,如
tsiúnn,守
nî,年
tshûn-sim,存心
jī-bó,字母
lī-bó,字母
jî-tshú,如此
lî-tshú,如此
tshūn-sí,存死
jî-tshú-jî-tshú,如此如此
lî-tshú-lî-tshú,如此如此
Jû-lâi-hu̍t-tsóo,如來佛祖
Lû-lâi-hu̍t-tsóo,如來佛祖
tsiúnn khang-pâng,守空房
an-ke,安家
tsûn-khuánn,存款
tsiúnn-kuánn,守寡
tshūn-pān,存範
an-iúnn,安養
sí-gín-á-thenn,死囡仔䖙
tsái-khí,早起
tsái-khí-tǹg,早起頓
khàu-tî,扣除
ū-lōo-iōng,有路用
jí,耳
iûnn-môo-sann,羊毛衫
bí-lin,米奶
iûnn-bú,羊母
lāu-bó,老母
jí-bo̍k,耳目
kang-ngôo,江湖
lāu-huan-thian,老番顛
hiat-lōo,血路
bí-ko-muâi,米糕糜
se-sit,西式
tá,佗
tah,佗
tshng-tshiú,伸手
pu̍t-tshiú-kue,佛手瓜
hu̍t-á,佛仔
Hu̍t-tsóo,佛祖
pu̍t-tn̂g,佛堂
Pu̍t-kàu,佛教
pu̍t-siōng,佛像
khi̍p-tsio̍h,吸石
lī-sit,利息
gám-á,坎仔
tsē-siâm,坐禪
biāu,妙
Siòng-kang-tīn,宋江陣
hi-bōng,希望
bông,忘
náu,扭
gîm,扲
pan,扳
khī-ji̍t,忌日
khī-li̍t,忌日
Tshn̂g-bó,床母
gió kha-tshng,扭尻川
pí-iū,庇佑
kī-tshn̂g,忌床
khuànn-ua̍h,快活
jím-khì,忍氣
pan--kuè-lâi,扳過來
pan--kè-lâi,扳過來
iah,抑
a̍h,抑
ah,抑
tshuan,村
iah-sī,抑是
a̍h-sī,抑是
ah-sī,抑是
tshâi-liāu,材料
tōo-ún-á,杜蚓仔
phue-long,批囊
thài,汰
tiâm,沉
tsai-ē,災禍
gân,言
gún,阮
tāu-lin,豆奶
tāu-jí,豆乳
tāu-lí,豆乳
tāu-jínn,豆乳
kìnn-nā,見若
tsáu-tshiàng,走唱
tshia-tsiáng,車掌
jí-miâ,乳名
lí-miâ,乳名
hióng-siū,享受
kai-tsài,佳哉
hióng-hok,享福
i-lāi,依賴
tsik-peh-tsí-muāi,叔伯姊妹
siūnn-khì,受氣
siū-tng-bē-khí,受當袂起
siū-tng-buē-khí,受當袂起
hia̍p-tiāu,協調
tshì-khik,刺激
hâm,和
phênn,坪
phînn,坪
phiânn,坪
thán-pe̍h,坦白
tsé-hu,姊夫
tsé--á,姊仔
Tsiáu-bó,姐母
kî-biāu,奇妙
tsí-muāi,姊妹
tsí-muāi-á-phuānn,姊妹仔伴
uí-guân,委員
kuann-guân,官員
tiàm-guân,店員
tīng-tsò,定做
tīng-tsuè,定做
kuì-tsiat,季節
íng-ji̍t,往日
íng-li̍t,往日
íng-nî,往年
phīnn-phīnn-tshuán,怦怦喘
phīnn-phēnn-tshuán,怦怦喘
phīnn-phānn-tshuán,怦怦喘
hit-hō,彼號
piann,抨
liu,抽
khioh-kiánn-bó,抾囝母
piànn-hueh,拚血
piànn-huih,拚血
té-khòng,抵抗
pha-tshia-lian,拋捙輪
té-ah,抵押
phah-lâ-liâng,拍抐涼
