tl,hanzi
Káu,九
Pat,八
Peh,八
Pueh,八
La̍t,力
Sann,三
Tsiūnn,上
Tsiōnn,上
Hā,下
Tshian,千
Tshing,千
U,于
I,于
Tuā,大
Siáu,小
Sió,小
San,山
Kong,工
Kang,工
Tiong,中
Ngóo,五
Gōo,五
Luē,內
Kang,公
Ngóo,午
Gōo,午
Thian,天
Thinn,天
Png,方
Puinn,方
Gue̍h,月
Ge̍h,月
Ba̍k,木
Môo,毛
Tsuí,水
Gê,牙
Sì,世
Tāi,代
Ka,加
Ke,加
Khó,可
Khuá,可
Iang,央
Iong,央
Ng,央
Pîng,平
Pún,本
Pńg,本
Tsiànn,正
Bió,母
Bóo,母
Gio̍k,玉
Tshenn,生
Tshinn,生
Pe̍h,白
Phuê,皮
Phê,皮
Ba̍k,目
Tsio̍h,石
Sing,先
Kng,光
Kuinn,光
Tsn̂g,全
Tsuînn,全
Ha̍p,合
Tông,同
Tâng,同
Miâ,名
Hiòng,向
Ànn,向
Hiàng,向
Siù,守
An,安
Uann,安
Liân,年
Tshiânn,成
Ū,有
Lāu,老
Ngāi,艾
Gāi,艾
Hiānn,艾
I,衣
Sai,西
Hô,何
Hu̍t,佛
Piat,別
Lī,利
Lāi,利
Hà,孝
Hû,扶
Tsiat,折
Tsik,折
Tsi̍h,折
Kìnn,見
Tshe,初
Tshue,初
Hoo,呼
Huê,和
Hê,和
Kî,奇
Kuann,官
Tīng,定
Tiānn,定
Kenn,庚
Kinn,庚
Sènn,性
Sìnn,性
Pâng,房
Sânn,承
Sîng,承
Tsio,招
Tong,東
Tang,東
Lîm,林
Kó,果
Kóo,果
Ti,知
Hua,花
Pió,表
Tn̂g,長
Bûn,門
Mn̂g,門
Muî,門
Ú,雨
Hōo,雨
Í,雨
Tshenn,青
Tshinn,青
Siânn,城
Hong,封
Su,思
Tshenn,星
Tshinn,星
To̍k,毒
Tsuânn,泉
Siùnn,相
Siònn,相
Bâi,眉
Hông,紅
Kè,計
Lông,郎
Nn̂g,郎
Tiông,重
Tîng,重
Hui,飛
Pue,飛
Pe,飛
Ti̍t,值
Ta̍t,值
Tòng,凍
Ūn,員
Hē,夏
Hā,夏
King,宮
Ke,家
Su,師
Un,恩
In,恩
Su,書
Tsu,書
Si,書
Thô,桃
Lâu,留
Tsháu,草
Tsūn,陣
Tīn,陣
Má,馬
Bé,馬
Khiân,乾
Ká,假
Ké,假
Tshiàng,唱
Tshiòng,唱
Tshiùnn,唱
Tik,得
Tit,得
Tsiông,從
Tsih,接
Kàu,教
Kà,教
Bōng,望
Tshián,淺
Tshinn,清
Soo,疏
Tsiunn,章
Tsiong,章
Tsiang,章
Tsionn,章
Thuat,脫
Liân,連
Iam,陰
Suat,雪
Tsiúnn,掌
Tsiónn,掌
Tòng,棟
Tàng,棟
Huat,發
Tâng,童
Tông,童
Kiat,結
Kat,結
Kiok,菊
Kak,菊
Bé,買
Bué,買
Khui,開
Kan,間
Iûnn,陽
Iônn,陽
Tuān,傳
Suè,歲
Huè,歲
Hè,歲
Tsiat,節
Tsat,節
Tseh,節
Tsueh,節
King,經
Làu,落
Kè,解
Kuè,解
Ūn,運
Kò,過
Kòo,過
Ko,歌
Kua,歌
Koo,歌
Muá,滿
Tsióng,種
Tsíng,種
Kuán,管
Kńg,管
Kuínn,管
Bóng,網
Bāng,網
Kài,蓋
Uān,遠
Kńg,廣
Kuínn,廣
Piau,標
Phiau,標
Pio,標
Siúnn,賞
Siónn,賞
Iúnn,養
Iónn,養
O̍h,學
Tshau,操
Bō,磨
Môo,磨
Buâ,磨
Tsīng,靜
Tsēnn,靜
Tsīnn,靜
Lîng,龍
Iânn,營
Tsóng,總
Tsáng,總
Siā,謝
Tsiā,謝
Sng,霜
Tsai,齋
Tse,齋
Song,鬆
Sang,鬆
Pinn,邊
Kuan,關
Lông,籠
Tha̍k,讀
Kiú,久
Kú,久
King,弓
Tsénn,井
Tsínn,井
Kim,今
Khóng,孔
Siàu,少
Ki,支
Tóo,斗
Táu,斗
Tió,斗
Hué,火
Hé,火
Gû,牛
Khu,丘
Píng,丙
Piánn,丙
Tong,冬
Pok,北
Pak,北
Sú,史
Sái,史
Su,司
Si,司
Kháu,巧
Khá,巧
Khiáu,巧
Tàn,旦
Tuànn,旦
Bua̍h,末
Kua,瓜
Kue,瓜
Uá,瓦
Hiā,瓦
Huā,瓦
Kah,甲
Hiō,后
Hōo,后
Khiau,曲
Hān,汗
Ah,百
Tiok,竹
Iûnn,羊
Iônn,羊
Hīng,行
Pik,伯
Hâm,含
Lī,呂
Lū,呂
Hng,坊
Pé,把
King,更
Kenn,更
Kinn,更
Sua,沙
Bâng,芒
Tshiah,赤
Ki,車
Ku,車
Sū,侍
Sāi,侍
Sī,侍
Khū,具
Toh,卓
Tsik,叔
Phîng,坪
Pênn,坪
Pînn,坪
Phiânn,坪
Pîng,坪
Siōng,尚
Siāng,尚
Ku,居
Ki,居
Giâm,岩
Gâm,岩
Gān,岸
Huānn,岸
Pua̍t,拔
Pue̍h,拔
Pui̍h,拔
