tl,hanzi
pǐnn-ǐnn,病院
i-sing-kuán,醫生館
pīnn-īnn,病院
i-sing-kuán,醫生館
pīnn-īnn,病院
i-sing-kuán,醫生館
pēnn-īnn,病院
i-sing-kuán,醫生館
pēnn-īnn,病院
i-sing-kuán,醫生館
pēnn-īnn,病院
i-sing-kuán,醫生館
i-īnn,醫院
i-sing-kuán,醫生館
pīnn-īnn,病院
pīnn-ìnn,病院
pēnn-ìnn,病院
i-sing-kuán,醫生館
hōo i-sing khuànn,予醫生看
hōo i-sing khuànn,予醫生看
hōo i-sing khuànn,予醫生看
hōo i-sing khuànn,予醫生看
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
hōo i-sing khuànn,予醫生看
khuànn-i-sing,看醫生
tshē-i-sing,揣醫生
khuànn-i-sing,看醫生
khuànn-i-sing,看醫生
hōo i-sing khuànn,予醫生看
bāi-be̍h,𥌚脈
tsat-be̍h,節脈
tsat-bē,節脈
tsat-me̍h,節脈
tsat-mē,節脈
tsat-me̍h,節脈
bong-me̍h,摸脈
tsat-me̍h,節脈
hāu-me̍h,候脈
hāu-be̍h,候脈
lia̍h-be̍h,掠脈
bāi-be̍h,𥌚脈
huānn-be̍h,扞脈
hāu-me̍h,候脈
tsat-me̍h,節脈
bāi-me̍h,𥌚脈
tsat-be̍h,節脈
tsat-meh,節脈
tsù-siǎ,注射
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
phah-tsam,拍針
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
tsù-siā,注射
hiānn,艾
hiānn,艾
hiānn,艾
hiānn,艾
hiānn,艾
hiānn-tsháu,艾草
hiānn,艾
hiānn,艾
hiānn,艾
hiānn,艾
hiānn,艾
pua̍h-pue,跋桮
puā-pue,跋桮
pua̍h-pue,跋桮
puā-pue,跋桮
pua̍h-pue,跋桮
pua̍h-pue,跋桮
pua̍h-pue,跋桮
pua̍h-pue,跋桮
pua̍h-pue,跋桮
pua̍h-pue,跋桮
bô-pue,無桮
im-pue,陰桮
im-pue,陰桮
im-pue,陰桮
im-pue,陰桮
im-pue,陰桮
im-pue,陰桮
siūnn-pue,象桮
khap-pue,匼桮
khap-pue,匼桮
im-pue,陰桮
pik-tshiam-si,逼籤詩
kái-tshiam-si,解籤詩
pik-tshiam-si,逼籤詩
pok-tshiam-si,卜籤詩
piat-tshiam-si,逼籤詩
pik-tshiam-si,逼籤詩
piat-tshiam-si,逼籤詩
pik-tshiam-si,逼籤詩
pik-tshiam-si,逼籤詩
kái-tshiam,解籤
pik-tshiam-si,逼籤詩
pok-kuà,卜卦
pok-kuà,卜卦
pok-kuà,卜卦
pok-kuà,卜卦
pok-kuà,卜卦
pok-kuà,卜卦
pok-kuà,卜卦
pua̍h-kuà,跋卦
pok-kuà,卜卦
pok-kuà,卜卦
biō-kong,廟公
biō-kong,廟公
biō-kong,廟公
biō-kong,廟公
biō-tsiok,廟祝
biōr-kong,廟公
biōr-tsiok,廟祝
biō-kong,廟公
biō-tsiok,廟祝
biō-tsiok,廟祝
king-kong,宮公
biō-kong,廟公
kòo-biō--ê,顧廟的
biō-kong,廟公
tha̍k-tsir,讀書
tha̍k-tsir,讀書
tha̍k-tsu,讀書
tha̍k-tsheh,讀冊
tha̍k-tsheh,讀冊
tha̍k-tsheh,讀冊
tha̍k-tsir,讀書
tha̍k-tsu,讀書
tha̍k-tsir,讀書
tha̍k-tsu,讀書
tha̍k-tsheh,讀冊
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
ba̍k,墨
oo-ba̍k,烏墨
ba̍k-puânn,墨盤
ba̍k-puânn,墨盤
ba̍k-puânn,墨盤
ba̍k-puânn,墨盤
ba̍k-hīnn,墨硯
ba̍k-puânn,墨盤
ba̍k-hīnn,墨硯
ba̍k-puânn,墨盤
hīnn,硯
ba̍k-hīnn,墨硯
hīnn,硯
ba̍k-puânn,墨盤
ba̍k-puânn,墨盤
phue,批
phue,批
phue,批
phe,批
phue,批
phue,批
phue,批
phue,批
phue,批
phue,批
oo-pang,烏枋
oo-pang,烏枋
oo-pang,烏枋
oo-pang,烏枋
oo-pang,烏枋
oo-pang,烏枋
oo-pâi,烏牌
