tl,hanzi
pueh,八
to,刀
tsiǔnn,上
tshiǔnn,上
lír,女
tsír,子
kun,巾
tiong,中
hǒo,予
gǒo,五
tsínn,井
píng,反
puínn,反
kun,斤
li̍t,日
ge̍rh,月
mn̂g,毛
hér,火
khìr,去
khónn,可
lin,奶
pînn,平
běr,未
bió,母
tsap,汁
huǎn,犯
tshinn,生
sinn,生
phêr,皮
kng,光
tshiǔnn,匠
kánn,囝
hêr,回
tuě,地
tuē,地
hó,好
lǐ,字
tshìr,次
iûnn,羊
khónn,考
hǐ,耳
tsǐr,自
huih,血
tǐr,佇
lír,你
nňg,卵
puǐ,吠
tsher,吹
khinn,坑
gueh,夾
bér,尾
liàu,抓
kinn,更
pǒo,步
tser,災
tǒo,肚
ǒo,芋
gún,阮
sǐr,事
niú,兩
tshue,初
kńg,卷
kha,奇
běr,妹
sìnn,姓
tué,底
kinn,庚
phǒ,抱
puǎnn,拌
pue̍h,拔
hô,河
tsher,炊
tsinn,爭
kiunn,羌
sng,芟
kǔn,近
kūn,近
hâ,迒
tiúnn,長
mn̂g,門
hǒo,雨
tshinn,青
pó,保
tshò,剉
kǎu,厚
khuè,契
tǒo,度
tshinn,星
pìnn,柄
iûnn,洋
sué,洗
ter,炱
kuè,疥
siùnn,相
nguí,研
tshǐng,穿
tshng,穿
luán,耎
pher,胚
khǐng,虹
per,飛
hiunn,香
pěr,倍
tó,倒
tò,倒
pǒo,哺
kínn,哽
niû,娘
tóo,島
sir,師
un,恩
un,恩
ue,挨
lêr,挼
lua̍h,捋
tīnn,捏
thô,桃
toh,桌
ue̍h,狹
pǐnn,病
soh,索
kherh,缺
tshèr,脆
me̍h,脈
ió,舀
tshó,草
hng,荒
thó,討
thèr,退
phèr,配
tsam,針
tîr,除
tîr,除
tsuè,做
tshiùnn,唱
terh,啄
mňg,問
pô,婆
tiunn,張
ńg,捥
kńg,捲
ther,推
ng,掩
tsňg,旋
m̂,梅
berh,欲
tshuinn,清
luê,犁
tsiunn,章
lue̍h,笠
phoh,粕
suè,細
gueh,莢
ô,蚵
tshir,蛆
těr,袋
phēr,被
hèr,貨
kǹg,貫
kér,跂
nńg,軟
lip,逐
serh,雪
hîr,魚
pò,報
tiûnn,場
bō,帽
tsiúnn,掌
pér,掰
tshěr,揣
nî,晾
thuè,替
tsó,棗
pînn,棚
pěr,焙
bô,無
tsír,煮
uě,畫
tér,短
