tl,hanzi
a-lú-mih,a-lú-mih
a-móo-ní-á,a-móo-ní-á
a-ní-khih,a-ní-khih
a-sír-phí-lín,a-sír-phí-lín
a̋i-sat-tsirh,a̋i-sat-tsuh
a̋i-sat-tsuh,a̋i-sat-tsuh
a̋i-sīr-khu-lìn-mù,a̋i-sīr-khu-lìn-mù
a̍t-sá-lih,a̍t-sá-lih
bai-óo-lín,bai-óo-lín
bak-kuh,bak-kuh
bat-tah,bat-tah
ba̋i-khín,ba̋i-khín
ba̍t-té-lih,ba̍t-té-lih
bi-tá-bín,bi-tá-bín
biat-tooh,biat-tooh
bo̍k-sìn-gù,bo̍k-sìn-gù
bu-là-jià,bu-là-jià
bu-lá-tsià,bu-lá-tsià
bàn-bà,bàn-bà
bàng-gà,bàng-gà
bá-luh,bá-luh
bá-sirh,bá-sirh
bá-sirh,bá-suh
bá-suh,bá-suh
bá-tah,bá-tah
bì-lù,bì-lù
bí-sooh,bí-sooh
bòo-lù,bòo-lù
bòo-tòo,bòo-tòo
e-pú-lóng,e-pú-lóng
ga-sóo-lín,ga-sóo-lín
gat-lá-iû,gat-lá油
gi-lòo-sià,gi-lòo-sià
giāng,giāng
goo-lú-huh,goo-lú-huh
gá-lah,gá-lah
gá-suh,gá-suh
gì-tà,gì-tà
gōo-bōo,gōo-bōo
ha-móo-ní-khah,ha-móo-ní-khah
ha-sí-khah,ha-sí-khah
ha̋i-khé-khá-khuh,ha̋i-khé-khá-kuh
ha̋i-khé-khá-kuh,ha̋i-khé-khá-kuh
ha̋n-tóo-luh,ha̋n-tóo-luh
ha̋ng-góo,ha̋ng-góo
he-nú-miat-tooh,he-nú-miat-tooh
hi-nóo-khih,hi-nóo-khih
hoo-lú-bóng,hoo-lú-bóng
hoo-té-luh,hoo-té-luh
hài-ià,hài-ià
há-muh,há-muh
hái-kat-lá,hái-kat-lá
hú-looh,hú-looh
ia̋n-jín,ia̋n-jín
iá-mih,iá-mih
ió-bih,ió-bih
iú-lih,iú-lih
iő-káng,iő-káng
ji-lò-sià,ji-lò-sià
ji-lòo-sià,ji-lòo-sià
ji-lú-bah,ji-lú-bah
ji-siá-kuh,ji-siá-kuh
jiak-khuh,jiak-khuh
jiak-kuh,jiak-kuh
jiàn-bà,jiàn-bà
jiá-khuh,jiá-khuh
jiá-kuh,jiá-kuh
jió-toh,jió-toh
kha-báng,kha-báng
kha-lá-óo-khe,kha-lá-óo-khe
kha-mé-lah,kha-mé-lah
kha-tián,kha-tián
kha-tá-lok-guh,kha-tá-lok-guh
kha̋n-jióo,kha̋n-jióo
kha̋ng-páng,kha̋ng-páng
khe-tsiap-puh,khe-tsiap-puh
khi-móo-tsih,khi-móo-tsih
khit-teh,khit-teh
khiā-hang,khiā-hang
khiű-khé,khiű-khé
khok-puh,khok-puh
khoo-lé-lah,khoo-lé-lah
khoo-mí-sióng,khoo-mí-sióng
khu-lá-tsih,khu-lá-tsih
khu-lì-mù,khu-lì-mù
khu-lìn-mù,khu-lì-mù
khà-sàng,khà-sàng
khà-tsiàng,khà-tsiàng
khí-looh,khí-looh
khòng-buh,khòng-buh
khòo-tòo,khòo-tòo
khōng-ku-lí,khōng-ku-lí
la-jí-ooh,la-jí-ooh
la-khiat-tooh,la-kiat-tooh
la-kiat-tooh,la-kiat-tooh
la-mú-neh,la-mú-neh
la̋i-jiòo-bù,la̋i-jiòo-bù
la̋i-lìn-gù,la̋i-lìn-gù
le-khòo-tòo,le-khòo-tòo
li-lò-sià,li-lò-sià
li-á-khah,li-á-khah
lia̋n-táng,lia̋n-táng
li̋n-jín,li̋n-jín
loo-lài-bà,loo-lài-bà
lài-tah,lài-tah
lè-sìr,lè-sìr
lê-bóng,lê-bóng
lìn-gò,lìn-gòo
lìn-gòo,lìn-gòo
lò-sù,lòo-suh
lòo-suh,lòo-suh
lòo-sìr,lòo-sìr
lòo-sù,lòo-sù
lòo-sù-bah,lòo-sù肉
ló-lí-á,ló-lí仔
lóo-lí-á,lóo-lí-á
lóo-sú-bah,lóo-sú肉
ma-lá-lí-á,ma-lá-lí-á
