tl,hanzi,frequency,poj
ê,的,184693,ê
sī,是,103109,sī
á,仔,90696,á
i,伊,63255,i
bô,無,63119,bô
ê,个,59866,ê
lâi,來,58294,lâi
ū,有,53685,ū
lâng,人,52526,lâng
tī,佇,47453,tī
tio̍h,著,46783,tio̍h
tsi̍t,一,44439,chi̍t
kóng,講,40867,kóng
m̄,毋,39475,m̄
khì,去,38728,khì
guá,我,36961,góa
thâu,頭,34601,thâu
kò,個,33305,kò
sî,時,32755,sî
tâi,台,31281,tâi
tsin,真,31026,chin
tuā,大,30086,tōa
koh,閣,29890,koh
a,阿,29473,a
tse,這,27958,che
khuànn,看,27720,khòaⁿ
lí,你,27089,lí
kah,佮,26700,kah
sim,心,25770,sim
tshut,出,25088,chhut
hōo,予,24836,hō͘
sóo,所,24281,só͘
hó,好,23707,hó
huē,會,23113,hōe
tuì,對,22528,tùi
jîn,人,22442,jîn
lîn,人,22442,lîn
in,𪜶,22121,in
bûn,文,22064,bûn
gí,語,21976,gí
hit,彼,21517,hit
iú,有,21336,iú
tsiū,就,21083,chiū
kok,國,21044,kok
ài,愛,19415,ài
tō,就,18740,tō
bīn,面,18694,bīn
tsuè,做,18482,chòe
tsò,做,18482,chò
ngóo,我,18480,ngó͘
tiong,中,18403,tiong
ha̍k,學,18199,ha̍k
tsuí,水,18181,chúi
kā,共,18073,kā
lán,咱,17922,lán
kàu,到,17333,kàu
iōng,用,17269,iōng
teh,咧,17229,teh
āu,後,17177,āu
nî,年,16886,nî
it,一,16762,it
uē,話,16729,ōe
khí,起,16425,khí
lōo,路,16368,lō͘
tsia̍h,食,15378,chia̍h
tsú,主,15274,chú
kàu,教,15246,kàu
tshiú,手,15155,chhiú
iā,也,15065,iā
beh,欲,14669,beh
bueh,欲,14669,boeh
lāi,內,14406,lāi
ji̍t,日,14244,ji̍t
li̍t,日,14244,li̍t
tāi,代,14215,tāi
kong,公,14120,kong
tsāi,在,14062,chāi
káng,講,13931,káng
put,不,13916,put
pún,本,13828,pún
guā,外,13765,gōa
khah,較,13499,khah
liáu,了,13495,liáu
thang,通,13239,thang
í,以,13230,í
sū,事,13101,sū
uî,為,12403,ûi
kang,工,12379,kang
tik,得,12251,tek
tshin,親,12094,chhin
ì,意,12059,ì
ke,家,11984,ke
huat,法,11954,hoat
lāu,老,11954,lāu
buē,袂,11866,bōe
bē,袂,11866,bē
tāi,大,11861,tāi
lí,理,11858,lí
nā,若,11582,nā
khu,區,11573,khu
guán,阮,11550,goán
mā,嘛,11524,mā
ka,家,11523,ka
bîn,民,11383,bîn
khuán,款,11269,khoán
siōng,上,11260,siōng
sí,死,11257,sí
láng,攏,11219,láng
lóng,攏,11219,lóng
sin,身,10865,sin
suann,山,10820,soaⁿ
tshia,車,10763,chhia
thiann,聽,10741,thiaⁿ
án,俺,10635,án
bu̍t,物,10612,bu̍t
kha,跤,10537,kha
hiong,鄉,10443,hiong
kuè,過,10205,kòe
kè,過,10205,kè
siann,聲,10175,siaⁿ
in,因,10098,in
sin,新,10069,sin
uan,灣,9981,oan
ba̍k,目,9818,ba̍k
khui,開,9713,khui
sing,生,9626,seng
tsit,這,9622,chit
si̍t,實,9621,si̍t
tshuì,喙,9364,chhùi
hong,風,9297,hong
tsîng,情,9238,chêng
kám,感,9228,kám
pe̍h,白,9226,pe̍h
king,經,9218,keng
jī,字,9159,jī
lī,字,9159,lī
huat,發,9126,hoat
kim,金,9080,kim
iánn,影,9036,iáⁿ
bóo,某,9022,bó͘
siū,受,8975,siū
tshù,厝,8959,chhù
iáu,猶,8915,iáu
tsóng,總,8896,chóng
tsai,知,8879,chai
tíng,頂,8873,téng
leh,咧,8857,leh
oo,烏,8830,o͘
khì,氣,8829,khì
tuē,地,8822,tōe
tē,地,8822,tē
tōng,動,8786,tōng
sîn,神,8753,sîn
lo̍h,落,8749,lo̍h
nih,呢,8729,nih
sió,小,8653,sió
huà,化,8649,hòa
hun,分,8581,hun
tsū,自,8553,chū
im,音,8544,im
kah,甲,8530,kah
senn,生,8389,seⁿ
sinn,生,8389,siⁿ
tsînn,錢,8339,chîⁿ
hái,海,8273,hái
ē,會,8235,ē
tng,當,8208,tng
bîng,明,8206,bêng
siánn,啥,8104,siáⁿ
sio,相,8098,sio
gín,囡,8068,gín
tsok,作,8045,chok
uân,灣,7984,oân
siá,寫,7896,siá
hàn,漢,7881,hàn
mn̂g,門,7855,mn̂g
