tl,hanzi,frequency,poj,tl_num,poj_num
ê,的,184693,ê,e5,e5
sī,是,103109,sī,si7,si7
á,仔,90696,á,a2,a2
i,伊,63255,i,i1,i1
bô,無,63119,bô,bo5,bo5
ê,个,59866,ê,e5,e5
lâi,來,58294,lâi,lai5,lai5
ū,有,53685,ū,u7,u7
lâng,人,52526,lâng,lang5,lang5
tī,佇,47453,tī,ti7,ti7
tio̍h,著,46783,tio̍h,tioh8,tioh8
tsi̍t,一,44439,chi̍t,tsit8,chit8
kóng,講,40867,kóng,kong2,kong2
m̄,毋,39475,m̄,m7,m7
khì,去,38728,khì,khi3,khi3
guá,我,36961,góa,gua2,goa2
thâu,頭,34601,thâu,thau5,thau5
kò,個,33305,kò,ko3,ko3
sî,時,32755,sî,si5,si5
tâi,台,31281,tâi,tai5,tai5
tsin,真,31026,chin,tsin1,chin1
tuā,大,30086,tōa,tua7,toa7
koh,閣,29890,koh,koh4,koh4
a,阿,29473,a,a1,a1
tse,這,27958,che,tse1,che1
khuànn,看,27720,khòaⁿ,khuann3,khoann3
lí,你,27089,lí,li2,li2
kah,佮,26700,kah,kah4,kah4
sim,心,25770,sim,sim1,sim1
tshut,出,25088,chhut,tshut4,chhut4
hōo,予,24836,hō͘,hoo7,hoo7
sóo,所,24281,só͘,soo2,soo2
hó,好,23707,hó,ho2,ho2
huē,會,23113,hōe,hue7,hoe7
tuì,對,22528,tùi,tui3,tui3
jîn,人,22442,jîn,jin5,jin5
lîn,人,22442,lîn,lin5,lin5
in,𪜶,22121,in,in1,in1
bûn,文,22064,bûn,bun5,bun5
gí,語,21976,gí,gi2,gi2
hit,彼,21517,hit,hit4,hit4
iú,有,21336,iú,iu2,iu2
tsiū,就,21083,chiū,tsiu7,chiu7
kok,國,21044,kok,kok4,kok4
ài,愛,19415,ài,ai3,ai3
tō,就,18740,tō,to7,to7
bīn,面,18694,bīn,bin7,bin7
tsuè,做,18482,chòe,tsue3,choe3
tsò,做,18482,chò,tso3,cho3
ngóo,我,18480,ngó͘,ngoo2,ngoo2
tiong,中,18403,tiong,tiong1,tiong1
ha̍k,學,18199,ha̍k,hak8,hak8
tsuí,水,18181,chúi,tsui2,chui2
kā,共,18073,kā,ka7,ka7
lán,咱,17922,lán,lan2,lan2
kàu,到,17333,kàu,kau3,kau3
iōng,用,17269,iōng,iong7,iong7
teh,咧,17229,teh,teh4,teh4
āu,後,17177,āu,au7,au7
nî,年,16886,nî,ni5,ni5
it,一,16762,it,it4,it4
uē,話,16729,ōe,ue7,oe7
khí,起,16425,khí,khi2,khi2
lōo,路,16368,lō͘,loo7,loo7
tsia̍h,食,15378,chia̍h,tsiah8,chiah8
tsú,主,15274,chú,tsu2,chu2
kàu,教,15246,kàu,kau3,kau3
tshiú,手,15155,chhiú,tshiu2,chhiu2
iā,也,15065,iā,ia7,ia7
beh,欲,14669,beh,beh4,beh4
bueh,欲,14669,boeh,bueh4,boeh4
lāi,內,14406,lāi,lai7,lai7
ji̍t,日,14244,ji̍t,jit8,jit8
li̍t,日,14244,li̍t,lit8,lit8
tāi,代,14215,tāi,tai7,tai7
kong,公,14120,kong,kong1,kong1
tsāi,在,14062,chāi,tsai7,chai7
káng,講,13931,káng,kang2,kang2
put,不,13916,put,put4,put4
pún,本,13828,pún,pun2,pun2
guā,外,13765,gōa,gua7,goa7
lí,俚,13755,lí,li2,li2
