tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
ê,的,184693,ê,e5,e5,e,e,,,True,False
sī,是,103109,sī,si7,si7,si,si,,,True,False
á,仔,90696,á,a2,a2,a,a,,,True,False
i,伊,63255,i,i1,i1,i,i,,,True,False
bô,無,63119,bô,bo5,bo5,bo,bo,,,True,False
ê,个,59866,ê,e5,e5,e,e,,,True,True
lâi,來,58294,lâi,lai5,lai5,lai,lai,,,True,False
ū,有,53685,ū,u7,u7,u,u,,,True,False
lâng,人,52526,lâng,lang5,lang5,lang,lang,,,True,False
tī,佇,47453,tī,ti7,ti7,ti,ti,,,True,False
tio̍h,著,46783,tio̍h,tioh8,tioh8,tioh,tioh,,,True,False
tsi̍t,一,44439,chi̍t,tsit8,chit8,tsit,chit,,,True,False
kóng,講,40867,kóng,kong2,kong2,kong,kong,,,True,False
m̄,毋,39475,m̄,m7,m7,m,m,,,True,False
khì,去,38728,khì,khi3,khi3,khi,khi,,,True,False
guá,我,36961,góa,gua2,goa2,gua,goa,,,True,False
thâu,頭,34601,thâu,thau5,thau5,thau,thau,,,True,False
kò,個,33305,kò,ko3,ko3,ko,ko,,,True,False
sî,時,32755,sî,si5,si5,si,si,,,True,False
tâi,台,31281,tâi,tai5,tai5,tai,tai,,,True,True
tsin,真,31026,chin,tsin1,chin1,tsin,chin,,,True,False
tuā,大,30086,tōa,tua7,toa7,tua,toa,,,True,False
koh,閣,29890,koh,koh4,koh4,koh,koh,,,True,False
a,阿,29473,a,a1,a1,a,a,,,True,False
tse,這,27958,che,tse1,che1,tse,che,,,True,False
khuànn,看,27720,khòaⁿ,khuann3,khoann3,khuann,khoann,,,True,False
lí,你,27089,lí,li2,li2,li,li,,,True,False
kah,佮,26700,kah,kah4,kah4,kah,kah,,,True,False
sim,心,25770,sim,sim1,sim1,sim,sim,,,True,False
tshut,出,25088,chhut,tshut4,chhut4,tshut,chhut,,,True,False
hōo,予,24836,hō͘,hoo7,hoo7,hoo,hoo,,,True,False
sóo,所,24281,só͘,soo2,soo2,soo,soo,,,True,False
hó,好,23707,hó,ho2,ho2,ho,ho,,,True,False
huē,會,23113,hōe,hue7,hoe7,hue,hoe,,,True,False
tuì,對,22528,tùi,tui3,tui3,tui,tui,,,True,False
jîn,人,22442,jîn,jin5,jin5,jin,jin,,,True,False
lîn,人,22442,lîn,lin5,lin5,lin,lin,,,True,False
in,𪜶,22121,in,in1,in1,in,in,,,True,False
bûn,文,22064,bûn,bun5,bun5,bun,bun,,,True,False
gí,語,21976,gí,gi2,gi2,gi,gi,,,True,False
hit,彼,21517,hit,hit4,hit4,hit,hit,,,True,False
iú,有,21336,iú,iu2,iu2,iu,iu,,,True,False
tsiū,就,21083,chiū,tsiu7,chiu7,tsiu,chiu,,,True,False
kok,國,21044,kok,kok4,kok4,kok,kok,,,True,False
ài,愛,19415,ài,ai3,ai3,ai,ai,,,True,False
tō,就,18740,tō,to7,to7,to,to,,,True,False
bīn,面,18694,bīn,bin7,bin7,bin,bin,,,True,False
tsuè,做,18482,chòe,tsue3,choe3,tsue,choe,,,True,False
tsò,做,18482,chò,tso3,cho3,tso,cho,,,True,False
ngóo,我,18480,ngó͘,ngoo2,ngoo2,ngoo,ngoo,,,True,False
tiong,中,18403,tiong,tiong1,tiong1,tiong,tiong,,,True,False
ha̍k,學,18199,ha̍k,hak8,hak8,hak,hak,,,True,False
tsuí,水,18181,chúi,tsui2,chui2,tsui,chui,,,True,False
kā,共,18073,kā,ka7,ka7,ka,ka,,,True,False
lán,咱,17922,lán,lan2,lan2,lan,lan,,,True,False
kàu,到,17333,kàu,kau3,kau3,kau,kau,,,True,False
iōng,用,17269,iōng,iong7,iong7,iong,iong,,,True,False
teh,咧,17229,teh,teh4,teh4,teh,teh,,,True,False
āu,後,17177,āu,au7,au7,au,au,,,True,False
nî,年,16886,nî,ni5,ni5,ni,ni,,,True,False
it,一,16762,it,it4,it4,it,it,,,True,False
uē,話,16729,ōe,ue7,oe7,ue,oe,,,True,False
khí,起,16425,khí,khi2,khi2,khi,khi,,,True,False
lōo,路,16368,lō͘,loo7,loo7,loo,loo,,,True,False
tsia̍h,食,15378,chia̍h,tsiah8,chiah8,tsiah,chiah,,,True,False
tsú,主,15274,chú,tsu2,chu2,tsu,chu,,,True,False
kàu,教,15246,kàu,kau3,kau3,kau,kau,,,True,False
tshiú,手,15155,chhiú,tshiu2,chhiu2,tshiu,chhiu,,,True,False
iā,也,15065,iā,ia7,ia7,ia,ia,,,True,False
beh,欲,14669,beh,beh4,beh4,beh,beh,,,True,False
