hanzi,tl
矽砂,si̍k-sua
超音波,tshiau-im-pho
口服藥物,kháu-ho̍k io̍h-bu̍t
接力走標,tsiap-li̍k tsáu-pio
小三通,sió-sam-thong
內容農場,luē-iông lông-tiûnn
升利息,sing-lī-sik
水豬,tsuí-ti
水豬,tsuí-tu
白紙運動,pe̍h-tsuá-ūn-tōng
白紙運動,pe̍h-tsuá ūn-tōng
白紙革命,pe̍h-tsuá kik-bīng
生湠地,senn-thuànn-tē
生湠地,sinn-thuànn-tuē
呼吸道融合病毒,hoo-khip-tō iông-ha̍p pēnn-to̍k
呼吸道融合病毒,hoo-khip-tō iông-ha̍p pīnn-to̍k
快時尚,khuài-sî-siōng
地面攔閘網,tē-bīn nuâ-tsa̍h-bāng
地面攔閘網,tuē-bīn nuâ-tsa̍h-bāng
肚臍丁,tōo-tsâi-ting
奈米,nāi-bí
法國棍仔麭,huat-kok kùn-á-pháng
法國長麭,huat-kok tn̂g-pháng
明太子,bîng-thài-tsí
明太子,mê-thài-khòo
神波刀,sîn-pho-to
帕金森症,Phà-kim-sim-tsìng
埋,tâi
棲地,tshe-tē
棲地,tshe-tuē
無人機,bû-jîn-ki
無人機,bô-lâng-ki
無人機,bû-lîn-ki
迒年,hānn-nî
跨年,khuà-nî
人字淺拖,jîn-jī tshián-thua
人字淺拖,lîn-lī tshián-thua
人字拖仔,jîn-jī thua-á
人字拖仔,lîn-lī thua-á
羊駱駝,iûnn-lo̍k-tô
駱駝馬,lo̍k-tô-bé
禽流感,khîm-liû-kám
禽鳥類,khîm-tsiáu-luī
影迷,iánn-bê
冊迷,tsheh-bê
玉城丹尼,Gio̍k-siânn Tan-nî
玉城丹尼,Gio̍k-siânn Tan-lî
石川佳彥,Tsio̍h-tshuan Ka-gān
多倫多,To-lûn-to
殕色地帶,phú-sik tē-tài
殕色地帶,phú-sik tuē-tài
肌少症,ki-tsió-tsìng
住宅區,tsū-the̍h-khu
克流感,khik-liû-kám
冷智識,líng-tì-sik
沙礫岩,sua-li̍k-gâm
角球,kak-kiû
角球,khòo-nah
兩段式倒斡,nn̄g-tuān-sik tò-uat
河內,Hô-luē
拜登,Pài-ting
泉裕泰,Tsuânn Jū-thài
泉裕泰,Tsuânn Lū-thài
活取器官,ua̍h-tshú khì-kuan
phòng-phuh,phòng-phuh
耐震係數,nāi-tsìn hē-sòo
倫敦,Lûn-tun
宮城縣,Kiong-siânn-kuān
射正,siā-tsiànn
庫德族,Khòo-tik-tso̍k
bok-sìn-gù,bok-sìn-gù
核子藏水艇,hi̍k-tsú tshàng-tsuí-thíng
核酸檢測,hi̍k-sng kiám-tshik
消磨量,siau-môo-liōng
脈衝光,me̍h-tshiong-kng
龍骨歪斜,liông-kut uai-tshua̍h
龍骨歪斜,lîng-kut uai-tshua̍h
配套,phuè-thò
配套,phè-thò
馬拉松,ma-lá-sóng
馬德里,Má-tik-lí
雙蹄目,siang-tê-bo̍k
雙蹄目,siang-tuê-bo̍k
副食品,hù-si̍t-phín
淘汰賽,tô-thài sài
球迷,kiû-bê
莫斯科,Bo̍k-su-kho
莫德納,moo-té-nah
彭博社,Phênn-phok-siā
彭博社,Phînn-phok-siā
循環杯,sûn-khuân-pue
超馬,tshiau-má
跑者,pháu-tsiá
羌仔虎,kiunn-á-hóo
黃斑部病變,n̂g-pan-pōo pênn-piàn
黃斑部病變,n̂g-pan-pōo pīnn-piàn
傷停補時,siong-thîng-póo-sî
愛國者三型飛彈,Ài-kok-tsiá Sann-hîng-hui-tuânn
愛國者三型飛彈,Ài-kok-tsiá Sann-hîng hui-tuânn
K他命,K tha-bīng
搜救狗,soo-kiù-káu
搜揣,tshiau-tshuē
搜揣,tshiau-tshē
滅火器,bia̍t-hué-khì
滅火器,bia̍t-hé-khì
瑞樂沙,Suī-lo̍k-sua
葡萄牙,Phû-tô-gâ
路透社,Lōo-thàu-siā
雷根,Luî-kin
雷根,Luî-kun
電鍍,tiān-tōo
水煙火車母,tsuí-ian hué-tshia-bó
水煙火車母,tsuí-ian hé-tshia-bú
蒸發型焦眼症,tsing-huat-hîng ta-gán-tsìng
監視器,kàm-sī-khì
彈劾,tân-hik
捕殺,póo-sat
熱帶性低氣壓,jia̍t-tài-sìng kē-khì-ap
熱帶性低氣壓,lia̍t-tài-sìng kē-khì-ap
窯烘麭,iô-hang-pháng
緩衝時間,uān-tshiong sî-kan
豬流感,ti-liû-kám
豬流感,tu-liû-kám
質譜快檢技術,tsit-phóo khuài-kiám ki-su̍t
a-lú-mih 集塵烌,a-lú-mih tsi̍p-tîn-hu
輕銀集塵烌,khin-gîn tsi̍p-tîn-hu
輕銀集塵烌,khin-gûn tsi̍p-tîn-hu
輝瑞,Hui-suī
器官衰竭,khì-kuan sue-kia̍t
積體電路,tsik-thé tiān-lōo
食食纖維,tsia̍h-si̍t tshiam-uî
駭客,hái-kheh
攔閘,nuâ-tsa̍h
變異株,piàn-ī-tsu
偶像,ngóo-siōng
聖嬰現象,Sìng-ing Hiān-siōng
負北極振盪,hū Pak-ki̍k tsín-tōng
羽絨衫,ú-jiông-sann
羽絨衫,ú-liông-sann
掠夯,lia̍h-giâ
牚夯,thènn-giâ
牚夯,thìnn-giâ
軍閥,kun-hua̍t
霹靂舞,phik-li̍k-bú
閬位坐,làng-uī-tsē
蒸餾,tsing-liū
停滯性通貨膨脹,thîng-tù-sìng thong-huè-phòng-tiòng
停滯性通貨膨脹,thîng-tù-sìng thong-huè phòng-tiòng
停滯性通貨膨脹,thîng-tù-sìng thong-hè-phòng-tiòng
三角錐,sann-kak-tsui
空浮幼粒,khong-phû iù-lia̍p
火燒山,hué sio suann
火燒山,hué-sio-suann
火燒山,hé sio suann
通貨膨脹,thong-huè phòng-tiòng
通貨膨脹,thong-huè-phòng-tiòng
通貨膨脹,thong-hè-phòng-tiòng
捋仔田,lua̍h-á-tshân
航線,hâng-suànn
電扶梯,tiān-hû-thui
隔暝醉,keh-mê-tsuì
隔暝醉,keh-mî-tsuì
肇事逃逸,tiāu-sū tô-i̍k
放予爛,pàng hōo nuā
鑿花,tsha̍k-hue
