hanzi,tl
矽砂,si̍k-sua
超音波,tshiau-im-pho
口服藥物,kháu-ho̍k-io̍h-bu̍t
接力走標,tsiap-li̍k-tsáu-pio
小三通,sió-sam-thong
內容農場,luē-iông-lông-tiûnn
升利息,sing-lī-sik
水豬,tsuí-ti
水豬,tsuí-tu
白紙運動,pe̍h-tsuá-ūn-tōng
白紙革命,pe̍h-tsuá-kik-bīng
生湠地,senn-thuànn-tē
生湠地,sinn-thuànn-tuē
快時尚,khuài-sî-siōng
地面攔閘網,tē-bīn-nuâ-tsa̍h-bāng
地面攔閘網,tuē-bīn-nuâ-tsa̍h-bāng
肚臍丁,tōo-tsâi-ting
奈米,nāi-bí
法國棍仔麭,huat-kok-kùn-á-pháng
法國長麭,huat-kok-tn̂g-pháng
明太子,bîng-thài-tsí
明太子,mê-thài-khòo
神波刀,sîn-pho-to
帕金森症,phà-kim-sim-tsìng
埋,tâi
棲地,tshe-tē
棲地,tshe-tuē
無人機,bû-jîn-ki
無人機,bô-lâng-ki
無人機,bû-lîn-ki
迒年,hānn-nî
跨年,khuà-nî
人字淺拖,jîn-jī-tshián-thua
人字淺拖,lîn-lī-tshián-thua
人字拖仔,jîn-jī-thua-á
人字拖仔,lîn-lī-thua-á
羊駱駝,iûnn-lo̍k-tô
駱駝馬,lo̍k-tô-bé
禽流感,khîm-liû-kám
禽鳥類,khîm-tsiáu-luī
影迷,iánn-bê
冊迷,tsheh-bê
玉城丹尼,gio̍k-siânn-tan-nî
玉城丹尼,gio̍k-siânn-tan-lî
石川佳彥,tsio̍h-tshuan-ka-gān
多倫多,to-lûn-to
殕色地帶,phú-sik-tē-tài
殕色地帶,phú-sik-tuē-tài
肌少症,ki-tsió-tsìng
住宅區,tsū-the̍h-khu
克流感,khik-liû-kám
冷智識,líng-tì-sik
沙礫岩,sua-li̍k-gâm
角球,kak-kiû
角球,khòo-nah
兩段式倒斡,nn̄g-tuān-sik-tò-uat
河內,hô-luē
拜登,pài-ting
泉裕泰,tsuânn-jū-thài
泉裕泰,tsuânn-lū-thài
活取器官,ua̍h-tshú-khì-kuan
phòng-phuh,phòng-phuh
耐震係數,nāi-tsìn-hē-sòo
倫敦,lûn-tun
宮城縣,kiong-siânn-kuān
射正,siā-tsiànn
庫德族,khòo-tik-tso̍k
bok-sìn-gù,bok-sìn-gù
核子藏水艇,hi̍k-tsú-tshàng-tsuí-thíng
核酸檢測,hi̍k-sng-kiám-tshik
消磨量,siau-môo-liōng
脈衝光,me̍h-tshiong-kng
龍骨歪斜,liông-kut-uai-tshua̍h
龍骨歪斜,lîng-kut-uai-tshua̍h
配套,phuè-thò
配套,phè-thò
馬拉松,ma-lá-sóng
馬德里,má-tik-lí
雙蹄目,siang-tê-bo̍k
雙蹄目,siang-tuê-bo̍k
副食品,hù-si̍t-phín
淘汰賽,tô-thài-sài
球迷,kiû-bê
莫斯科,bo̍k-su-kho
莫德納,moo-té-nah
彭博社,phênn-phok-siā
彭博社,phînn-phok-siā
循環杯,sûn-khuân-pue
超馬,tshiau-má
跑者,pháu-tsiá
羌仔虎,kiunn-á-hóo
黃斑部病變,n̂g-pan-pōo-pênn-piàn
黃斑部病變,n̂g-pan-pōo-pīnn-piàn
傷停補時,siong-thîng-póo-sî
搜救狗,soo-kiù-káu
搜揣,tshiau-tshuē
搜揣,tshiau-tshē
滅火器,bia̍t-hué-khì
滅火器,bia̍t-hé-khì
瑞樂沙,suī-lo̍k-sua
葡萄牙,phû-tô-gâ
路透社,lōo-thàu-siā
雷根,luî-kin
雷根,luî-kun
電鍍,tiān-tōo
水煙火車母,tsuí-ian-hué-tshia-bó
水煙火車母,tsuí-ian-hé-tshia-bú
監視器,kàm-sī-khì
彈劾,tân-hik
捕殺,póo-sat
窯烘麭,iô-hang-pháng
緩衝時間,uān-tshiong-sî-kan
豬流感,ti-liû-kám
豬流感,tu-liû-kám
輕銀集塵烌,khin-gîn-tsi̍p-tîn-hu
輕銀集塵烌,khin-gûn-tsi̍p-tîn-hu
輝瑞,hui-suī
器官衰竭,khì-kuan-sue-kia̍t
積體電路,tsik-thé-tiān-lōo
食食纖維,tsia̍h-si̍t-tshiam-uî
駭客,hái-kheh
攔閘,nuâ-tsa̍h
變異株,piàn-ī-tsu
偶像,ngóo-siōng
聖嬰現象,sìng-ing-hiān-siōng
負北極振盪,hū-pak-ki̍k-tsín-tōng
羽絨衫,ú-jiông-sann
羽絨衫,ú-liông-sann
掠夯,lia̍h-giâ
牚夯,thènn-giâ
牚夯,thìnn-giâ
軍閥,kun-hua̍t
霹靂舞,phik-li̍k-bú
閬位坐,làng-uī-tsē
蒸餾,tsing-liū
三角錐,sann-kak-tsui
空浮幼粒,khong-phû-iù-lia̍p
火燒山,hué-sio-suann
火燒山,hé-sio-suann
通貨膨脹,thong-huè-phòng-tiòng
通貨膨脹,thong-hè-phòng-tiòng
捋仔田,lua̍h-á-tshân
航線,hâng-suànn
電扶梯,tiān-hû-thui
隔暝醉,keh-mê-tsuì
隔暝醉,keh-mî-tsuì
肇事逃逸,tiāu-sū-tô-i̍k
放予爛,pàng-hōo-nuā
鑿花,tsha̍k-hue
情緒叨撚,tsîng-sū-lo-lián
三不等,sam-put-tíng
頭毛試火,thâu-mn̂g-tshì-hué
頭毛試火,thâu-mn̂g-tshì-hé
激外外,kik-guā-guā
空中對唱,khong-tiong-tuì-tshiàng
斷籬倒壁,tn̄g-lî-tó-piah
下頦觳,ē-hâi-khok
加熱薰,ka-jia̍t-hun
加熱薰,ka-lia̍t-hun
油壓剪,iû-ap-tsián
齒仔,khí-á
齒仔,gí-á
針織,tsiam-tsit
噗仔紙,phok-á-tsuá
隱形缺氧,ún-hîng-khuat-ióng
正齒,tsiànn-khí
大人齒,tuā-lâng-khí
軟轎,nńg-kiō
軟轎床,nńg-kiō-tshn̂g
傳播鍊,thuân-pò-liān
標靶藥物,piau-pé-io̍h-bu̍t
類普篩,luī-phóo-thai
鼻竇炎,phīnn-tōo-iām
埋糞埽場,tâi-pùn-sò-tiûnn
天然痘,thian-jiân-tōo
天然痘,thian-liân-tōo
