hanzi,tl,frequency,poj
點,tiám,7036,tiám
掠,lia̍h,4324,lia̍h
局,kio̍k,2245,kio̍k
番,huan,2005,hoan
箍,khoo,1764,kho͘
拖,thua,1704,thoa
列,lia̍t,1678,lia̍t
型,hîng,1100,hêng
抾,khioh,900,khioh
摃,kòng,300,kòng
捲,kńg,250,kńg
疊,tha̍h,200,tha̍h
揤,tshi̍h,150,chhi̍h
欄,nuâ,150,nôa
寄付,kià-hù,100,kià-hù
櫓,lóo,100,ló͘
遊戲,iû-hì,100,iû-hì
野球,iá-kiû,100,iá-kiû
lóo,lóo,50,ló͘
ì,ì,50,ì
埋,tâi,50,tâi
獒,ngôo,50,ngô͘
艾,hiānn,50,hiāⁿ
OK球,ok-kiû,25,ok-kiû
a-lé,a-lé,25,a-lé
a̋m-phái,a̋m-phái,25,ăm-phái
bat-tah,bat-tah,25,bat-tah
bàn-tooh,bàn-tooh,25,bàn-to͘h
bàng-gà,bàng-gà,25,bàng-gà
bá-tah,bá-tah,25,bá-tah
bé-khòng,bé-khòng,25,bé-khòng
bòo-lù,bòo-lù,25,bò͘-lù
bóo-khuh,bóo-khuh,25,bó͘-khuh
há-khih,há-khih,25,há-khih
há-muh,há-muh,25,há-muh
hí-tooh,hí-tooh,25,hí-to͘h
hò-sù,hò-sù,25,hò-sù
hóo-tok,hóo-tok,25,hó͘-tok
ió-gà,ió-gà,25,ió-gà
khah-tah,khah-tah,25,khah-tah
khai-tián,khai-tián,25,khai-tián
khia̋n-sé,khia̋n-sé,25,khiăn-sé
khiá-tsiah,khiá-tsiah,25,khiá-chiah
khà-bah,khà-bah,25,khà-bah
khà-buh,khà-buh,25,khà-buh
khóo-pih,khóo-pih,25,khó͘-pih
luī-lóo,luī-lóo,25,lūi-ló͘
lài-tooh,lài-tooh,25,lài-to͘h
làng-nah,làng-nah,25,làng-nah
lé-tooh,lé-tooh,25,lé-to͘h
lòo-kerh,lòo-kerh,25,lò͘-kerh
lòo-suh,lòo-suh,25,lò͘-suh
lóo-tìng,lóo-tìng,25,ló͘-tèng
