tl,hanzi,frequency,poj
tio̍h,著,46783,tio̍h
m̄,毋,39475,m̄
koh,閣,29890,koh
lí,你,27089,lí
hōo,予,24836,hō͘
hó,好,23707,hó
tsiū,就,21083,chiū
teh,咧,17229,teh
lāi,內,14406,lāi
ji̍t,日,14244,ji̍t
tsāi,在,14062,chāi
kang,工,12379,kang
lāu,老,11954,lāu
bē,袂,11866,bē
lí,理,11858,lí
láng,攏,11219,láng
thiann,聽,10741,thiaⁿ
tshuì,喙,9364,chhùi
hong,風,9297,hong
iánn,影,9036,iáⁿ
leh,咧,8857,leh
kah,甲,8530,kah
hái,海,8273,hái
hiān,現,6999,hiān
àm,暗,6574,àm
thong,通,6564,thong
miâ,名,6546,miâ
tshing,清,6424,chheng
í,已,5841,í
khai,開,5693,khai
suah,煞,4845,soah
tsí,子,4660,chí
tik,竹,4383,tek
sái,屎,4331,sái
tshân,田,4120,chhân
khuân,權,3973,khoân
hūn,份,3815,hūn
pn̄g,飯,3685,pn̄g
kut,骨,3660,kut
kak,角,3575,kak
sai,師,3410,sai
ti̍k,特,3397,te̍k
thôo,塗,3339,thô͘
tìn,鎮,2950,tìn
làu,落,2916,làu
sû,詞,2871,sû
tó,倒,2836,tó
uá,倚,2834,óa
pîng,爿,2834,pêng
tshuā,𤆬,2833,chhōa
suí,媠,2774,súi
kíng,景,2750,kéng
tâu,投,2494,tâu
gâu,𠢕,2377,gâu
piah,壁,2374,piah
tsiáu,鳥,2362,chiáu
kenn,經,2304,keⁿ
tān,但,2284,tān
kóo,鼓,2258,kó͘
ìn,印,2149,ìn
tsu,珠,2117,chu
a,亞,2083,a
nńg,軟,1998,nńg
tàu,鬥,1921,tàu
tshuē,揣,1852,chhōe
tsíng,整,1822,chéng
tóo,肚,1802,tó͘
iù,幼,1785,iù
phài,派,1780,phài
ta̍h,踏,1736,ta̍h
kán,簡,1691,kán
tsia,遮,1669,chia
si̍k,熟,1569,se̍k
tshî,持,1563,chhî
tshin-tshiūnn,親像,1562,chhin-chhiūⁿ
án-ne,按呢,1539,án-ne
hián,顯,1494,hián
bê,迷,1479,bê
pâi,牌,1400,pâi
kiám,減,1370,kiám
siū,壽,1350,siū
tuè,綴,1323,tòe
tè,綴,1323,tè
kuà,掛,1299,kòa
phiàn,騙,1265,phiàn
kau,溝,1206,kau
kāu,厚,1200,kāu
kiâm,鹹,1200,kiâm
pìnn,變,1154,pìⁿ
gōng,戇,1150,gōng
tsio,招,1116,chio
khǹg,囥,1062,khǹg
thiam,添,967,thiam
tshē,坐,939,chhē
huann-hí,歡喜,859,hoaⁿ-hí
siáu,痟,850,siáu
tàu,到,825,tàu
io̍k,欲,814,io̍k
tsū,聚,804,chū
sńg,耍,779,sńg
lak,落,767,lak
jî,而,757,jî
lî,而,757,lî
ping,冰,750,peng
bū,霧,750,bū
sim-kuann,心肝,732,sim-koaⁿ
gíng,研,729,géng
lâu,劉,722,lâu
sim-lāi,心內,702,sim-lāi
mài,莫,688,mài
bōng,墓,650,bōng
tshap,插,650,chhap
gán,眼,650,gán
pōng,磅,650,pōng
muê,糜,650,môe
tshó,草,622,chhó
tsiong,鍾,611,chiong
bán,挽,600,bán
tshau,操,600,chhau
phoo,鋪,600,pho͘
hia̍h,額,587,hia̍h
ûn,勻,550,ûn
pho,波,550,pho
tak,觸,550,tak
lāi,利,544,lāi
kà,較,539,kà
tsin-tsiànn,真正,529,chin-chiàⁿ
kuè-khì,過去,501,kòe-khì
âu,喉,500,âu
sûn,巡,500,sûn
tshia,捙,500,chhia
pháinn-sè,歹勢,500,pháiⁿ-sè
kán-tan,簡單,500,kán-tan
sô,趖,500,sô
tsiàu,醮,499,chiàu
kám-kak,感覺,463,kám-kak
uân,園,460,oân
khiām,儉,450,khiām
lāng,弄,450,lāng
khàu,扣,450,khàu
thuî,槌,450,thûi
tî,池,450,tî
hôo,胡,450,hô͘
thǹg,褪,450,thǹg
āu-lâi,後來,447,āu-lâi
a-bú,阿母,423,a-bú
king,弓,400,keng
puann,搬,400,poaⁿ
ò,澳,400,ò
kông,狂,400,kông
phoh,粕,400,phoh
tiānn-tiānn,定定,399,tiāⁿ-tiāⁿ
sian-senn,先生,396,sian-seⁿ
tâi-gí,台語,394,tâi-gí
lāu-su,老師,394,lāu-su
sian-sinn,先生,386,sian-siⁿ
nā-sī,若是,382,nā-sī
thinn,添,362,thiⁿ
siunn,相,357,siuⁿ
liông,量,356,liông
gî,宜,350,gî
áu,拗,350,áu
sńg,損,350,sńg
suāinn,檨,350,soāiⁿ
sip,溼,350,sip
suī,瑞,350,sūi
liâu,療,350,liâu
la̍p,納,350,la̍p
koo,菇,350,ko͘
tsāi,豸,350,chāi
hiau,僥,300,hiau
tsiàm,占,300,chiàm
luí,壘,300,lúi
khong,康,300,khong
tsû,慈,300,chû
íng,湧,300,éng
khut,窟,300,khut
si̍t,翼,300,si̍t
bông,雺,300,bông
lāu-bú,老母,296,lāu-bú
kí,紀,295,kí
a-má,阿媽,286,a-má
ji̍t-tsí,日子,271,ji̍t-chí
phah-sǹg,拍算,266,phah-sǹg
hiann-tī,兄弟,265,hiaⁿ-tī
a-pa,阿爸,265,a-pa
pe̍h-uē-jī,白話字,262,pe̍h-ōe-jī
līng-guā,另外,252,lēng-gōa
sut,捽,250,sut
liap,攝,250,liap
tsiánn,汫,250,chiáⁿ
khó,洘,250,khó
phun,潘,250,phun
tâm,澹,250,tâm
hu,烌,250,hu
pān,範,250,pān
khiû,虯,250,khiû
ham,蚶,250,ham
thuh,黜,250,thuh
sîng,乘,228,sêng
tō-lí,道理,212,tō-lí
kòo-sū,故事,205,kò͘-sū
the,䖙,200,the
giâ,夯,200,giâ
tūn,屯,200,tūn
iā,掖,200,iā
tshuah,掣,200,chhoah
khiú,搝,200,khiú
siàn,搧,200,siàn
lám,攬,200,lám
tháu,敨,200,tháu
î,於,200,î
tsú,梓,200,chú
hâm,涵,200,hâm
hang,烘,200,hang
kha̍p,磕,200,kha̍p
lâng,膿,200,lâng
ìm,蔭,200,ìm
giô,蟯,200,giô
bih,覕,200,bih
tsiān,賤,200,chiān
tiô,趒,200,tiô
khiâ,騎,200,khiâ
khau,鬮,200,khau
jî-tshiánn,而且,199,jî-chhiáⁿ
tiong-kan,中間,198,tiong-kan
sin-senn,先生,198,sin-seⁿ
tâi-gú,台語,197,tâi-gú
lé-pài,禮拜,193,lé-pài
thâu-tsîng,頭前,186,thâu-chêng
ge̍h-niû,月娘,185,ge̍h-niû
gue̍h-niû,月娘,185,goe̍h-niû
siū-khì,受氣,174,siū-khì
tshut-guā,出外,172,chhut-gōa
tâi-uân-lâng,台灣人,169,tâi-oân-lâng
pak-tóo,腹肚,164,pak-tó͘
peh,百,162,peh
tiong-kok,中國,152,tiong-kok
hiong,兇,150,hiong
ki,吱,150,ki
khòng,壙,150,khòng
tshe,妻,150,chhe
hàinn,幌,150,hàiⁿ
phôo,扶,150,phô͘
am,掩,150,am
tshiám,攕,150,chhiám
thuann,攤,150,thoaⁿ
thuā,汰,150,thōa
iû,游,150,iû
lông,濃,150,lông
tsuànn,炸,150,chòaⁿ
