tl,hanzi,frequency,poj,tl_num,poj_num
tio̍h,著,46783,tio̍h,tioh8,tioh8
m̄,毋,39475,m̄,m7,m7
koh,閣,29890,koh,koh4,koh4
lí,你,27089,lí,li2,li2
hōo,予,24836,hō͘,hoo7,hoo7
hó,好,23707,hó,ho2,ho2
tsiū,就,21083,chiū,tsiu7,chiu7
teh,咧,17229,teh,teh4,teh4
lāi,內,14406,lāi,lai7,lai7
ji̍t,日,14244,ji̍t,jit8,jit8
tsāi,在,14062,chāi,tsai7,chai7
kang,工,12379,kang,kang1,kang1
lāu,老,11954,lāu,lau7,lau7
bē,袂,11866,bē,be7,be7
lí,理,11858,lí,li2,li2
láng,攏,11219,láng,lang2,lang2
thiann,聽,10741,thiaⁿ,thiann1,thiann1
tshuì,喙,9364,chhùi,tshui3,chhui3
hong,風,9297,hong,hong1,hong1
iánn,影,9036,iáⁿ,iann2,iann2
leh,咧,8857,leh,leh4,leh4
kah,甲,8530,kah,kah4,kah4
hái,海,8273,hái,hai2,hai2
hiān,現,6999,hiān,hian7,hian7
àm,暗,6574,àm,am3,am3
thong,通,6564,thong,thong1,thong1
miâ,名,6546,miâ,mia5,mia5
tshing,清,6424,chheng,tshing1,chheng1
í,已,5841,í,i2,i2
khai,開,5693,khai,khai1,khai1
suah,煞,4845,soah,suah4,soah4
tsí,子,4660,chí,tsi2,chi2
tik,竹,4383,tek,tik4,tek4
sái,屎,4331,sái,sai2,sai2
tshân,田,4120,chhân,tshan5,chhan5
khuân,權,3973,khoân,khuan5,khoan5
hūn,份,3815,hūn,hun7,hun7
pn̄g,飯,3685,pn̄g,png7,png7
kut,骨,3660,kut,kut4,kut4
kak,角,3575,kak,kak4,kak4
sai,師,3410,sai,sai1,sai1
ti̍k,特,3397,te̍k,tik8,tek8
thôo,塗,3339,thô͘,thoo5,thoo5
tìn,鎮,2950,tìn,tin3,tin3
làu,落,2916,làu,lau3,lau3
sû,詞,2871,sû,su5,su5
tó,倒,2836,tó,to2,to2
uá,倚,2834,óa,ua2,oa2
pîng,爿,2834,pêng,ping5,peng5
tshuā,𤆬,2833,chhōa,tshua7,chhoa7
suí,媠,2774,súi,sui2,sui2
kíng,景,2750,kéng,king2,keng2
tâu,投,2494,tâu,tau5,tau5
gâu,𠢕,2377,gâu,gau5,gau5
piah,壁,2374,piah,piah4,piah4
tsiáu,鳥,2362,chiáu,tsiau2,chiau2
kenn,經,2304,keⁿ,kenn1,kenn1
tān,但,2284,tān,tan7,tan7
kóo,鼓,2258,kó͘,koo2,koo2
ìn,印,2149,ìn,in3,in3
tsu,珠,2117,chu,tsu1,chu1
a,亞,2083,a,a1,a1
nńg,軟,1998,nńg,nng2,nng2
tàu,鬥,1921,tàu,tau3,tau3
tshuē,揣,1852,chhōe,tshue7,chhoe7
tsíng,整,1822,chéng,tsing2,cheng2
tóo,肚,1802,tó͘,too2,too2
iù,幼,1785,iù,iu3,iu3
phài,派,1780,phài,phai3,phai3
ta̍h,踏,1736,ta̍h,tah8,tah8
kán,簡,1691,kán,kan2,kan2
tsia,遮,1669,chia,tsia1,chia1
si̍k,熟,1569,se̍k,sik8,sek8
tshî,持,1563,chhî,tshi5,chhi5
hián,顯,1494,hián,hian2,hian2
bê,迷,1479,bê,be5,be5
pâi,牌,1400,pâi,pai5,pai5
kiám,減,1370,kiám,kiam2,kiam2
siū,壽,1350,siū,siu7,siu7
tuè,綴,1323,tòe,tue3,toe3
tè,綴,1323,tè,te3,te3
kuà,掛,1299,kòa,kua3,koa3
phiàn,騙,1265,phiàn,phian3,phian3
kau,溝,1206,kau,kau1,kau1
kāu,厚,1200,kāu,kau7,kau7
