tl,hanzi
Giâ-kang-tsháu,蜈蚣草
Tó-té-giâ-kang,倒地蜈蚣
Tó-kî-lîn,倒麒麟
Tuē-giâ-kang,地蜈蚣
Kè-lo-giâ-kang,過路蜈蚣
Pit-tâng-tshiū,筆筒樹
Kuàn-tsiòng,貫眾
Kut-tshuì-pòo,骨碎補
Káu-tsit,狗脊
Lîng-lân-tsháu,龍麟草
Hōng-bé-tsháu,鳳尾草
Suann-neh-kiau,山蕨猫
Hong-put-tōng,風不動
Tshiū-lîng,樹龍
Tsio̍h-kiàm,石劍
Bé-bé-si,馬尾絲
Hōng-bé-tsháu,鳳尾草
Keh-niau,蕨猫
Ké-kau-tshái,過溝菜
Suann-ti-á-lān-hu̍t,山猪仔？核
Thóo-tshuan-nî,土川連
Hōng-bé-pit,鳳尾筆
Bé-bé-si,馬尾絲
Ah-kha-pê,鴨腳筢
Ah-tuê-tsháu,鴨蹄草
Kim-tsio̍h-uí,金石韋
Keh-niau-tsháu,蕨猫草
Hōng-bé-tsháu,鳳尾草
Tsínn-pinn-tsháu,井邊草
Tsuí-khûn-tshái,水芹菜
Mng-á,？仔
Tiann-tshe-tîn,鼎炊藤
Tin-tiong-pit,珍中筆
Hōng-bé-tsháu,鳳尾草
Tiann-tshuè-tîn,鼎刷藤
Sì-hio̍h-tshài,四葉菜
Tsuí-iâm-sng,水鹽酸
Khu-phiô,丘萍
Bo̍k-tsi̍k-tsháu,木賊草
Tsiap-kut-tang,接骨筒
Tsiap-kut-tsháu,接骨草
Niau-kong-tshi,貓公刺
Thih-kut-mn̂g,鐵骨毛
Lo̍k-jiông-tshàu,鹿茸草
Kim-put-huàn,金不換
Tshit-tshùn-kim,七寸金
Kńg-peh,卷柏
Lîng-lân-tsháu,龍麟草
Kńg-peh,卷柏
Bān-liân-siông,萬年松
Soo-thih,蘇鐵
Âng-sam,紅杉
Suann-sam,山杉
Pah-jit-tshinn,百日青
Tik-peh,竹柏
Pah-jit-tshinn,百日青
Thóo-sam,土杉
Pe̍h-tshîng-peh,白松柏
Tōo,杜
Iû-sam,油杉
Pe̍h-tshîng-peh,白松柏
Siông-lô-tōo,松蘿杜
Tshîng,松
Âng-tshîng-peh,紅松柏
Tshîng-peh,松柏
Tshîng-peh,松柏
Pat-tiōng-san-tshîng-peh,八重山松柏
Tshîng-peh,松柏
Siông-lô,松蘿
Siông-lô,松蘿
Tshîng-peh,松柏
Tshîng-peh,松柏
Iû-tshîng,油杉
Sam,杉
Tuā-tiam-ú-sam,大點雨杉
Sam,杉
Kóng-hio̍h-sam,廣葉杉
Sam-á,杉仔
Hok-tsiu-sam,福州杉
Hiunn-sam,香杉
Oo-sam,烏杉
Un-tsiu-sam,溫州杉
A-sam,亞杉
Siông-lô,松蘿
Po̍h-phê,薄皮
Siông-lô,松蘿
Siông-ngôo,松梧
Kāu-khak,厚殼
Siông-lô,松蘿
Siông-ngôo,松梧
Siau-lâm,肖楠
N̂g-bah-tshiū,黃肉樹
Tshik-peh,側柏
Tsuí-tsik,水燭
Suann-nâ-tâu,山林投
Nâ-tâu,林投
Suè-pún-ka-tsua̍h-si̍t,細本蟉？翼
Ka-tsua̍h-si̍t,蟉？翼
Tsuí-ōo,水芋
Tsu̍t-bí-tsháu,秫米草
Si-suànn-tsháu,絲線草
Tsìnn-tik-á,矢竹仔
Tsìnn-tik,箭竹
Lôo-tik,蘆竹
Tsuí-lôo-tik,水蘆竹
Tn̂g-ki-á-tik,長枝仔竹
Kak-á-tik,桷仔竹
Tn̂g-ki-á,長枝仔
Hé-kn̂g-tik,火管竹
Kuan-im-tik,觀音竹
Hōng-bé-tik,鳳尾竹
Lik-tik,綠竹
Tsinn-tik,矢竹
Kuan-im-tik,觀音竹
Tshì-tik,刺竹
Sué-á,黍仔
Tâi-á,檯仔
Sué-á,黍仔
Kim-káu-á-mn̂g,金狗仔毛
Káu-bé-tsháu,狗尾草
Ah-bú-tsu,鴨母珠
Hiang-hm̂,香茅
Muâ-tik,蔴竹
Phuē,稗
Suann-âng-be̍h,山紅麥
Lîng-jiáu-sik,龍爪稷、龍爪粟
Hî-liu-tsháu,魚鰌草
Gû-tùn-tsháu,牛頓草
Bān-kun-tsháu,萬斤草
Huan-sué,蕃黍
Sué-á,黍仔
Lōo-sué,蘆黍
Tuā-be̍h,大麥
Hm̂-tsháu,茅草
Hm̂-á-tsháu,茅仔草
Hm̂-á,茅仔
Tshuan-san-liông,穿山龍
Tām-tik,淡竹
Suan-á,萱仔
Suan-á,萱仔
Kuann-bâng,菅芒
Tsu̍t-bí-tsháu,𥟇米草
Tiū-á,稻仔
Poo-tiū,埔稻
Ah-kha-sué,鴨腳黍
N̂g-sik,黃粟
Sué-á,黍仔
Tuā-hong-tsháu,大風草
Hong-thai-tsháu,風颱草
Jîn-biān-tik,人面竹
Tsio̍h-tik-á,石竹仔
Tsio̍h-tik,石竹
Kiō-kǹg-tik,轎槓竹
Kuì-tik-á,桂竹仔
Kuì-tik,桂竹
Oo-tik-á,烏竹仔
Bâ-lî-tik,茅茹竹
Bēng-tsong-tik,孟宗竹
Pit-á-tsháu,筆仔草
Âng-mn̂g-tsháu,紅毛草
Tē-lōo-giâ-kang,地路蜈蚣
Kam-tsià,甘蔗
La̍h-tshì,臘刺
Gû-tùn-tsháu,牛頓草
Mn̂g-huē-tsháu,磅蟹草
Be̍h-á,麥仔
Sió-be̍h,小麥
Huan-be̍h,蕃麥
Kha-pe̍h-sún,腳白筍
Ka-pe̍h-sún,茭白筍
Thôo-hiunn,土香
Tsuí-ting-sim-tsháu,水燈心草
Bé-tsî,碼薯
Sat-pìn-tsháu,虱篦草
Pe̍h-hiong-hù,白香附
Bô-thâu-hiunn,無頭香
Bô-thâu-thôo-hiunn,無頭土香
Tshio̍h-tsháu,蓆草
Pin-nn̂g,檳榔
Tshinn-á,菁仔
Suann-tsang,山棕
Tsuí-tîn,水籐
N̂g-tîn,黃籐
Tîn,藤
Iâ-phiô,椰瓢
Pôo-kuî,蒲葵
Khong-lông,糠榔
Kong-lông,桄榔
Kuan-im-tik,觀音竹
Liû-kiû-tik,琉球竹
Kun-thâu-tik,筋頭竹
Tsang,棕
Tshong-pô,菖蒲
Tsio̍h-tshiong-pô,石菖蒲
Tsio̍h-tshiong-pôo,石菖蒲
Ko-pô-ōo,姑婆芋
Luî-kong-tshìng,雷公銃
Thian-lâm-sing,天南星
Ōo-á,芋仔
Phû-tsuí-liân-hue,浮水蓮花
Tuā-phiô,大萍
Thóo-puàn-hā,土半夏
Ìng-tshài-hông,甕菜黃
Puàn-hā,半夏
Tshinn-puàn-hā,生半夏、青半夏
Âng-phiô,紅萍
Tshinn-phiô,青萍
Thái-ko-phiô,癲？萍
Tsuí-piàn-tē-gím,水遍地錦
Tsuí-piàn-tē-gím,水遍地錦
Tsuí-phiô,水萍
Tîn-tik-á,籐竹仔
Kok-tsing,穀精、谷精
Ōng-lâi,𦬬萊
Pe̍h-tik-á-tshài,白竹仔菜
Tik-á-hio̍h,竹仔葉
Tik-á-tshài,竹仔菜
Âng-tik-á-tshài,紅竹仔菜
Tik-á-tshài,竹仔菜
Âng-sam-tshit-tsháu,紅三七草
Tuā-tsuí-phiô,大水萍
Tinn-tshài,甜菜
Ah-tsi̍h-tsháu,鴨舌草
Tshân-ōo-á,田芋仔
Ting-sim-tsháu,燈心草
Lōo-giō,蕗蕎
Tshang-thâu,葱頭
Tshang-á,葱仔
Tuā-thâu-tshang,大頭葱
Bi̍k-tshong,麥葱
Kú-tshài,韮菜
Suàn-á,蒜仔
Suàn-á,蒜仔
Lôo-hē,蘆薈
Thian-bûn-tong,天門冬
Suann-kuann-lân,山菅蘭
Kim-tsiam-tshài,金針菜
Kim-tsiam,金占、金針
Pe̍h-pi-sián,白萆蘚
Thóo-ho̍k,土茯
Suann-suàn-thâu,山蒜頭
Sai-kong-giang,師公銒
Bi̍k-bûn-tong,麥門冬
Tshit-hio̍h-liân,七葉蓮
Tshinn-ba̍k-hiunn,青木香
Tshit-hōo-liân,七厚蓮
Huan-á-nâ-tâu,蕃仔林投
Hóo-bé-lân,虎尾蘭
Hāu-khak-tshì,鱟壳刺
Hāu-khak-tîn,鱟壳藤
Thóo-ho̍k-lîng,土茯苓
Suann-bé-tsî,山碼薯
Âng-tik,紅竹
Kuan-im-tik,觀音竹
Suann-suàn-thâu,山蒜頭
Bûn-tsu-lân,文珠蘭
Tsuí-sian-hue,水仙花
Ge̍h-lâi-hiong,月來香
Tshân-tsû,田薯
Tshân-tsû,田薯
Suann-io̍k-tsû,山藥薯
Tshân-tshinn,田菁
Tsû-nn̂g,薯榔
Peh-tsû-nn̂g,白薯榔
Siā-kan,射干
Âng-bé-ia̍h-hue,紅尾蝶花
Bé-ia̍h-hue,尾蝶花
Pe̍h-bé-ia̍h-hue,白尾蝶花
Hun-tsio,粉蕉
Suann-king-tsio,山芎蕉
Bo̍k-kua-king-tsio,木瓜芎蕉
King-tsio,芎蕉
Pak-tsio,北蕉
Tshinn-kiunn,生姜
Kiunn-n̂g,薑黃、姜黃
Kiunn-n̂g,薑黃
Suann-nai,山奈
Lâm-kiunn,南薑、南姜
Ge̍h-thô,月桃
Kiunn,薑
Tshinn-kiunn,生姜
Liân-tsiau-hue,蓮蕉花
Liân-tsiau-hue,蓮蕉花
Kim-sún,金筍
Kim-suànn-liân,金線蓮
Tshiū-tsháu-liân,樹草蓮
Tsiáu-á-hue,鳥仔花
Sò-sim,素心
Sò-sim-kuann-lân,素心菅蘭
It-tiám-hông,一點紅
Bo̍k-ha̍k,木斛
Bo̍k-ha̍k,木斛
Kim-tsio̍h-ha̍k,金石斛
Tsiap-kut-tsháu,接骨草
Ôo-tia̍p-lân,蝴蝶蘭
Ia̍h-lân,蝶蘭
Bo̍k-muâ-hông,木麻黃
Tshàu-tsho-tsháu,臭臊草
Tshàu-kám-tsháu,臭敢草
Káu-lia̍p-bí,狗粒米
Tshiú-io̍h,手藥
Hî-tsho-tsháu,魚臊草
Tsuí-láu-tsháu,水荖草
Lô-tîn,蔞藤
Láu-tîn,荖藤
Láu-tîn,荖藤
