tl,hanzi
giâ-kang-tsháu,蜈蚣草
tó-té-giâ-kang,倒地蜈蚣
tó-kî-lîn,倒麒麟
tuē-giâ-kang,地蜈蚣
kè-lo-giâ-kang,過路蜈蚣
pit-tâng-tshiū,筆筒樹
kuàn-tsiòng,貫眾
kut-tshuì-pòo,骨碎補
káu-tsit,狗脊
lîng-lân-tsháu,龍麟草
hōng-bé-tsháu,鳳尾草
suann-neh-kiau,山蕨猫
hong-put-tōng,風不動
tshiū-lîng,樹龍
tsio̍h-kiàm,石劍
bé-bé-si,馬尾絲
keh-niau,蕨猫
ké-kau-tshái,過溝菜
thóo-tshuan-nî,土川連
hōng-bé-pit,鳳尾筆
ah-kha-pê,鴨腳筢
ah-tuê-tsháu,鴨蹄草
kim-tsio̍h-uí,金石韋
keh-niau-tsháu,蕨猫草
tsínn-pinn-tsháu,井邊草
tsuí-khûn-tshái,水芹菜
tiann-tshe-tîn,鼎炊藤
tin-tiong-pit,珍中筆
tiann-tshuè-tîn,鼎刷藤
sì-hio̍h-tshài,四葉菜
tsuí-iâm-sng,水鹽酸
khu-phiô,丘萍
bo̍k-tsi̍k-tsháu,木賊草
tsiap-kut-tang,接骨筒
tsiap-kut-tsháu,接骨草
niau-kong-tshi,貓公刺
thih-kut-mn̂g,鐵骨毛
lo̍k-jiông-tshàu,鹿茸草
kim-put-huàn,金不換
tshit-tshùn-kim,七寸金
kńg-peh,卷柏
bān-liân-siông,萬年松
soo-thih,蘇鐵
âng-sam,紅杉
suann-sam,山杉
pah-jit-tshinn,百日青
tik-peh,竹柏
thóo-sam,土杉
pe̍h-tshîng-peh,白松柏
tōo,杜
iû-sam,油杉
siông-lô-tōo,松蘿杜
tshîng,松
âng-tshîng-peh,紅松柏
tshîng-peh,松柏
siông-lô,松蘿
iû-tshîng,油杉
sam,杉
tuā-tiam-ú-sam,大點雨杉
kóng-hio̍h-sam,廣葉杉
sam-á,杉仔
hok-tsiu-sam,福州杉
hiunn-sam,香杉
oo-sam,烏杉
un-tsiu-sam,溫州杉
a-sam,亞杉
po̍h-phê,薄皮
siông-ngôo,松梧
kāu-khak,厚殼
siau-lâm,肖楠
n̂g-bah-tshiū,黃肉樹
tshik-peh,側柏
tsuí-tsik,水燭
suann-nâ-tâu,山林投
nâ-tâu,林投
tsuí-ōo,水芋
tsu̍t-bí-tsháu,秫米草
si-suànn-tsháu,絲線草
tsìnn-tik-á,矢竹仔
tsìnn-tik,箭竹
lôo-tik,蘆竹
tsuí-lôo-tik,水蘆竹
tn̂g-ki-á-tik,長枝仔竹
kak-á-tik,桷仔竹
tn̂g-ki-á,長枝仔
hé-kn̂g-tik,火管竹
kuan-im-tik,觀音竹
hōng-bé-tik,鳳尾竹
lik-tik,綠竹
tsinn-tik,矢竹
tshì-tik,刺竹
sué-á,黍仔
tâi-á,檯仔
kim-káu-á-mn̂g,金狗仔毛
káu-bé-tsháu,狗尾草
ah-bú-tsu,鴨母珠
hiang-hm̂,香茅
muâ-tik,蔴竹
phuē,稗
suann-âng-be̍h,山紅麥
hî-liu-tsháu,魚鰌草
gû-tùn-tsháu,牛頓草
bān-kun-tsháu,萬斤草
huan-sué,蕃黍
lōo-sué,蘆黍
tuā-be̍h,大麥
hm̂-tsháu,茅草
hm̂-á-tsháu,茅仔草
hm̂-á,茅仔
tshuan-san-liông,穿山龍
tām-tik,淡竹
suan-á,萱仔
kuann-bâng,菅芒
tsu̍t-bí-tsháu,𥟇米草
tiū-á,稻仔
poo-tiū,埔稻
ah-kha-sué,鴨腳黍
n̂g-sik,黃粟
tuā-hong-tsháu,大風草
hong-thai-tsháu,風颱草
jîn-biān-tik,人面竹
tsio̍h-tik-á,石竹仔
tsio̍h-tik,石竹
kiō-kǹg-tik,轎槓竹
kuì-tik-á,桂竹仔
kuì-tik,桂竹
oo-tik-á,烏竹仔
bâ-lî-tik,茅茹竹
bēng-tsong-tik,孟宗竹
pit-á-tsháu,筆仔草
âng-mn̂g-tsháu,紅毛草
tē-lōo-giâ-kang,地路蜈蚣
kam-tsià,甘蔗
la̍h-tshì,臘刺
mn̂g-huē-tsháu,磅蟹草
be̍h-á,麥仔
sió-be̍h,小麥
huan-be̍h,蕃麥
kha-pe̍h-sún,腳白筍
ka-pe̍h-sún,茭白筍
thôo-hiunn,土香
tsuí-ting-sim-tsháu,水燈心草
bé-tsî,碼薯
sat-pìn-tsháu,虱篦草
pe̍h-hiong-hù,白香附
bô-thâu-hiunn,無頭香
bô-thâu-thôo-hiunn,無頭土香
tshio̍h-tsháu,蓆草
pin-nn̂g,檳榔
tshinn-á,菁仔
suann-tsang,山棕
tsuí-tîn,水籐
n̂g-tîn,黃籐
tîn,藤
iâ-phiô,椰瓢
pôo-kuî,蒲葵
khong-lông,糠榔
kong-lông,桄榔
liû-kiû-tik,琉球竹
kun-thâu-tik,筋頭竹
tsang,棕
tshong-pô,菖蒲
tsio̍h-tshiong-pô,石菖蒲
tsio̍h-tshiong-pôo,石菖蒲
ko-pô-ōo,姑婆芋
luî-kong-tshìng,雷公銃
thian-lâm-sing,天南星
ōo-á,芋仔
phû-tsuí-liân-hue,浮水蓮花
tuā-phiô,大萍
thóo-puàn-hā,土半夏
ìng-tshài-hông,甕菜黃
puàn-hā,半夏
âng-phiô,紅萍
tshinn-phiô,青萍
tsuí-piàn-tē-gím,水遍地錦
tsuí-phiô,水萍
tîn-tik-á,籐竹仔
ōng-lâi,𦬬萊
pe̍h-tik-á-tshài,白竹仔菜
tik-á-hio̍h,竹仔葉
tik-á-tshài,竹仔菜
âng-tik-á-tshài,紅竹仔菜
âng-sam-tshit-tsháu,紅三七草
tuā-tsuí-phiô,大水萍
tinn-tshài,甜菜
ah-tsi̍h-tsháu,鴨舌草
tshân-ōo-á,田芋仔
ting-sim-tsháu,燈心草
lōo-giō,蕗蕎
tshang-thâu,葱頭
tshang-á,葱仔
tuā-thâu-tshang,大頭葱
bi̍k-tshong,麥葱
kú-tshài,韮菜
suàn-á,蒜仔
lôo-hē,蘆薈
thian-bûn-tong,天門冬
suann-kuann-lân,山菅蘭
kim-tsiam-tshài,金針菜
pe̍h-pi-sián,白萆蘚
thóo-ho̍k,土茯
suann-suàn-thâu,山蒜頭
sai-kong-giang,師公銒
bi̍k-bûn-tong,麥門冬
tshit-hio̍h-liân,七葉蓮
tshinn-ba̍k-hiunn,青木香
tshit-hōo-liân,七厚蓮
huan-á-nâ-tâu,蕃仔林投
hóo-bé-lân,虎尾蘭
hāu-khak-tshì,鱟壳刺
hāu-khak-tîn,鱟壳藤
thóo-ho̍k-lîng,土茯苓
suann-bé-tsî,山碼薯
âng-tik,紅竹
bûn-tsu-lân,文珠蘭
tsuí-sian-hue,水仙花
ge̍h-lâi-hiong,月來香
tshân-tsû,田薯
suann-io̍k-tsû,山藥薯
tshân-tshinn,田菁
tsû-nn̂g,薯榔
peh-tsû-nn̂g,白薯榔
siā-kan,射干
âng-bé-ia̍h-hue,紅尾蝶花
bé-ia̍h-hue,尾蝶花
pe̍h-bé-ia̍h-hue,白尾蝶花
hun-tsio,粉蕉
suann-king-tsio,山芎蕉
bo̍k-kua-king-tsio,木瓜芎蕉
king-tsio,芎蕉
pak-tsio,北蕉
tshinn-kiunn,生姜
kiunn-n̂g,薑黃
suann-nai,山奈
ge̍h-thô,月桃
kiunn,薑
liân-tsiau-hue,蓮蕉花
kim-sún,金筍
kim-suànn-liân,金線蓮
tshiū-tsháu-liân,樹草蓮
tsiáu-á-hue,鳥仔花
sò-sim,素心
sò-sim-kuann-lân,素心菅蘭
it-tiám-hông,一點紅
bo̍k-ha̍k,木斛
kim-tsio̍h-ha̍k,金石斛
ôo-tia̍p-lân,蝴蝶蘭
ia̍h-lân,蝶蘭
bo̍k-muâ-hông,木麻黃
tshàu-tsho-tsháu,臭臊草
tshàu-kám-tsháu,臭敢草
káu-lia̍p-bí,狗粒米
tshiú-io̍h,手藥
hî-tsho-tsháu,魚臊草
tsuí-láu-tsháu,水荖草
lô-tîn,蔞藤
láu-tîn,荖藤
hong-tîn,風藤
tuā-hong-tîn,大風藤
tsin-hong-tîn,真風藤
huan-á-láu-hio̍h,蕃仔荖葉
ho-tsio,胡椒
sì-hio̍h-liân,四葉蓮
kue-kha-lân,鷄脚蘭
tê-lân,茶蘭
suî-liú,垂柳
tsuí-liú,水柳
tsuí-liú-á,水柳仔
tshiū-m̂,樹梅
iông-muâi,楊梅
n̂g-kí,黃𣏌
n̂g-kú,黃櫸
jîn-kí,仁𣏌
tsuí-kho-á,水柯仔
tsuí-liû-kho,水流柯
tsuí-liú-kho,水柳柯
la̍t-tsí,栗子
tshiah-káu,赤校
tshiah-liû,赤鱗
tuā-hio̍h-káu-la̍t,大葉校栗
káu-la̍t,校栗
âng-phê-kua,紅皮柯
hé-sio-kua,火燒柯
iû-hio̍h-tōo-á,油葉杜仔
tuā-hio̍h-tōo,大葉杜
tōo-á,杜仔
âng-káu-tsan,紅校櫕
káu-tsan,校櫕
tshiah-ko,赤柯
tuā-hio̍h-tōo-á,大葉杜仔
kho-á,柯仔
âng-bah-tōo,紅肉杜
pe̍h-káu-tsan,白校櫕
kho-si,柯絲
tshiah-phê-tōo-á,赤皮杜仔
lîm-lî,淋漓
tshiah-phê,赤皮
tsio̍h-tsu,石櫧
tshiah-kua,赤柯
káu-tsô,九槽
tiû-á,稠仔
mî-la̍t,棉栗
pe̍h-kue-iû,白鷄油
tsio̍h-phok,石博
tsio̍h-siap,石澁
phoh-á,粕仔
suann-iûnn-muâ,山黃麻
âng-kue-iû,紅鷄油
kue-iû,鷄油
pho-lô-bi̍t,波羅蜜
lo̍k-á-tshiū,鹿仔樹
ò-giô-tsí,愛玉子
giô-tsí,玉枳
tsí-á,枳仔
gû-lin-pông,牛乳房
sann-khak,三麴
tsiunn-linn-á,漿乳仔
lo̍k-pn̄g,鹿飯
bû-hua-kô,無花果
tuā-phànn,大冇
gû-lin-tshiū,牛乳樹
ti-bú-lin,猪母乳
pe̍h-bah-tshîng,白肉榕
bō-tsháu,磨草
khînn-piah-tîn,扲壁藤
gû-lin,牛乳
tāi-ting-hông,大丁黃
