tl,hanzi,frequency
tê,茶,3426
liân,蓮,999
kiunn,薑,400
tîn,藤,350
tōo,杜,300
sam,杉,200
tsang,棕,200
tsiunn,樟,200
tshat,漆,150
tshîng,松,100
tshîng,榕,100
pin-nn̂g,檳榔,100
phuē,稗,100
kiô,茄,100
tshài-thâu,菜頭,100
gû-lin,牛乳,50
hiānn,艾,50
hò,荷,50
sann-khak,三麴,25
khu-phiô,丘萍,25
tiong-iū,中柚,25
káu-tsô,九槽,25
kiú-kiong,九芎,25
lin-tsháu,乳草,25
lin-tîn,乳藤,25
kan-kuah,乾葛,25
a-sam,亞杉,25
jîn-kí,仁𣏌,25
hu̍t-siú,佛手,25
tshik-peh,側柏,25
pueh-kak,八角,25
phànn-khīng,冇柏,25
phànn-kuì,冇桂,25
phànn-tsiunn,冇樟,25
tshì-á,刺仔,25
tshì-keh,刺格,25
tshì-tông,刺桐,25
tshì-lâm,刺楠,25
tshì-tik,刺竹,25
tshì-kiô,刺茄,25
tshì-tsháu,刺草,25
tshì-hīng,刺莧,25
tshì-tshang,刺葱,25
tshì-soo,刺蒐,25
pak-tsio,北蕉,25
puàn-hā,半夏,25
kńg-peh,卷柏,25
kāu-khak,厚殼,25
siong-lio̍k,商陸,25
siān-po̍k,善薄,25
tshuì-tsháu,嘴草,25
phùn-seh,噴雪,25
thóo-sam,土杉,25
thóo-lâm,土楠,25
thóo-tsiunn,土樟,25
thóo-hun,土烟,25
thóo-hun,土煙,25
thóo-ho̍k,土茯,25
thôo-hiunn,土香,25
tē-ting,地丁,25
suî-liú,垂柳,25
poo-lûn,埔崙,25
poo-tiū,埔稻,25
hē-bê,夏粥,25
iā-ha̍p,夜合,25
tuā-phànn,大冇,25
tuā-tsó,大棗,25
tuā-tshinn,大菁,25
tuā-tshài,大菜,25
tuā-phiô,大萍,25
tuā-be̍h,大麥,25
thian-tsháu,天草,25
siā-kan,射干,25
sió-tshinn,小菁,25
sió-be̍h,小麥,25
suann-nai,山奈,25
suann-sam,山杉,25
suann-khīng,山柏,25
suann-khī,山柿,25
suann-lâi,山梨,25
suann-tsang,山棕,25
suann-tshîng,山榕,25
suann-tshat,山漆,25
suann-tê,山茶,25
suann-tshinn,山菁,25
suann-kiok,山菊,25
suann-muâ,山麻,25
tshuan-tshit,川七,25
pa-tau,巴豆,25
pa-tāu,巴豆,25
tshī-tshang,市葱,25
pòo-kiunn,布姜,25
siông-san,常山,25
nî-kam,年柑,25
kóng-á,廣仔,25
gōng-tshiū,戇樹,25
tshiú-io̍h,手藥,25
pat-á,扒仔,25
tánn-tsio,打招,25
buah-tsháu,抹草,25
iông-phoo,揚波,25
phang-kuì,攀桂,25
táu-iū,斗柚,25
táu-lo̍k,斗鹿,25
tsá-iū,早柚,25
bān-iū,晚柚,25
ge̍h-thô,月桃,25
bo̍k-ha̍k,木斛,25
bo̍k-kua,木瓜,25
ba̍k-lô,木羅,25
ba̍k-hiunn,木香,25
pún-tsiunn,本樟,25
pún-tshinn,本菁,25
kuann-á,杆仔,25
lí-á,李仔,25
tōo-á,杜仔,25
siông-ngôo,松梧,25
siông-lô,松蘿,25
tsí-á,枳仔,25
tsí-poo,枳枯,25
khīng-á,柏仔,25
kho-á,柯仔,25
kua-thôo,柯土,25
kho-si,柯絲,25
tshâ-ôo,柴胡,25
khī-kôo,柿糊,25
káu-la̍t,校栗,25
káu-tsan,校櫕,25
kuì-ki,桂枝,25
kuì-tik,桂竹,25
kuì-hue,桂花,25
thô-jîn,桃仁,25
thô-tik,桃竹,25
kong-lông,桄榔,25
song-tshiū,桑樹,25
tháng-kam,桶柑,25
ngôo-tông,梧桐,25
mî-la̍t,棉栗,25
tsó-á,棗仔,25
iâ-phiô,椰瓢,25
iông-muâi,楊梅,25
phng-siū,楓樹,25
lâm-á,楠仔,25
tshîng-tshiū,榕樹,25
tsiunn-gû,樟牛,25
tshiū-lân,樹蘭,25
tshiū-tāu,樹豆,25
tshiū-tshinn,樹青,25
tshiū-lîng,樹龍,25
ting-tông,橙桐,25
ting-lân,橙欄,25
tuânn-hiunn,檀香,25
tâi-á,檯仔,25
luân-tshiū,欒樹,25
lám-jîn,欖仁,25
tsí-kiong,止宮,25
tsiànn-tshîng,正榕,25
khak-tshài,殼菜,25
mô-khī,毛柿,25
kiû-lân,毬蘭,25
tsuí-kam,水柑,25
tsuí-liú,水柳,25
tsuí-tsik,水燭,25
tsuí-tîn,水籐,25
tsuí-ōo,水芋,25
tsuí-kiô,水茄,25
tsuí-tsháu,水草,25
iû-bo̍k,油木,25
iû-sam,油杉,25
iû-tshîng,油杉,25
iû-kam,油柑,25
iû-tê,油茶,25
iû-muâ,油麻,25
hái-tông,海棠,25
lîm-lî,淋漓,25
tām-tik,淡竹,25
siap-lâi,澁梨,25
siap-hio̍h,澁葉,25
ti̍k-lân,澤蘭,25
oo-sam,烏杉,25
oo-tshîng,烏榕,25
oo-tāu,烏豆,25
oo-muâ,烏麻,25
hun-tsháu,煙草,25
nuā-sim,爛心,25
gû-tsiunn,牛樟,25
giû-tshik,牛膝,25
káu-tsit,狗脊,25
bíng-tshiū,猛樹,25
to̍k-hua̍t,獨活,25
giô-tsí,玉枳,25
tinn-kiat,甜橘,25
tinn-tshài,甜菜,25
tinn-be̍h,甜麥,25
tshinn-kiunn,生姜,25
tshân-tshinn,田菁,25
tshân-tsû,田薯,25
pe̍h-á,白仔,25
pe̍h-mn̂g,白們,25
pe̍h-pû,白匏,25
pe̍h-khing,白柏,25
pe̍h-tông,白桐,25
pe̍h-muî,白梅,25
pe̍h-tshîng,白榕,25
pe̍h-tshiū,白樹,25
pe̍h-tāu,白豆,25
pe̍h-gûn,白銀,25
pe̍h-lîn,白隣,25
pe̍h-muâ,白麻,25
tsinn-tik,矢竹,25
tsio̍h-kiàm,石劍,25
tsio̍h-phok,石博,25
tsio̍h-ge̍h,石月,25
tsio̍h-tshîng,石松,25
tsio̍h-lîng,石柃,25
tsio̍h-liú,石柳,25
sia̍h-liû,石榴,25
tsio̍h-tsu,石櫧,25
tsio̍h-siap,石澁,25
tsio̍h-tik,石竹,25
tsio̍h-tsû,石薯,25
bé-tsî,碼薯,25
bō-tsháu,磨草,25
kî-gāi,祈艾,25
siù-ing,秀英,25
tshiu-lân,秋蘭,25
tiû-á,稠仔,25
tsang-bo̍k,稯木,25
tik-peh,竹柏,25
tsìnn-tik,箭竹,25
bí-tāu,米豆,25
hun-tsio,粉蕉,25
phoh-á,粕仔,25
kôo-thu,糊樗,25
khong-lông,糠榔,25
âng-sam,紅杉,25
âng-kam,紅柑,25
âng-tshâ,紅柴,25
âng-tsó,紅棗,25
âng-tām,紅淡,25
âng-tsu,紅珠,25
âng-phê,紅皮,25
âng-tik,紅竹,25
âng-phiô,紅萍,25
sò-sim,素心,25
sòo-hiunn,素香,25
tsú-tuânn,紫檀,25
sè-sin,細辛,25
si-kue,絲瓜,25
li̍k-tsiunn,綠樟,25
lik-tik,綠竹,25
eng-be̍h,罌麥,25
iûnn-tāu,羊豆,25
bah-tāu,肉豆,25
siau-lâm,肖楠,25
ho-tsio,胡椒,25
la̍h-tshì,臘刺,25
tshàu-hīng,臭杏,25
tshàu-tsiunn,臭樟,25
tshàu-kue,臭瓜,25
tsi-muâ,芝麻,25
hue-tshó,花草,25
khóo-thu,苦株,25
khóo-līng,苦楝,25
khóo-tê,苦茶,25
khóo-muâ,苦麻,25
thú-muâ,苧麻,25
bak-nī,茉莉,25
huê-hiunn,茴香,25
tê-muî,茶梅,25
tê-lân,茶蘭,25
tang-o,茼萵,25
tsháu-se,草紗,25
hò-siū,荷樹,25
kuann-bâng,菅芒,25
kak-hue,菊花,25
tshong-pô,菖蒲,25
tshài-hue,菜花,25
tshài-tāu,菜豆,25
lâi-ho̍k,萊菔,25
suan-á,萱仔,25
pián-thiok,萹蓄,25
kuah-tsû,葛薯,25
kuah-tîn,葛藤,25
pôo-kuî,蒲葵,25
tsi̍t-lê,蒺藜,25
tshio̍h-tsháu,蓆草,25
pi-muâ,蓖麻,25
thong-tshó,蓪草,25
lô-tîn,蔞藤,25
muâ-á,蔴仔,25
muâ-tik,蔴竹,25
tshì-muî,蕀梅,25
huan-kam,蕃柑,25
huan-hue,蕃花,25
huan-tshinn,蕃菁,25
huan-kiunn,蕃薑,25
huan-be̍h,蕃麥,25
huan-sué,蕃黍,25
kiô-be̍h,蕎麥,25
lōo-tîn,蕗藤,25
keh-niau,蕨猫,25
po̍h-phê,薄皮,25
po̍h-ho,薄荷,25
kiunn-n̂g,薑黃,25
tsû-táu,薯斗,25
tsû-tāu,薯豆,25
tîn-tsû,藤薯,25
io̍h-hóo,藥虎,25
lōo-sué,蘆黍,25
soo-bo̍k,蘇木,25
soo-thih,蘇鐵,25
pîn-pô,蘋婆,25
hóo-tshì,虎刺,25
tsuâ-pô,蛇婆,25
tsuâ-pho,蛇波,25
bit-iū,蜜柚,25
pián-tsiong,蝙章,25
hê-bé,蝦尾,25
ia̍h-lân,蝶蘭,25
thâng-sái,蟲屎,25
tsîm-tshài,蟳菜,25
tshâm-tāu,蠶豆,25
huih-tông,血桐,25
huih-tîn,血藤,25
kak-tshài,角菜,25
tāu-hóo,豆虎,25
kòng-á,貢仔,25
kuàn-tsiòng,貫眾,25
tshiah-ko,赤柯,25
tshiah-kua,赤柯,25
tshiah-káu,赤校,25
tshiah-iông,赤榕,25
tshiah-phê,赤皮,25
tshiah-lân,赤蘭,25
tshiah-liû,赤鱗,25
uán-tsì,遠志,25
sng-kiat,酸橘,25
sng-tìn,酸藤,25
kim-kam,金柑,25
kim-tsuánn,金盞,25
kim-sún,金筍,25
kim-ing,金英,25
kau-tîn,鈎藤,25
kau-tîn,鉤藤,25
thih-á,鐵仔,25
thih-tshiū,鐵樹,25
hông-kí,防巳,25
hông-hong,防風,25
kue-bâi,雞眉,25
seh-kam,雪柑,25
tshinn-tông,青桐,25
tshinn-png,青楓,25
tshi-siunn,青箱,25
tshinn-o,青荷,25
tshinn-phiô,青萍,25
hong-tîn,風藤,25
hong-kóo,風鼓,25
hiunn-sam,香杉,25
hiong-kó,香果,25
hiunn-kam,香柑,25
hiunn-iū,香柚,25
hiunn-kuì,香桂,25
phang-lâi,香梨,25
hiunn-lâm,香楠,25
hiunn-jû,香榆,25
hiong-iân,香櫞,25
hiunn-hû,香符,25
phang-hue,香花,25
hiong-jû,香茹,25
hiunn-tsháu,香草,25
phang-tsháu,香草,25
ko-pue,高杯,25
hî-tîn,魚藤,25
tsiáu-lâi,鳥梨,25
tsiáu-tshîng,鳥榕,25
tsiáu-tsiunn,鳥樟,25
kue-kè,鷄冠,25
kue-iû,鷄油,25
kue-bâi,鷄眉,25
iâm-pô,鹽婆,25
lo̍k-pn̄g,鹿飯,25
be̍h-á,麥仔,25
bi̍k-tshong,麥葱,25
n̂g-peh,黃柏,25
n̂g-kam,黃柑,25
n̂g-kun,黃根,25
n̂g-tsuí,黃槿,25
n̂g-kú,黃櫸,25
n̂g-phî,黃皮,25
n̂g-tîn,黃籐,25
n̂g-sik,黃粟,25
n̂g-tîn,黃藤,25
n̂g-muâ,黃麻,25
n̂g-kí,黃𣏌,25
sué-á,黍仔,25
tshú-khak,鼠麴,25
kí-thok,齒托,25
ku-hue,龜花,25
ōng-lâi,𦬬萊,25
it-ki-hiunn,一枝香,16
it-tiám-hông,一點紅,16
tshit-hōo-liân,七厚蓮,16
tshit-tshùn-kim,七寸金,16
tshit-ji̍t-n̄g,七日暈,16
tshit-lí-hiong,七星香,16
tshit-hio̍h-liân,七葉蓮,16
tshit-lí-hiong,七里香,16
sann-pán-to,三版刀,16
sann-hī-tsháu,三耳草,16
sann-kha-ting,三脚丁,16
sann-kha-pia̍t,三脚別,16
sann-kha-tiāu,三脚掉,16
sann-kha-phî,三脚皮,16
sann-kha-hóo,三脚虎,16
sann-kha-pih,三脚鼈,16
sann-kha-puà,三角破,16
sann-kha-pih,三角鼈,16
sann-pih-pí,三鼈比,16
put-liû-hîng,不留行,16
m̄-kiann-king,不驚經,16
