tl,hanzi,frequency,poj
tê,茶,3426,tê
liân,蓮,999,liân
kiunn,薑,400,kiuⁿ
tîn,藤,350,tîn
tōo,杜,300,tō͘
sam,杉,200,sam
tsang,棕,200,chang
tsiunn,樟,200,chiuⁿ
tshat,漆,150,chhat
tshîng,松,100,chhêng
tshîng,榕,100,chhêng
pin-nn̂g,檳榔,100,pin-nn̂g
phuē,稗,100,phōe
kiô,茄,100,kiô
tshài-thâu,菜頭,100,chhài-thâu
gû-lin,牛乳,50,gû-lin
hiānn,艾,50,hiāⁿ
hò,荷,50,hò
sann-khak,三麴,25,saⁿ-khak
khu-phiô,丘萍,25,khu-phiô
tiong-iū,中柚,25,tiong-iū
káu-tsô,九槽,25,káu-chô
kiú-kiong,九芎,25,kiú-kiong
lin-tsháu,乳草,25,lin-chháu
lin-tîn,乳藤,25,lin-tîn
kan-kuah,乾葛,25,kan-koah
a-sam,亞杉,25,a-sam
jîn-kí,仁𣏌,25,jîn-kí
hu̍t-siú,佛手,25,hu̍t-siú
tshik-peh,側柏,25,chhek-peh
pueh-kak,八角,25,poeh-kak
phànn-khīng,冇柏,25,phàⁿ-khēng
phànn-kuì,冇桂,25,phàⁿ-kùi
phànn-tsiunn,冇樟,25,phàⁿ-chiuⁿ
tshì-á,刺仔,25,chhì-á
tshì-keh,刺格,25,chhì-keh
tshì-tông,刺桐,25,chhì-tông
tshì-lâm,刺楠,25,chhì-lâm
tshì-tik,刺竹,25,chhì-tek
tshì-kiô,刺茄,25,chhì-kiô
tshì-tsháu,刺草,25,chhì-chháu
tshì-hīng,刺莧,25,chhì-hēng
tshì-tshang,刺葱,25,chhì-chhang
tshì-soo,刺蒐,25,chhì-so͘
pak-tsio,北蕉,25,pak-chio
puàn-hā,半夏,25,poàn-hā
kńg-peh,卷柏,25,kńg-peh
kāu-khak,厚殼,25,kāu-khak
siong-lio̍k,商陸,25,siong-lio̍k
siān-po̍k,善薄,25,siān-po̍k
tshuì-tsháu,嘴草,25,chhùi-chháu
phùn-seh,噴雪,25,phùn-seh
thóo-sam,土杉,25,thó͘-sam
