tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,sitbut,is_variant
tê,茶,3426,tê,te5,te5,te,te,,,True,False
liân,蓮,999,liân,lian5,lian5,lian,lian,,,True,False
kiunn,薑,400,kiuⁿ,kiunn1,kiunn1,kiunn,kiunn,,,True,False
tîn,藤,350,tîn,tin5,tin5,tin,tin,,,True,False
tōo,杜,300,tō͘,too7,too7,too,too,,,True,False
sam,杉,200,sam,sam1,sam1,sam,sam,,,True,False
tsang,棕,200,chang,tsang1,chang1,tsang,chang,,,True,False
tsiunn,樟,200,chiuⁿ,tsiunn1,chiunn1,tsiunn,chiunn,,,True,False
tshat,漆,150,chhat,tshat4,chhat4,tshat,chhat,,,True,False
tshîng,松,100,chhêng,tshing5,chheng5,tshing,chheng,,,True,False
tshîng,榕,100,chhêng,tshing5,chheng5,tshing,chheng,,,True,False
pin-nn̂g,檳榔,100,pin-nn̂g,pin1nng5,pin1nng5,pinnng,pinnng,pn,pn,True,False
phuē,稗,100,phōe,phue7,phoe7,phue,phoe,,,True,False
kiô,茄,100,kiô,kio5,kio5,kio,kio,,,True,False
tshài-thâu,菜頭,100,chhài-thâu,tshai3thau5,chhai3thau5,tshaithau,chhaithau,tt,ct,True,False
gû-lin,牛乳,50,gû-lin,gu5lin1,gu5lin1,gulin,gulin,gl,gl,True,True
hiānn,艾,50,hiāⁿ,hiann7,hiann7,hiann,hiann,,,True,False
hò,荷,50,hò,ho3,ho3,ho,ho,,,True,False
sann-khak,三麴,25,saⁿ-khak,sann1khak4,sann1khak4,sannkhak,sannkhak,sk,sk,True,False
khu-phiô,丘萍,25,khu-phiô,khu1phio5,khu1phio5,khuphio,khuphio,kp,kp,True,False
tiong-iū,中柚,25,tiong-iū,tiong1iu7,tiong1iu7,tiongiu,tiongiu,ti,ti,True,False
káu-tsô,九槽,25,káu-chô,kau2tso5,kau2cho5,kautso,kaucho,kt,kc,True,False
kiú-kiong,九芎,25,kiú-kiong,kiu2kiong1,kiu2kiong1,kiukiong,kiukiong,kk,kk,True,False
lin-tsháu,乳草,25,lin-chháu,lin1tshau2,lin1chhau2,lintshau,linchhau,lt,lc,True,True
lin-tîn,乳藤,25,lin-tîn,lin1tin5,lin1tin5,lintin,lintin,lt,lt,True,True
kan-kuah,乾葛,25,kan-koah,kan1kuah4,kan1koah4,kankuah,kankoah,kk,kk,True,True
a-sam,亞杉,25,a-sam,a1sam1,a1sam1,asam,asam,as,as,True,False
jîn-kí,仁𣏌,25,jîn-kí,jin5ki2,jin5ki2,jinki,jinki,jk,jk,True,False
hu̍t-siú,佛手,25,hu̍t-siú,hut8siu2,hut8siu2,hutsiu,hutsiu,hs,hs,True,False
tshik-peh,側柏,25,chhek-peh,tshik4peh4,chhek4peh4,tshikpeh,chhekpeh,tp,cp,True,False
pueh-kak,八角,25,poeh-kak,pueh4kak4,poeh4kak4,puehkak,poehkak,pk,pk,True,False
phànn-khīng,冇柏,25,phàⁿ-khēng,phann3khing7,phann3kheng7,phannkhing,phannkheng,pk,pk,True,False
phànn-kuì,冇桂,25,phàⁿ-kùi,phann3kui3,phann3kui3,phannkui,phannkui,pk,pk,True,False
phànn-tsiunn,冇樟,25,phàⁿ-chiuⁿ,phann3tsiunn1,phann3chiunn1,phanntsiunn,phannchiunn,pt,pc,True,False
tshì-á,刺仔,25,chhì-á,tshi3a2,chhi3a2,tshia,chhia,ta,ca,True,False
tshì-keh,刺格,25,chhì-keh,tshi3keh4,chhi3keh4,tshikeh,chhikeh,tk,ck,True,False
tshì-tông,刺桐,25,chhì-tông,tshi3tong5,chhi3tong5,tshitong,chhitong,tt,ct,True,False
tshì-lâm,刺楠,25,chhì-lâm,tshi3lam5,chhi3lam5,tshilam,chhilam,tl,cl,True,False
tshì-tik,刺竹,25,chhì-tek,tshi3tik4,chhi3tek4,tshitik,chhitek,tt,ct,True,False
tshì-kiô,刺茄,25,chhì-kiô,tshi3kio5,chhi3kio5,tshikio,chhikio,tk,ck,True,False
tshì-tsháu,刺草,25,chhì-chháu,tshi3tshau2,chhi3chhau2,tshitshau,chhichhau,tt,cc,True,False
tshì-hīng,刺莧,25,chhì-hēng,tshi3hing7,chhi3heng7,tshihing,chhiheng,th,ch,True,False
tshì-tshang,刺葱,25,chhì-chhang,tshi3tshang1,chhi3chhang1,tshitshang,chhichhang,tt,cc,True,False
tshì-soo,刺蒐,25,chhì-so͘,tshi3soo1,chhi3soo1,tshisoo,chhisoo,ts,cs,True,False
pak-tsio,北蕉,25,pak-chio,pak4tsio1,pak4chio1,paktsio,pakchio,pt,pc,True,False
puàn-hā,半夏,25,poàn-hā,puan3ha7,poan3ha7,puanha,poanha,ph,ph,True,False
kńg-peh,卷柏,25,kńg-peh,kng2peh4,kng2peh4,kngpeh,kngpeh,kp,kp,True,False
kāu-khak,厚殼,25,kāu-khak,kau7khak4,kau7khak4,kaukhak,kaukhak,kk,kk,True,False
siong-lio̍k,商陸,25,siong-lio̍k,siong1liok8,siong1liok8,siongliok,siongliok,sl,sl,True,False
siān-po̍k,善薄,25,siān-po̍k,sian7pok8,sian7pok8,sianpok,sianpok,sp,sp,True,False
tshuì-tsháu,嘴草,25,chhùi-chháu,tshui3tshau2,chhui3chhau2,tshuitshau,chhuichhau,tt,cc,True,True
phùn-seh,噴雪,25,phùn-seh,phun3seh4,phun3seh4,phunseh,phunseh,ps,ps,True,False
thóo-sam,土杉,25,thó͘-sam,thoo2sam1,thoo2sam1,thoosam,thoosam,ts,ts,True,False
thóo-lâm,土楠,25,thó͘-lâm,thoo2lam5,thoo2lam5,thoolam,thoolam,tl,tl,True,False
thóo-tsiunn,土樟,25,thó͘-chiuⁿ,thoo2tsiunn1,thoo2chiunn1,thootsiunn,thoochiunn,tt,tc,True,False
thóo-hun,土烟,25,thó͘-hun,thoo2hun1,thoo2hun1,thoohun,thoohun,th,th,True,False
thóo-hun,土煙,25,thó͘-hun,thoo2hun1,thoo2hun1,thoohun,thoohun,th,th,True,True
thóo-ho̍k,土茯,25,thó͘-ho̍k,thoo2hok8,thoo2hok8,thoohok,thoohok,th,th,True,False
thôo-hiunn,土香,25,thô͘-hiuⁿ,thoo5hiunn1,thoo5hiunn1,thoohiunn,thoohiunn,th,th,True,True
tē-ting,地丁,25,tē-teng,te7ting1,te7teng1,teting,teteng,tt,tt,True,False
suî-liú,垂柳,25,sûi-liú,sui5liu2,sui5liu2,suiliu,suiliu,sl,sl,True,False
poo-lûn,埔崙,25,po͘-lûn,poo1lun5,poo1lun5,poolun,poolun,pl,pl,True,False
poo-tiū,埔稻,25,po͘-tiū,poo1tiu7,poo1tiu7,pootiu,pootiu,pt,pt,True,False
hē-bê,夏粥,25,hē-bê,he7be5,he7be5,hebe,hebe,hb,hb,True,False
iā-ha̍p,夜合,25,iā-ha̍p,ia7hap8,ia7hap8,iahap,iahap,ih,ih,True,False
tuā-phànn,大冇,25,tōa-phàⁿ,tua7phann3,toa7phann3,tuaphann,toaphann,tp,tp,True,False
tuā-tsó,大棗,25,tōa-chó,tua7tso2,toa7cho2,tuatso,toacho,tt,tc,True,False
tuā-tshinn,大菁,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,tuatshinn,toachhinn,tt,tc,True,False
tuā-tshài,大菜,25,tōa-chhài,tua7tshai3,toa7chhai3,tuatshai,toachhai,tt,tc,True,False
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5,tuaphio,toaphio,tp,tp,True,False
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh,tb,tb,True,False
thian-tsháu,天草,25,thian-chháu,thian1tshau2,thian1chhau2,thiantshau,thianchhau,tt,tc,True,False
siā-kan,射干,25,siā-kan,sia7kan1,sia7kan1,siakan,siakan,sk,sk,True,False
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,siotshinn,siochhinn,st,sc,True,False
