tl,hanzi,frequency,poj
sī,是,103109,sī
i,伊,63255,i
bô,無,63119,bô
lâi,來,58294,lâi
lâng,人,52526,lâng
tio̍h,著,46783,tio̍h
kóng,講,40867,kóng
khì,去,38728,khì
guá,我,36961,góa
thâu,頭,34601,thâu
sî,時,32755,sî
tâi,台,31281,tâi
tsin,真,31026,chin
tuā,大,30086,tōa
tse,這,27958,che
khuànn,看,27720,khòaⁿ
lí,你,27089,lí
kah,佮,26700,kah
sim,心,25770,sim
tshut,出,25088,chhut
sóo,所,24281,só͘
hó,好,23707,hó
huē,會,23113,hōe
hē,會,23113,hē
tuì,對,22528,tùi
jîn,人,22442,jîn
lîn,人,22442,lîn
bûn,文,22064,bûn
gí,語,21976,gí
hit,彼,21517,hit
iú,有,21336,iú
tsiū,就,21083,chiū
kok,國,21044,kok
ài,愛,19415,ài
bīn,面,18694,bīn
tsò,做,18482,chò
tiong,中,18403,tiong
ha̍k,學,18199,ha̍k
tsuí,水,18181,chúi
lán,咱,17922,lán
kàu,到,17333,kàu
iōng,用,17269,iōng
āu,後,17177,āu
nî,年,16886,nî
uē,話,16729,ōe
khí,起,16425,khí
lōo,路,16368,lō͘
tsia̍h,食,15378,chia̍h
tsú,主,15274,chú
kàu,教,15246,kàu
tshiú,手,15155,chhiú
lāi,內,14406,lāi
ji̍t,日,14244,ji̍t
li̍t,日,14244,li̍t
tāi,代,14215,tāi
kong,公,14120,kong
tsāi,在,14062,chāi
káng,講,13931,káng
put,不,13916,put
pún,本,13828,pún
guā,外,13765,gōa
liáu,了,13495,liáu
thang,通,13239,thang
sū,事,13101,sū
uî,為,12403,ûi
kang,工,12379,kang
tshin,親,12094,chhin
ì,意,12059,ì
ke,家,11984,ke
huat,法,11954,hoat
lāu,老,11954,lāu
lí,理,11858,lí
nā,若,11582,nā
khu,區,11573,khu
guán,阮,11550,goán
mā,嘛,11524,mā
ka,家,11523,ka
bîn,民,11383,bîn
khuán,款,11269,khoán
sí,死,11257,sí
sin,身,10865,sin
suann,山,10820,soaⁿ
tshia,車,10763,chhia
