tl,hanzi,frequency,poj,tl_num,poj_num
sī,是,103109,sī,si7,si7
i,伊,63255,i,i1,i1
bô,無,63119,bô,bo5,bo5
lâi,來,58294,lâi,lai5,lai5
lâng,人,52526,lâng,lang5,lang5
tio̍h,著,46783,tio̍h,tioh8,tioh8
kóng,講,40867,kóng,kong2,kong2
khì,去,38728,khì,khi3,khi3
guá,我,36961,góa,gua2,goa2
thâu,頭,34601,thâu,thau5,thau5
sî,時,32755,sî,si5,si5
tâi,台,31281,tâi,tai5,tai5
tsin,真,31026,chin,tsin1,chin1
tuā,大,30086,tōa,tua7,toa7
tse,這,27958,che,tse1,che1
khuànn,看,27720,khòaⁿ,khuann3,khoann3
lí,你,27089,lí,li2,li2
kah,佮,26700,kah,kah4,kah4
sim,心,25770,sim,sim1,sim1
tshut,出,25088,chhut,tshut4,chhut4
sóo,所,24281,só͘,soo2,soo2
hó,好,23707,hó,ho2,ho2
huē,會,23113,hōe,hue7,hoe7
hē,會,23113,hē,he7,he7
tuì,對,22528,tùi,tui3,tui3
jîn,人,22442,jîn,jin5,jin5
lîn,人,22442,lîn,lin5,lin5
bûn,文,22064,bûn,bun5,bun5
gí,語,21976,gí,gi2,gi2
hit,彼,21517,hit,hit4,hit4
iú,有,21336,iú,iu2,iu2
tsiū,就,21083,chiū,tsiu7,chiu7
kok,國,21044,kok,kok4,kok4
ài,愛,19415,ài,ai3,ai3
bīn,面,18694,bīn,bin7,bin7
tsò,做,18482,chò,tso3,cho3
tiong,中,18403,tiong,tiong1,tiong1
ha̍k,學,18199,ha̍k,hak8,hak8
tsuí,水,18181,chúi,tsui2,chui2
lán,咱,17922,lán,lan2,lan2
kàu,到,17333,kàu,kau3,kau3
iōng,用,17269,iōng,iong7,iong7
āu,後,17177,āu,au7,au7
nî,年,16886,nî,ni5,ni5
uē,話,16729,ōe,ue7,oe7
khí,起,16425,khí,khi2,khi2
lōo,路,16368,lō͘,loo7,loo7
tsia̍h,食,15378,chia̍h,tsiah8,chiah8
tsú,主,15274,chú,tsu2,chu2
kàu,教,15246,kàu,kau3,kau3
tshiú,手,15155,chhiú,tshiu2,chhiu2
lāi,內,14406,lāi,lai7,lai7
ji̍t,日,14244,ji̍t,jit8,jit8
li̍t,日,14244,li̍t,lit8,lit8
tāi,代,14215,tāi,tai7,tai7
kong,公,14120,kong,kong1,kong1
tsāi,在,14062,chāi,tsai7,chai7
káng,講,13931,káng,kang2,kang2
put,不,13916,put,put4,put4
pún,本,13828,pún,pun2,pun2
guā,外,13765,gōa,gua7,goa7
liáu,了,13495,liáu,liau2,liau2
thang,通,13239,thang,thang1,thang1
sū,事,13101,sū,su7,su7
uî,為,12403,ûi,ui5,ui5
kang,工,12379,kang,kang1,kang1
tshin,親,12094,chhin,tshin1,chhin1
ì,意,12059,ì,i3,i3
ke,家,11984,ke,ke1,ke1
huat,法,11954,hoat,huat4,hoat4
lāu,老,11954,lāu,lau7,lau7
lí,理,11858,lí,li2,li2
nā,若,11582,nā,na7,na7
khu,區,11573,khu,khu1,khu1
guán,阮,11550,goán,guan2,goan2
mā,嘛,11524,mā,ma7,ma7
ka,家,11523,ka,ka1,ka1
bîn,民,11383,bîn,bin5,bin5
khuán,款,11269,khoán,khuan2,khoan2
sí,死,11257,sí,si2,si2
sin,身,10865,sin,sin1,sin1
suann,山,10820,soaⁿ,suann1,soann1
tshia,車,10763,chhia,tshia1,chhia1
thiann,聽,10741,thiaⁿ,thiann1,thiann1
án,俺,10635,án,an2,an2
hiong,鄉,10443,hiong,hiong1,hiong1
kuè,過,10205,kòe,kue3,koe3
siann,聲,10175,siaⁿ,siann1,siann1
sin,新,10069,sin,sin1,sin1
uan,灣,9981,oan,uan1,oan1
ba̍k,目,9818,ba̍k,bak8,bak8
khui,開,9713,khui,khui1,khui1
sing,生,9626,seng,sing1,seng1
tsit,這,9622,chit,tsit4,chit4
si̍t,實,9621,si̍t,sit8,sit8
hong,風,9297,hong,hong1,hong1
kám,感,9228,kám,kam2,kam2
pe̍h,白,9226,pe̍h,peh8,peh8
king,經,9218,keng,king1,keng1
jī,字,9159,jī,ji7,ji7
lī,字,9159,lī,li7,li7
huat,發,9126,hoat,huat4,hoat4
kim,金,9080,kim,kim1,kim1
iánn,影,9036,iáⁿ,iann2,iann2
bóo,某,9022,bó͘,boo2,boo2
tshù,厝,8959,chhù,tshu3,chhu3
iáu,猶,8915,iáu,iau2,iau2
tsóng,總,8896,chóng,tsong2,chong2
tsai,知,8879,chai,tsai1,chai1
tíng,頂,8873,téng,ting2,teng2
oo,烏,8830,o͘,oo1,oo1
khì,氣,8829,khì,khi3,khi3
tē,地,8822,tē,te7,te7
tōng,動,8786,tōng,tong7,tong7
sîn,神,8753,sîn,sin5,sin5
lo̍h,落,8749,lo̍h,loh8,loh8
nih,呢,8729,nih,nih4,nih4
sió,小,8653,sió,sio2,sio2
huà,化,8649,hòa,hua3,hoa3
hun,分,8581,hun,hun1,hun1
tsū,自,8553,chū,tsu7,chu7
im,音,8544,im,im1,im1
kah,甲,8530,kah,kah4,kah4
senn,生,8389,seⁿ,senn1,senn1
tsînn,錢,8339,chîⁿ,tsinn5,chinn5
hái,海,8273,hái,hai2,hai2
ē,會,8235,ē,e7,e7
tng,當,8208,tng,tng1,tng1
bîng,明,8206,bêng,bing5,beng5
siánn,啥,8104,siáⁿ,siann2,siann2
siá,寫,7896,siá,sia2,sia2
