tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
sī,是,103109,sī,si7,si7,si,si,,,True
i,伊,63255,i,i1,i1,i,i,,,True
bô,無,63119,bô,bo5,bo5,bo,bo,,,True
lâi,來,58294,lâi,lai5,lai5,lai,lai,,,True
lâng,人,52526,lâng,lang5,lang5,lang,lang,,,True
tio̍h,著,46783,tio̍h,tioh8,tioh8,tioh,tioh,,,True
kóng,講,40867,kóng,kong2,kong2,kong,kong,,,True
khì,去,38728,khì,khi3,khi3,khi,khi,,,True
guá,我,36961,góa,gua2,goa2,gua,goa,,,True
thâu,頭,34601,thâu,thau5,thau5,thau,thau,,,True
sî,時,32755,sî,si5,si5,si,si,,,True
tâi,台,31281,tâi,tai5,tai5,tai,tai,,,True
tsin,真,31026,chin,tsin1,chin1,tsin,chin,,,True
tuā,大,30086,tōa,tua7,toa7,tua,toa,,,True
tse,這,27958,che,tse1,che1,tse,che,,,True
khuànn,看,27720,khòaⁿ,khuann3,khoann3,khuann,khoann,,,True
lí,你,27089,lí,li2,li2,li,li,,,True
kah,佮,26700,kah,kah1,kah1,kah,kah,,,True
sim,心,25770,sim,sim1,sim1,sim,sim,,,True
tshut,出,25088,chhut,tshut1,chhut1,tshut,chhut,,,True
sóo,所,24281,só͘,soo2,soo2,soo,soo,,,True
hó,好,23707,hó,ho2,ho2,ho,ho,,,True
huē,會,23113,hōe,hue7,hoe7,hue,hoe,,,True
hē,會,23113,hē,he7,he7,he,he,,,True
tuì,對,22528,tùi,tui3,tui3,tui,tui,,,True
jîn,人,22442,jîn,jin5,jin5,jin,jin,,,True
lîn,人,22442,lîn,lin5,lin5,lin,lin,,,True
bûn,文,22064,bûn,bun5,bun5,bun,bun,,,True
gí,語,21976,gí,gi2,gi2,gi,gi,,,True
hit,彼,21517,hit,hit1,hit1,hit,hit,,,True
iú,有,21336,iú,iu2,iu2,iu,iu,,,True
tsiū,就,21083,chiū,tsiu7,chiu7,tsiu,chiu,,,True
kok,國,21044,kok,kok1,kok1,kok,kok,,,True
ài,愛,19415,ài,ai3,ai3,ai,ai,,,True
bīn,面,18694,bīn,bin7,bin7,bin,bin,,,True
tsò,做,18482,chò,tso3,cho3,tso,cho,,,True
tiong,中,18403,tiong,tiong1,tiong1,tiong,tiong,,,True
ha̍k,學,18199,ha̍k,hak8,hak8,hak,hak,,,True
tsuí,水,18181,chúi,tsui2,chui2,tsui,chui,,,True
lán,咱,17922,lán,lan2,lan2,lan,lan,,,True
kàu,到,17333,kàu,kau3,kau3,kau,kau,,,True
iōng,用,17269,iōng,iong7,iong7,iong,iong,,,True
āu,後,17177,āu,au7,au7,au,au,,,True
nî,年,16886,nî,ni5,ni5,ni,ni,,,True
uē,話,16729,ōe,ue7,oe7,ue,oe,,,True
khí,起,16425,khí,khi2,khi2,khi,khi,,,True
lōo,路,16368,lō͘,loo7,loo7,loo,loo,,,True
tsia̍h,食,15378,chia̍h,tsiah8,chiah8,tsiah,chiah,,,True
tsú,主,15274,chú,tsu2,chu2,tsu,chu,,,True
kàu,教,15246,kàu,kau3,kau3,kau,kau,,,True
tshiú,手,15155,chhiú,tshiu2,chhiu2,tshiu,chhiu,,,True
lāi,內,14406,lāi,lai7,lai7,lai,lai,,,True
ji̍t,日,14244,ji̍t,jit8,jit8,jit,jit,,,True
li̍t,日,14244,li̍t,lit8,lit8,lit,lit,,,True
tāi,代,14215,tāi,tai7,tai7,tai,tai,,,True
kong,公,14120,kong,kong1,kong1,kong,kong,,,True
tsāi,在,14062,chāi,tsai7,chai7,tsai,chai,,,True
káng,講,13931,káng,kang2,kang2,kang,kang,,,True
put,不,13916,put,put1,put1,put,put,,,True
pún,本,13828,pún,pun2,pun2,pun,pun,,,True
guā,外,13765,gōa,gua7,goa7,gua,goa,,,True
liáu,了,13495,liáu,liau2,liau2,liau,liau,,,True
thang,通,13239,thang,thang1,thang1,thang,thang,,,True
sū,事,13101,sū,su7,su7,su,su,,,True
uî,為,12403,ûi,ui5,ui5,ui,ui,,,True
kang,工,12379,kang,kang1,kang1,kang,kang,,,True
tshin,親,12094,chhin,tshin1,chhin1,tshin,chhin,,,True
ì,意,12059,ì,i3,i3,i,i,,,True
ke,家,11984,ke,ke1,ke1,ke,ke,,,True
huat,法,11954,hoat,huat1,hoat1,huat,hoat,,,True
lāu,老,11954,lāu,lau7,lau7,lau,lau,,,True
lí,理,11858,lí,li2,li2,li,li,,,True
nā,若,11582,nā,na7,na7,na,na,,,True
khu,區,11573,khu,khu1,khu1,khu,khu,,,True
