tl,hanzi
a,鴉
a,啊
a,阿
á,仔
á,尚
á,也
á,阿
à-à,
à-à,啞啞
á-bē,猶未
á-buē,尚未
á-tshiâu,阿誚
á-î,
á-kiánn,阿囝
á-pá,
á-sī,抑是
à,啞
à,亞
à,
à,呵
à-guân,亞元
à-khue,亞魁
à-khóo,啞口
à-lîng,啞鈴
à-pà,拗霸
à-sìng,亞聖
â,呵
ā,亦
ā,也
ā,呵
ā-tsi̍t-ê,亦一個
ā-ná,
ā-sái,亦使
ā-sī,亦是
ā-sī,也是
ā-ū,亦有
ā-ū-tsi̍t-ê,亦有一個
a-a,呵呵
a-a-tsa-tsa,
a-a-tsam-tsam,
a-bí-lī-ka,亞米利加
a-bú,阿母
a-but-á,
a-tsa,
a-tsam,
a-tsik,阿叔
a-tsé,阿姊
a-tsiá,阿姐
a-tsím,阿嬸
a-tsiu,亞洲
a-tsóo,阿祖
a-gū,阿語
a-guī,阿魏
ah,鴨
ah,百
ah,押
ah,呵
ah,啊
a̍h,盒
a̍h,押
a̍h,亦
a̍h,呵
a̍h-á,盒仔
a̍h-gî,盒儀
a̍h-sī,亦是
ah-á,鴨仔
ah-á-bé,
ah-á-tan,
ah-á-thng,
ah-āu,押後
ah-bah,鴨肉
ah-bé,押尾
ah-bé-tshiú,押尾手
ah-bé-tsiúnn,押尾槳
ah-bé-tsui,鴨尾椎
ah-bî,
ah-bī,押味
ah-bú,鴨母
ah-bú-tsháu,益母草
ah-bú-tshiū,鴨母樹
ah-bú-tshuì,鴨母嘴
ah-bú-tsu,鴨母珠
ah-bú-it,鴨母乙
ah-bú-tê,鴨母蹄
ah-bú-thâu,鴨母頭
ah-bú-tiâu,鴨母潮
ah-tsāi,押儎
ah-tsàn,押讚
ah-tshì,押壓
ah-tshioh,押尺
ah-tshuì-hông,鴨嘴黃
ah-tshuì-phue,鴨嘴箆
ah-tshuì-phue-hông,鴨嘴箆黃
ah-tsi̍h-tsháu,鴨舌草
ah-tsi̍h-hông,鴨舌黃
ah-tsioh,押借
ah-tsióng-kut-tshé,鴨掌骨髓
ah-tsiúnn,押槳
ah-tsiúnn,鴨掌
ah-tsûn,押船
ah-i̍k,鴨液
ah-hè,押貨
ah-hè-kheh,押貨客
ah-hi̍k,鴨肉
ah-hiàn,
ah-hiòng,押餉
ah-hîng,鴨雄
ah-hîng-á-siann,鴨雄仔聲
ah-hîng-siann,鴨雄聲
ah-hō,押號
ah-huàn,鴨販
ah-huān,押犯
ah-hu,押夫
a-hiann,阿兄
ah-ji̍h,押壓
ah-ji̍t,押日
ah-kak,
ah-kang,鴨公
ah-kha,鴨腳
ah-kha-pê,鴨腳爬
ah-kha-sik,鴨腳稷
ah-kha-sue,鴨腳黍
ah-kha-tê,鴨腳蹄
ah-khuán,押款
ah-kiān,鴨腱
ah-kiān-tîn,鴨腱籐
ah-kinn,鴨羹
ah-kng,押扛
ah-kuán,押館
ah-ku-á,鴨痀仔
ah-kui,
ah-kuī-kim,押櫃金
ah-lah,押勒
ah-lam,鴨籠
ah-lik,押勒
ah-li̍k,鴨綠
ah-līng,押令
ah-lo̍h,押落
ah-lut-á,鴨甪仔
ah-nn̄g,鴨卵
ah-nn̄g-bīn,鴨卵面
ah-nn̄g-tshing,鴨卵清
ah-nn̄g-tshinn,鴨卵青
ah-nn̄g-hîng,鴨卵形
ah-nn̄g-jîn,鴨卵仁
ah-nn̄g-sò,鴨卵燥
a-huân,ㄚ鬟
ah-pa,鴨羓
ah-pî,鴨脾
ah-pńg,押榜
ah-pô,鴨婆
ah-puann-tui-tsoo,押搬追租
ah-put-tó,押不倒
ah-sái-sik,鴨屎色
ah-sàng,押送
ah-siānn,
ah-siúnn,
ah-suah,押息
ah-suah,押煞
ah-sok,押束
ah-sóo,押所
ah-tang,鴨冬
ah-tang,押冬
ah-tang-tê,押冬茶
ah-tê-tsháu,鴨蹄草
ah-tê-sué,鴨蹄黍
ah-thâu-tsiúnn,押頭槳
ah-thôo-tsu,鴨土珠
ah-thûn-á,鴨豚仔
ah-tuā,押舵
ah-tui,押追
a-hû-iông,阿芙蓉
a-hui-lī-ka,亞非利加
ah-ūn,押韻
ah-ūn,押運
ah-ut,押屈
ai,哎
ai,哀
ai,
ái,藹
ái,餲
ái-á,
ái-bū,靄霧
ái-tái-bī,餲滓味
ái-tái-tinn,餲滓甜
ài,愛
ài,隘
ài-beh,愛欲
ài-but-but,愛吻吻
ài-tsâi,愛財
ài-tsáu,愛走
ài-tsîng,愛情
ài-tshia̍k,愛雀
ài-tshiap,愛妾
ài-tshiò,愛笑
ài-tsia̍h,愛食
ài-tsuè,愛做
ài-gio̍k-tsí,愛玉籽
ài-háu,愛哮
ài-háu-sîn,愛哮神
ài-hue,愛花
ài-iō,噯喲
ài-ióng,隘勇
ài-ióng-iânn,隘勇營
ài-ióng-liâu,隘勇寮
ài-ióng-suànn,隘勇線
ài-khai,愛開
ài-kháu,隘口
ài-khàu,愛哭
ài-khàu-phe,愛哭胚
ài-khing,愛卿
ài-khû,愛蹲
ài-khùn,愛睏
ài-khùn-io̍h,愛睏藥
ài-khùn-khuán,愛睏款
ài-khùn-kuí,愛睏鬼
ài-kî,愛奇
ài-kiau,愛嬌
ài-kok,愛國
ài-kok-tsiam,愛國針
ài-kok-hīnn-kau,愛國耳鉤
ài-kok-hū-jîn-huē,愛國婦人會
ài-kok-khuân,愛國環
ài-kok-thâu,愛國頭
ài-kòo,愛顧
ài-lā,愛撈
ài-lán,愛懶
ài-lau,
ài-liâu,隘寮
ài-māi,曖昧
ài-mn̂g,隘門
ài-mn̂g-khang,隘門孔
ài-ni-ni,愛拈拈
ài-uan,愛冤
ài-òo,愛惡
ài-píng-ko,愛炳糕
ài-pìnn-bīn,愛變面
ài-sim-sim,愛心心
ài-sioh,愛惜
ài-sńg,愛戲
ài-sū,愛事
ài-sui,愛嘴
ài-suí,
ài-suí-tsinn,
ài-tāi,靉靆
ài-ting,隘丁
ài-thiann,愛聽
ài-thiànn,愛痛
ài-thit,
ài-ti̍h,愛值
ài-tit,愛得
a-î,阿姨
âi-ah,哎啊
âi-ià,唉啊
ai-ah,哎啊
ai-ai,哀哀
a-iân,亞鉛
a-iân-bāng,亞鉛網
a-iân-kiô,亞鉛橋
a-iân-kóng,亞鉛管
a-iân-pán,亞鉛版
a-iân-phiánn,亞鉛片
a-iân-phōo,
a-iân-suànn,亞鉛線
a-iân-tháng,亞鉛桶
a-iân-thih,亞鉛鐵
a-iân-thò,亞鉛套
ai-bîng,哀鳴
ai-bī,餲味
ai-tsai,哀哉
ai-tsa̍p,哀囃
ai-tshám,哀慘
ai-tshíng,哀請
ai-e̍h,哀鬱
ai-iâ,唉啊
ai-kám-siā,哀感謝
ai-khàu,哀哭
ai-khóo,哀苦
ai-ki̍p-kok,埃及國
ai-kiû,哀求
ai-kiû-su,哀求書
ai-lo̍k,哀樂
a-inn,阿嬰
a̍ih,噯
āinn,背
āinn-kin,背巾
ainn-ainn,唉唉
ai-uàn,哀怨
ai-pia̍t-lî-khóo,哀別離苦
ai-siann,哀聲
ai-siong,哀傷
ai-sòo,哀訴
