tl,hanzi,frequency,poj
ê,的,184693,ê
sī,是,103109,sī
á,仔,90696,á
i,伊,63255,i
bô,無,63119,bô
lâi,來,58294,lâi
ū,有,53685,ū
lâng,人,52526,lâng
tsi̍t,一,44439,chi̍t
kóng,講,40867,kóng
khì,去,38728,khì
guá,我,36961,góa
thâu,頭,34601,thâu
sî,時,32755,sî
tâi,台,31281,tâi
tsin,真,31026,chin
tuā,大,30086,tōa
koh,閣,29890,koh
a,阿,29473,a
tse,這,27958,che
khuànn,看,27720,khòaⁿ
lí,你,27089,lí
sim,心,25770,sim
tshut,出,25088,chhut
sóo,所,24281,só͘
hó,好,23707,hó
huē,會,23113,hōe
hē,會,23113,hē
tuì,對,22528,tùi
jîn,人,22442,jîn
bûn,文,22064,bûn
hit,彼,21517,hit
iú,有,21336,iú
tsiū,就,21083,chiū
kok,國,21044,kok
ài,愛,19415,ài
bīn,面,18694,bīn
tsuè,做,18482,chòe
ngóo,我,18480,ngó͘
tiong,中,18403,tiong
ha̍k,學,18199,ha̍k
tsuí,水,18181,chúi
kā,共,18073,kā
lán,咱,17922,lán
kàu,到,17333,kàu
iōng,用,17269,iōng
āu,後,17177,āu
nî,年,16886,nî
it,一,16762,it
uē,話,16729,ōe
khí,起,16425,khí
lōo,路,16368,lō͘
tsia̍h,食,15378,chia̍h
tsú,主,15274,chú
kàu,教,15246,kàu
tshiú,手,15155,chhiú
iā,也,15065,iā
lāi,內,14406,lāi
ji̍t,日,14244,ji̍t
tāi,代,14215,tāi
kong,公,14120,kong
tsāi,在,14062,chāi
káng,講,13931,káng
put,不,13916,put
pún,本,13828,pún
guā,外,13765,gōa
khah,較,13499,khah
liáu,了,13495,liáu
í,以,13230,í
sū,事,13101,sū
uî,為,12403,ûi
kang,工,12379,kang
tik,得,12251,tek
tshin,親,12094,chhin
ì,意,12059,ì
huat,法,11954,hoat
lāu,老,11954,lāu
tāi,大,11861,tāi
lí,理,11858,lí
nā,若,11582,nā
khu,區,11573,khu
ka,家,11523,ka
bîn,民,11383,bîn
khuán,款,11269,khoán
siōng,上,11260,siōng
sí,死,11257,sí
lóng,攏,11219,lóng
sin,身,10865,sin
suann,山,10820,soaⁿ
tshia,車,10763,chhia
thiann,聽,10741,thiaⁿ
bu̍t,物,10612,bu̍t
hiong,鄉,10443,hiong
kè,過,10205,kè
siann,聲,10175,siaⁿ
in,因,10098,in
sin,新,10069,sin
uan,灣,9981,oan
ba̍k,目,9818,ba̍k
khui,開,9713,khui
sing,生,9626,seng
si̍t,實,9621,si̍t
hong,風,9297,hong
tsîng,情,9238,chêng
kám,感,9228,kám
pe̍h,白,9226,pe̍h
king,經,9218,keng
jī,字,9159,jī
huat,發,9126,hoat
kim,金,9080,kim
iánn,影,9036,iáⁿ
bóo,某,9022,bó͘
siū,受,8975,siū
tshù,厝,8959,chhù
iáu,猶,8915,iáu
tsóng,總,8896,chóng
tsai,知,8879,chai
tíng,頂,8873,téng
oo,烏,8830,o͘
tuē,地,8822,tōe
tē,地,8822,tē
tōng,動,8786,tōng
sîn,神,8753,sîn
lo̍h,落,8749,lo̍h
nih,呢,8729,nih
sió,小,8653,sió
huà,化,8649,hòa
hun,分,8581,hun
tsū,自,8553,chū
im,音,8544,im
kah,甲,8530,kah
sinn,生,8389,siⁿ
tsînn,錢,8339,chîⁿ
hái,海,8273,hái
tng,當,8208,tng
bîng,明,8206,bêng
siánn,啥,8104,siáⁿ
tsok,作,8045,chok
siá,寫,7896,siá
hàn,漢,7881,hàn
mn̂g,門,7855,mn̂g
guân,原,7811,goân
kiò,叫,7760,kiò
tè,帝,7740,tè
hue,花,7690,hoe
an,安,7594,an
kiàn,見,7496,kiàn
siūnn,想,7440,siūⁿ
sîng,成,7428,sêng
kiánn,囝,7404,kiáⁿ
ti,知,7399,ti
bí,美,7337,bí
tsiūnn,上,7319,chiūⁿ
sìn,信,7276,sìn
tē,第,7248,tē
tīng,定,7244,tēng
kín,緊,7239,kín
thian,天,7219,thian
kú,久,7160,kú
tshài,菜,7141,chhài
ka,加,7091,ka
ti̍t,直,7087,ti̍t
tō,道,7076,tō
bé,馬,7067,bé
ua̍h,活,7040,oa̍h
tiám,點,7036,tiám
sióng,想,7002,sióng
hiān,現,6999,hiān
giân,言,6993,giân
bú,母,6956,bú
lah,啦,6933,lah
li̍k,力,6904,le̍k
kháu,口,6893,kháu
kiann,驚,6862,kiaⁿ
