tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
ê,的,184693,ê,e5,e5,e,e,,
sī,是,103109,sī,si7,si7,si,si,,
á,仔,90696,á,a2,a2,a,a,,
i,伊,63255,i,i1,i1,i,i,,
bô,無,63119,bô,bo5,bo5,bo,bo,,
lâi,來,58294,lâi,lai5,lai5,lai,lai,,
ū,有,53685,ū,u7,u7,u,u,,
lâng,人,52526,lâng,lang5,lang5,lang,lang,,
tsi̍t,一,44439,chi̍t,tsit8,chit8,tsit,chit,,
kóng,講,40867,kóng,kong2,kong2,kong,kong,,
khì,去,38728,khì,khi3,khi3,khi,khi,,
guá,我,36961,góa,gua2,goa2,gua,goa,,
thâu,頭,34601,thâu,thau5,thau5,thau,thau,,
sî,時,32755,sî,si5,si5,si,si,,
tâi,台,31281,tâi,tai5,tai5,tai,tai,,
tsin,真,31026,chin,tsin1,chin1,tsin,chin,,
tuā,大,30086,tōa,tua7,toa7,tua,toa,,
koh,閣,29890,koh,koh1,koh1,koh,koh,,
a,阿,29473,a,a1,a1,a,a,,
tse,這,27958,che,tse1,che1,tse,che,,
khuànn,看,27720,khòaⁿ,khuann3,khoann3,khuann,khoann,,
lí,你,27089,lí,li2,li2,li,li,,
sim,心,25770,sim,sim1,sim1,sim,sim,,
tshut,出,25088,chhut,tshut1,chhut1,tshut,chhut,,
sóo,所,24281,só͘,soo2,soo2,soo,soo,,
hó,好,23707,hó,ho2,ho2,ho,ho,,
huē,會,23113,hōe,hue7,hoe7,hue,hoe,,
hē,會,23113,hē,he7,he7,he,he,,
tuì,對,22528,tùi,tui3,tui3,tui,tui,,
jîn,人,22442,jîn,jin5,jin5,jin,jin,,
bûn,文,22064,bûn,bun5,bun5,bun,bun,,
hit,彼,21517,hit,hit1,hit1,hit,hit,,
iú,有,21336,iú,iu2,iu2,iu,iu,,
tsiū,就,21083,chiū,tsiu7,chiu7,tsiu,chiu,,
kok,國,21044,kok,kok1,kok1,kok,kok,,
ài,愛,19415,ài,ai3,ai3,ai,ai,,
bīn,面,18694,bīn,bin7,bin7,bin,bin,,
tsuè,做,18482,chòe,tsue3,choe3,tsue,choe,,
ngóo,我,18480,ngó͘,ngoo2,ngoo2,ngoo,ngoo,,
tiong,中,18403,tiong,tiong1,tiong1,tiong,tiong,,
ha̍k,學,18199,ha̍k,hak8,hak8,hak,hak,,
tsuí,水,18181,chúi,tsui2,chui2,tsui,chui,,
kā,共,18073,kā,ka7,ka7,ka,ka,,
lán,咱,17922,lán,lan2,lan2,lan,lan,,
kàu,到,17333,kàu,kau3,kau3,kau,kau,,
iōng,用,17269,iōng,iong7,iong7,iong,iong,,
āu,後,17177,āu,au7,au7,au,au,,
nî,年,16886,nî,ni5,ni5,ni,ni,,
it,一,16762,it,it1,it1,it,it,,
uē,話,16729,ōe,ue7,oe7,ue,oe,,
khí,起,16425,khí,khi2,khi2,khi,khi,,
lōo,路,16368,lō͘,loo7,loo7,loo,loo,,
tsia̍h,食,15378,chia̍h,tsiah8,chiah8,tsiah,chiah,,
tsú,主,15274,chú,tsu2,chu2,tsu,chu,,
kàu,教,15246,kàu,kau3,kau3,kau,kau,,
tshiú,手,15155,chhiú,tshiu2,chhiu2,tshiu,chhiu,,
iā,也,15065,iā,ia7,ia7,ia,ia,,
lāi,內,14406,lāi,lai7,lai7,lai,lai,,
ji̍t,日,14244,ji̍t,jit8,jit8,jit,jit,,
tāi,代,14215,tāi,tai7,tai7,tai,tai,,
kong,公,14120,kong,kong1,kong1,kong,kong,,
tsāi,在,14062,chāi,tsai7,chai7,tsai,chai,,
káng,講,13931,káng,kang2,kang2,kang,kang,,
put,不,13916,put,put1,put1,put,put,,
pún,本,13828,pún,pun2,pun2,pun,pun,,
guā,外,13765,gōa,gua7,goa7,gua,goa,,
khah,較,13499,khah,khah1,khah1,khah,khah,,
liáu,了,13495,liáu,liau2,liau2,liau,liau,,
í,以,13230,í,i2,i2,i,i,,
sū,事,13101,sū,su7,su7,su,su,,
uî,為,12403,ûi,ui5,ui5,ui,ui,,
kang,工,12379,kang,kang1,kang1,kang,kang,,
tik,得,12251,tek,tik1,tek1,tik,tek,,
tshin,親,12094,chhin,tshin1,chhin1,tshin,chhin,,
ì,意,12059,ì,i3,i3,i,i,,
huat,法,11954,hoat,huat1,hoat1,huat,hoat,,
lāu,老,11954,lāu,lau7,lau7,lau,lau,,
tāi,大,11861,tāi,tai7,tai7,tai,tai,,
lí,理,11858,lí,li2,li2,li,li,,
nā,若,11582,nā,na7,na7,na,na,,
khu,區,11573,khu,khu1,khu1,khu,khu,,
ka,家,11523,ka,ka1,ka1,ka,ka,,
bîn,民,11383,bîn,bin5,bin5,bin,bin,,
khuán,款,11269,khoán,khuan2,khoan2,khuan,khoan,,
siōng,上,11260,siōng,siong7,siong7,siong,siong,,
sí,死,11257,sí,si2,si2,si,si,,
lóng,攏,11219,lóng,long2,long2,long,long,,
sin,身,10865,sin,sin1,sin1,sin,sin,,
suann,山,10820,soaⁿ,suann1,soann1,suann,soann,,
tshia,車,10763,chhia,tshia1,chhia1,tshia,chhia,,
thiann,聽,10741,thiaⁿ,thiann1,thiann1,thiann,thiann,,
bu̍t,物,10612,bu̍t,but8,but8,but,but,,
hiong,鄉,10443,hiong,hiong1,hiong1,hiong,hiong,,
kè,過,10205,kè,ke3,ke3,ke,ke,,
siann,聲,10175,siaⁿ,siann1,siann1,siann,siann,,
in,因,10098,in,in1,in1,in,in,,
sin,新,10069,sin,sin1,sin1,sin,sin,,
uan,灣,9981,oan,uan1,oan1,uan,oan,,
ba̍k,目,9818,ba̍k,bak8,bak8,bak,bak,,
khui,開,9713,khui,khui1,khui1,khui,khui,,
sing,生,9626,seng,sing1,seng1,sing,seng,,
si̍t,實,9621,si̍t,sit8,sit8,sit,sit,,
hong,風,9297,hong,hong1,hong1,hong,hong,,
tsîng,情,9238,chêng,tsing5,cheng5,tsing,cheng,,
kám,感,9228,kám,kam2,kam2,kam,kam,,
pe̍h,白,9226,pe̍h,peh8,peh8,peh,peh,,
king,經,9218,keng,king1,keng1,king,keng,,
jī,字,9159,jī,ji7,ji7,ji,ji,,
huat,發,9126,hoat,huat1,hoat1,huat,hoat,,
