hanzi,tl,frequency,poj
邊,pinn,5350,piⁿ
畫,uē,2560,ōe
龜,ku,2000,ku
刻,khik,1154,khek
黏,liâm,969,liâm
鏡,kiànn,750,kiàⁿ
割,kuah,700,koah
剪,tsián,400,chián
尺,tshioh,400,chhioh
毛,moo,384,mo͘
堆,tui,350,tui
塑,sok,300,sok
摃,kòng,300,kòng
貼,tah,300,tah
敲,khà,200,khà
疊,tha̍h,200,tha̍h
鶴,ho̍h,100,ho̍h
捏,liap,50,liap
繞,liáu,50,liáu
iōng碗,iōng-uánn,25,iōng-óaⁿ
khò-té,khò-té,25,khò-té
一吞,tsi̍t-thun,25,chi̍t-thun
三花,sam-hue,25,sam-hoe
九層,káu-tsan,25,káu-chan
令旗,līng-kî,25,lēng-kî
作椅,tsoh-í,25,choh-í
保青,pó-tshenn,25,pó-chheⁿ
修光,siu-kng,25,siu-kng
倒角,tò-kak,25,tò-kak
傍仔,png-á,25,png-á
冷盤,líng-puânn,25,léng-pôaⁿ
凹剾,nah-khau,25,nah-khau
出芽,tshut-gê,25,chhut-gê
分座,hun-tsō,25,hun-chō
分線,pun-suànn,25,pun-sòaⁿ
切仔,tshiat-á,25,chhiat-á
切檯,tshiat-tâi,25,chhiat-tâi
切針,tshiat-tsiam,25,chhiat-chiam
刮刀,kueh-to,25,koeh-to
刮青,kueh-tshenn,25,koeh-chheⁿ
刻字,khik-jī,25,khek-jī
刻花,khik-hue,25,khek-hoe
剪仔,tsián-á,25,chián-á
剪絨,tsián-jiông,25,chián-jiông
剪黏,tsián-liâm,25,chián-liâm
剾刀,khau-to,25,khau-to
剾枋,khau-pang,25,khau-pang
劍指,kiàm-kí,25,kiàm-kí
劍獅,kiàm-sai,25,kiàm-sai
包布,pau-pòo,25,pau-pò͘
包管,pau-kóng,25,pau-kóng
化色,huà-sik,25,hòa-sek
北式,pak-sik,25,pak-sek
南式,lâm-sik,25,lâm-sek
博古,phok-kóo,25,phok-kó͘
印台,ìn-tâi,25,ìn-tâi
印花,ìn-hue,25,ìn-hoe
卵殼,nn̄g-khak,25,nn̄g-khak
古錢,kóo-tsînn,25,kó͘-chîⁿ
吊夾,tiàu-ngeh,25,tiàu-ngeh
吊花,tiàu-hue,25,tiàu-hoe
吊鑽,tiàu-tsǹg,25,tiàu-chǹg
名牌,bîng-pâi,25,bêng-pâi
吟龍,gîm-lîng,25,gîm-lêng
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h
噴漆,phùn-tshat,25,phùn-chhat
噴膠,phùn-ka,25,phùn-ka
噴銃,phùn-tshìng,25,phùn-chhèng
圍巾,uî-kin,25,ûi-kin
圓桶,înn-táng,25,îⁿ-táng
圓目,înn-ba̍k,25,îⁿ-ba̍k
地磅,tē-pōng,25,tē-pōng
坐五,tsē-gōo,25,chē-gō͘
堆的,tui-ê,25,tui-ê
