hanzi,tl,frequency,poj,tl_num,poj_num
邊,pinn,5350,piⁿ,pinn1,pinn1
畫,uē,2560,ōe,ue7,oe7
龜,ku,2000,ku,ku1,ku1
刻,khik,1154,khek,khik4,khek4
黏,liâm,969,liâm,liam5,liam5
鏡,kiànn,750,kiàⁿ,kiann3,kiann3
割,kuah,700,koah,kuah4,koah4
剪,tsián,400,chián,tsian2,chian2
尺,tshioh,400,chhioh,tshioh4,chhioh4
毛,moo,384,mo͘,moo1,moo1
堆,tui,350,tui,tui1,tui1
塑,sok,300,sok,sok4,sok4
摃,kòng,300,kòng,kong3,kong3
貼,tah,300,tah,tah4,tah4
敲,khà,200,khà,kha3,kha3
疊,tha̍h,200,tha̍h,thah8,thah8
設計,siat-kè,101,siat-kè,siat4ke3,siat4ke3
鶴,ho̍h,100,ho̍h,hoh8,hoh8
捏,liap,50,liap,liap4,liap4
繞,liáu,50,liáu,liau2,liau2
iōng碗,iōng-uánn,25,iōng-óaⁿ,iong7uann2,iong7oann2
khò-té,khò-té,25,khò-té,kho3te2,kho3te2
一吞,tsi̍t-thun,25,chi̍t-thun,tsit8thun1,chit8thun1
三花,sam-hue,25,sam-hoe,sam1hue1,sam1hoe1
九層,káu-tsan,25,káu-chan,kau2tsan1,kau2chan1
令旗,līng-kî,25,lēng-kî,ling7ki5,leng7ki5
作椅,tsoh-í,25,choh-í,tsoh4i2,choh4i2
保青,pó-tshenn,25,pó-chheⁿ,po2tshenn1,po2chhenn1
修光,siu-kng,25,siu-kng,siu1kng1,siu1kng1
倒角,tò-kak,25,tò-kak,to3kak4,to3kak4
傍仔,png-á,25,png-á,png1a2,png1a2
冷盤,líng-puânn,25,léng-pôaⁿ,ling2puann5,leng2poann5
凹剾,nah-khau,25,nah-khau,nah4khau1,nah4khau1
出芽,tshut-gê,25,chhut-gê,tshut4ge5,chhut4ge5
分座,hun-tsō,25,hun-chō,hun1tso7,hun1cho7
分線,pun-suànn,25,pun-sòaⁿ,pun1suann3,pun1soann3
切仔,tshiat-á,25,chhiat-á,tshiat4a2,chhiat4a2
切檯,tshiat-tâi,25,chhiat-tâi,tshiat4tai5,chhiat4tai5
切針,tshiat-tsiam,25,chhiat-chiam,tshiat4tsiam1,chhiat4chiam1
刮刀,kueh-to,25,koeh-to,kueh4to1,koeh4to1
刮青,kueh-tshenn,25,koeh-chheⁿ,kueh4tshenn1,koeh4chhenn1
刻字,khik-jī,25,khek-jī,khik4ji7,khek4ji7
刻花,khik-hue,25,khek-hoe,khik4hue1,khek4hoe1
剪仔,tsián-á,25,chián-á,tsian2a2,chian2a2
剪黏,tsián-liâm,25,chián-liâm,tsian2liam5,chian2liam5
剾刀,khau-to,25,khau-to,khau1to1,khau1to1
剾枋,khau-pang,25,khau-pang,khau1pang1,khau1pang1
劍指,kiàm-kí,25,kiàm-kí,kiam3ki2,kiam3ki2
劍獅,kiàm-sai,25,kiàm-sai,kiam3sai1,kiam3sai1
包布,pau-pòo,25,pau-pò͘,pau1poo3,pau1poo3
包管,pau-kóng,25,pau-kóng,pau1kong2,pau1kong2
化色,huà-sik,25,hòa-sek,hua3sik4,hoa3sek4
北式,pak-sik,25,pak-sek,pak4sik4,pak4sek4
南式,lâm-sik,25,lâm-sek,lam5sik4,lam5sek4
博古,phok-kóo,25,phok-kó͘,phok4koo2,phok4koo2
印台,ìn-tâi,25,ìn-tâi,in3tai5,in3tai5
印花,ìn-hue,25,ìn-hoe,in3hue1,in3hoe1
卵殼,nn̄g-khak,25,nn̄g-khak,nng7khak4,nng7khak4
古錢,kóo-tsînn,25,kó͘-chîⁿ,koo2tsinn5,koo2chinn5
吊夾,tiàu-ngeh,25,tiàu-ngeh,tiau3ngeh4,tiau3ngeh4
吊花,tiàu-hue,25,tiàu-hoe,tiau3hue1,tiau3hoe1
吊鑽,tiàu-tsǹg,25,tiàu-chǹg,tiau3tsng3,tiau3chng3
名牌,bîng-pâi,25,bêng-pâi,bing5pai5,beng5pai5
吟龍,gîm-lîng,25,gîm-lêng,gim5ling5,gim5leng5
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8
噴漆,phùn-tshat,25,phùn-chhat,phun3tshat4,phun3chhat4
噴膠,phùn-ka,25,phùn-ka,phun3ka1,phun3ka1
噴銃,phùn-tshìng,25,phùn-chhèng,phun3tshing3,phun3chheng3
圍巾,uî-kin,25,ûi-kin,ui5kin1,ui5kin1
圓桶,înn-táng,25,îⁿ-táng,inn5tang2,inn5tang2
圓目,înn-ba̍k,25,îⁿ-ba̍k,inn5bak8,inn5bak8
地磅,tē-pōng,25,tē-pōng,te7pong7,te7pong7
坐五,tsē-gōo,25,chē-gō͘,tse7goo7,che7goo7
堆的,tui-ê,25,tui-ê,tui1e5,tui1e5
堵頭,tóo-thâu,25,tó͘-thâu,too2thau5,too2thau5
塔啾,tah-tshiu,25,tah-chhiu,tah4tshiu1,tah4chhiu1
塔梯,thah-thui,25,thah-thui,thah4thui1,thah4thui1
塔舌,thah-tsi̍h,25,thah-chi̍h,thah4tsih8,thah4chih8
塗捀,thôo-phâng,25,thô͘-phâng,thoo5phang5,thoo5phang5
塗朱,thôo-tsu,25,thô͘-chu,thoo5tsu1,thoo5chu1
塗紙,thôo-tsuá,25,thô͘-chóa,thoo5tsua2,thoo5choa2
塗胚,thôo-phue,25,thô͘-phoe,thoo5phue1,thoo5phoe1
塭仔,un-á,25,un-á,un1a2,un1a2
墜仔,tuī-á,25,tūi-á,tui7a2,tui7a2
墨斗,ba̍k-táu,25,ba̍k-táu,bak8tau2,bak8tau2
壁堵,piah-tóo,25,piah-tó͘,piah4too2,piah4too2
壓扒,ah-pe,25,ah-pe,ah4pe1,ah4pe1
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7
