hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
邊,pinn,5350,piⁿ,pinn1,pinn1,pinn,pinn
畫,uē,2560,ōe,ue7,oe7,ue,oe
龜,ku,2000,ku,ku1,ku1,ku,ku
刻,khik,1154,khek,khik1,khek1,khik,khek
黏,liâm,969,liâm,liam5,liam5,liam,liam
鏡,kiànn,750,kiàⁿ,kiann3,kiann3,kiann,kiann
割,kuah,700,koah,kuah1,koah1,kuah,koah
剪,tsián,400,chián,tsian2,chian2,tsian,chian
尺,tshioh,400,chhioh,tshioh1,chhioh1,tshioh,chhioh
毛,moo,384,mo͘,moo1,moo1,moo,moo
堆,tui,350,tui,tui1,tui1,tui,tui
塑,sok,300,sok,sok1,sok1,sok,sok
摃,kòng,300,kòng,kong3,kong3,kong,kong
貼,tah,300,tah,tah1,tah1,tah,tah
敲,khà,200,khà,kha3,kha3,kha,kha
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah
鶴,ho̍h,100,ho̍h,hoh8,hoh8,hoh,hoh
捏,liap,50,liap,liap1,liap1,liap,liap
繞,liáu,50,liáu,liau2,liau2,liau,liau
iōng碗,iōng-uánn,25,iōng-óaⁿ,iong7uann2,iong7oann2,ionguann,iongoann
khò-té,khò-té,25,khò-té,kho3te2,kho3te2,khote,khote
一吞,tsi̍t-thun,25,chi̍t-thun,tsit8thun1,chit8thun1,tsitthun,chitthun
三花,sam-hue,25,sam-hoe,sam1hue1,sam1hoe1,samhue,samhoe
九層,káu-tsan,25,káu-chan,kau2tsan1,kau2chan1,kautsan,kauchan
令旗,līng-kî,25,lēng-kî,ling7ki5,leng7ki5,lingki,lengki
作椅,tsoh-í,25,choh-í,tsoh1i2,choh1i2,tsohi,chohi
保青,pó-tshenn,25,pó-chheⁿ,po2tshenn1,po2chhenn1,potshenn,pochhenn
修光,siu-kng,25,siu-kng,siu1kng1,siu1kng1,siukng,siukng
倒角,tò-kak,25,tò-kak,to3kak1,to3kak1,tokak,tokak
傍仔,png-á,25,png-á,png1a2,png1a2,pnga,pnga
冷盤,líng-puânn,25,léng-pôaⁿ,ling2puann5,leng2poann5,lingpuann,lengpoann
凹剾,nah-khau,25,nah-khau,nah1khau1,nah1khau1,nahkhau,nahkhau
出芽,tshut-gê,25,chhut-gê,tshut1ge5,chhut1ge5,tshutge,chhutge
分座,hun-tsō,25,hun-chō,hun1tso7,hun1cho7,huntso,huncho
分線,pun-suànn,25,pun-sòaⁿ,pun1suann3,pun1soann3,punsuann,punsoann
切仔,tshiat-á,25,chhiat-á,tshiat1a2,chhiat1a2,tshiata,chhiata
切檯,tshiat-tâi,25,chhiat-tâi,tshiat1tai5,chhiat1tai5,tshiattai,chhiattai
切針,tshiat-tsiam,25,chhiat-chiam,tshiat1tsiam1,chhiat1chiam1,tshiattsiam,chhiatchiam
刮刀,kueh-to,25,koeh-to,kueh1to1,koeh1to1,kuehto,koehto
刮青,kueh-tshenn,25,koeh-chheⁿ,kueh1tshenn1,koeh1chhenn1,kuehtshenn,koehchhenn
刻字,khik-jī,25,khek-jī,khik1ji7,khek1ji7,khikji,khekji
刻花,khik-hue,25,khek-hoe,khik1hue1,khek1hoe1,khikhue,khekhoe
剪仔,tsián-á,25,chián-á,tsian2a2,chian2a2,tsiana,chiana
剪絨,tsián-jiông,25,chián-jiông,tsian2jiong5,chian2jiong5,tsianjiong,chianjiong
剪黏,tsián-liâm,25,chián-liâm,tsian2liam5,chian2liam5,tsianliam,chianliam
剾刀,khau-to,25,khau-to,khau1to1,khau1to1,khauto,khauto
剾枋,khau-pang,25,khau-pang,khau1pang1,khau1pang1,khaupang,khaupang
劍指,kiàm-kí,25,kiàm-kí,kiam3ki2,kiam3ki2,kiamki,kiamki
劍獅,kiàm-sai,25,kiàm-sai,kiam3sai1,kiam3sai1,kiamsai,kiamsai
包布,pau-pòo,25,pau-pò͘,pau1poo3,pau1poo3,paupoo,paupoo
包管,pau-kóng,25,pau-kóng,pau1kong2,pau1kong2,paukong,paukong
化色,huà-sik,25,hòa-sek,hua3sik1,hoa3sek1,huasik,hoasek
北式,pak-sik,25,pak-sek,pak1sik1,pak1sek1,paksik,paksek
南式,lâm-sik,25,lâm-sek,lam5sik1,lam5sek1,lamsik,lamsek
博古,phok-kóo,25,phok-kó͘,phok1koo2,phok1koo2,phokkoo,phokkoo
印台,ìn-tâi,25,ìn-tâi,in3tai5,in3tai5,intai,intai
印花,ìn-hue,25,ìn-hoe,in3hue1,in3hoe1,inhue,inhoe
卵殼,nn̄g-khak,25,nn̄g-khak,nng7khak1,nng7khak1,nngkhak,nngkhak
古錢,kóo-tsînn,25,kó͘-chîⁿ,koo2tsinn5,koo2chinn5,kootsinn,koochinn
吊夾,tiàu-ngeh,25,tiàu-ngeh,tiau3ngeh1,tiau3ngeh1,tiaungeh,tiaungeh
吊花,tiàu-hue,25,tiàu-hoe,tiau3hue1,tiau3hoe1,tiauhue,tiauhoe
吊鑽,tiàu-tsǹg,25,tiàu-chǹg,tiau3tsng3,tiau3chng3,tiautsng,tiauchng
名牌,bîng-pâi,25,bêng-pâi,bing5pai5,beng5pai5,bingpai,bengpai
吟龍,gîm-lîng,25,gîm-lêng,gim5ling5,gim5leng5,gimling,gimleng
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8,tshuitsih,chhuichih
噴漆,phùn-tshat,25,phùn-chhat,phun3tshat1,phun3chhat1,phuntshat,phunchhat
噴膠,phùn-ka,25,phùn-ka,phun3ka1,phun3ka1,phunka,phunka
噴銃,phùn-tshìng,25,phùn-chhèng,phun3tshing3,phun3chheng3,phuntshing,phunchheng
圍巾,uî-kin,25,ûi-kin,ui5kin1,ui5kin1,uikin,uikin
圓桶,înn-táng,25,îⁿ-táng,inn5tang2,inn5tang2,inntang,inntang
圓目,înn-ba̍k,25,îⁿ-ba̍k,inn5bak8,inn5bak8,innbak,innbak
地磅,tē-pōng,25,tē-pōng,te7pong7,te7pong7,tepong,tepong
坐五,tsē-gōo,25,chē-gō͘,tse7goo7,che7goo7,tsegoo,chegoo
堆的,tui-ê,25,tui-ê,tui1e5,tui1e5,tuie,tuie
堵頭,tóo-thâu,25,tó͘-thâu,too2thau5,too2thau5,toothau,toothau
塔啾,tah-tshiu,25,tah-chhiu,tah1tshiu1,tah1chhiu1,tahtshiu,tahchhiu
塔梯,thah-thui,25,thah-thui,thah1thui1,thah1thui1,thahthui,thahthui
塔舌,thah-tsi̍h,25,thah-chi̍h,thah1tsih8,thah1chih8,thahtsih,thahchih
塗捀,thôo-phâng,25,thô͘-phâng,thoo5phang5,thoo5phang5,thoophang,thoophang
塗朱,thôo-tsu,25,thô͘-chu,thoo5tsu1,thoo5chu1,thootsu,thoochu
塗紙,thôo-tsuá,25,thô͘-chóa,thoo5tsua2,thoo5choa2,thootsua,thoochoa
塗胚,thôo-phue,25,thô͘-phoe,thoo5phue1,thoo5phoe1,thoophue,thoophoe
塭仔,un-á,25,un-á,un1a2,un1a2,una,una
墜仔,tuī-á,25,tūi-á,tui7a2,tui7a2,tuia,tuia
墨斗,ba̍k-táu,25,ba̍k-táu,bak8tau2,bak8tau2,baktau,baktau
壁堵,piah-tóo,25,piah-tó͘,piah1too2,piah1too2,piahtoo,piahtoo
壓扒,ah-pe,25,ah-pe,ah1pe1,ah1pe1,ahpe,ahpe
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3,tuaphua,toaphoa
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,tuatshinn,toachhinn
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7,tuatsam,toacham
夾仔,ngeh-á,25,ngeh-á,ngeh1a2,ngeh1a2,ngeha,ngeha
夾枋,kiap-pang,25,kiap-pang,kiap1pang1,kiap1pang1,kiappang,kiappang
如意,jû-ì,25,jû-ì,ju5i3,ju5i3,jui,jui
定kô,tīng-kô,25,tēng-kô,ting7ko5,teng7ko5,tingko,tengko
定闊,tīng-khuah,25,tēng-khoah,ting7khuah1,teng7khoah1,tingkhuah,tengkhoah
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3,kiasuann,kiasoann
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3,posinn,posinn
封帽,hong-bō,25,hong-bō,hong1bo7,hong1bo7,hongbo,hongbo
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3,tuiphua,tuiphoa
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3,siotuann,siotoann
小生,sió-sing,25,sió-seng,sio2sing1,sio2seng1,siosing,sioseng
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,siotshinn,siochhinn
尺鎚,tshioh-thuî,25,chhioh-thûi,tshioh1thui5,chhioh1thui5,tshiohthui,chhiohthui
屏風,pîn-hong,25,pîn-hong,pin5hong1,pin5hong1,pinhong,pinhong
巧雕,khá-tiau,25,khá-tiau,kha2tiau1,kha2tiau1,khatiau,khatiau
布枋,pòo-pang,25,pò͘-pang,poo3pang1,poo3pang1,poopang,poopang
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2,poolun,poolun
布袋,pòo-tē,25,pò͘-tē,poo3te7,poo3te7,poote,poote
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3,tuaku,toaku
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5,taikhia,taikhia
帽仔,bō-á,25,bō-á,bo7a2,bo7a2,boa,boa
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh1,phinn5chhioh1,phinntshioh,phinnchhioh
平枋,pênn-pang,25,pêⁿ-pang,penn5pang1,penn5pang1,pennpang,pennpang
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3,iuphua,iuphoa
幼胚,iù-phue,25,iù-phoe,iu3phue1,iu3phoe1,iuphue,iuphoe
幼蔥,iù-tshong,25,iù-chhong,iu3tshong1,iu3chhong1,iutshong,iuchhong
幼針,iù-tsiam,25,iù-chiam,iu3tsiam1,iu3chiam1,iutsiam,iuchiam
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam1,too7chiam1,tootsiam,toochiam
弓仔,king-á,25,keng-á,king1a2,keng1a2,kinga,kenga
弓枋,king-pang,25,keng-pang,king1pang1,keng1pang1,kingpang,kengpang
彎剾,uân-khau,25,oân-khau,uan5khau1,oan5khau1,uankhau,oankhau
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7,tshaiue,chhaioe
徛七,khiā-tshit,25,khiā-chhit,khia7tshit1,khia7chhit1,khiatshit,khiachhit
徛心,khiā-sim,25,khiā-sim,khia7sim1,khia7sim1,khiasim,khiasim
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7,khiathiau,khiathiau
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3,khiakiann,khiakiann
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2,tshianga,chhianga
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah1,chian3kah1,tsiankah,chiankah
扁擔,pún-tann,25,pún-taⁿ,pun2tann1,pun2tann1,puntann,puntann
手包,tshiú-pau,25,chhiú-pau,tshiu2pau1,chhiu2pau1,tshiupau,chhiupau
手指,tshiú-tsí,25,chhiú-chí,tshiu2tsi2,chhiu2chi2,tshiutsi,chhiuchi
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5,tshiupoo,chhiupoo
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3,tshiukhau,chhiukhau
托燈,thuh-ting,25,thuh-teng,thuh1ting1,thuh1teng1,thuhting,thuhteng
批塗,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo
披土,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo
抹刀,buah-to,25,boah-to,buah1to1,boah1to1,buahto,boahto
抾板,khioh-pán,25,khioh-pán,khioh1pan2,khioh1pan2,khiohpan,khiohpan
