hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
邊,pinn,5350,piⁿ,pinn1,pinn1,pinn,pinn,,,True,False
畫,uē,2560,ōe,ue7,oe7,ue,oe,,,True,False
龜,ku,2000,ku,ku1,ku1,ku,ku,,,True,False
刻,khik,1154,khek,khik4,khek4,khik,khek,,,True,False
黏,liâm,969,liâm,liam5,liam5,liam,liam,,,True,False
鏡,kiànn,750,kiàⁿ,kiann3,kiann3,kiann,kiann,,,True,False
割,kuah,700,koah,kuah4,koah4,kuah,koah,,,True,False
剪,tsián,400,chián,tsian2,chian2,tsian,chian,,,True,False
尺,tshioh,400,chhioh,tshioh4,chhioh4,tshioh,chhioh,,,True,False
毛,moo,384,mo͘,moo1,moo1,moo,moo,,,True,False
堆,tui,350,tui,tui1,tui1,tui,tui,,,True,False
塑,sok,300,sok,sok4,sok4,sok,sok,,,True,False
摃,kòng,300,kòng,kong3,kong3,kong,kong,,,True,True
貼,tah,300,tah,tah4,tah4,tah,tah,,,True,False
敲,khà,200,khà,kha3,kha3,kha,kha,,,True,False
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah,,,True,False
設計,siat-kè,101,siat-kè,siat4ke3,siat4ke3,siatke,siatke,sk,sk,True,False
鶴,ho̍h,100,ho̍h,hoh8,hoh8,hoh,hoh,,,True,False
捏,liap,50,liap,liap4,liap4,liap,liap,,,True,False
繞,liáu,50,liáu,liau2,liau2,liau,liau,,,True,False
iōng碗,iōng-uánn,25,iōng-óaⁿ,iong7uann2,iong7oann2,ionguann,iongoann,iu,io,True,False
,khò-té,25,khò-té,kho3te2,kho3te2,khote,khote,kt,kt,True,False
一吞,tsi̍t-thun,25,chi̍t-thun,tsit8thun1,chit8thun1,tsitthun,chitthun,tt,ct,True,False
三花,sam-hue,25,sam-hoe,sam1hue1,sam1hoe1,samhue,samhoe,sh,sh,True,False
九層,káu-tsan,25,káu-chan,kau2tsan1,kau2chan1,kautsan,kauchan,kt,kc,True,False
令旗,līng-kî,25,lēng-kî,ling7ki5,leng7ki5,lingki,lengki,lk,lk,True,False
作椅,tsoh-í,25,choh-í,tsoh4i2,choh4i2,tsohi,chohi,ti,ci,True,False
保青,pó-tshenn,25,pó-chheⁿ,po2tshenn1,po2chhenn1,potshenn,pochhenn,pt,pc,True,False
修光,siu-kng,25,siu-kng,siu1kng1,siu1kng1,siukng,siukng,sk,sk,True,False
倒角,tò-kak,25,tò-kak,to3kak4,to3kak4,tokak,tokak,tk,tk,True,False
傍仔,png-á,25,png-á,png1a2,png1a2,pnga,pnga,pa,pa,True,False
