"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HoaBun","EngBun","PageNumber"
"1","a","a","a","a","阿","initial particle, prefix to names of familiar people, as: A-beng... A-hoat... A-tho...",""
"2","a","a","a","a","鴉","crow",""
"3","a","a","a","a","亞","second, next to, inferior",""
"4","á","a2","á","a2","或，亦","or (conjunction), introduces an alternative or a word that explains or means the same",""
"5","Lí sī ha̍k-seng á m̄ sī?","Li2 si7 hak8-seng a2 m7 si7?","Lí sī ha̍k-sing á m̄ sī?","Li2 si7 hak8-sing a2 m7 si7?","你是不是學生？","Are you a student?",""
"6","Lí ū chîⁿ á bô?","Li2 u7 chinn5 a2 bo5?","Lí ū tsînn á bô?","Li2 u7 tsinn5 a2 bo5?","你有沒有錢？","Do you have money?",""
"7","Lí boeh khì á m̄?","Li2 boeh khi3 a2 m7?","Lí bueh khì á m̄?","Li2 bueh khi3 a2 m7?","你要不要去？","Do you want to go?",""
"8","á","a2","á","a2","子，兒","particle used after one syllable nouns for euphony, suffix of nouns, often diminutive",""
"9","bō-á","bo7-a2","bō-á","bo7-a2","帽子","hat",""
"10","chhiū-á","chhiu7-a2","tshiū-á","tshiu7-a2","樹","tree",""
"11","í-á","i2-a2","í-á","i2-a2","椅子","chair",""
"12","káu-á","kau2-a2","káu-á","kau2-a2","狗，小狗","dog",""
"13","A-bēng","A-beng7","A-bīng","A-bing7","亞孟","Amen! So be it!",""
"14","a-bó (a-bú)","a-bo2 (a-bu2)","a-bó (a-bú)","a-bo2 (a-bu2)","母親，媽媽","mother, mama",""
"15","a-cha","a-cha","a-tsa","a-tsa","骯髒","dirty",""
"16","a-ché (a-chí)","a-che2 (a-chi2)","a-tsé (a-tsí)","a-tse2 (a-tsi2)","姊姊","sister (elder sister)",""
"17","a-chek","a-chek","a-tsik","a-tsik","叔父，叔叔","uncle (father's younger brothers)",""
"18","a-chím","a-chim2","a-tsím","a-tsim2","嬸母，嬸嬸","aunt, wife of an uncle on the father's side of the family",""
"19","A-chiu","A-chiu","A-tsiu","A-tsiu","亞洲","Asia",""
"20","A-chiu kim-iông-hong-po̍k","A-chiu kim-iong5-hong-pok8","A-tsiu kim-iông-hong-po̍k","A-tsiu kim-iong5-hong-pok8","亞洲金融風暴","Asian financial storm",""
"21","a-chó͘","a-choo2","a-tsóo","a-tsoo2","曾祖父母","great grandparents on both sides of the family",""
"22","a-hiaⁿ","a-hiann","a-hiann","a-hiann","哥哥","brother (elder brother)",""
"23","a-hui","a-hui","a-hui","a-hui","阿飛","young man who combines the characteristics of a hippie and a juvenile delinquent",""
"24","a-î","a-i5","a-î","a-i5","阿姨，姨媽","aunt, (mother's sisters)",""
"25","a-iân","a-ian5","a-iân","a-ian5","亞鉛，鋅","zinc",""
"26","a-iân-phiáⁿ (iân-phiáⁿ)","a-ian5-phiann2 (ian5-phiann2)","a-iân-phiánn (iân-phiánn)","a-ian5-phiann2 (ian5-phiann2)","亞鉛板，白鐵皮","galvanized metal sheeting",""
"27","khàm a-iân-phiáⁿ","kham3 a-ian5-phiann2","khàm a-iân-phiánn","kham3 a-ian5-phiann2","蓋白鐵皮","roof covered with galvanized metal sheeting",""
"28","a-iân-sòaⁿ (iân-sòaⁿ, thih-sòaⁿ)","a-ian5-soann3 (ian5-soann3, thih-soann3)","a-iân-suànn (iân-suànn, thih-suànn)","a-ian5-suann3 (ian5-suann3, thih-suann3)","鐵絲","galvanized (zinc-coated) wire",""
"29","a-jia̍t-tài","a-jiat8-tai3","a-jia̍t-tài","a-jiat8-tai3","亞熱帶","subtropical zone",""
"30","a-kīm","a-kim7","a-kīm","a-kim7","舅母，舅媽","aunt (wife of an uncle on the mother's side of the family)",""
"31","A-kin-têng","A-kin-teng5","A-kin-tîng","A-kin-ting5","阿根廷","Argentina",""
"32","a-ko͘","a-koo","a-koo","a-koo","姑母，姑媽","aunt (father's sisters)",""
"33","a-kong (án-kong)","a-kong (an2-kong)","a-kong (án-kong)","a-kong (an2-kong)","祖父，爺爺","grandfather",""
"34","a-kū","a-ku7","a-kū","a-ku7","舅父，舅舅","uncle (mother's brothers)",""
"35","a-kun","a-kun","a-kun","a-kun","亞軍","in second place, second prize",""
"36","A-la-hoat-te̍k","A-la-hoat-tek8","A-la-huat-ti̍k","A-la-huat-tik8","阿拉法特","Arafat",""
"37","A-la-pek","A-la-pek","A-la-pik","A-la-pik","阿拉伯","Arabia, Arab",""
"38","A-la-pek liân-ha̍p kiōng-hô-kok (A-liân)","A-la-pek lian5-hap8 kiong7-ho5-kok (A-lian5)","A-la-pik liân-ha̍p kiōng-hô-kok (A-liân)","A-la-pik lian5-hap8 kiong7-ho5-kok (A-lian5)","阿拉伯聯合共和國，阿聯","United Arab Republic",""
"39","A-la-pek sò͘-jī","A-la-pek soo3-ji7","A-la-pik sòo-jī","A-la-pik soo3-ji7","阿拉伯數字","Arabic numerals",""
"40","A-le̍k-san-tāi","A-lek8-san-tai7","A-li̍k-san-tāi","A-lik8-san-tai7","亞歷山大","Alexander the Great (356-323 B.C.)",""
"41","a-lí-put-ta̍t","a-li2-put-tat8","a-lí-put-ta̍t","a-li2-put-tat8","不三不四","useless, not to the point",""
"42","a-lí-put-ta̍t ê pêng-iú","a-li2-put-tat8 e5 peng5-iu2","a-lí-put-ta̍t ê pîng-iú","a-li2-put-tat8 e5 ping5-iu2","不三不四的朋友","useless acquaintance",""
"43","kong kah a-lí-put-ta̍t","kong kah a-li2-put-tat8","kong kah a-lí-put-ta̍t","kong kah a-li2-put-tat8","說得不三不四","say nothing to the point or purpose",""
"44","A-liân","A-lian5","A-liân","A-lian5","阿聯","United Arab Republic",""
"45","a-ḿ","a-m2","a-ḿ","a-m2","伯母","aunt (wife of father's older brothers)",""
"46","a-má","a-ma2","a-má","a-ma2","祖母，奶奶","grandmother",""
"47","a-mo͘-nî-a","a-moo-ni5-a","a-moo-nî-a","a-moo-ni5-a","阿摩尼亞","ammonia",""
"48","A-mô͘-sū","A-moo5-su7","A-môo-sū","A-moo5-su7","亞摩士","Amos",""
"49","a-pa","a-pa","a-pa","a-pa","父親，爸爸","father, daddy, papa",""
"50","à-pà","a3-pa3","à-pà","a3-pa3","霸道，專橫","selfish, covetous, tyrannical, usurp",""
"51","I chin à-pà, lóng bô siūⁿ pa̍t-lâng ê li̍p-tiûⁿ","I chin a3-pa3, long2 bo5 siunn7 pat8-lang5 e5 lip8-tiunn5","I tsin à-pà, lóng bô siūnn pa̍t-lâng ê li̍p-tiûnn","I tsin a3-pa3, long2 bo5 siunn7 pat8-lang5 e5 lip8-tiunn5","他很霸道，都不想別人的立場。","He thinks of no one but himself.",""
"52","I bat à-pà lâng ê chhân-hn̂g.","I bat a3-pa3 lang5 e5 chhan5-hng5.","I bat à-pà lâng ê tshân-hn̂g.","I bat a3-pa3 lang5 e5 tshan5-hng5.","他曾霸佔人的田園。","He encroached on other people's land.",""
"53","a-peh","a-peh","a-peh","a-peh","伯父，伯伯","uncle (father's elder brothers)",""
"54","A-pek-tí-a-su","A-pek-ti2-a-su","A-pik-tí-a-su","A-pik-ti2-a-su","亞北底亞斯","Abdias (Catholic), biblical name for one of the prophets",""
"55","a-phiàn","a-phian3","a-phiàn","a-phian3","鴉片","opium",""
"56","a-phiàn-hun","a-phian3-hun","a-phiàn-hun","a-phian3-hun","鴉片煙","opium prepared for smoking",""
"57","a-phiàn-hun-chhoe","a-phian3-hun-chhoe","a-phiàn-hun-tshue","a-phian3-hun-tshue","鴉片煙管","opium pipe",""
"58","a-phiàn-kúi","a-phian3-kui2","a-phiàn-kuí","a-phian3-kui2","鴉片鬼","opium fiend",""
"59","a-phiàn-sian","a-phian3-sian","a-phiàn-sian","a-phian3-sian","鴉片鬼，瘦皮猴","opium addict, skinny person, bag of bones, scarecrow",""
"60","a-phiàn tiòng-to̍k-chiá","a-phian3 tiong3-tok8-chia2","a-phiàn tiòng-to̍k-tsiá","a-phian3 tiong3-tok8-tsia2","鴉片中毒者","opium addict",""
"61","A-pho-lô","A-pho-lo5","A-pho-lô","A-pho-lo5","阿波羅","Apollo",""
