tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
tsi̍t,chi̍t,一,tsit,chit,1,kautian,False
it,it,一,it,it,1,kautian,False
it,it,乙,it,it,1,kautian,False
ting,teng,丁,ting,teng,1,kautian,False
tshit,chhit,七,tshit,chhit,1,kautian,False
káu,káu,九,kau,kau,1,kautian,False
kiú,kiú,九,kiu,kiu,1,kautian,False
liáu,liáu,了,liau,liau,1,kautian,False
jī,jī,二,ji,ji,1,kautian,False
lī,lī,二,li,li,1,kautian,False
jîn,jîn,人,jin,jin,1,kautian,False
lîn,lîn,人,lin,lin,1,kautian,False
lâng,lâng,人,lang,lang,1,kautian,False
ji̍p,ji̍p,入,jip,jip,1,kautian,False
li̍p,li̍p,入,lip,lip,1,kautian,False
pat,pat,八,pat,pat,1,kautian,False
peh,peh,八,peh,peh,1,kautian,False
pueh,poeh,八,pueh,poeh,1,kautian,False
to,to,刀,to,to,1,kautian,False
tiau,tiau,刁,tiau,tiau,1,kautian,False
la̍t,la̍t,力,lat,lat,1,kautian,False
li̍k,le̍k,力,lik,lek,1,kautian,False
tsa̍p,cha̍p,十,tsap,chap,1,kautian,False
si̍p,si̍p,十,sip,sip,1,kautian,False
poh,poh,卜,poh,poh,1,kautian,False
pok,pok,卜,pok,pok,1,kautian,False
iū,iū,又,iu,iu,1,kautian,False
tn̄g,tn̄g,丈,tng,tng,1,kautian,False
sam,sam,三,sam,sam,1,kautian,False
sann,saⁿ,三,sann,saⁿ,1,kautian,False
tsiūnn,chiūⁿ,上,tsiunn,chiuⁿ,1,kautian,False
tshiūnn,chhiūⁿ,上,tshiunn,chhiuⁿ,1,kautian,False
siōng,siōng,上,siong,siong,1,kautian,False
ē,ē,下,e,e,1,kautian,False
hā,hā,下,ha,ha,1,kautian,False
hē,hē,下,he,he,1,kautian,False
kē,kē,低,ke,ke,1,kautian,False
ê,ê,个,e,e,1,kautian,False
uân,oân,丸,uan,oan,1,kautian,False
kú,kú,久,ku,ku,1,kautian,False
io,io,么,io,io,1,kautian,False
khit,khit,乞,khit,khit,1,kautian,False
iā,iā,也,ia,ia,1,kautian,False
bông,bông,亡,bong,bong,1,kautian,False
huân,hoân,凡,huan,hoan,1,kautian,False
huān,hoān,凡,huan,hoan,1,kautian,False
tshian,chhian,千,tshian,chhian,1,kautian,False
tshing,chheng,千,tshing,chheng,1,kautian,False
tshe,chhe,叉,tshe,chhe,1,kautian,False
kháu,kháu,口,khau,khau,1,kautian,False
thóo,thó͘,土,thoo,tho͘,1,kautian,False
sū,sū,士,su,su,1,kautian,False
ta,ta,大,ta,ta,1,kautian,False
tāi,tāi,大,tai,tai,1,kautian,False
tuā,tōa,大,tua,toa,1,kautian,False
lí,lí,女,li,li,1,kautian,False
lú,lú,女,lu,lu,1,kautian,False
tsí,chí,子,tsi,chi,1,kautian,False
tsú,chú,子,tsu,chu,1,kautian,False
jí,jí,子,ji,ji,1,kautian,False
lí,lí,子,li,li,1,kautian,False
tshùn,chhùn,寸,tshun,chhun,1,kautian,False
siáu,siáu,小,siau,siau,1,kautian,False
sió,sió,小,sio,sio,1,kautian,False
san,san,山,san,san,1,kautian,False
suann,soaⁿ,山,suann,soaⁿ,1,kautian,False
kang,kang,工,kang,kang,1,kautian,False
kong,kong,工,kong,kong,1,kautian,False
kí,kí,己,ki,ki,1,kautian,False
tsī,chī,巳,tsi,chi,1,kautian,False
kin,kin,巾,kin,kin,1,kautian,False
kun,kun,巾,kun,kun,1,kautian,False
kan,kan,干,kan,kan,1,kautian,False
