tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
siān-neh,siān-neh,𤺪呢,sian-neh,sian-neh,2,itaigi
sú-sū,sú-sū,死侍,su-su,su-su,2,itaigi
siá-khóo,siá-khó͘,寫許,sia-khoo,sia-kho͘,2,itaigi
hia̍p-koh,hia̍p-koh,拹閣,hiap-koh,hiap-koh,2,itaigi
kip-sò,kip-sò,急躁,kip-so,kip-so,2,itaigi
pó-tshinn-mo̍oh,pó-chhiⁿ-mo̍͘h,保鮮膜,po-tshinn-mooh,po-chhiⁿ-mo͘h,3,itaigi
tshu-kiā,chhu-kiā,趨崎,tshu-kia,chhu-kia,2,itaigi
tē-tāng-bué,tē-tāng-bóe,地動尾,te-tang-bue,te-tang-boe,3,itaigi
guá-bē-hiáu,góa-bē-hiáu,我袂曉,gua-be-hiau,goa-be-hiau,3,itaigi
phuì-that-á,phùi-that-á,屁窒仔,phui-that-a,phui-that-a,3,itaigi
oo-pe̍h-tshì,o͘-pe̍h-chhì,烏白試,oo-peh-tshi,o͘-peh-chhi,3,itaigi
tuā-lia̍p-nn̄g,tōa-lia̍p-nn̄g,大粒卵,tua-liap-nng,toa-liap-nng,3,itaigi
tshenn-hue,chheⁿ-hoe,青花,tshenn-hue,chheⁿ-hoe,2,itaigi
tshinn-hue,chhiⁿ-hoe,青花,tshinn-hue,chhiⁿ-hoe,2,itaigi
phō-khì-bong,phō-khì-bong,抱去摸,pho-khi-bong,pho-khi-bong,3,itaigi
tshuì,chhùi,喙,tshui,chhui,1,itaigi
uī-tso-tso,ūi-cho-cho,胃慒慒,ui-tso-tso,ui-cho-cho,3,itaigi
sin-senn-á,sin-seⁿ-á,新生仔,sin-senn-a,sin-seⁿ-a,3,itaigi
nn̄g-thah,nn̄g-thah,卵塔,nng-thah,nng-thah,2,itaigi
khàu-iau,khàu-iau,哭枵,khau-iau,khau-iau,2,itaigi
ak-tsak,ak-chak,齷齪,ak-tsak,ak-chak,2,itaigi
tâi-gí,tâi-gí,台語,tai-gi,tai-gi,2,itaigi
tâi-gú,tâi-gú,台語,tai-gu,tai-gu,2,itaigi
bân-lâm-gí,bân-lâm-gí,閩南語,ban-lam-gi,ban-lam-gi,3,itaigi
bân-lâm-gú,bân-lâm-gú,閩南語,ban-lam-gu,ban-lam-gu,3,itaigi
lāu-thuē,lāu-thōe,老傫,lau-thue,lau-thoe,2,itaigi
pēnn-kiánn,pēⁿ-kiáⁿ,病囝,penn-kiann,peⁿ-kiaⁿ,2,itaigi
pīnn-kiánn,pīⁿ-kiáⁿ,病囝,pinn-kiann,piⁿ-kiaⁿ,2,itaigi
kha-thâu-u,kha-thâu-u,跤頭趺,kha-thau-u,kha-thau-u,3,itaigi
tsù-siā,chù-siā,注射,tsu-sia,chu-sia,2,itaigi
tsia̍h-pn̄g,chia̍h-pn̄g,食飯,tsiah-png,chiah-png,2,itaigi
āu-piah-ê,āu-piah-ê,後壁的,au-piah-e,au-piah-e,3,itaigi
tshuì-khí-thiànn,chhùi-khí-thiàⁿ,喙齒疼,tshui-khi-thiann,chhui-khi-thiaⁿ,3,itaigi
iâm-lô-tshenn,iâm-lô-chheⁿ,閻羅星,iam-lo-tshenn,iam-lo-chheⁿ,3,itaigi
iâm-lô-tshinn,iâm-lô-chhiⁿ,閻羅星,iam-lo-tshinn,iam-lo-chhiⁿ,3,itaigi
má-tsóo-tshenn,má-chó͘-chheⁿ,媽祖星,ma-tsoo-tshenn,ma-cho͘-chheⁿ,3,itaigi
má-tsóo-tshinn,má-chó͘-chhiⁿ,媽祖星,ma-tsoo-tshinn,ma-cho͘-chhiⁿ,3,itaigi
thinn-kong-tshenn,thiⁿ-kong-chheⁿ,天公星,thinn-kong-tshenn,thiⁿ-kong-chheⁿ,3,itaigi
thinn-kong-tshinn,thiⁿ-kong-chhiⁿ,天公星,thinn-kong-tshinn,thiⁿ-kong-chhiⁿ,3,itaigi
thâu-tsîng,thâu-chêng,頭前,thau-tsing,thau-cheng,2,itaigi
āu-bīn,āu-bīn,後面,au-bin,au-bin,2,itaigi
phi̍h-phi̍h-tshuah,phi̍h-phi̍h-chhoah,咇咇掣,phih-phih-tshuah,phih-phih-chhoah,3,itaigi
siān-tauh-tauh,siān-tauh-tauh,𤺪篤篤,sian-tauh-tauh,sian-tauh-tauh,3,itaigi
e-phi-phi,e-phi-phi,APP,e-phi-phi,e-phi-phi,3,itaigi
tsúi-sòo,chúi-sò͘,水素,tsui-soo,chui-so͘,2,itaigi
ji̍t-sòo,ji̍t-sò͘,日素,jit-soo,jit-so͘,2,itaigi
tinn-sòo,tiⁿ-sò͘,甜素,tinn-soo,tiⁿ-so͘,2,itaigi
khóo-sòo,khó͘-sò͘,苦素,khoo-soo,kho͘-so͘,2,itaigi
lí-hó,lí-hó,你好,li-ho,li-ho,2,itaigi
iâm-sòo,iâm-sò͘,鹽素,iam-soo,iam-so͘,2,itaigi
tshàu-sòo,chhàu-sò͘,臭素,tshau-soo,chhau-so͘,2,itaigi
phah-tshia-phiò,phah-chhia-phiò,拍車票,phah-tshia-phio,phah-chhia-phio,3,itaigi
