tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
giâ-kang-tsháu,giâ-kang-chháu,蜈蚣草,gia-kang-tshau,gia-kang-chhau,3,sitbut
tó-kî-lîn,tó-kî-lîn,倒麒麟,to-ki-lin,to-ki-lin,3,sitbut
tuē-giâ-kang,tōe-giâ-kang,地蜈蚣,tue-gia-kang,toe-gia-kang,3,sitbut
pit-tâng-tshiū,pit-tâng-chhiū,筆筒樹,pit-tang-tshiu,pit-tang-chhiu,3,sitbut
kuàn-tsiòng,koàn-chiòng,貫眾,kuan-tsiong,koan-chiong,2,sitbut
kut-tshuì-pòo,kut-chhùi-pò͘,骨碎補,kut-tshui-poo,kut-chhui-po͘,3,sitbut
káu-tsit,káu-chit,狗脊,kau-tsit,kau-chit,2,sitbut
lîng-lân-tsháu,lêng-lân-chháu,龍麟草,ling-lan-tshau,leng-lan-chhau,3,sitbut
hōng-bé-tsháu,hōng-bé-chháu,鳳尾草,hong-be-tshau,hong-be-chhau,3,sitbut
suann-neh-kiau,soaⁿ-neh-kiau,山蕨猫,suann-neh-kiau,soaⁿ-neh-kiau,3,sitbut
hong-put-tōng,hong-put-tōng,風不動,hong-put-tong,hong-put-tong,3,sitbut
tshiū-lîng,chhiū-lêng,樹龍,tshiu-ling,chhiu-leng,2,sitbut
tsio̍h-kiàm,chio̍h-kiàm,石劍,tsioh-kiam,chioh-kiam,2,sitbut
bé-bé-si,bé-bé-si,馬尾絲,be-be-si,be-be-si,3,sitbut
keh-niau,keh-niau,蕨猫,keh-niau,keh-niau,2,sitbut
ké-kau-tshái,ké-kau-chhái,過溝菜,ke-kau-tshai,ke-kau-chhai,3,sitbut
thóo-tshuan-nî,thó͘-chhoan-nî,土川連,thoo-tshuan-ni,tho͘-chhoan-ni,3,sitbut
hōng-bé-pit,hōng-bé-pit,鳳尾筆,hong-be-pit,hong-be-pit,3,sitbut
ah-kha-pê,ah-kha-pê,鴨腳筢,ah-kha-pe,ah-kha-pe,3,sitbut
ah-tuê-tsháu,ah-tôe-chháu,鴨蹄草,ah-tue-tshau,ah-toe-chhau,3,sitbut
kim-tsio̍h-uí,kim-chio̍h-úi,金石韋,kim-tsioh-ui,kim-chioh-ui,3,sitbut
keh-niau-tsháu,keh-niau-chháu,蕨猫草,keh-niau-tshau,keh-niau-chhau,3,sitbut
tsínn-pinn-tsháu,chíⁿ-piⁿ-chháu,井邊草,tsinn-pinn-tshau,chiⁿ-piⁿ-chhau,3,sitbut
tsuí-khûn-tshái,chúi-khûn-chhái,水芹菜,tsui-khun-tshai,chui-khun-chhai,3,sitbut
tiann-tshe-tîn,tiaⁿ-chhe-tîn,鼎炊藤,tiann-tshe-tin,tiaⁿ-chhe-tin,3,sitbut
tin-tiong-pit,tin-tiong-pit,珍中筆,tin-tiong-pit,tin-tiong-pit,3,sitbut
tiann-tshuè-tîn,tiaⁿ-chhòe-tîn,鼎刷藤,tiann-tshue-tin,tiaⁿ-chhoe-tin,3,sitbut
sì-hio̍h-tshài,sì-hio̍h-chhài,四葉菜,si-hioh-tshai,si-hioh-chhai,3,sitbut
tsuí-iâm-sng,chúi-iâm-sng,水鹽酸,tsui-iam-sng,chui-iam-sng,3,sitbut
khu-phiô,khu-phiô,丘萍,khu-phio,khu-phio,2,sitbut
bo̍k-tsi̍k-tsháu,bo̍k-che̍k-chháu,木賊草,bok-tsik-tshau,bok-chek-chhau,3,sitbut
tsiap-kut-tang,chiap-kut-tang,接骨筒,tsiap-kut-tang,chiap-kut-tang,3,sitbut
tsiap-kut-tsháu,chiap-kut-chháu,接骨草,tsiap-kut-tshau,chiap-kut-chhau,3,sitbut
niau-kong-tshi,niau-kong-chhi,貓公刺,niau-kong-tshi,niau-kong-chhi,3,sitbut
thih-kut-mn̂g,thih-kut-mn̂g,鐵骨毛,thih-kut-mng,thih-kut-mng,3,sitbut
lo̍k-jiông-tshàu,lo̍k-jiông-chhàu,鹿茸草,lok-jiong-tshau,lok-jiong-chhau,3,sitbut
kim-put-huàn,kim-put-hoàn,金不換,kim-put-huan,kim-put-hoan,3,sitbut
tshit-tshùn-kim,chhit-chhùn-kim,七寸金,tshit-tshun-kim,chhit-chhun-kim,3,sitbut
kńg-peh,kńg-peh,卷柏,kng-peh,kng-peh,2,sitbut
bān-liân-siông,bān-liân-siông,萬年松,ban-lian-siong,ban-lian-siong,3,sitbut
soo-thih,so͘-thih,蘇鐵,soo-thih,so͘-thih,2,sitbut
âng-sam,âng-sam,紅杉,ang-sam,ang-sam,2,sitbut
suann-sam,soaⁿ-sam,山杉,suann-sam,soaⁿ-sam,2,sitbut
pah-jit-tshinn,pah-jit-chhiⁿ,百日青,pah-jit-tshinn,pah-jit-chhiⁿ,3,sitbut
tik-peh,tek-peh,竹柏,tik-peh,tek-peh,2,sitbut
thóo-sam,thó͘-sam,土杉,thoo-sam,tho͘-sam,2,sitbut
pe̍h-tshîng-peh,pe̍h-chhêng-peh,白松柏,peh-tshing-peh,peh-chheng-peh,3,sitbut
tōo,tō͘,杜,too,to͘,1,sitbut
iû-sam,iû-sam,油杉,iu-sam,iu-sam,2,sitbut
siông-lô-tōo,siông-lô-tō͘,松蘿杜,siong-lo-too,siong-lo-to͘,3,sitbut
tshîng,chhêng,松,tshing,chheng,1,sitbut
âng-tshîng-peh,âng-chhêng-peh,紅松柏,ang-tshing-peh,ang-chheng-peh,3,sitbut
tshîng-peh,chhêng-peh,松柏,tshing-peh,chheng-peh,2,sitbut
siông-lô,siông-lô,松蘿,siong-lo,siong-lo,2,sitbut
iû-tshîng,iû-chhêng,油杉,iu-tshing,iu-chheng,2,sitbut
sam,sam,杉,sam,sam,1,sitbut
kóng-hio̍h-sam,kóng-hio̍h-sam,廣葉杉,kong-hioh-sam,kong-hioh-sam,3,sitbut
sam-á,sam-á,杉仔,sam-a,sam-a,2,sitbut
hok-tsiu-sam,hok-chiu-sam,福州杉,hok-tsiu-sam,hok-chiu-sam,3,sitbut
hiunn-sam,hiuⁿ-sam,香杉,hiunn-sam,hiuⁿ-sam,2,sitbut
oo-sam,o͘-sam,烏杉,oo-sam,o͘-sam,2,sitbut
un-tsiu-sam,un-chiu-sam,溫州杉,un-tsiu-sam,un-chiu-sam,3,sitbut
a-sam,a-sam,亞杉,a-sam,a-sam,2,sitbut
po̍h-phê,po̍h-phê,薄皮,poh-phe,poh-phe,2,sitbut
siông-ngôo,siông-ngô͘,松梧,siong-ngoo,siong-ngo͘,2,sitbut
kāu-khak,kāu-khak,厚殼,kau-khak,kau-khak,2,sitbut
siau-lâm,siau-lâm,肖楠,siau-lam,siau-lam,2,sitbut
n̂g-bah-tshiū,n̂g-bah-chhiū,黃肉樹,ng-bah-tshiu,ng-bah-chhiu,3,sitbut
tshik-peh,chhek-peh,側柏,tshik-peh,chhek-peh,2,sitbut
tsuí-tsik,chúi-chek,水燭,tsui-tsik,chui-chek,2,sitbut
suann-nâ-tâu,soaⁿ-nâ-tâu,山林投,suann-na-tau,soaⁿ-na-tau,3,sitbut
nâ-tâu,nâ-tâu,林投,na-tau,na-tau,2,sitbut
tsuí-ōo,chúi-ō͘,水芋,tsui-oo,chui-o͘,2,sitbut
tsu̍t-bí-tsháu,chu̍t-bí-chháu,秫米草,tsut-bi-tshau,chut-bi-chhau,3,sitbut
si-suànn-tsháu,si-sòaⁿ-chháu,絲線草,si-suann-tshau,si-soaⁿ-chhau,3,sitbut
tsìnn-tik-á,chìⁿ-tek-á,矢竹仔,tsinn-tik-a,chiⁿ-tek-a,3,sitbut
tsìnn-tik,chìⁿ-tek,箭竹,tsinn-tik,chiⁿ-tek,2,sitbut
lôo-tik,lô͘-tek,蘆竹,loo-tik,lo͘-tek,2,sitbut
tsuí-lôo-tik,chúi-lô͘-tek,水蘆竹,tsui-loo-tik,chui-lo͘-tek,3,sitbut
kak-á-tik,kak-á-tek,桷仔竹,kak-a-tik,kak-a-tek,3,sitbut
tn̂g-ki-á,tn̂g-ki-á,長枝仔,tng-ki-a,tng-ki-a,3,sitbut
hé-kn̂g-tik,hé-kn̂g-tek,火管竹,he-kng-tik,he-kng-tek,3,sitbut
kuan-im-tik,koan-im-tek,觀音竹,kuan-im-tik,koan-im-tek,3,sitbut
hōng-bé-tik,hōng-bé-tek,鳳尾竹,hong-be-tik,hong-be-tek,3,sitbut
lik-tik,lek-tek,綠竹,lik-tik,lek-tek,2,sitbut
tsinn-tik,chiⁿ-tek,矢竹,tsinn-tik,chiⁿ-tek,2,sitbut
tshì-tik,chhì-tek,刺竹,tshi-tik,chhi-tek,2,sitbut
sué-á,sóe-á,黍仔,sue-a,soe-a,2,sitbut
tâi-á,tâi-á,檯仔,tai-a,tai-a,2,sitbut
káu-bé-tsháu,káu-bé-chháu,狗尾草,kau-be-tshau,kau-be-chhau,3,sitbut
ah-bú-tsu,ah-bú-chu,鴨母珠,ah-bu-tsu,ah-bu-chu,3,sitbut
hiang-hm̂,hiang-hm̂,香茅,hiang-hm,hiang-hm,2,sitbut
muâ-tik,môa-tek,蔴竹,mua-tik,moa-tek,2,sitbut
phuē,phōe,稗,phue,phoe,1,sitbut
suann-âng-be̍h,soaⁿ-âng-be̍h,山紅麥,suann-ang-beh,soaⁿ-ang-beh,3,sitbut
hî-liu-tsháu,hî-liu-chháu,魚鰌草,hi-liu-tshau,hi-liu-chhau,3,sitbut
gû-tùn-tsháu,gû-tùn-chháu,牛頓草,gu-tun-tshau,gu-tun-chhau,3,sitbut
bān-kun-tsháu,bān-kun-chháu,萬斤草,ban-kun-tshau,ban-kun-chhau,3,sitbut
huan-sué,hoan-sóe,蕃黍,huan-sue,hoan-soe,2,sitbut
lōo-sué,lō͘-sóe,蘆黍,loo-sue,lo͘-soe,2,sitbut
tuā-be̍h,tōa-be̍h,大麥,tua-beh,toa-beh,2,sitbut
hm̂-tsháu,hm̂-chháu,茅草,hm-tshau,hm-chhau,2,sitbut
hm̂-á-tsháu,hm̂-á-chháu,茅仔草,hm-a-tshau,hm-a-chhau,3,sitbut
hm̂-á,hm̂-á,茅仔,hm-a,hm-a,2,sitbut
tshuan-san-liông,chhoan-san-liông,穿山龍,tshuan-san-liong,chhoan-san-liong,3,sitbut
tām-tik,tām-tek,淡竹,tam-tik,tam-tek,2,sitbut
suan-á,soan-á,萱仔,suan-a,soan-a,2,sitbut
kuann-bâng,koaⁿ-bâng,菅芒,kuann-bang,koaⁿ-bang,2,sitbut
tsu̍t-bí-tsháu,chu̍t-bí-chháu,𥟇米草,tsut-bi-tshau,chut-bi-chhau,3,sitbut
tiū-á,tiū-á,稻仔,tiu-a,tiu-a,2,sitbut
poo-tiū,po͘-tiū,埔稻,poo-tiu,po͘-tiu,2,sitbut
ah-kha-sué,ah-kha-sóe,鴨腳黍,ah-kha-sue,ah-kha-soe,3,sitbut
n̂g-sik,n̂g-sek,黃粟,ng-sik,ng-sek,2,sitbut
tuā-hong-tsháu,tōa-hong-chháu,大風草,tua-hong-tshau,toa-hong-chhau,3,sitbut
hong-thai-tsháu,hong-thai-chháu,風颱草,hong-thai-tshau,hong-thai-chhau,3,sitbut
jîn-biān-tik,jîn-biān-tek,人面竹,jin-bian-tik,jin-bian-tek,3,sitbut
tsio̍h-tik-á,chio̍h-tek-á,石竹仔,tsioh-tik-a,chioh-tek-a,3,sitbut
tsio̍h-tik,chio̍h-tek,石竹,tsioh-tik,chioh-tek,2,sitbut
kiō-kǹg-tik,kiō-kǹg-tek,轎槓竹,kio-kng-tik,kio-kng-tek,3,sitbut
kuì-tik-á,kùi-tek-á,桂竹仔,kui-tik-a,kui-tek-a,3,sitbut
kuì-tik,kùi-tek,桂竹,kui-tik,kui-tek,2,sitbut
oo-tik-á,o͘-tek-á,烏竹仔,oo-tik-a,o͘-tek-a,3,sitbut
bâ-lî-tik,bâ-lî-tek,茅茹竹,ba-li-tik,ba-li-tek,3,sitbut
bēng-tsong-tik,bēng-chong-tek,孟宗竹,beng-tsong-tik,beng-chong-tek,3,sitbut
pit-á-tsháu,pit-á-chháu,筆仔草,pit-a-tshau,pit-a-chhau,3,sitbut
âng-mn̂g-tsháu,âng-mn̂g-chháu,紅毛草,ang-mng-tshau,ang-mng-chhau,3,sitbut
kam-tsià,kam-chià,甘蔗,kam-tsia,kam-chia,2,sitbut
la̍h-tshì,la̍h-chhì,臘刺,lah-tshi,lah-chhi,2,sitbut
mn̂g-huē-tsháu,mn̂g-hōe-chháu,磅蟹草,mng-hue-tshau,mng-hoe-chhau,3,sitbut
be̍h-á,be̍h-á,麥仔,beh-a,beh-a,2,sitbut
sió-be̍h,sió-be̍h,小麥,sio-beh,sio-beh,2,sitbut
huan-be̍h,hoan-be̍h,蕃麥,huan-beh,hoan-beh,2,sitbut
kha-pe̍h-sún,kha-pe̍h-sún,腳白筍,kha-peh-sun,kha-peh-sun,3,sitbut
ka-pe̍h-sún,ka-pe̍h-sún,茭白筍,ka-peh-sun,ka-peh-sun,3,sitbut
thôo-hiunn,thô͘-hiuⁿ,土香,thoo-hiunn,tho͘-hiuⁿ,2,sitbut
bé-tsî,bé-chî,碼薯,be-tsi,be-chi,2,sitbut
sat-pìn-tsháu,sat-pìn-chháu,虱篦草,sat-pin-tshau,sat-pin-chhau,3,sitbut
pe̍h-hiong-hù,pe̍h-hiong-hù,白香附,peh-hiong-hu,peh-hiong-hu,3,sitbut
bô-thâu-hiunn,bô-thâu-hiuⁿ,無頭香,bo-thau-hiunn,bo-thau-hiuⁿ,3,sitbut
tshio̍h-tsháu,chhio̍h-chháu,蓆草,tshioh-tshau,chhioh-chhau,2,sitbut
pin-nn̂g,pin-nn̂g,檳榔,pin-nng,pin-nng,2,sitbut
tshinn-á,chhiⁿ-á,菁仔,tshinn-a,chhiⁿ-a,2,sitbut
suann-tsang,soaⁿ-chang,山棕,suann-tsang,soaⁿ-chang,2,sitbut
tsuí-tîn,chúi-tîn,水籐,tsui-tin,chui-tin,2,sitbut
n̂g-tîn,n̂g-tîn,黃籐,ng-tin,ng-tin,2,sitbut
tîn,tîn,藤,tin,tin,1,sitbut
iâ-phiô,iâ-phiô,椰瓢,ia-phio,ia-phio,2,sitbut
pôo-kuî,pô͘-kûi,蒲葵,poo-kui,po͘-kui,2,sitbut
khong-lông,khong-lông,糠榔,khong-long,khong-long,2,sitbut
kong-lông,kong-lông,桄榔,kong-long,kong-long,2,sitbut
liû-kiû-tik,liû-kiû-tek,琉球竹,liu-kiu-tik,liu-kiu-tek,3,sitbut
kun-thâu-tik,kun-thâu-tek,筋頭竹,kun-thau-tik,kun-thau-tek,3,sitbut
tsang,chang,棕,tsang,chang,1,sitbut
tshong-pô,chhong-pô,菖蒲,tshong-po,chhong-po,2,sitbut
tsio̍h-tshiong-pô,chio̍h-chhiong-pô,石菖蒲,tsioh-tshiong-po,chioh-chhiong-po,3,sitbut
tsio̍h-tshiong-pôo,chio̍h-chhiong-pô͘,石菖蒲,tsioh-tshiong-poo,chioh-chhiong-po͘,3,sitbut
ko-pô-ōo,ko-pô-ō͘,姑婆芋,ko-po-oo,ko-po-o͘,3,sitbut
luî-kong-tshìng,lûi-kong-chhèng,雷公銃,lui-kong-tshing,lui-kong-chheng,3,sitbut
