tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
si̍k-sua,se̍k-soa,矽砂,sik-sua,sek-soa,2,taigitv
tshiau-im-pho,chhiau-im-pho,超音波,tshiau-im-pho,chhiau-im-pho,3,taigitv
sió-sam-thong,sió-sam-thong,小三通,sio-sam-thong,sio-sam-thong,3,taigitv
sing-lī-sik,seng-lī-sek,升利息,sing-li-sik,seng-li-sek,3,taigitv
tsuí-ti,chúi-ti,水豬,tsui-ti,chui-ti,2,taigitv
tsuí-tu,chúi-tu,水豬,tsui-tu,chui-tu,2,taigitv
senn-thuànn-tē,seⁿ-thòaⁿ-tē,生湠地,senn-thuann-te,seⁿ-thoaⁿ-te,3,taigitv
sinn-thuànn-tuē,siⁿ-thòaⁿ-tōe,生湠地,sinn-thuann-tue,siⁿ-thoaⁿ-toe,3,taigitv
khuài-sî-siōng,khoài-sî-siōng,快時尚,khuai-si-siong,khoai-si-siong,3,taigitv
tōo-tsâi-ting,tō͘-châi-teng,肚臍丁,too-tsai-ting,to͘-chai-teng,3,taigitv
nāi-bí,nāi-bí,奈米,nai-bi,nai-bi,2,taigitv
bîng-thài-tsí,bêng-thài-chí,明太子,bing-thai-tsi,beng-thai-chi,3,taigitv
mê-thài-khòo,mê-thài-khò͘,明太子,me-thai-khoo,me-thai-kho͘,3,taigitv
sîn-pho-to,sîn-pho-to,神波刀,sin-pho-to,sin-pho-to,3,taigitv
tâi,tâi,埋,tai,tai,1,taigitv
tshe-tē,chhe-tē,棲地,tshe-te,chhe-te,2,taigitv
tshe-tuē,chhe-tōe,棲地,tshe-tue,chhe-toe,2,taigitv
bû-jîn-ki,bû-jîn-ki,無人機,bu-jin-ki,bu-jin-ki,3,taigitv
bô-lâng-ki,bô-lâng-ki,無人機,bo-lang-ki,bo-lang-ki,3,taigitv
bû-lîn-ki,bû-lîn-ki,無人機,bu-lin-ki,bu-lin-ki,3,taigitv
hānn-nî,hāⁿ-nî,迒年,hann-ni,haⁿ-ni,2,taigitv
khuà-nî,khòa-nî,跨年,khua-ni,khoa-ni,2,taigitv
iûnn-lo̍k-tô,iûⁿ-lo̍k-tô,羊駱駝,iunn-lok-to,iuⁿ-lok-to,3,taigitv
lo̍k-tô-bé,lo̍k-tô-bé,駱駝馬,lok-to-be,lok-to-be,3,taigitv
khîm-liû-kám,khîm-liû-kám,禽流感,khim-liu-kam,khim-liu-kam,3,taigitv
khîm-tsiáu-luī,khîm-chiáu-lūi,禽鳥類,khim-tsiau-lui,khim-chiau-lui,3,taigitv
iánn-bê,iáⁿ-bê,影迷,iann-be,iaⁿ-be,2,taigitv
tsheh-bê,chheh-bê,冊迷,tsheh-be,chheh-be,2,taigitv
to-lûn-to,to-lûn-to,多倫多,to-lun-to,to-lun-to,3,taigitv
ki-tsió-tsìng,ki-chió-chèng,肌少症,ki-tsio-tsing,ki-chio-cheng,3,taigitv
tsū-the̍h-khu,chū-the̍h-khu,住宅區,tsu-theh-khu,chu-theh-khu,3,taigitv
khik-liû-kám,khek-liû-kám,克流感,khik-liu-kam,khek-liu-kam,3,taigitv
líng-tì-sik,léng-tì-sek,冷智識,ling-ti-sik,leng-ti-sek,3,taigitv
sua-li̍k-gâm,soa-le̍k-gâm,沙礫岩,sua-lik-gam,soa-lek-gam,3,taigitv
kak-kiû,kak-kiû,角球,kak-kiu,kak-kiu,2,taigitv
khòo-nah,khò͘-nah,角球,khoo-nah,kho͘-nah,2,taigitv
hô-luē,hô-lōe,河內,ho-lue,ho-loe,2,taigitv
pài-ting,pài-teng,拜登,pai-ting,pai-teng,2,taigitv
tsuânn-jū-thài,chôaⁿ-jū-thài,泉裕泰,tsuann-ju-thai,choaⁿ-ju-thai,3,taigitv
tsuânn-lū-thài,chôaⁿ-lū-thài,泉裕泰,tsuann-lu-thai,choaⁿ-lu-thai,3,taigitv
phòng-phuh,phòng-phuh,phòng-phuh,phong-phuh,phong-phuh,2,taigitv
lûn-tun,lûn-tun,倫敦,lun-tun,lun-tun,2,taigitv
kiong-siânn-kuān,kiong-siâⁿ-koān,宮城縣,kiong-siann-kuan,kiong-siaⁿ-koan,3,taigitv
siā-tsiànn,siā-chiàⁿ,射正,sia-tsiann,sia-chiaⁿ,2,taigitv
khòo-tik-tso̍k,khò͘-tek-cho̍k,庫德族,khoo-tik-tsok,kho͘-tek-chok,3,taigitv
bok-sìn-gù,bok-sìn-gù,bok-sìn-gù,bok-sin-gu,bok-sin-gu,3,taigitv
siau-môo-liōng,siau-mô͘-liōng,消磨量,siau-moo-liong,siau-mo͘-liong,3,taigitv
me̍h-tshiong-kng,me̍h-chhiong-kng,脈衝光,meh-tshiong-kng,meh-chhiong-kng,3,taigitv
phuè-thò,phòe-thò,配套,phue-tho,phoe-tho,2,taigitv
phè-thò,phè-thò,配套,phe-tho,phe-tho,2,taigitv
ma-lá-sóng,ma-lá-sóng,馬拉松,ma-la-song,ma-la-song,3,taigitv
má-tik-lí,má-tek-lí,馬德里,ma-tik-li,ma-tek-li,3,taigitv
siang-tê-bo̍k,siang-tê-bo̍k,雙蹄目,siang-te-bok,siang-te-bok,3,taigitv
siang-tuê-bo̍k,siang-tôe-bo̍k,雙蹄目,siang-tue-bok,siang-toe-bok,3,taigitv
hù-si̍t-phín,hù-si̍t-phín,副食品,hu-sit-phin,hu-sit-phin,3,taigitv
tô-thài-sài,tô-thài-sài,淘汰賽,to-thai-sai,to-thai-sai,3,taigitv
kiû-bê,kiû-bê,球迷,kiu-be,kiu-be,2,taigitv
bo̍k-su-kho,bo̍k-su-kho,莫斯科,bok-su-kho,bok-su-kho,3,taigitv
moo-té-nah,mo͘-té-nah,莫德納,moo-te-nah,mo͘-te-nah,3,taigitv
phênn-phok-siā,phêⁿ-phok-siā,彭博社,phenn-phok-sia,pheⁿ-phok-sia,3,taigitv
phînn-phok-siā,phîⁿ-phok-siā,彭博社,phinn-phok-sia,phiⁿ-phok-sia,3,taigitv
sûn-khuân-pue,sûn-khoân-poe,循環杯,sun-khuan-pue,sun-khoan-poe,3,taigitv
tshiau-má,chhiau-má,超馬,tshiau-ma,chhiau-ma,2,taigitv
pháu-tsiá,pháu-chiá,跑者,phau-tsia,phau-chia,2,taigitv
kiunn-á-hóo,kiuⁿ-á-hó͘,羌仔虎,kiunn-a-hoo,kiuⁿ-a-ho͘,3,taigitv
k-tha-bīng,k-tha-bēng,K他命,k-tha-bing,k-tha-beng,3,taigitv
soo-kiù-káu,so͘-kiù-káu,搜救狗,soo-kiu-kau,so͘-kiu-kau,3,taigitv
tshiau-tshuē,chhiau-chhōe,搜揣,tshiau-tshue,chhiau-chhoe,2,taigitv
tshiau-tshē,chhiau-chhē,搜揣,tshiau-tshe,chhiau-chhe,2,taigitv
bia̍t-hué-khì,bia̍t-hóe-khì,滅火器,biat-hue-khi,biat-hoe-khi,3,taigitv
bia̍t-hé-khì,bia̍t-hé-khì,滅火器,biat-he-khi,biat-he-khi,3,taigitv
suī-lo̍k-sua,sūi-lo̍k-soa,瑞樂沙,sui-lok-sua,sui-lok-soa,3,taigitv
phû-tô-gâ,phû-tô-gâ,葡萄牙,phu-to-ga,phu-to-ga,3,taigitv
lōo-thàu-siā,lō͘-thàu-siā,路透社,loo-thau-sia,lo͘-thau-sia,3,taigitv
luî-kin,lûi-kin,雷根,lui-kin,lui-kin,2,taigitv
luî-kun,lûi-kun,雷根,lui-kun,lui-kun,2,taigitv
tiān-tōo,tiān-tō͘,電鍍,tian-too,tian-to͘,2,taigitv
kàm-sī-khì,kàm-sī-khì,監視器,kam-si-khi,kam-si-khi,3,taigitv
tân-hik,tân-hek,彈劾,tan-hik,tan-hek,2,taigitv
póo-sat,pó͘-sat,捕殺,poo-sat,po͘-sat,2,taigitv
iô-hang-pháng,iô-hang-pháng,窯烘麭,io-hang-phang,io-hang-phang,3,taigitv
ti-liû-kám,ti-liû-kám,豬流感,ti-liu-kam,ti-liu-kam,3,taigitv
tu-liû-kám,tu-liû-kám,豬流感,tu-liu-kam,tu-liu-kam,3,taigitv
hui-suī,hui-sūi,輝瑞,hui-sui,hui-sui,2,taigitv
hái-kheh,hái-kheh,駭客,hai-kheh,hai-kheh,2,taigitv
nuâ-tsa̍h,nôa-cha̍h,攔閘,nua-tsah,noa-chah,2,taigitv
piàn-ī-tsu,piàn-ī-chu,變異株,pian-i-tsu,pian-i-chu,3,taigitv
ngóo-siōng,ngó͘-siōng,偶像,ngoo-siong,ngo͘-siong,2,taigitv
ú-jiông-sann,ú-jiông-saⁿ,羽絨衫,u-jiong-sann,u-jiong-saⁿ,3,taigitv
ú-liông-sann,ú-liông-saⁿ,羽絨衫,u-liong-sann,u-liong-saⁿ,3,taigitv
lia̍h-giâ,lia̍h-giâ,掠夯,liah-gia,liah-gia,2,taigitv
thènn-giâ,thèⁿ-giâ,牚夯,thenn-gia,theⁿ-gia,2,taigitv
thìnn-giâ,thìⁿ-giâ,牚夯,thinn-gia,thiⁿ-gia,2,taigitv
kun-hua̍t,kun-hoa̍t,軍閥,kun-huat,kun-hoat,2,taigitv
phik-li̍k-bú,phek-le̍k-bú,霹靂舞,phik-lik-bu,phek-lek-bu,3,taigitv
làng-uī-tsē,làng-ūi-chē,閬位坐,lang-ui-tse,lang-ui-che,3,taigitv
tsing-liū,cheng-liū,蒸餾,tsing-liu,cheng-liu,2,taigitv
sann-kak-tsui,saⁿ-kak-chui,三角錐,sann-kak-tsui,saⁿ-kak-chui,3,taigitv
hué-sio-suann,hóe-sio-soaⁿ,火燒山,hue-sio-suann,hoe-sio-soaⁿ,3,taigitv
hé-sio-suann,hé-sio-soaⁿ,火燒山,he-sio-suann,he-sio-soaⁿ,3,taigitv
lua̍h-á-tshân,loa̍h-á-chhân,捋仔田,luah-a-tshan,loah-a-chhan,3,taigitv
hâng-suànn,hâng-sòaⁿ,航線,hang-suann,hang-soaⁿ,2,taigitv
tiān-hû-thui,tiān-hû-thui,電扶梯,tian-hu-thui,tian-hu-thui,3,taigitv
keh-mê-tsuì,keh-mê-chùi,隔暝醉,keh-me-tsui,keh-me-chui,3,taigitv
keh-mî-tsuì,keh-mî-chùi,隔暝醉,keh-mi-tsui,keh-mi-chui,3,taigitv
pàng-hōo-nuā,pàng-hō͘-nōa,放予爛,pang-hoo-nua,pang-ho͘-noa,3,taigitv
tsha̍k-hue,chha̍k-hoe,鑿花,tshak-hue,chhak-hoe,2,taigitv
sam-put-tíng,sam-put-téng,三不等,sam-put-ting,sam-put-teng,3,taigitv
kik-guā-guā,kek-gōa-gōa,激外外,kik-gua-gua,kek-goa-goa,3,taigitv
ē-hâi-khok,ē-hâi-khok,下頦觳,e-hai-khok,e-hai-khok,3,taigitv
