tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
á-phàu,á-phàu,阿炮,a-phau,a-phau,2,taihoa
à-lîng,à-lêng,啞鈴,a-ling,a-leng,2,taihoa
ā-khú-lih,ā-khú-lih,ā-khú-lih,a-khu-lih,a-khu-lih,3,taihoa
a-bó,a-bó,阿母,a-bo,a-bo,2,taihoa
a-tsa,a-cha,腌臢,a-tsa,a-cha,2,taihoa
a-tsik,a-chek,阿叔,a-tsik,a-chek,2,taihoa
a-tsím,a-chím,阿嬸,a-tsim,a-chim,2,taihoa
a-tsiu,a-chiu,亞洲,a-tsiu,a-chiu,2,taihoa
a-tsóo,a-chó͘,阿祖,a-tsoo,a-cho͘,2,taihoa
a-geh,a-geh,阿給,a-geh,a-geh,2,taihoa
ah,ah,ah,ah,ah,1,taihoa
ah,ah,押,ah,ah,1,taihoa
ah,ah,鴨,ah,ah,1,taihoa
ah,ah,壓,ah,ah,1,taihoa
ah-bué-āu,ah-bóe-āu,押尾後,ah-bue-au,ah-boe-au,3,taihoa
a̍h,a̍h,a̍h,ah,ah,1,taihoa
a̍h,a̍h,盒,ah,ah,1,taihoa
a̍h-á,a̍h-á,匣仔,ah-a,ah-a,2,taihoa
a̍h-á,a̍h-á,盒仔,ah-a,ah-a,2,taihoa
a̍h-tshioh,a̍h-chhioh,壓尺,ah-tshioh,ah-chhioh,2,taihoa
a̍h-tsng,a̍h-chng,盒裝,ah-tsng,ah-chng,2,taihoa
a̍h-ik,a̍h-ek,壓抑,ah-ik,ah-ek,2,taihoa
a̍h-kē,a̍h-kē,壓低,ah-ke,ah-ke,2,taihoa
a̍h-kíng,a̍h-kéng,壓境,ah-king,ah-keng,2,taihoa
a̍h-pán,a̍h-pán,壓板,ah-pan,ah-pan,2,taihoa
ah-á-kiánn,ah-á-kiáⁿ,鴨仔囝,ah-a-kiann,ah-a-kiaⁿ,3,taihoa
ah-āu,ah-āu,押後,ah-au,ah-au,2,taihoa
ah-bah,ah-bah,鴨肉,ah-bah,ah-bah,2,taihoa
ah-bî,ah-bî,鴨咪,ah-bi,ah-bi,2,taihoa
ah-bî-á,ah-bî-á,鴨咪仔,ah-bi-a,ah-bi-a,3,taihoa
ah-bī,ah-bī,鴨味,ah-bi,ah-bi,2,taihoa
ah-bī,ah-bī,壓味,ah-bi,ah-bi,2,taihoa
ah-bó,ah-bó,鴨母,ah-bo,ah-bo,2,taihoa
ah-bó-tsháu,ah-bó-chháu,鴨母草,ah-bo-tshau,ah-bo-chhau,3,taihoa
ah-bó-tshiū,ah-bó-chhiū,鴨母樹,ah-bo-tshiu,ah-bo-chhiu,3,taihoa
ah-bó-tsu,ah-bó-chu,鴨母珠,ah-bo-tsu,ah-bo-chu,3,taihoa
