tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
a,a,鴉,a,a,1,taijit
a,a,啊,a,a,1,taijit
a,a,阿,a,a,1,taijit
á,á,仔,a,a,1,taijit
á,á,尚,a,a,1,taijit
á,á,也,a,a,1,taijit
á,á,阿,a,a,1,taijit
à-à,à-à,à-à,a-a,a-a,2,taijit
à-à,à-à,啞啞,a-a,a-a,2,taijit
á-bē,á-bē,猶未,a-be,a-be,2,taijit
á-buē,á-bōe,尚未,a-bue,a-boe,2,taijit
á-tshiâu,á-chhiâu,阿誚,a-tshiau,a-chhiau,2,taijit
á-î,á-î,á-î,a-i,a-i,2,taijit
á-kiánn,á-kiáⁿ,阿囝,a-kiann,a-kiaⁿ,2,taijit
á-pá,á-pá,á-pá,a-pa,a-pa,2,taijit
á-sī,á-sī,抑是,a-si,a-si,2,taijit
à,à,啞,a,a,1,taijit
à,à,亞,a,a,1,taijit
à,à,à,a,a,1,taijit
à,à,呵,a,a,1,taijit
à-guân,à-goân,亞元,a-guan,a-goan,2,taijit
à-khue,à-khoe,亞魁,a-khue,a-khoe,2,taijit
à-khóo,à-khó͘,啞口,a-khoo,a-kho͘,2,taijit
à-lîng,à-lêng,啞鈴,a-ling,a-leng,2,taijit
à-pà,à-pà,拗霸,a-pa,a-pa,2,taijit
à-sìng,à-sèng,亞聖,a-sing,a-seng,2,taijit
â,â,呵,a,a,1,taijit
ā,ā,亦,a,a,1,taijit
ā,ā,也,a,a,1,taijit
ā,ā,呵,a,a,1,taijit
ā-tsi̍t-ê,ā-chi̍t-ê,亦一個,a-tsit-e,a-chit-e,3,taijit
ā-sái,ā-sái,亦使,a-sai,a-sai,2,taijit
ā-sī,ā-sī,亦是,a-si,a-si,2,taijit
ā-sī,ā-sī,也是,a-si,a-si,2,taijit
ā-ū,ā-ū,亦有,a-u,a-u,2,taijit
a-a,a-a,呵呵,a-a,a-a,2,taijit
a-bú,a-bú,阿母,a-bu,a-bu,2,taijit
a-tsa,a-cha,a-cha,a-tsa,a-cha,2,taijit
a-tsam,a-cham,a-cham,a-tsam,a-cham,2,taijit
a-tsik,a-chek,阿叔,a-tsik,a-chek,2,taijit
a-tsé,a-ché,阿姊,a-tse,a-che,2,taijit
a-tsiá,a-chiá,阿姐,a-tsia,a-chia,2,taijit
a-tsím,a-chím,阿嬸,a-tsim,a-chim,2,taijit
a-tsiu,a-chiu,亞洲,a-tsiu,a-chiu,2,taijit
a-tsóo,a-chó͘,阿祖,a-tsoo,a-cho͘,2,taijit
a-gū,a-gū,阿語,a-gu,a-gu,2,taijit
a-guī,a-gūi,阿魏,a-gui,a-gui,2,taijit
ah,ah,鴨,ah,ah,1,taijit
ah,ah,百,ah,ah,1,taijit
ah,ah,押,ah,ah,1,taijit
ah,ah,呵,ah,ah,1,taijit
ah,ah,啊,ah,ah,1,taijit
a̍h,a̍h,盒,ah,ah,1,taijit
a̍h,a̍h,押,ah,ah,1,taijit
a̍h,a̍h,亦,ah,ah,1,taijit
a̍h,a̍h,呵,ah,ah,1,taijit
