hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
兮,ê,ê,33907,False,False,False,False,False,False,False,False,False,False
𫃵,lí,lí,13755,False,False,False,False,False,False,False,False,False,False
屡,lí,lí,13755,False,False,False,False,False,False,False,False,False,False
縷,lí,lí,13755,False,False,False,False,False,False,False,False,False,False
旡,bô,bô,12353,False,False,False,False,False,False,False,False,False,False
无,bô,bô,12353,False,False,False,False,False,False,False,False,False,False
与,ū,ū,12082,False,False,False,False,False,False,False,False,False,False
豎,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
𣗳,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
逝,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
叙,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
誓,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
墅,sī,sī,10209,False,False,False,False,False,False,False,False,False,False
壠,lâng,lâng,9502,False,False,False,False,False,False,False,False,False,False
莱,lâi,lâi,9440,False,False,False,False,False,False,False,False,False,False
礦,kóng,kóng,8249,False,False,False,False,False,False,False,False,False,False
值,tī,tī,6806,False,False,False,False,False,False,False,False,False,False
迹,tsiah,chiah,6699,False,False,False,False,False,False,False,False,False,False
蹟,tsiah,chiah,6699,False,False,False,False,False,False,False,False,False,False
者,tsiah,chiah,6699,False,False,False,False,False,False,False,False,False,False
何,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
号,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
灝,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
穫,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
荷,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
乎,hōo,hō͘,5946,False,False,False,False,False,False,False,False,False,False
至,kah,kah,5896,False,False,False,False,False,False,False,False,False,False
弃,khì,khì,5673,False,False,False,False,False,False,False,False,False,False
洽,kap,kap,4927,False,False,False,False,False,False,False,False,False,False
能,ē,ē,4777,False,False,False,False,False,False,False,False,False,False
厦,ē,ē,4777,False,False,False,False,False,False,False,False,False,False
会,ē,ē,4777,False,False,False,False,False,False,False,False,False,False
者,tsia̍h,chia̍h,4181,False,False,False,False,False,False,False,False,False,False
加,kā,kā,4148,False,False,False,False,False,False,False,False,False,False
甲,kā,kā,4148,False,False,False,False,False,False,False,False,False,False
皆,kā,kā,4148,False,False,False,False,False,False,False,False,False,False
敎,kàu,kàu,3730,False,False,False,False,False,False,False,False,False,False
只,tsit,chit,3586,False,False,False,False,False,False,False,False,False,False
窒,tsit,chit,3586,False,False,False,False,False,False,False,False,False,False
那,nā,nā,3582,False,False,False,False,False,False,False,False,False,False
礼,teh,teh,3507,False,False,False,False,False,False,False,False,False,False
磧,teh,teh,3507,False,False,False,False,False,False,False,False,False,False
浪,lóng,lóng,3457,False,False,False,False,False,False,False,False,False,False
筁,khah,khah,3393,False,False,False,False,False,False,False,False,False,False
恰,khah,khah,3393,False,False,False,False,False,False,False,False,False,False
妹,buē,bōe,3071,False,False,False,False,False,False,False,False,False,False
昧,buē,bōe,3071,False,False,False,False,False,False,False,False,False,False
慇,in,in,3005,False,False,False,False,False,False,False,False,False,False
窓,thang,thang,2885,False,False,False,False,False,False,False,False,False,False
懶,lán,lán,2682,False,False,False,False,False,False,False,False,False,False
竃,tsò,chò,2677,False,False,False,False,False,False,False,False,False,False
竈,tsò,chò,2677,False,False,False,False,False,False,False,False,False,False
啞,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
野,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
夭,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
亜,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
唖,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
亞,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
也,ah,ah,2588,False,False,False,False,False,False,False,False,False,False
喜,hit,hit,2482,False,False,False,False,False,False,False,False,False,False
許,hit,hit,2482,False,False,False,False,False,False,False,False,False,False
对,tuì,tùi,2176,False,False,False,False,False,False,False,False,False,False
着,tiō,tiō,2163,False,False,False,False,False,False,False,False,False,False
斋,tsai,chai,2139,False,False,False,False,False,False,False,False,False,False
厛,thiann,thiaⁿ,1851,False,False,False,False,False,False,False,False,False,False
听,thiann,thiaⁿ,1851,False,False,False,False,False,False,False,False,False,False
聼,thiann,thiaⁿ,1851,False,False,False,False,False,False,False,False,False,False
𠫊,thiann,thiaⁿ,1851,False,False,False,False,False,False,False,False,False,False
多,tsē,chē,1817,False,False,False,False,False,False,False,False,False,False
䖳,tsē,chē,1817,False,False,False,False,False,False,False,False,False,False
乍,tsē,chē,1817,False,False,False,False,False,False,False,False,False,False
蠩,sî,sî,1776,False,False,False,False,False,False,False,False,False,False
辞,sî,sî,1776,False,False,False,False,False,False,False,False,False,False
呌,kiò,kiò,1732,False,False,False,False,False,False,False,False,False,False
塊,tih,tih,1698,False,False,False,False,False,False,False,False,False,False
致,tih,tih,1698,False,False,False,False,False,False,False,False,False,False
親象,tshin-tshiūnn,chhin-chhiūⁿ,1562,False,False,False,False,False,False,False,False,False,False
安呢,án-ne,án-ne,1539,False,False,False,False,False,False,False,False,False,False
省,siánn,siáⁿ,1516,False,False,False,False,False,False,False,False,False,False
且,siánn,siáⁿ,1516,False,False,False,False,False,False,False,False,False,False
甘,kám,kám,1499,False,False,False,False,False,False,False,False,False,False
礼,leh,leh,1425,False,False,False,False,False,False,False,False,False,False
因爲,in-uī,in-ūi,1409,False,False,False,False,False,False,False,False,False,False
台員,tâi-uân,tâi-oân,1379,False,False,False,False,False,False,False,False,False,False
様,iōng,iōng,1314,False,False,False,False,False,False,False,False,False,False
養,iōng,iōng,1314,False,False,False,False,False,False,False,False,False,False
新婦,sim,sim,1279,False,False,False,False,False,False,False,False,False,False
済,tse,che,1268,False,False,False,False,False,False,False,False,False,False
薺,tse,che,1268,False,False,False,False,False,False,False,False,False,False
萕,tse,che,1268,False,False,False,False,False,False,False,False,False,False
濟,tse,che,1268,False,False,False,False,False,False,False,False,False,False
槎,tse,che,1268,False,False,False,False,False,False,False,False,False,False
此,tse,che,1268,False,False,False,False,False,False,False,False,False,False
楂,tse,che,1268,False,False,False,False,False,False,False,False,False,False
斋,tse,che,1268,False,False,False,False,False,False,False,False,False,False
剤,tse,che,1268,False,False,False,False,False,False,False,False,False,False
囝仔,gín-ná,gín-ná,1148,False,False,False,False,False,False,False,False,False,False
衛,uī,ūi,1138,False,False,False,False,False,False,False,False,False,False
刀,to̍h,to̍h,1132,False,False,False,False,False,False,False,False,False,False
灱,to̍h,to̍h,1132,False,False,False,False,False,False,False,False,False,False
過去,kuè,kòe,1117,False,False,False,False,False,False,False,False,False,False
𩼣,kuè,kòe,1117,False,False,False,False,False,False,False,False,False,False
荟,kuè,kòe,1117,False,False,False,False,False,False,False,False,False,False
会,kuè,kòe,1117,False,False,False,False,False,False,False,False,False,False
杳,iáu,iáu,1098,False,False,False,False,False,False,False,False,False,False
去,khí,khí,1059,False,False,False,False,False,False,False,False,False,False
紀,khí,khí,1059,False,False,False,False,False,False,False,False,False,False
拉,lah,lah,1056,False,False,False,False,False,False,False,False,False,False
省乜,siánn-mih,siáⁿ-mih,1041,False,False,False,False,False,False,False,False,False,False
省乜,sánn-mih,sáⁿ-mih,1041,False,False,False,False,False,False,False,False,False,False
省乜,sím-mih,sím-mih,1041,False,False,False,False,False,False,False,False,False,False
会,uē,ōe,984,False,False,False,False,False,False,False,False,False,False
劝,khǹg,khǹg,963,False,False,False,False,False,False,False,False,False,False
蚓,kín,kín,958,False,False,False,False,False,False,False,False,False,False
葉,ia̍h,ia̍h,953,False,False,False,False,False,False,False,False,False,False
惊,kiann,kiaⁿ,953,False,False,False,False,False,False,False,False,False,False
也,ia̍h,ia̍h,953,False,False,False,False,False,False,False,False,False,False
代志,tāi-tsì,tāi-chì,945,False,False,False,False,False,False,False,False,False,False
來,lai,lai,925,False,False,False,False,False,False,False,False,False,False
冕,bián,bián,901,False,False,False,False,False,False,False,False,False,False
今仔日,kin-ná-ji̍t,kin-ná-ji̍t,888,False,False,False,False,False,False,False,False,False,False
今旦日,kin-ná-ji̍t,kin-ná-ji̍t,888,False,False,False,False,False,False,False,False,False,False
今那日,kin-ná-ji̍t,kin-ná-ji̍t,888,False,False,False,False,False,False,False,False,False,False
今那日,kin-á-ji̍t,kin-á-ji̍t,888,False,False,False,False,False,False,False,False,False,False
八,bat,bat,850,False,False,False,False,False,False,False,False,False,False
者,tsia,chia,843,False,False,False,False,False,False,False,False,False,False
駐,tsū,chū,806,False,False,False,False,False,False,False,False,False,False
担,tann,taⁿ,805,False,False,False,False,False,False,False,False,False,False
着,tō,tō,805,False,False,False,False,False,False,False,False,False,False
田像,tshan-tshiūnn,chhan-chhiūⁿ,781,False,False,False,False,False,False,False,False,False,False
田象,tshan-tshiūnn,chhan-chhiūⁿ,781,False,False,False,False,False,False,False,False,False,False
親象,tshan-tshiūnn,chhan-chhiūⁿ,781,False,False,False,False,False,False,False,False,False,False
卡,kha,kha,770,False,False,False,False,False,False,False,False,False,False
脚,kha,kha,770,False,False,False,False,False,False,False,False,False,False
仝欵,kāng-khuán,kāng-khoán,761,False,False,False,False,False,False,False,False,False,False
共欵,kāng-khuán,kāng-khoán,761,False,False,False,False,False,False,False,False,False,False
加忌,ka-kī,ka-kī,755,False,False,False,False,False,False,False,False,False,False
樂,lo̍h,lo̍h,736,False,False,False,False,False,False,False,False,False,False
楽,lo̍h,lo̍h,736,False,False,False,False,False,False,False,False,False,False
声,siann,siaⁿ,732,False,False,False,False,False,False,False,False,False,False
熨,uì,ùi,731,False,False,False,False,False,False,False,False,False,False
干乾,kan-tann,kan-taⁿ,730,False,False,False,False,False,False,False,False,False,False
干礁,kan-na,kan-na,730,False,False,False,False,False,False,False,False,False,False
干礁,kan-tann,kan-taⁿ,730,False,False,False,False,False,False,False,False,False,False
干那,kan-na,kan-na,730,False,False,False,False,False,False,False,False,False,False
亜是,á-sī,á-sī,699,False,False,False,False,False,False,False,False,False,False
亞是,á-sī,á-sī,699,False,False,False,False,False,False,False,False,False,False
夭是,á-sī,á-sī,699,False,False,False,False,False,False,False,False,False,False
能使,ē-sái,ē-sái,699,False,False,False,False,False,False,False,False,False,False
此馬,chím-má,chím-má,686,False,False,False,False,False,False,False,False,False,False
此馬,tsit-má,chit-má,686,False,False,False,False,False,False,False,False,False,False
只馬,tsit-má,chit-má,686,False,False,False,False,False,False,False,False,False,False
只馬,chím-má,chím-má,686,False,False,False,False,False,False,False,False,False,False
傀,kuí,kúi,682,False,False,False,False,False,False,False,False,False,False
几,kuí,kúi,682,False,False,False,False,False,False,False,False,False,False
不八,m̄-bat,m̄-bat,667,False,False,False,False,False,False,False,False,False,False
安呢,án-ni,án-ni,655,False,False,False,False,False,False,False,False,False,False
妹,luā,lōa,645,False,False,False,False,False,False,False,False,False,False
若,luā,lōa,645,False,False,False,False,False,False,False,False,False,False
刀位,tó-uī,tó-ūi,641,False,False,False,False,False,False,False,False,False,False
隻年,tsiah-nī,chiah-nī,640,False,False,False,False,False,False,False,False,False,False
隻年,tsiah-ni̍h,chiah-ni̍h,640,False,False,False,False,False,False,False,False,False,False
隻哖,tsiah-nī,chiah-nī,640,False,False,False,False,False,False,False,False,False,False
隻哖,tsiah-ni̍h,chiah-ni̍h,640,False,False,False,False,False,False,False,False,False,False
者年,tsiah-nī,chiah-nī,640,False,False,False,False,False,False,False,False,False,False
者年,tsiah-ni̍h,chiah-ni̍h,640,False,False,False,False,False,False,False,False,False,False
者哖,tsiah-nī,chiah-nī,640,False,False,False,False,False,False,False,False,False,False
者哖,tsiah-ni̍h,chiah-ni̍h,640,False,False,False,False,False,False,False,False,False,False
尋,tshuē,chhōe,638,False,False,False,False,False,False,False,False,False,False
定定,niā-niā,niā-niā,634,False,False,False,False,False,False,False,False,False,False
那定,nā-tiānn,nā-tiāⁿ,634,False,False,False,False,False,False,False,False,False,False
領領,niā-niā,niā-niā,634,False,False,False,False,False,False,False,False,False,False
処,tè,tè,633,False,False,False,False,False,False,False,False,False,False
嚏,tè,tè,633,False,False,False,False,False,False,False,False,False,False
弟,tè,tè,633,False,False,False,False,False,False,False,False,False,False
處,tè,tè,633,False,False,False,False,False,False,False,False,False,False
