hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
儂,lâng,lâng,52526,True,True,False,False,False,True,False,False,False,True
蜀,tsi̍t,chi̍t,44439,True,True,False,False,False,False,False,False,False,True
不,m̄,m̄,39475,True,True,False,False,False,False,True,False,False,False
呣,m̄,m̄,39475,True,True,False,False,False,False,False,False,False,False
唔,m̄,m̄,39475,True,True,False,False,False,False,False,False,False,False
擱,koh,koh,29890,True,True,False,False,False,False,False,False,False,False
故,koh,koh,29890,True,True,False,False,False,False,False,False,False,False
今,tse,che,27958,True,True,False,False,False,False,False,False,False,False
即,tse,che,27958,True,True,False,False,False,False,False,False,False,False
汝,lí,lí,27089,True,True,False,False,False,False,False,False,False,False
及,kah,kah,26700,True,True,False,False,False,False,False,False,False,False
怹,in,in,22121,True,True,False,False,False,False,False,False,False,True
給,kā,kā,18073,True,True,False,False,False,False,False,False,False,False
甲,kàu,kàu,17333,True,True,False,False,False,False,False,False,False,False
塊,teh,teh,17229,True,True,False,False,False,False,False,False,False,False
在,teh,teh,17229,True,True,False,False,False,False,True,False,False,False
吃,tsia̍h,chia̍h,15378,True,True,False,False,False,False,False,False,False,False
噍,tsia̍h,chia̍h,15378,True,True,False,False,False,False,False,False,False,False
卜,beh,beh,14669,True,True,False,False,False,False,False,False,False,False
卜,bueh,boeh,14669,True,True,False,False,False,False,False,False,False,False
要,beh,beh,14669,True,True,False,False,False,False,True,False,False,False
要,bueh,boeh,14669,True,True,False,False,False,False,False,False,False,False
裡,lāi,lāi,14406,True,True,False,False,False,False,False,False,False,False
𣍐,buē,bōe,11866,True,True,False,False,False,False,False,False,False,True
𣍐,bē,bē,11866,True,True,False,False,False,False,False,False,False,True
骹,kha,kha,10537,True,True,False,False,False,False,False,False,False,False
腳,kha,kha,10537,True,True,False,False,False,True,True,False,False,False
今,tsit,chit,9622,True,True,False,False,False,False,False,False,False,False
即,tsit,chit,9622,True,True,False,False,False,False,True,False,False,True
嘴,tshuì,chhùi,9364,True,True,False,False,False,True,True,False,False,False
戍,tshù,chhù,8959,True,True,False,False,False,False,False,False,False,False
茨,tshù,chhù,8959,True,True,False,False,False,False,False,False,False,False
在,leh,leh,8857,True,True,False,False,False,False,False,False,False,False
塊,leh,leh,8857,True,True,False,False,False,False,False,False,False,False
到,kah,kah,8530,True,True,False,False,False,True,True,False,False,False
徦,kah,kah,8530,True,True,False,False,False,False,False,False,False,False
𢓜,kah,kah,8530,True,True,False,False,False,False,False,False,False,False
子,kiánn,kiáⁿ,7404,True,True,False,False,False,False,False,False,False,False
打,phah,phah,6781,True,True,False,False,False,False,True,False,False,False
扑,phah,phah,6781,True,True,False,False,False,False,False,False,False,False
即,tsiah,chiah,6699,True,True,False,False,False,True,True,False,False,False
孔,khang,khang,5567,True,True,False,False,False,True,True,False,False,False
返,tńg,tńg,5374,True,True,False,False,False,False,True,False,False,False
痛,thiànn,thiàⁿ,4635,True,True,False,False,False,True,True,False,False,False
同,kāng,kāng,4552,True,True,False,False,False,False,False,False,False,False
嬤,má,má,4398,True,True,False,False,False,False,False,False,False,False
堘,tshân,chhân,4120,True,True,False,False,False,False,False,False,False,False
塍,tshân,chhân,4120,True,True,False,False,False,False,False,False,False,False
許,hiah,hiah,4016,True,True,False,False,False,False,False,False,False,False
赫,hiah,hiah,4016,True,True,False,False,False,False,False,False,False,False
𫝙,tshiò,chhiò,3995,True,True,False,False,False,False,False,False,False,True
旦,tann,taⁿ,3424,True,True,False,False,False,True,False,False,False,False
父,pē,pē,3368,True,True,False,False,False,True,True,False,False,False
賬,siàu,siàu,3156,True,True,False,False,False,False,True,False,False,False
偎,uá,óa,2834,True,True,False,False,False,False,False,False,False,False
旁,pîng,pêng,2834,True,True,False,False,False,True,True,False,False,False
美,suí,suí,2774,True,True,False,False,False,False,True,False,False,False
賺,thàn,thàn,2759,True,True,False,False,False,False,False,False,False,False
峘,kuân,koân,2753,True,True,False,False,False,False,False,False,False,False
高,kuân,koân,2753,True,True,False,False,False,True,False,False,False,False
滯,tuà,tòa,2725,True,True,False,False,False,False,False,False,False,False
若,guā,gōa,2602,True,True,False,False,False,False,False,False,False,False
企,khiā,khiā,2561,True,True,False,False,False,False,False,False,False,False
賢,gâu,gâu,2377,True,True,False,False,False,False,True,False,False,False
