hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
㤓,pūn,pūn,0,False,False,False,False,False,False,False,False,False,False
㬹,tenn,teⁿ,0,False,False,False,False,False,False,False,False,False,False
㮣,khài,khài,0,False,False,False,False,False,False,False,False,False,False
㶺,thûn,thûn,0,False,False,False,False,False,False,False,False,False,False
䇭,ló,ló,0,False,False,False,False,False,False,False,False,False,False
䖳,tsā,chā,0,False,False,False,False,False,False,False,False,False,False
䙝,siat,siat,0,False,False,False,False,False,False,False,False,False,False
䜟,tshàm,chhàm,0,False,False,False,False,False,False,False,False,False,False
䝍,thûn,thûn,0,False,False,False,False,False,False,False,False,False,False
䟽,so̤e,so̤e,0,False,False,False,False,False,False,False,False,False,False
䟽,sòo,sò͘,0,False,False,False,False,False,False,False,False,False,False
䢍,pian,pian,0,False,False,False,False,False,False,False,False,False,False
䱅,bua̍h,boa̍h,0,False,False,False,False,False,False,False,False,False,False
丈,tiāng,tiāng,0,False,True,False,False,False,True,False,False,False,False
下,khē,khē,0,False,False,False,False,False,False,True,False,False,True
与,í,í,0,False,False,False,False,False,False,False,False,False,False
与,ú,ú,0,False,False,False,False,False,False,False,False,False,False
丑,thiúnn,thiúⁿ,0,False,False,False,False,False,False,False,False,False,False
丕,phì,phì,0,False,False,False,False,False,False,False,False,False,False
丕,phî,phî,0,False,False,False,False,False,False,False,False,False,False
丕,phī,phī,0,False,False,False,False,False,False,False,False,False,False
丘,khiu,khiu,0,False,True,False,False,False,False,True,False,False,False
丢,tiu,tiu,0,False,False,False,False,False,False,False,False,False,False
两,liáng,liáng,0,False,False,False,False,False,False,False,False,False,False
串,tshuìnn,chhùiⁿ,0,False,True,False,False,False,False,False,False,False,False
丼,tím,tím,0,False,False,False,False,False,False,False,False,False,False
乃,nái,nái,0,False,True,False,False,False,True,True,False,False,False
之,tsî,chî,0,False,False,False,False,False,False,False,False,False,False
乍,tsà,chà,0,False,True,False,False,False,False,False,False,False,False
乍,tsā,chā,0,False,True,False,False,False,False,False,False,False,False
乒,pin,pin,0,False,False,False,False,False,False,False,False,False,False
乒,pìn,pìn,0,False,False,False,False,False,False,False,False,False,False
乒,pīn,pīn,0,False,False,False,False,False,False,False,False,False,False
乓,piàng,piàng,0,False,True,False,False,False,False,False,False,False,False
乓,piāng,piāng,0,False,False,False,False,False,False,False,False,False,False
予,í,í,0,False,True,False,False,False,False,False,False,False,False
予,ú,ú,0,False,True,False,False,False,False,False,False,False,False
事,sāi,sāi,0,False,False,False,False,False,False,True,False,False,False
于,ṳ,ṳ,0,False,False,False,False,False,False,False,False,False,False
云,în,în,0,False,True,False,False,False,False,False,False,False,False
亘,khìng,khèng,0,False,False,False,False,False,False,False,False,False,False
亘,kìng,kèng,0,False,False,False,False,False,False,False,False,False,False
亙,khìng,khèng,0,False,True,False,False,False,False,False,False,False,False
亙,kìng,kèng,0,False,True,False,False,False,False,False,False,False,False
亜,â,â,0,False,False,False,False,False,False,False,False,False,False
亞,â,â,0,False,False,False,False,False,False,False,False,False,False
亨,hing,heng,0,False,True,False,True,False,False,False,False,False,False
仍,jîng,jêng,0,False,True,False,False,False,False,True,False,False,False
从,tsiông,chiông,0,False,False,False,False,False,False,False,False,False,True
他,tha,tha,0,False,True,False,False,False,False,True,False,False,False
仗,tiāng,tiāng,0,False,True,False,False,False,False,False,False,False,False
仟,tshian,chhian,0,False,True,False,False,False,False,False,False,False,False
代,tō̤,tō̤,0,False,False,False,False,False,False,False,False,False,False
伋,khip,khip,0,False,True,False,False,False,False,False,False,False,False
会,hō̤,hō̤,0,False,False,False,False,False,False,False,False,False,False
会,ō̤e,ō̤e,0,False,False,False,False,False,False,False,False,False,False
伴,phuàn,phoàn,0,False,False,False,False,False,False,False,False,False,False
伴,phuān,phoān,0,False,True,False,False,False,False,False,False,False,False
佃,tāinn,tāiⁿ,0,False,False,False,False,False,False,False,False,False,True
佇,thú,thú,0,False,True,False,False,False,False,False,False,False,False
佐,tsòo,chò͘,0,False,True,False,False,False,False,False,False,False,False
佐佐木,tsó,chó,0,False,False,False,False,False,False,False,False,False,False
佐藤,tsó,chó,0,False,False,False,False,False,False,False,False,False,False
体,thué,thóe,0,False,False,False,False,False,False,False,False,False,False
体,thé,thé,0,False,True,False,False,False,False,False,False,False,False
佚,i̍t,i̍t,0,False,False,False,False,False,False,False,False,False,False
佞,līn,līn,0,False,True,False,False,False,False,False,False,False,False
佶,kit,kit,0,False,False,False,False,False,False,False,False,False,False
佻,thiau,thiau,0,False,True,False,False,False,False,False,False,False,False
佾,i̍t,i̍t,0,False,False,False,False,False,False,False,False,False,False
使,sù,sù,0,False,True,False,False,False,False,False,False,False,False
來,lài,lài,0,False,False,False,False,False,False,False,False,False,False
侈,tshí,chhí,0,False,True,False,False,False,True,False,False,False,False
侖,lûn,lûn,0,False,True,False,False,False,False,False,False,False,False
侯,hiô,hiô,0,False,True,False,False,False,False,False,False,False,False
俎,tsóo,chó͘,0,False,True,False,False,False,False,False,False,False,False
俱,kī,kī,0,False,False,False,False,False,False,False,False,False,False
倉,tshong,chhong,0,False,True,False,False,False,False,True,False,False,False
倍,puè,pòe,0,False,False,False,False,False,False,False,False,False,False
倍,pō̤,pō̤,0,False,False,False,False,False,False,False,False,False,False
候,hiō,hiō,0,False,True,False,False,False,False,False,False,False,False
借,tsià,chià,0,False,True,False,False,False,False,False,False,False,False
倡,tshiang,chhiang,0,False,True,False,False,False,False,False,False,False,False
倡,tshiòng,chhiòng,0,False,True,False,False,False,False,False,False,False,False
倩,tshiàn,chhiàn,0,False,True,False,False,False,False,False,False,False,False
倪,gô̤e,gô̤e,0,False,False,False,False,False,False,False,False,False,False
做,tsòo,chò͘,0,False,False,False,False,False,False,False,False,False,False
偷,thoo,tho͘,0,False,True,False,False,False,False,False,False,False,False
傀,khuí,khúi,0,False,True,False,False,False,False,False,False,False,False
傍,pông,pông,0,False,False,False,False,False,False,True,False,False,False
傲,gō,gō,0,False,True,False,False,False,False,False,False,False,False
傳,thuînn,thûiⁿ,0,False,True,False,False,False,False,False,False,False,False
像,tshiāng,chhiāng,0,False,True,False,False,False,False,True,False,False,False
僕,po̍k,po̍k,0,False,True,False,False,False,False,True,False,False,False
僣,tshiàm,chhiàm,0,False,True,False,False,False,False,False,False,False,False
僭,tshiàm,chhiàm,0,False,True,False,False,False,False,True,False,False,False
僻,phik,phek,0,False,True,False,False,False,False,False,False,False,False
儌,hiau,hiau,0,False,True,False,False,False,False,False,False,False,False
償,sióng,sióng,0,False,True,False,False,False,False,False,False,False,False
儡,ló̤,ló̤,0,False,False,False,False,False,False,False,False,False,False
儳,tshâm,chhâm,0,False,True,False,False,False,False,False,False,False,False
兀,gut,gut,0,False,True,False,False,False,False,False,False,False,False
兀,gu̍t,gu̍t,0,False,True,False,False,False,False,True,False,False,False
先,sainn,saiⁿ,0,False,False,False,False,False,False,False,False,False,True
