hanzi,reading_count,tl,poj,frequency,is_variant,_sources
咳,18,hāi,hāi,531,False,
咳,18,hái,hái,171,False,
咳,18,ka,ka,100,False,kautian
咳,18,kha,kha,50,False,kautian
咳,18,khik,khek,50,False,kautian
咳,18,khuh,khuh,50,False,taijit
咳,18,khu̍h,khu̍h,50,False,taijit
咳,18,khài,khài,50,False,kautian
咳,18,khâm,khâm,50,False,taijit
咳,18,hàinn,hàiⁿ,11,False,
咳,18,hainn,haiⁿ,10,False,
咳,18,hâinn,hâiⁿ,10,False,
咳,18,hai,hai,1,False,
咳,18,haih,haih,1,False,
咳,18,haihⁿ,haihⁿ,1,False,
咳,18,hài,hài,1,False,
咳,18,hāinn,hāiⁿ,1,False,
咳,18,hâi,hâi,0,False,kautian
哈,17,hah,hah,100,False,kautian
哈,17,ha,ha,50,False,"kautian,taihoa"
哈,17,hap,hap,50,True,"kautian,taijit"
哈,17,ha̍h,ha̍h,50,False,kautian
哈,17,ha̍p,ha̍p,50,False,taijit
哈,17,hop,hop,50,False,taijit
哈,17,há,há,50,False,
哈,17,ka̍p,ka̍p,50,False,taijit
哈,17,hánn,háⁿ,11,False,
哈,17,ha̋nn,hăⁿ,10,False,
哈,17,hahⁿ,hahⁿ,2,False,
哈,17,hānn,hāⁿ,2,False,
哈,17,hà,hà,1,False,
哈,17,hànn,hàⁿ,1,False,
哈,17,khap,khap,1,False,
哈,17,ap,ap,0,False,
哈,17,gap,gap,0,False,"kautian,taijit"
挾,15,gia̍p,gia̍p,50,False,"kautian,itaigi,taihoa,taijit"
挾,15,gue̍h,goe̍h,50,False,kautian
挾,15,hia̍p,hia̍p,50,False,"kautian,taijit"
挾,15,kere̍h,ke̍reh,50,False,khpoo
挾,15,ke̍nnh,ke̍ⁿh,50,False,taijit
挾,15,khe̍h,khe̍h,50,False,taijit
挾,15,khe̍nnh,khe̍ⁿh,50,False,taijit
挾,15,khia̍p,khia̍p,50,False,taijit
挾,15,khiâu,khiâu,50,False,taijit
挾,15,khue̍h,khoe̍h,50,False,taijit
挾,15,kue̍h,koe̍h,50,False,khpoo
挾,15,ngere̍h,nge̍reh,50,False,khpoo
挾,15,nge̍h,nge̍h,50,False,"kautian,itaigi"
挾,15,tshūn,chhūn,50,False,taijit
挾,15,ngue̍h,ngoe̍h,1,False,"kautian,taijit"
呵,14,ah,ah,2588,False,taijit
呵,14,o,o,1353,False,"kautian,taihoa,taijit"
呵,14,a̍h,a̍h,50,False,taijit
呵,14,ho,ho,50,False,kautian
呵,14,hoo,ho͘,50,False,kautian
呵,14,hō,hō,50,False,taihoa
呵,14,or,or,50,False,kautian
呵,14,o̍h,o̍h,50,False,taijit
呵,14,â,â,50,False,taijit
呵,14,ânn,âⁿ,50,False,taijit
