tl,hanzi_count,hanzi,frequency,is_variant,_sources
hông,110,癀,1217,False,kautian
hông,110,防,1100,False,"kautian,taihoa,taijit"
hông,110,黃,697,False,kautian
hông,110,皇,600,False,"kautian,taihoa,taijit"
hông,110,乎人,501,False,
hông,110,帆,501,False,
hông,110,杭,501,False,kautian
hông,110,洪,501,False,kautian
hông,110,篷,501,False,kautian
hông,110,航,501,False,kautian
hông,110,虹,501,False,kautian
hông,110,紅,248,False,"kautian,taihoa,taijit"
hông,110,磺,150,False,"kautian,taihoa,taijit"
hông,110,隍,150,False,kautian
hông,110,妨,150,False,kautian
hông,110,凰,100,False,kautian
hông,110,煌,100,False,kautian
hông,110,縫,100,False,"kautian,taihoa"
hông,110,蓬,50,False,kautian
hông,110,遑,50,False,kautian
hông,110,逢,50,False,"kautian,taijit"
hông,110,迒,50,False,kautian
hông,110,趪,50,False,kautian
hông,110,訌,50,False,kautian
hông,110,訇,50,False,"kautian,taijit"
hông,110,被,50,False,taijit
hông,110,蟥,50,False,kautian
hông,110,蝗,50,False,kautian
hông,110,翃,50,False,kautian
hông,110,葓,50,False,kautian
hông,110,葒,50,False,kautian
hông,110,菶,50,False,kautian
hông,110,芃,50,False,kautian
hông,110,艎,50,False,kautian
hông,110,舡,50,False,kautian
hông,110,耾,50,False,kautian
hông,110,鍠,50,False,kautian
hông,110,綋,50,False,kautian
hông,110,鋐,50,False,kautian
hông,110,鬔,50,False,kautian
hông,110,鐄,50,False,kautian
hông,110,黌,50,False,kautian
hông,110,𩒼,50,False,kautian
hông,110,𨹁,50,False,kautian
hông,110,𧗝,50,False,kautian
hông,110,𦐌,50,False,kautian
hông,110,𥮕,50,False,kautian
hông,110,𥔀,50,False,kautian
hông,110,𢪋,50,False,kautian
hông,110,𢂔,50,False,kautian
hông,110,𠰈,50,False,kautian
hông,110,鴻,50,False,"kautian,taihoa,taijit"
hông,110,閎,50,False,"kautian,taijit"
hông,110,鱑,50,False,kautian
hông,110,鰉,50,False,kautian
hông,110,粠,50,False,kautian
hông,110,髼,50,False,kautian
hông,110,馮,50,False,"kautian,taijit"
hông,110,餭,50,False,kautian
hông,110,颿,50,False,kautian
hông,110,頏,50,False,kautian
hông,110,鞃,50,False,kautian
hông,110,紘,50,False,kautian
hông,110,潢,50,False,kautian
hông,110,簧,50,False,"kautian,taihoa"
hông,110,吭,50,False,kautian
hông,110,宖,50,False,kautian
hông,110,宏,50,False,"kautian,itaigi"
hông,110,媓,50,False,kautian
hông,110,夆,50,False,"kautian,itaigi"
hông,110,塳,50,False,kautian
hông,110,堭,50,False,kautian
hông,110,埄,50,False,kautian
hông,110,喤,50,False,kautian
hông,110,吰,50,False,kautian
hông,110,叿,50,False,kautian
hông,110,篊,50,False,kautian
hông,110,偟,50,False,kautian
hông,110,仜,50,False,kautian
hông,110,䭰,50,False,kautian
hông,110,䜶,50,False,kautian
hông,110,䉺,50,False,kautian
hông,110,䆖,50,False,kautian
hông,110,䃔,50,False,kautian
hông,110,䂫,50,False,kautian
hông,110,㑂,50,False,kautian
hông,110,峵,50,False,kautian
hông,110,崲,50,False,kautian
hông,110,弘,50,False,"kautian,taijit"
hông,110,徨,50,False,kautian
hông,110,篁,50,False,kautian
hông,110,竤,50,False,kautian
hông,110,竑,50,False,kautian
hông,110,璜,50,False,kautian
hông,110,瑝,50,False,kautian
hông,110,灴,50,False,kautian
hông,110,漨,50,False,kautian
hông,110,湟,50,False,kautian
hông,110,渹,50,False,kautian
hông,110,渢,50,False,kautian
hông,110,浲,50,False,kautian
hông,110,浤,50,False,kautian
hông,110,洚,50,False,kautian
hông,110,泓,50,False,kautian
hông,110,汯,50,False,kautian
hông,110,桁,50,False,kautian
hông,110,摓,50,False,kautian
hông,110,捀,50,False,kautian
hông,110,惶,50,False,kautian
hông,110,𪏙,50,False,kautian
tsu,92,資,2706,False,"kautian,taihoa,taijit"
tsu,92,珠,2117,False,"kautian,itaigi,taihoa,taijit"
tsu,92,書,894,False,"kautian,taihoa,taijit"
tsu,92,姿,150,False,kautian
tsu,92,滋,150,False,kautian
tsu,92,朱,100,False,"kautian,taihoa,taijit"
tsu,92,諮,100,False,kautian
tsu,92,諸,100,False,"kautian,taihoa,taijit"
tsu,92,觜,50,False,khpoo
tsu,92,邾,50,False,kautian
tsu,92,輺,50,False,khpoo
tsu,92,輜,50,False,kautian
tsu,92,趑,50,False,kautian
tsu,92,貲,50,False,"kautian,khpoo"
