hanzi,tl,expected_poj_taigi,kesi_poj,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
仄,tseeh,cheeh,tseeh,cheeh,50,False,False,False,False,False,False,False,False,False,True
債,tsèe,chèe,tsèe,chèe,50,False,False,False,False,False,False,False,False,False,True
冊,tsheeh,chheeh,tsheeh,chheeh,50,False,False,False,False,False,False,False,False,False,True
叉,tshee1,chhee,tshee1,chhee,50,False,False,False,False,False,False,False,False,False,True
差,tshee,chhee,tshee,chhee,50,False,False,False,False,False,False,False,False,False,True
楝,nirī,nīri,nirī,nīri,50,False,False,False,False,False,False,False,False,False,True
眼,ngirí,ngíri,ngirí,ngíri,50,False,False,False,False,False,False,False,False,False,True
研,ngirí,ngíri,ngirí,ngíri,50,False,False,False,False,False,False,False,False,False,True
硏,ngirí,ngíri,ngirí,ngíri,50,False,False,False,False,False,False,False,False,False,True
碾,nirí,níri,nirí,níri,50,False,False,False,False,False,False,False,False,False,True
荔,nirī,nīri,nirī,nīri,50,False,False,False,False,False,False,False,False,False,True
蓮,nirî,nîri,nirî,nîri,50,False,False,False,False,False,False,False,False,False,True
輾,nirí,níri,nirí,níri,50,False,False,False,False,False,False,False,False,False,True
連,nirî,nîri,nirî,nîri,50,False,False,False,False,False,False,False,False,False,True
鴒,nirī,nīri,nirī,nīri,50,False,False,False,False,False,False,False,False,False,True
龍,ngirî,ngîri,ngirî,ngîri,50,False,False,False,False,False,False,False,False,False,True
龍眼,ngirî-ngirí,ngîri-ngíri,ngirî-ngirí,ngîri-ngíri,25,False,False,False,False,False,False,False,False,False,True
閘榫,tsa̍h -sún,cha̍h -sún,cha̍h-sún,cha̍h -sún,16,False,False,False,False,False,False,False,True,False,False
倩賊顧更,tshiànn--tsha̍t---kòo-kenn,chhiàⁿ--chha̍t---kò͘-keⁿ,chhiàⁿ--chha̍t----kò͘-keⁿ,chhiàⁿ--chha̍t---kò͘-keⁿ,7,False,False,False,True,False,False,False,False,False,False
