prev_word,next_word,next_tl,count,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
省,乜,mih,3124,0,0,0,0,0,0,0,0,0
親,像,tshiūnn,2500,1,0,1,0,1,1,0,0,0
親,象,tshiūnn,2360,0,0,0,0,0,0,0,0,0
查,某,bóo,2308,1,0,1,0,1,1,0,1,0
台,灣,uân,1995,0,0,1,0,1,1,0,0,0
起,來,lâi,1991,1,0,1,0,1,1,0,0,0
身,軀,khu,1979,1,0,1,0,1,1,0,1,0
囝,仔,á,1831,1,0,1,0,1,1,0,0,0
仔,日,ji̍t,1808,1,0,0,0,1,1,0,0,0
旦,日,ji̍t,1792,1,0,0,0,0,1,0,0,0
那,日,ji̍t,1776,0,0,0,0,0,0,0,0,0
按,呢,ne,1768,1,0,1,0,1,0,0,0,0
台,員,uân,1659,0,0,0,0,0,0,0,0,0
省,乜,mi̍h,1564,0,0,0,0,0,0,0,0,0
安,呢,ne,1552,0,0,0,0,0,0,0,0,0
心,肝,kuann,1543,1,0,1,0,1,1,0,0,0
夭,未,buē,1510,0,0,0,0,0,0,0,0,0
因,爲,uī,1409,0,0,0,0,0,0,0,0,0
只,馬,má,1372,0,0,0,0,0,0,0,0,0
此,馬,má,1372,0,0,0,0,0,0,0,0,0
囝,仔,ná,1346,0,0,0,0,1,1,0,0,0
一,下,ē,1335,1,1,1,0,1,1,0,0,0
出,來,lâi,1295,1,0,1,0,1,1,0,1,0
囡,仔,á,1277,1,0,1,0,1,1,0,1,0
生,理,lí,1202,1,0,1,0,1,1,0,1,0
所,在,tsāi,1150,1,0,1,0,1,1,0,1,0
不,是,sī,1112,1,0,0,0,1,1,0,0,1
歡,喜,hí,1109,1,0,1,1,1,1,0,0,0
來,去,khì,1080,1,0,0,0,1,1,0,0,0
頭,仔,á,1068,1,0,1,0,1,1,1,1,0
落,去,khì,1054,1,0,1,0,1,1,0,0,0
夭,是,sī,1050,0,0,0,0,0,0,0,0,0
記,得,tit,1036,1,0,1,0,1,1,0,0,0
會,使,sái,987,1,0,1,0,1,1,0,1,0
今,仔,á,981,1,0,1,0,1,1,0,0,0
知,影,iánn,961,1,0,1,0,1,1,0,0,0
代,志,tsì,955,0,0,0,0,0,0,0,0,0
朋,友,iú,948,1,0,1,0,1,1,0,1,0
果,子,tsí,935,1,1,1,0,1,1,1,1,0
冬,時,sî,923,0,0,0,0,0,0,0,0,0
今,旦,á,904,1,0,0,0,0,0,0,0,0
今,仔,ná,888,0,0,0,0,0,0,0,0,0
今,仔日,ná-ji̍t,888,0,0,0,0,0,0,0,0,0
今,仔日,á-ji̍t,888,1,0,0,0,1,1,0,0,0
今,旦,ná,888,0,0,0,0,0,0,0,0,0
今,旦日,ná-ji̍t,888,0,0,0,0,0,0,0,0,0
今,旦日,á-ji̍t,888,1,0,0,0,0,0,0,0,0
今,那,ná,888,0,0,0,0,0,0,0,0,0
今,那日,ná-ji̍t,888,0,0,0,0,0,0,0,0,0
今,那,á,888,0,0,0,0,0,0,0,0,0
今,那日,á-ji̍t,888,0,0,0,0,0,0,0,0,0
逐,家,ke,877,1,0,1,0,1,0,0,0,0
仔,草,tsháu,875,1,0,1,1,1,1,0,0,0
尪,仔,á,869,1,1,1,0,1,1,1,1,0
尻,川,tshng,865,1,1,1,0,1,1,0,0,0
目,睭,tsiu,865,1,1,1,0,1,1,1,0,0
雞,仔,á,849,1,0,1,0,1,1,0,0,0
番,仔,á,833,1,0,1,1,1,1,1,0,0
仔,囝,kiánn,822,1,0,1,0,1,1,0,0,0
先,生,senn,805,1,0,1,0,1,1,0,0,0
田,像,tshiūnn,787,0,0,0,0,0,0,0,0,0
田,象,tshiūnn,787,0,0,0,0,0,0,0,0,0
實,在,tsāi,778,1,0,1,0,1,1,0,0,0
性,命,miā,770,1,0,1,0,1,1,0,1,0
鳥,仔,á,770,1,0,1,1,1,1,0,0,0
心,內,lāi,768,1,0,1,0,1,1,0,0,0
腹,肚,tóo,768,1,0,1,0,1,1,0,1,0
過,去,khì,768,1,0,1,0,1,1,0,0,0
干,礁,ta,762,0,0,0,0,1,0,0,0,0
仝,欵,khuán,761,0,0,0,0,0,0,0,0,0
共,欵,khuán,761,0,0,0,0,0,0,0,0,0
仔,魚,hî,755,1,0,1,0,1,1,0,1,0
加,忌,kī,755,0,0,0,0,0,0,0,0,0
夭,未,bē,755,0,0,0,0,0,0,0,0,0
仔,頭,thâu,751,1,0,1,1,1,1,1,1,0
按,呢,ni,745,1,0,1,0,1,1,0,0,0
不,知,tsai,735,1,0,0,0,1,1,0,0,0
三,角,kak,731,1,1,1,1,1,1,1,1,0
干,乾,ta,730,0,0,0,0,0,1,0,0,0
干,乾,tann,730,0,0,0,0,0,0,0,0,0
干,礁,na,730,0,0,0,0,0,0,0,0,0
干,礁,tann,730,0,0,0,0,0,0,0,0,0
干,那,na,730,0,0,0,0,0,0,0,0,0
落,來,lâi,720,1,1,1,0,1,1,0,0,0
用,得,tit,717,1,0,1,0,1,1,0,0,0
所,以,í,711,1,0,0,0,1,1,0,0,0
不,識,bat,709,0,0,0,0,0,1,0,0,0
亜,是,sī,709,0,0,0,0,0,0,0,0,0
亞,是,sī,709,0,0,0,0,0,0,0,0,0
日,頭,thâu,709,1,0,1,0,1,1,1,1,0
目,屎,sái,701,1,1,1,0,1,1,0,0,0
能,使,sái,701,0,0,0,0,0,0,0,0,0
無,影,iánn,696,1,0,1,0,1,1,0,0,0
大,家,ke,692,1,0,1,0,1,1,0,1,0
兄,弟,tī,691,1,0,1,0,1,1,0,0,0
字,旁,pîng,686,1,0,0,0,1,1,0,0,0
學,生,sing,678,1,0,1,0,1,1,0,0,0
不,八,bat,677,0,0,0,0,0,0,0,0,0
仔,花,hue,675,1,0,1,1,1,1,1,1,0
尾,仔,á,668,1,0,1,1,1,1,0,1,1
艱,苦,khóo,668,1,0,0,0,1,1,0,0,0
鬼,仔,á,665,1,0,1,0,1,1,0,1,0
嘴,齒,khí,664,1,0,0,0,1,1,0,0,0
安,呢,ni,656,0,0,0,0,0,0,0,0,0
昨,昏,hng,653,1,0,0,0,1,1,0,0,0
先,生,sinn,651,1,0,1,0,0,1,0,0,0
少,年,liân,644,1,0,1,0,1,1,0,1,0
刀,位,uī,642,0,0,0,0,0,0,0,0,0
叨,位,uī,642,1,0,0,0,1,0,0,0,0
者,哖,ni̍h,640,0,0,0,0,0,0,0,0,0
者,哖,nī,640,0,0,0,0,0,0,0,0,0
者,年,ni̍h,640,0,0,0,0,0,0,0,0,0
者,年,nī,640,0,0,0,0,0,0,0,0,0
隻,哖,ni̍h,640,0,0,0,0,0,0,0,0,0
隻,哖,nī,640,0,0,0,0,0,0,0,0,0
隻,年,ni̍h,640,0,0,0,0,0,0,0,0,0
隻,年,nī,640,0,0,0,0,0,0,0,0,0
𨑨,迌,thô,639,1,0,1,0,0,1,0,0,0
日,本,pún,637,1,0,1,1,1,1,0,1,0
定,定,niā,634,0,0,0,0,0,0,0,0,0
火,燒,sio,634,1,1,1,1,1,1,0,1,0
那,定,tiānn,634,0,0,0,0,0,0,0,0,0
領,領,niā,634,0,0,0,0,0,0,0,0,0
有,時,sî,630,1,0,1,0,1,1,0,0,0
看,見,kìnn,630,1,0,0,0,1,1,0,0,0
袂,使,sái,630,1,0,1,0,0,0,0,0,0
鬥,陣,tīn,624,1,0,1,0,1,1,0,0,0
第,一,it,619,1,0,1,0,1,1,0,1,0
𣍐,使,sái,617,1,0,0,0,0,0,0,0,0
雖,然,jiân,615,1,0,0,0,1,1,0,0,0
雞,卵,nn̄g,613,1,1,1,0,1,1,1,1,0
玻,璃,lê,612,1,0,1,0,1,1,1,1,0
眠,床,tshn̂g,602,1,0,1,0,1,1,0,0,0
頭,毛,mn̂g,598,1,0,1,0,1,1,0,0,0
時,仔,á,596,1,0,1,0,1,1,0,0,0
應,該,kai,593,1,0,0,0,1,1,0,0,0
咖,啡,pi,592,1,1,1,0,1,1,0,0,0
真,正,tsiànn,589,1,0,1,0,1,1,0,0,0
細,漢,hàn,587,1,0,1,0,1,1,0,0,0
以,經,king,585,0,0,0,0,0,0,0,0,0
了,后,āu,584,0,0,0,0,0,0,0,0,0
了,後,āu,584,1,0,0,0,1,1,0,1,0
歹,勢,sè,581,1,0,1,0,0,1,0,0,0
電,話,uē,581,1,0,1,0,1,1,0,0,0
運,動,tōng,574,1,0,1,0,1,1,0,1,0
十,二,jī,572,1,0,1,0,1,1,0,0,0
指,甲,kah,570,1,0,1,1,1,1,0,0,0
豆,仔,á,567,1,0,1,0,1,1,0,0,0
社,會,huē,566,1,0,1,0,1,1,0,1,0
大,頭,thâu,563,1,1,1,1,1,1,0,0,0
世,界,kài,560,1,0,1,0,1,1,0,1,0
生,活,ua̍h,560,1,0,1,0,1,1,0,1,0
時,存,tsūn,559,0,0,0,0,0,0,0,0,0
時,拵,tsūn,559,0,0,0,0,0,0,0,0,0
早,起,khí,558,1,0,1,0,1,1,0,0,0
法,度,tōo,556,1,0,1,0,1,1,0,0,0
