"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KipDictHanjiTaibunOthers","KipDictWordProperty","HoaBun","KaisoehHanLoPoj","KaisoehHanLoKip","KipDictDialects","Synonym","Opposite"
"1","chi̍t(替)","it","chit8(替)","it","tsi̍t(替)","it","tsit8(替)","it","一","蜀","","一、全、規、壹、整個","1.【數】數目。例：一蕊花　chi̍t lúi hoe(一朵花)。2.【形】全部的、整個的。例：紅嬰仔哭甲一身軀汗。Âng-eⁿ-á khàu kah chi̍t sin-khu kōaⁿ. (小嬰兒哭得滿身大汗。)　[近]全、規3.【副】表示時間短、數量少、程度輕等。例：一睏仔　chi̍t-khùn-á(一下子)、一絲仔　chi̍t-si-á(一點點)。","1.【數】數目。例：一蕊花　tsi̍t luí hue(一朵花)。2.【形】全部的、整個的。例：紅嬰仔哭甲一身軀汗。Âng-enn-á khàu kah tsi̍t sin-khu kuānn. (小嬰兒哭得滿身大汗。)　[近]全、規3.【副】表示時間短、數量少、程度輕等。例：一睏仔　tsi̍t-khùn-á(一下子)、一絲仔　tsi̍t-si-á(一點點)。","","",""
"2","it","chi̍t(替)","it","chit8(替)","it","tsi̍t(替)","it","tsit8(替)","一","壹","","一、壹","1.【數】數字。2.【形】極、最、第一的。例：一流　it-liû。3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê seⁿ-chò it-bô͘-it-iūⁿ. (他們兩個長得一模一樣。)　4.【副】整個地、全部地。例：一生　it-seng、一向　it hiòng。","1.【數】數字。2.【形】極、最、第一的。例：一流　it-liû。3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。","","",""
"3","it-to-lióng-toān","","it-to-liong2-toan7","","it-to-lióng-tuān","","it-to-liong2-tuan7","","一刀兩斷","","","一刀兩斷","【熟】一刀斬成兩段，比喻斷絕關係。例：兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。In nn̄g hiaⁿ-tī-á ūi-tio̍h piàⁿ seng-lí, tō án-ne it-to-lióng-toān bô lâi-khì. (他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。)　","【熟】一刀斬成兩段，比喻斷絕關係。例：兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. (他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。)　","","",""
"4","chi̍t-ē","","chit8-e7","","tsi̍t-ē","","tsit8-e7","","一下","","","一、一下、得","1.動詞後綴。表示極短的時間或是短時間的動作。 例：小等一下。Sió-tán--chi̍t-ē. (稍等一會兒。)　[近]一下仔2.【副】表示兩個動作間的連續狀況，相當於華語「一……就……」。例：老母一下死，囡仔就大聲吼。Lāu-bú chi̍t-ē sí, gín-á tō tōa-siaⁿ háu. (媽媽一死，小孩子就大聲的哭。)　3.【助】連接動詞及補語，相當於華語「得」。例：氣一下袂講話。Khì chi̍t-ē bē kóng-ōe. (氣得說不出話來。)　","1.動詞後綴。表示極短的時間或是短時間的動作。 例：小等一下。Sió-tán--tsi̍t-ē. (稍等一會兒。)　[近]一下仔2.【副】表示兩個動作間的連續狀況，相當於華語「一……就……」。例：老母一下死，囡仔就大聲吼。Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. (媽媽一死，小孩子就大聲的哭。)　3.【助】連接動詞及補語，相當於華語「得」。例：氣一下袂講話。Khì tsi̍t-ē bē kóng-uē. (氣得說不出話來。)　","","",""
"6","chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t","","chit8 goeh8-jit8/chit8 geh8-lit8","","tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t","","tsit8 gueh8-jit8/tsit8 geh8-lit8","","一月日","","","一個月","【時】一個月。例：你一月日趁偌濟錢？Lí chi̍t goe̍h-ji̍t thàn gōa-chē chîⁿ? (你一個月賺多少錢？)　","【時】一個月。例：你一月日趁偌濟錢？Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? (你一個月賺多少錢？)　","","一個月",""
"7","chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm","","chit8-jit8-kau3-am3/chit8-lit8-kau3-am3","","tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm","","tsit8-jit8-kau3-am3/tsit8-lit8-kau3-am3","","一日到暗","","","一天到晚、從早到晚、整天","【熟】一天到晚、從早到晚，整天。例：你毋好一日到暗拋拋走。Lí m̄-hó chi̍t-ji̍t-kàu-àm pha-pha-cháu. (你不要一天到晚四處亂跑。)　","【熟】一天到晚、從早到晚，整天。例：你毋好一日到暗拋拋走。Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. (你不要一天到晚四處亂跑。)　","","規工、規日",""
"9","chi̍t-sì-lâng","","chit8-si3-lang5","","tsi̍t-sì-lâng","","tsit8-si3-lang5","","一世人","一世儂","","一世、一生、一輩子、畢生、終身","【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Góa chi̍t-sì-lâng m̄-bat chò-kòe tùi-put-khí pa̍t-lâng ê tāi-chì. (我一輩子不曾做過對不起他人的事。)　","【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. (我一輩子不曾做過對不起他人的事。)　","","一生、規世人、透世人",""
"10","chi̍t-pòaⁿ","","chit8-poann3","","tsi̍t-puànn","","tsit8-puann3","","一半","","","一半","1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kóe-chí ê chîⁿ, chi̍t lâng ài chhut chi̍t-pòaⁿ. (買水果的錢，一人要出一半。)　2.【形】表示次數很少。例：塗跤一半擺仔無拭，袂偌垃圾啦！Thô͘-kha chi̍t-pòaⁿ-pái-á bô chhit, bē gōa lah-sap--lah! (地板一兩次沒擦，不會多髒啦！)　","1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. (買水果的錢，一人要出一半。)　2.【形】表示次數很少。例：塗跤一半擺仔無拭，袂偌垃圾啦！Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! (地板一兩次沒擦，不會多髒啦！)　","","",""
"11","chi̍t-pòaⁿ-ê-á","","chit8-poann3-e5-a2","","tsi̍t-puànn-ê-á","","tsit8-puann3-e5-a2","","一半个仔","","","一兩個","【名】幾個、一兩個、少數幾個。例：有一半个仔人客真𠢕嫌東嫌西。Ū chi̍t-pòaⁿ-ê-á lâng-kheh chin gâu hiâm-tang-hiâm-sai. (有一兩個客人很會嫌東嫌西。)　","【名】幾個、一兩個、少數幾個。例：有一半个仔人客真𠢕嫌東嫌西。Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai. (有一兩個客人很會嫌東嫌西。)　","","",""
"12","chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á","","chit8-poann3-jit8-a2/chit8-poann3-lit8-a2","","tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á","","tsit8-puann3-jit8-a2/tsit8-puann3-lit8-a2","","一半日仔","","","一兩天","【熟】一兩天。例：頭家人真好，我一半日仔無去，伊嘛袂按怎。Thâu-ke lâng chin hó, góa chi̍t-pòaⁿ-ji̍t-á bô khì, i mā bē án-chóaⁿ. (老闆人真好，我一兩天沒去，他也不會怎樣。)　","【熟】一兩天。例：頭家人真好，我一半日仔無去，伊嘛袂按怎。Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. (老闆人真好，我一兩天沒去，他也不會怎樣。)　","","",""
