tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
tio̍h,著,46783,tio̍h,tioh8,tioh8,ㄉㄧㄛㆷ̇,tioh,tioh,ㄉㄧㄛㆷ,,,,True,False
m̄,毋,39475,m̄,m7,m7,ㆬ˫,m,m,ㆬ,,,,True,False
koh,閣,29890,koh,koh4,koh4,ㄍㄛㆷ,koh,koh,ㄍㄛㆷ,,,,True,False
lí,你,27089,lí,li2,li2,ㄌㄧˋ,li,li,ㄌㄧ,,,,True,False
hōo,予,24836,hō͘,hoo7,hoo7,ㄏㆦ˫,hoo,hoo,ㄏㆦ,,,,True,False
hó,好,23707,hó,ho2,ho2,ㄏㄛˋ,ho,ho,ㄏㄛ,,,,True,False
tsiū,就,21083,chiū,tsiu7,chiu7,ㄐㄧㄨ˫,tsiu,chiu,ㄐㄧㄨ,,,,True,False
teh,咧,17229,teh,teh4,teh4,ㄉㆤㆷ,teh,teh,ㄉㆤㆷ,,,,True,False
lāi,內,14406,lāi,lai7,lai7,ㄌㄞ˫,lai,lai,ㄌㄞ,,,,True,False
ji̍t,日,14244,ji̍t,jit8,jit8,ㆢㄧㆵ̇,jit,jit,ㆢㄧㆵ,,,,True,False
tsāi,在,14062,chāi,tsai7,chai7,ㄗㄞ˫,tsai,chai,ㄗㄞ,,,,True,False
kang,工,12379,kang,kang1,kang1,ㄍㄤ,kang,kang,ㄍㄤ,,,,True,False
lāu,老,11954,lāu,lau7,lau7,ㄌㄠ˫,lau,lau,ㄌㄠ,,,,True,False
bē,袂,11866,bē,be7,be7,ㆠㆤ˫,be,be,ㆠㆤ,,,,True,False
lí,理,11858,lí,li2,li2,ㄌㄧˋ,li,li,ㄌㄧ,,,,True,False
láng,攏,11219,láng,lang2,lang2,ㄌㄤˋ,lang,lang,ㄌㄤ,,,,True,False
thiann,聽,10741,thiaⁿ,thiann1,thiann1,ㄊㄧㆩ,thiann,thiann,ㄊㄧㆩ,,,,True,False
tshuì,喙,9364,chhùi,tshui3,chhui3,ㄘㄨㄧ˪,tshui,chhui,ㄘㄨㄧ,,,,True,False
hong,風,9297,hong,hong1,hong1,ㄏㆲ,hong,hong,ㄏㆲ,,,,True,False
iánn,影,9036,iáⁿ,iann2,iann2,ㄧㆩˋ,iann,iann,ㄧㆩ,,,,True,False
leh,咧,8857,leh,leh4,leh4,ㄌㆤㆷ,leh,leh,ㄌㆤㆷ,,,,True,False
kah,甲,8530,kah,kah4,kah4,ㄍㄚㆷ,kah,kah,ㄍㄚㆷ,,,,True,True
hái,海,8273,hái,hai2,hai2,ㄏㄞˋ,hai,hai,ㄏㄞ,,,,True,False
hiān,現,6999,hiān,hian7,hian7,ㄏㄧㄢ˫,hian,hian,ㄏㄧㄢ,,,,True,False
àm,暗,6574,àm,am3,am3,ㆰ˪,am,am,ㆰ,,,,True,False
thong,通,6564,thong,thong1,thong1,ㄊㆲ,thong,thong,ㄊㆲ,,,,True,False
miâ,名,6546,miâ,mia5,mia5,ㄇㄧㄚˊ,mia,mia,ㄇㄧㄚ,,,,True,False
tshing,清,6424,chheng,tshing1,chheng1,ㄑㄧㄥ,tshing,chheng,ㄑㄧㄥ,,,,True,False
í,已,5841,í,i2,i2,ㄧˋ,i,i,ㄧ,,,,True,False
khai,開,5693,khai,khai1,khai1,ㄎㄞ,khai,khai,ㄎㄞ,,,,True,False
suah,煞,4845,soah,suah4,soah4,ㄙㄨㄚㆷ,suah,soah,ㄙㄨㄚㆷ,,,,True,False
tsí,子,4660,chí,tsi2,chi2,ㄐㄧˋ,tsi,chi,ㄐㄧ,,,,True,False
tik,竹,4383,tek,tik4,tek4,ㄉㄧㆻ,tik,tek,ㄉㄧㆻ,,,,True,False
sái,屎,4331,sái,sai2,sai2,ㄙㄞˋ,sai,sai,ㄙㄞ,,,,True,False
tshân,田,4120,chhân,tshan5,chhan5,ㄘㄢˊ,tshan,chhan,ㄘㄢ,,,,True,False
