tl,hanzi,drop_reason
Suann-ti-á-lān-hu̍t,山猪仔？核,proverb
Mng-á,？仔,proverb
Suè-pún-ka-tsua̍h-si̍t,細本蟉？翼,proverb
Ka-tsua̍h-si̍t,蟉？翼,proverb
Lîng-jiáu-sik,龍爪稷、龍爪粟,proverb
Tshinn-puàn-hā,生半夏、青半夏,proverb
Thái-ko-phiô,癲？萍,proverb
Kok-tsing,穀精、谷精,proverb
Kim-tsiam,金占、金針,proverb
Kiunn-n̂g,薑黃、姜黃,proverb
Lâm-kiunn,南薑、南姜,proverb
Su-á,？仔,proverb
Káu-tsan,校櫕、九櫕,proverb
Phoh-á-tshiū,粕仔樹、朴仔樹,proverb
Giâ-kang-tsháu,蜈蚣草、鵞江草,proverb
Ka-bua̍h-tshài,茭？菜、茄茉菜,proverb
Pe-lîng-tshài,菠薐菜、飛稜菜、飛龍菜,proverb
Hīng-tshài,莕菜、荇菜,proverb
Ho-lin-tāu-tsháu,荷蘭豆草、河乳豆草,proverb
Tò-tiàu-liân,倒？蓮,proverb
Tuā-huan-hûn,大翻魂、大番魂,proverb
Tò-tiàu-liân,倒？蓮,proverb
It-tiâu-kun,乙條根、一條根,proverb
Tāu-tsû,豆薯、荳薯,proverb
Iûnn-thô,楊桃、羊桃,proverb
La̍k-ta̍k,磟碡、碌碡,proverb
Hiunn-înn,香員、香圓,proverb
Phòng-kiat,掽橘、凸橘,proverb
Phòng-kam,掽柑、凸柑,proverb
Tshì-kang-bóo,刺江某、刺江栂,proverb
Kiunn-á-lān-hu̍t,？仔？核,proverb
Hé-hāng,火？,proverb
Ah-thôo-tsu,鴨土珠、椏土珠,proverb
Âng-too-pi,紅？蓖,proverb
Tai-ting-hông,大丁黃、大疔黃,proverb
Tshia-sng-á,車桑仔、車閂仔,proverb
Ka-tsua̍h-si̍t,蟉？翼,proverb
Tshì-mng,刺？,proverb
Pùn-kam-tîn,糞？藤,proverb
Tōo-ing,杜英、杜鶯,proverb
La̍k-ta̍k-tsháu,？碡草、磱碡草,proverb
Tò-tiàu-hong,倒？風,proverb
Ké-hio̍h,菓葉、粿葉,proverb
Kó-bo̍k,？木,proverb
Tò-tiàu-hong,倒？風,proverb
Kó-á,？仔,proverb
Sàm-liú,？柳,proverb
Mooh-piah-liân,？壁蓮,proverb
Siā-liû,謝榴、榭榴,proverb
Lián-bū,蓮霧、輦霧,proverb
Ná-pua̍t,那拔、藍拔、？？,proverb
Lîng-kak,龍角、菱角,proverb
Kang-bóo,江某、江？,proverb
