tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
tê,茶,3426,tê,te5,te5,ㄉㆤˊ,,te,te,ㄉㆤ,,,,,,True,False
liân,蓮,999,liân,lian5,lian5,ㄌㄧㄢˊ,,lian,lian,ㄌㄧㄢ,,,,,,True,False
kiunn,薑,400,kiuⁿ,kiunn1,kiunn1,ㄍㄧㆫ,,kiunn,kiunn,ㄍㄧㆫ,,,,,,True,False
tîn,藤,350,tîn,tin5,tin5,ㄉㄧㄣˊ,,tin,tin,ㄉㄧㄣ,,,,,,True,False
tōo,杜,300,tō͘,too7,too7,ㄉㆦ˫,,too,too,ㄉㆦ,,,,,,True,False
sam,杉,200,sam,sam1,sam1,ㄙㆰ,,sam,sam,ㄙㆰ,,,,,,True,False
tsang,棕,200,chang,tsang1,chang1,ㄗㄤ,,tsang,chang,ㄗㄤ,,,,,,True,False
tsiunn,樟,200,chiuⁿ,tsiunn1,chiunn1,ㄐㄧㆫ,,tsiunn,chiunn,ㄐㄧㆫ,,,,,,True,False
tshat,漆,150,chhat,tshat4,chhat4,ㄘㄚㆵ,,tshat,chhat,ㄘㄚㆵ,,,,,,True,False
tshîng,松,100,chhêng,tshing5,chheng5,ㄑㄧㄥˊ,,tshing,chheng,ㄑㄧㄥ,,,,,,True,False
tshîng,榕,100,chhêng,tshing5,chheng5,ㄑㄧㄥˊ,,tshing,chheng,ㄑㄧㄥ,,,,,,True,False
pin-nn̂g,檳榔,100,pin-nn̂g,pin1nng5,pin1nng5,ㄅㄧㄣㄋㆭˊ,,pinnng,pinnng,ㄅㄧㄣㄋㆭ,,pn,pn,ㄅㄋ,,True,False
phuē,稗,100,phōe,phue7,phoe7,ㄆㄨㆤ˫,,phue,phoe,ㄆㄨㆤ,,,,,,True,False
kiô,茄,100,kiô,kio5,kio5,ㄍㄧㄛˊ,,kio,kio,ㄍㄧㄛ,,,,,,True,False
tshài-thâu,菜頭,100,chhài-thâu,tshai3thau5,chhai3thau5,ㄘㄞ˪ㄊㄠˊ,,tshaithau,chhaithau,ㄘㄞㄊㄠ,,tt,ct,ㄘㄊ,,True,False
