"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","HoaBun"
"1","á-bô","","a2-bo5","","á無","á-bô","","a2-bo5","","á無","不然"
"2","á-bô","","a2-bo5","","á無","á-bô","","a2-bo5","","á無","還是沒有"
"3","á-î","","a2-i5","","á蛦","á-î","","a2-i5","","á蛦","蟬"
"4","á-phàu","","a2-phau3","","阿炮","á-phàu","","a2-phau3","","阿炮","凱子"
"5","à-lêng","","a3-leng5","","啞鈴","à-lîng","","a3-ling5","","啞鈴","小鎮"
"6","ā-hó","","a7-ho2","","ā好","ā-hó","","a7-ho2","","ā好","怎好"
"7","ā-khú-lih","","a7-khu2-lih","","ā-khú-lih","ā-khú-lih","","a7-khu2-lih","","ā-khú-lih","壓克力"
"8","ā-sái","","a7-sai2","","ā使","ā-sái","","a7-sai2","","ā使","何必"
"9","ā-sái","","a7-sai2","","ā使","ā-sái","","a7-sai2","","ā使","何須"
"10","ā-sái","","a7-sai2","","ā使","ā-sái","","a7-sai2","","ā使","怎麼需要"
"11","ā-soah-sī","","a7-soah-si7","","ā-soah是","ā-suah-sī","","a7-suah-si7","","ā-soah是","哪裡是"
"12","ā-soah-ū","","a7-soah-u7","","ā-soah有","ā-suah-ū","","a7-suah-u7","","ā-soah有","哪有"
"13","ā-tio̍h","","a7-tioh8","","ā著","ā-tio̍h","","a7-tioh8","","ā著","何必"
"14","ā-ū","","a7-u7","","ā有","ā-ū","","a7-u7","","ā有","哪有"
"15","a-bó","a-bú","a-bo2","a-bu2","阿母","a-bó","a-bú","a-bo2","a-bu2","阿母","母親"
"16","a-bó","a-bú","a-bo2","a-bu2","阿母","a-bó","a-bú","a-bo2","a-bu2","阿母","媽媽"
"17","a-bu-kha-lo","","a-bu-kha-lo","","a-bu-kha-lo","a-bu-kha-lo","","a-bu-kha-lo","","a-bu-kha-lo","酪梨"
"18","a-cha","am-cham","a-cha","am-cham","腌臢","a-tsa","am-tsam","a-tsa","am-tsam","腌臢","骯髒"
"19","a-chek","","a-chek","","阿叔","a-tsik","","a-tsik","","阿叔","叔父"
"20","a-chek","","a-chek","","阿叔","a-tsik","","a-tsik","","阿叔","叔叔"
"21","a-chím","","a-chim2","","阿嬸","a-tsím","","a-tsim2","","阿嬸","叔母"
"22","a-chím","","a-chim2","","阿嬸","a-tsím","","a-tsim2","","阿嬸","嬸嬸"
"23","a-chiu","à-chiu","a-chiu","a3-chiu","亞洲","a-tsiu","à-tsiu","a-tsiu","a3-tsiu","亞洲","亞洲"
"24","a-chó͘","","a-choo2","","阿祖","a-tsóo","","a-tsoo2","","阿祖","曾祖父母"
"25","a-geh","","a-geh","","阿給","a-geh","","a-geh","","阿給","油豆腐"
"26","ah","","ah","","ah","ah","","ah","","ah","了"
"27","ah","","ah","","ah","ah","","ah","","ah","啊"
"28","ah","","ah","","押","ah","","ah","","押","押"
"29","ah","","ah","","押","ah","","ah","","押","強制"
"30","ah","","ah","","鴨","ah","","ah","","鴨","鴨"
"31","ah","","ah","","鴨","ah","","ah","","鴨","鴨子"
"32","ah","","ah","","壓","ah","","ah","","壓","壓"
"33","ah bóe-āu","ah bé-āu","ah boe2-au7","ah be2-au7","押尾後","ah bué-āu","ah bé-āu","ah bue2-au7","ah be2-au7","押尾後","壓隊"
"34","ah bóe-āu","ah bé-āu","ah boe2-au7","ah be2-au7","押尾後","ah bué-āu","ah bé-āu","ah bue2-au7","ah be2-au7","押尾後","殿後"
"35","a̍h","","ah8","","a̍h","a̍h","","ah8","","a̍h","怎麼"
"36","a̍h","","ah8","","a̍h","a̍h","","ah8","","a̍h","哪裡"
"37","a̍h","a̍p","ah8","ap8","盒","a̍h","a̍p","ah8","ap8","盒","盒"
"38","a̍h-á","","ah8-a2","","匣仔","a̍h-á","","ah8-a2","","匣仔","匣子"
"39","a̍h-á","a̍p-á","ah8-a2","ap8-a2","盒仔","a̍h-á","a̍p-á","ah8-a2","ap8-a2","盒仔","盒子"
"40","a̍h-chhioh","","ah8-chhioh","","壓尺","a̍h-tshioh","","ah8-tshioh","","壓尺","界尺"
"41","a̍h-chng","","ah8-chng","","盒裝","a̍h-tsng","","ah8-tsng","","盒裝","盒裝"
"42","a̍h-ek","","ah8-ek","","壓抑","a̍h-ik","","ah8-ik","","壓抑","壓抑"
"43","a̍h-kē","","ah8-ke7","","壓低","a̍h-kē","","ah8-ke7","","壓低","壓低"
"44","a̍h-kéng","","ah8-keng2","","壓境","a̍h-kíng","","ah8-king2","","壓境","壓境"
"45","a̍h-pán","","ah8-pan2","","壓板","a̍h-pán","","ah8-pan2","","壓板","界尺"
"46","a̍h-pán","","ah8-pan2","","壓板","a̍h-pán","","ah8-pan2","","壓板","壓"
"47","a̍h-ū-che","","ah8-u7-che","","a̍h有che","a̍h-ū-tse","","ah8-u7-tse","","a̍h有che","怎麼這樣"
"48","a̍h-ū-chi̍t-ê","","ah8-u7-chit8-e5","","a̍h有一個","a̍h-ū-tsi̍t-ê","","ah8-u7-tsit8-e5","","a̍h有一個","怎麼這樣"
