tl,hanzi,drop_reason
ngiaugh,ngiauh,invalid_tl
phah-kha-tshiùn,拍kha-tshiùn,invalid_tl
thàng-kutphāng,thàng骨,invalid_tl
thiàui-kòo,刁意,invalid_tl
tuann-tāngtiu,單冬,invalid_tl
khû-kha,khû-?,invalid_hanzi
khû-kha,khû-?,invalid_hanzi
khû-kha,khû-?,invalid_hanzi
līng-hòo-hòo,冗m̂絆?,invalid_hanzi
lì-phuà,lì-?,invalid_hanzi
thí-phuà,thí-?,invalid_hanzi
thôo-phe,土m̀?,invalid_hanzi
Tuā-Siu-tō-īnn,大修(道,invalid_hanzi
A-ní-ki̍p-lī-a,阿爾及利亞,too_long(>4)
A-tang-kuan-hē-hia̍p-huē,亞東關係協會,too_long(>4)
Au-bí-sian-tsìn-kok-ka,歐美先進國家,too_long(>4)
Bông-tsông-uí-uân-huē,蒙藏委員會,too_long(>4)
Tshī-li̍p-liâu-iáng-īnn,市立療養院,too_long(>4)
tshiò-kah-lak-tshuì-khí,笑甲落嘴齒,too_long(>4)
Tsi-ka-ko-tāi-ha̍k,芝加哥大學,too_long(>4)
Tsu-kang-sann-kak-tsiu,珠江三角洲,too_long(>4)
Îng-bîn-tsóng-i-īnn,榮民總醫院,too_long(>4)
guá iû-guân sī guá,我猶原是我,too_long(>4)
Guân-tsú-lîng-uí-uân-huē,原子能委員會,too_long(>4)
it-sī-it lī-sī-lī,一是一二是二,too_long(>4)
Jîn-sū-hîng-tsìng-kio̍k,人事行政局,too_long(>4)
jú-lâi-jú-ok-huà,愈來愈惡化,too_long(>4)
Kang-gia̍p-ki-su̍t-ha̍k-īnn,工業技術學院,too_long(>4)
Ke-lâng-káng-bū-kio̍k,基隆港務局,too_long(>4)
Kiâu-bū-uí-uân-huē,僑務委員會,too_long(>4)
Kuan-sè-im-phôo-sat,觀世音菩薩,too_long(>4)
kuè-ì-bē-tit-khi,,too_long(>4)
Ko-hiông-i-ha̍k-īnn,高雄醫學院,too_long(>4)
Kok-tsè-ti̍k-sià-tsoo-tsit,國際特赦組織,too_long(>4)
Kok-hū-kí-liām-kuán,國父紀念館,too_long(>4)
Kok-iú-tsâi-sán-kio̍k,國有財產局,too_long(>4)
Kòo-kiong-phok-bu̍t-īnn,故宮博物院,too_long(>4)
ku-tshiò-pih-bô-mn̂g,龜笑鱉無毛,too_long(>4)
kui-mê-kàu-thinn-kng,規暝到天光,too_long(>4)
lāi-pîng-kha-tshiú-kè,肉爿腳手架,too_long(>4)
Lí-iok-jia̍t-lāi-lôo,里約熱內盧,too_long(>4)
Liân-pang-tiāu-tsa-kio̍k,聯邦調查局,too_long(>4)
ngôo-lô-su-kiōng-hô-kok,俄羅斯共和國,too_long(>4)
uānn-thng-bô-uānn-io̍h,換湯無換藥,too_long(>4)
Oo-suann-thâu-tsuí-khòo,烏山頭水庫,too_long(>4)
phah-i-bô-tiunn-tî,拍伊無張持,too_long(>4)
phâng-khau-peh-bīn-hong,,too_long(>4)
phóo-phóo-á-tsai-iánn,普普仔知影,too_long(>4)
puànn-tn̂g-m̄-tsiânn-té,,too_long(>4)
put-si-tshiò-gī-gī,笑口常開,too_long(>4)
sai-kong-giang-á-hue,司公鈃仔花,too_long(>4)
Sam-kun-tsóng-i-īnn,三軍總醫院,too_long(>4)
sí-sí-lio̍k-kong-tshē,死死六工尺,too_long(>4)
siān-kah-ná-hóo-hî,,too_long(>4)
suann-thâu-lo̍k-khok-bué,山頭落廓尾,too_long(>4)
suann-thâu-lo̍k-khok-bué,山頭落廓尾,too_long(>4)
Sua-oo-tē-a-lá-peh,沙烏地阿拉伯,too_long(>4)
Tâi-gí-lô-má-jī,台語羅馬字,too_long(>4)
Tâi-gí-lô-má-jī,台語羅馬字,too_long(>4)
Tâi-uân-kiōng-hô-kok,台灣共和國,too_long(>4)
Tâi-uân-lô-má-jī,台灣羅馬字,too_long(>4)
Tâi-uân-lô-má-jī,台灣羅馬字,too_long(>4)
Tâi-uân-tiān-li̍k-kong-si,台灣電力公司,too_long(>4)
thiap-lí-ê-lī-sik,貼你利息,too_long(>4)
Tiong-tsìng-kí-liām-tn̂g,中正紀念堂,too_long(>4)
Tiong-iang-gián-kiù-īnn,中央研究院,too_long(>4)
Tiong-iang-phiau-tsún-kio̍k,中央標準局,too_long(>4)
Tiong-iang-sìn-thok-kio̍k,中央信託局,too_long(>4)
Tiong-iang-tôo-su-kuán,中央圖書館,too_long(>4)
Tiong-kok-bûn-huà-tāi-ha̍k,中國文化大學,too_long(>4)
Tiong-kok-tsio̍h-iû-kong-si,中國石油公司,too_long(>4)
Tiong-kok-i-io̍h-ha̍k-īnn,中國醫藥學院,too_long(>4)
Tiong-kok-kok-bîn-tóng,中國國民黨,too_long(>4)
tuā-tiánn-tshá-káu-hiā,大鼎炒狗蟻,too_long(>4)
tuì-án-ne-kā-i-khuànn,,too_long(>4)
ū-tām-po̍h-pang-tsōo,有淡薄幫助,too_long(>4)
tshé hōo lī-lī-lī,,too_long(>4)
tsa̍p-tshe kiam kuán-ke,雜差兼管家,too_long(>4)
hāu-tiúnn kiam kòng-tsing,校長兼摃鐘,too_long(>4)
tsi̍t bé kuà siang uann,一馬掛雙 鞍,too_long(>4)
á-bô,,duplicate
ā-sái,,duplicate
ā-sái,,duplicate
a-bó,阿母,duplicate
a-tsik,阿叔,duplicate
a-tsím,阿嬸,duplicate
ah,,duplicate
ah,押,duplicate
ah,鴨,duplicate
ah-bué-āu,押尾後,duplicate
