tl,hanzi,kautian_main,kautian_accent_mask,kautian_name,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,kautian,is_variant
ê,的,True,0,False,184693,ê,e5,e5,ㆤˊ,,e,e,ㆤ,,,,,,True,False
sī,是,True,0,True,103109,sī,si7,si7,ㄒㄧ˫,,si,si,ㄒㄧ,,,,,,True,False
á,仔,True,0,True,90696,á,a2,a2,ㄚˋ,,a,a,ㄚ,,,,,,True,False
i,伊,True,0,True,63255,i,i1,i1,ㄧ,,i,i,ㄧ,,,,,,True,False
bô,無,True,975,False,63119,bô,bo5,bo5,ㆠㄛˊ,,bo,bo,ㆠㄛ,,,,,,True,False
ê,个,True,0,False,59866,ê,e5,e5,ㆤˊ,,e,e,ㆤ,,,,,,True,False
lâi,來,True,0,True,58294,lâi,lai5,lai5,ㄌㄞˊ,,lai,lai,ㄌㄞ,,,,,,True,False
ū,有,True,0,True,53685,ū,u7,u7,ㄨ˫,,u,u,ㄨ,,,,,,True,False
lâng,人,True,0,False,52526,lâng,lang5,lang5,ㄌㄤˊ,,lang,lang,ㄌㄤ,,,,,,True,False
tī,佇,True,888,True,47453,tī,ti7,ti7,ㄉㄧ˫,,ti,ti,ㄉㄧ,,,,,,True,False
tio̍h,著,True,975,True,46783,tio̍h,tioh8,tioh8,ㄉㄧㄛㆷ̇,,tioh,tioh,ㄉㄧㄛㆷ,,,,,,True,False
tsi̍t,一,True,0,True,44439,chi̍t,tsit8,chit8,ㄐㄧㆵ̇,,tsit,chit,ㄐㄧㆵ,,,,,,True,False
kóng,講,True,0,True,40867,kóng,kong2,kong2,ㄍㆲˋ,,kong,kong,ㄍㆲ,,,,,,True,False
m̄,毋,True,0,False,39475,m̄,m7,m7,ㆬ˫,,m,m,ㆬ,,,,,,True,False
khì,去,True,824,True,38728,khì,khi3,khi3,ㄎㄧ˪,,khi,khi,ㄎㄧ,,,,,,True,False
guá,我,True,0,True,36961,góa,gua2,goa2,ㆣㄨㄚˋ,,gua,goa,ㆣㄨㄚ,,,,,,True,False
thâu,頭,True,0,True,34601,thâu,thau5,thau5,ㄊㄠˊ,,thau,thau,ㄊㄠ,,,,,,True,False
kò,個,True,0,True,33305,kò,ko3,ko3,ㄍㄛ˪,,ko,ko,ㄍㄛ,,,,,,True,False
sî,時,True,0,True,32755,sî,si5,si5,ㄒㄧˊ,,si,si,ㄒㄧ,,,,,,True,False
tâi,台,True,0,True,31281,tâi,tai5,tai5,ㄉㄞˊ,,tai,tai,ㄉㄞ,,,,,,True,False
tsin,真,True,0,True,31026,chin,tsin1,chin1,ㄐㄧㄣ,,tsin,chin,ㄐㄧㄣ,,,,,,True,False
tuā,大,True,0,True,30086,tōa,tua7,toa7,ㄉㄨㄚ˫,,tua,toa,ㄉㄨㄚ,,,,,,True,False
koh,閣,True,0,True,29890,koh,koh4,koh4,ㄍㄛㆷ,,koh,koh,ㄍㄛㆷ,,,,,,True,False
a,阿,True,0,True,29473,a,a1,a1,ㄚ,,a,a,ㄚ,,,,,,True,False
tse,這,True,0,False,27958,che,tse1,che1,ㄗㆤ,,tse,che,ㄗㆤ,,,,,,True,False
khuànn,看,True,0,True,27720,khòaⁿ,khuann3,khoann3,ㄎㄨㆩ˪,,khuann,khoann,ㄎㄨㆩ,,,,,,True,False
lí,你,True,824,False,27089,lí,li2,li2,ㄌㄧˋ,,li,li,ㄌㄧ,,,,,,True,False
kah,佮,True,0,True,26700,kah,kah4,kah4,ㄍㄚㆷ,,kah,kah,ㄍㄚㆷ,,,,,,True,False
sim,心,True,0,True,25770,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,False
tshut,出,True,0,True,25088,chhut,tshut4,chhut4,ㄘㄨㆵ,,tshut,chhut,ㄘㄨㆵ,,,,,,True,False
hōo,予,True,1022,False,24836,hō͘,hoo7,hoo7,ㄏㆦ˫,,hoo,hoo,ㄏㆦ,,,,,,True,False
sóo,所,True,0,True,24281,só͘,soo2,soo2,ㄙㆦˋ,,soo,soo,ㄙㆦ,,,,,,True,False
hó,好,True,975,True,23707,hó,ho2,ho2,ㄏㄛˋ,,ho,ho,ㄏㄛ,,,,,,True,False
huē,會,True,0,True,23113,hōe,hue7,hoe7,ㄏㄨㆤ˫,,hue,hoe,ㄏㄨㆤ,,,,,,True,False
tuì,對,True,0,True,22528,tùi,tui3,tui3,ㄉㄨㄧ˪,,tui,tui,ㄉㄨㄧ,,,,,,True,False
jîn,人,True,0,True,22442,jîn,jin5,jin5,ㆢㄧㄣˊ,,jin,jin,ㆢㄧㄣ,,,,,,True,False
lîn,人,True,0,True,22442,lîn,lin5,lin5,ㄌㄧㄣˊ,,lin,lin,ㄌㄧㄣ,,,,,,True,False
in,𪜶,True,0,False,22121,in,in1,in1,ㄧㄣ,,in,in,ㄧㄣ,,,,,,True,False
bûn,文,True,0,True,22064,bûn,bun5,bun5,ㆠㄨㄣˊ,,bun,bun,ㆠㄨㄣ,,,,,,True,False
gí,語,True,808,True,21976,gí,gi2,gi2,ㆣㄧˋ,,gi,gi,ㆣㄧ,,,,,,True,False
hit,彼,True,0,False,21517,hit,hit4,hit4,ㄏㄧㆵ,,hit,hit,ㄏㄧㆵ,,,,,,True,False
iú,有,True,0,True,21336,iú,iu2,iu2,ㄧㄨˋ,,iu,iu,ㄧㄨ,,,,,,True,False
tsiū,就,True,0,True,21083,chiū,tsiu7,chiu7,ㄐㄧㄨ˫,,tsiu,chiu,ㄐㄧㄨ,,,,,,True,False
kok,國,True,0,True,21044,kok,kok4,kok4,ㄍㆦㆻ,,kok,kok,ㄍㆦㆻ,,,,,,True,False
ài,愛,True,0,True,19415,ài,ai3,ai3,ㄞ˪,,ai,ai,ㄞ,,,,,,True,False
tō,就,True,0,False,18740,tō,to7,to7,ㄉㄛ˫,,to,to,ㄉㄛ,,,,,,True,False
bīn,面,True,0,True,18694,bīn,bin7,bin7,ㆠㄧㄣ˫,,bin,bin,ㆠㄧㄣ,,,,,,True,False
tsuè,做,True,453,True,18482,chòe,tsue3,choe3,ㄗㄨㆤ˪,,tsue,choe,ㄗㄨㆤ,,,,,,True,False
tsò,做,True,520,True,18482,chò,tso3,cho3,ㄗㄛ˪,,tso,cho,ㄗㄛ,,,,,,True,False
ngóo,我,True,0,True,18480,ngó͘,ngoo2,ngoo2,ㄫㆦˋ,,ngoo,ngoo,ㄫㆦ,,,,,,True,False
tiong,中,True,1015,True,18403,tiong,tiong1,tiong1,ㄉㄧㆲ,,tiong,tiong,ㄉㄧㆲ,,,,,,True,False
ha̍k,學,True,0,True,18199,ha̍k,hak8,hak8,ㄏㄚㆻ̇,,hak,hak,ㄏㄚㆻ,,,,,,True,False
tsuí,水,True,0,True,18181,chúi,tsui2,chui2,ㄗㄨㄧˋ,,tsui,chui,ㄗㄨㄧ,,,,,,True,False
kā,共,True,0,False,18073,kā,ka7,ka7,ㄍㄚ˫,,ka,ka,ㄍㄚ,,,,,,True,False
lán,咱,True,0,False,17922,lán,lan2,lan2,ㄌㄢˋ,,lan,lan,ㄌㄢ,,,,,,True,False
kàu,到,True,0,False,17333,kàu,kau3,kau3,ㄍㄠ˪,,kau,kau,ㄍㄠ,,,,,,True,False
iōng,用,True,0,True,17269,iōng,iong7,iong7,ㄧㆲ˫,,iong,iong,ㄧㆲ,,,,,,True,False
teh,咧,True,0,False,17229,teh,teh4,teh4,ㄉㆤㆷ,,teh,teh,ㄉㆤㆷ,,,,,,True,False
āu,後,True,0,True,17177,āu,au7,au7,ㄠ˫,,au,au,ㄠ,,,,,,True,False
nî,年,True,0,True,16886,nî,ni5,ni5,ㄋㄧˊ,,ni,ni,ㄋㄧ,,,,,,True,False
it,一,True,0,True,16762,it,it4,it4,ㄧㆵ,,it,it,ㄧㆵ,,,,,,True,False
uē,話,True,0,True,16729,ōe,ue7,oe7,ㄨㆤ˫,,ue,oe,ㄨㆤ,,,,,,True,False
khí,起,True,0,True,16425,khí,khi2,khi2,ㄎㄧˋ,,khi,khi,ㄎㄧ,,,,,,True,False
lōo,路,True,0,True,16368,lō͘,loo7,loo7,ㄌㆦ˫,,loo,loo,ㄌㆦ,,,,,,True,False
tsia̍h,食,True,0,True,15378,chia̍h,tsiah8,chiah8,ㄐㄧㄚㆷ̇,,tsiah,chiah,ㄐㄧㄚㆷ,,,,,,True,False
tsú,主,True,0,True,15274,chú,tsu2,chu2,ㄗㄨˋ,,tsu,chu,ㄗㄨ,,,,,,True,False
kàu,教,True,0,True,15246,kàu,kau3,kau3,ㄍㄠ˪,,kau,kau,ㄍㄠ,,,,,,True,False
