hanzi,tl,drop_reason
熏吹；熏斗,hun-tshue; hun-táu,proverb
涼椅；䖙椅,liâng-í；the-í,proverb
子母椅；奶母椅仔,tsú-bú-í；ni-bó-í-á,proverb
尖刀；攕尾刀仔,tsiam-to；tshiám-bué-to-á,proverb
噴銃；噴燈,phùn-tshìng；phùn-ting,proverb
烘枱；熨直枱,hang-tâi; ut-ti̍t-tâi,proverb
拍釘；拍榫,phah-ting；phah-sún,proverb
三元仔；急燒仔,sam-guân-á；ki̍p-sio-á,proverb
箭仔；尖箭,tsìnn-á; tsiam-tsìnn,proverb
耙；大箭,pê;tuā-tsìnn,proverb
phiàn-tsih；瓷仔剪,phiàn-tsih；huî-á-tsián,proverb
倒退攄；塗內走,tò-thè-lu; thôo-lāi-tsáu,proverb
貼跤片仔；保溫片,thiap-kha-phìnn-á ;pó-un-phìnn,proverb
一股線；雙股線,tsi̍t-kóo-suànn; siang-kóo-suànn,proverb
褙布；褙紙,puè-pòo；puè-tsuá,proverb
雨傘樹仔;山枇杷,hōo-suànn-tshiū-á; suann-gî-pê,invalid_tl
樟仔; 芳樟,tsiunn-á; phang-tsiunn,invalid_tl
菝仔;林菝仔,pa̍t-á; ná-pa̍t-á,invalid_tl
竹編的檳榔籃仔,tik-pinn ê pin/pun-nn̂g-nâ-á,invalid_tl
漆線筆,tshat-suànnn-pit,invalid_tl
凹字,nah-ê jī/lī,invalid_tl
浮字,phok-jī/lī,invalid_tl
壽字,siū-jī/lī,invalid_tl
二郎盔,jī/lī-lông-khue,invalid_tl
丁字馬,ting-jī/lī-bé,invalid_tl
拍空,phah-khang,duplicate
khò-té,khò-té,hanlo_mismatch
iōng碗,iōng-uánn,hanlo_mismatch
hì-tah開關,hì-tah khai-kuan,hanlo_mismatch
hì-tah線,hì-tah-suànn,hanlo_mismatch
phue體kue枋,phue-thé kue-pang,hanlo_mismatch
gá-suh窯,gá-suh-iô,hanlo_mismatch
mi-ni-khih,mi-ni-khih,hanlo_mismatch
khe金倒槽,khe-kim-tò-tsô,hanlo_mismatch
buân白胚,buân-pe̍h-phue,hanlo_mismatch
定kô,tīng-kô,hanlo_mismatch
the̍h-hó-sì,the̍h-hó-sì,hanlo_mismatch
